GEO_TTL,COUNTY,YEAR,NAICS2012,NAICS2012_TTL,ESTAB,EMP,PAYANN,state,county,Column
"Appling County, Georgia",1,2012,113,Forestry and logging,11,61,2256,13,1,
"Appling County, Georgia",1,2012,115,Support activities for agriculture and forestry,1,0,0,13,1,
"Appling County, Georgia",1,2012,221,Utilities,7,0,0,13,1,
"Appling County, Georgia",1,2012,236,Construction of buildings,12,113,2572,13,1,
"Appling County, Georgia",1,2012,237,Heavy and civil engineering construction,2,0,0,13,1,
"Appling County, Georgia",1,2012,238,Specialty trade contractors,25,233,8587,13,1,
"Appling County, Georgia",1,2012,321,Wood product manufacturing,5,200,9782,13,1,
"Appling County, Georgia",1,2012,325,Chemical manufacturing,2,0,0,13,1,
"Appling County, Georgia",1,2012,327,Nonmetallic mineral product manufacturing,2,0,0,13,1,
"Appling County, Georgia",1,2012,331,Primary metal manufacturing,1,0,0,13,1,
"Appling County, Georgia",1,2012,332,Fabricated metal product manufacturing,6,0,0,13,1,
"Appling County, Georgia",1,2012,333,Machinery manufacturing,6,0,0,13,1,
"Appling County, Georgia",1,2012,337,Furniture and related product manufacturing,2,0,0,13,1,
"Appling County, Georgia",1,2012,339,Miscellaneous manufacturing,1,0,0,13,1,
"Appling County, Georgia",1,2012,423,"Merchant wholesalers, durable goods",12,68,1914,13,1,
"Appling County, Georgia",1,2012,424,"Merchant wholesalers, nondurable goods",11,64,2633,13,1,
"Appling County, Georgia",1,2012,425,Wholesale electronic markets and agents and brokers,1,0,0,13,1,
"Appling County, Georgia",1,2012,441,Motor vehicle and parts dealers,13,127,4109,13,1,
"Appling County, Georgia",1,2012,442,Furniture and home furnishings stores,1,0,0,13,1,
"Appling County, Georgia",1,2012,443,Electronics and appliance stores,3,18,346,13,1,
"Appling County, Georgia",1,2012,444,Building material and garden equipment and supplies dealers,10,91,2038,13,1,
"Appling County, Georgia",1,2012,445,Food and beverage stores,6,0,0,13,1,
"Appling County, Georgia",1,2012,446,Health and personal care stores,5,57,1627,13,1,
"Appling County, Georgia",1,2012,447,Gasoline stations,13,44,811,13,1,
"Appling County, Georgia",1,2012,448,Clothing and clothing accessories stores,6,0,0,13,1,
"Appling County, Georgia",1,2012,451,"Sporting goods, hobby, musical instrument, and book stores",1,0,0,13,1,
"Appling County, Georgia",1,2012,452,General merchandise stores,5,232,4731,13,1,
"Appling County, Georgia",1,2012,453,Miscellaneous store retailers,10,0,0,13,1,
"Appling County, Georgia",1,2012,454,Nonstore retailers,3,10,220,13,1,
"Appling County, Georgia",1,2012,484,Truck transportation,14,0,0,13,1,
"Appling County, Georgia",1,2012,485,Transit and ground passenger transportation,1,0,0,13,1,
"Appling County, Georgia",1,2012,511,Publishing industries (except internet),1,0,0,13,1,
"Appling County, Georgia",1,2012,515,Broadcasting (except internet),1,0,0,13,1,
"Appling County, Georgia",1,2012,517,Telecommunications,2,0,0,13,1,
"Appling County, Georgia",1,2012,522,Credit intermediation and related activities,13,124,4025,13,1,
"Appling County, Georgia",1,2012,524,Insurance carriers and related activities,7,28,948,13,1,
"Appling County, Georgia",1,2012,531,Real estate,4,4,74,13,1,
"Appling County, Georgia",1,2012,532,Rental and leasing services,6,26,529,13,1,
"Appling County, Georgia",1,2012,541,"Professional, scientific, and technical services",20,54,1665,13,1,
"Appling County, Georgia",1,2012,551,Management of companies and enterprises,1,0,0,13,1,
"Appling County, Georgia",1,2012,561,Administrative and support services,4,0,0,13,1,
"Appling County, Georgia",1,2012,611,Educational services,3,0,459,13,1,
"Appling County, Georgia",1,2012,621,Ambulatory health care services,24,420,10750,13,1,
"Appling County, Georgia",1,2012,622,Hospitals,1,0,0,13,1,
"Appling County, Georgia",1,2012,623,Nursing and residential care facilities,2,0,0,13,1,
"Appling County, Georgia",1,2012,624,Social assistance,9,0,0,13,1,
"Appling County, Georgia",1,2012,711,"Performing arts, spectator sports, and related industries",1,0,0,13,1,
"Appling County, Georgia",1,2012,712,"Museums, historical sites, and similar institutions",1,0,0,13,1,
"Appling County, Georgia",1,2012,713,"Amusement, gambling, and recreation industries",2,0,0,13,1,
"Appling County, Georgia",1,2012,721,Accommodation,3,20,237,13,1,
"Appling County, Georgia",1,2012,722,Food services and drinking places,26,400,4973,13,1,
"Appling County, Georgia",1,2012,811,Repair and maintenance,16,74,1561,13,1,
"Appling County, Georgia",1,2012,812,Personal and laundry services,8,36,532,13,1,
"Appling County, Georgia",1,2012,813,"Religious, grantmaking, civic, professional, and similar organizations",27,101,1899,13,1,
"Atkinson County, Georgia",3,2012,113,Forestry and logging,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,221,Utilities,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,236,Construction of buildings,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,238,Specialty trade contractors,2,0,0,13,3,
"Atkinson County, Georgia",3,2012,313,Textile mills,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,314,Textile product mills,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,321,Wood product manufacturing,4,0,0,13,3,
"Atkinson County, Georgia",3,2012,322,Paper manufacturing,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,325,Chemical manufacturing,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,333,Machinery manufacturing,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,336,Transportation equipment manufacturing,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,423,"Merchant wholesalers, durable goods",1,0,0,13,3,
"Atkinson County, Georgia",3,2012,424,"Merchant wholesalers, nondurable goods",4,0,0,13,3,
"Atkinson County, Georgia",3,2012,441,Motor vehicle and parts dealers,5,0,781,13,3,
"Atkinson County, Georgia",3,2012,444,Building material and garden equipment and supplies dealers,2,0,0,13,3,
"Atkinson County, Georgia",3,2012,445,Food and beverage stores,6,42,841,13,3,
"Atkinson County, Georgia",3,2012,446,Health and personal care stores,3,0,403,13,3,
"Atkinson County, Georgia",3,2012,447,Gasoline stations,7,0,675,13,3,
"Atkinson County, Georgia",3,2012,452,General merchandise stores,3,0,0,13,3,
"Atkinson County, Georgia",3,2012,453,Miscellaneous store retailers,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,454,Nonstore retailers,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,484,Truck transportation,6,24,389,13,3,
"Atkinson County, Georgia",3,2012,522,Credit intermediation and related activities,5,49,1728,13,3,
"Atkinson County, Georgia",3,2012,524,Insurance carriers and related activities,3,0,0,13,3,
"Atkinson County, Georgia",3,2012,531,Real estate,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,541,"Professional, scientific, and technical services",3,0,180,13,3,
"Atkinson County, Georgia",3,2012,561,Administrative and support services,3,0,131,13,3,
"Atkinson County, Georgia",3,2012,621,Ambulatory health care services,2,0,0,13,3,
"Atkinson County, Georgia",3,2012,624,Social assistance,2,0,0,13,3,
"Atkinson County, Georgia",3,2012,713,"Amusement, gambling, and recreation industries",1,0,0,13,3,
"Atkinson County, Georgia",3,2012,722,Food services and drinking places,7,50,462,13,3,
"Atkinson County, Georgia",3,2012,811,Repair and maintenance,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,812,Personal and laundry services,1,0,0,13,3,
"Atkinson County, Georgia",3,2012,813,"Religious, grantmaking, civic, professional, and similar organizations",6,8,121,13,3,
"Bacon County, Georgia",5,2012,113,Forestry and logging,8,58,1879,13,5,
"Bacon County, Georgia",5,2012,115,Support activities for agriculture and forestry,4,0,0,13,5,
"Bacon County, Georgia",5,2012,221,Utilities,3,0,0,13,5,
"Bacon County, Georgia",5,2012,236,Construction of buildings,4,0,359,13,5,
"Bacon County, Georgia",5,2012,237,Heavy and civil engineering construction,1,0,0,13,5,
"Bacon County, Georgia",5,2012,238,Specialty trade contractors,5,0,348,13,5,
"Bacon County, Georgia",5,2012,311,Food manufacturing,4,0,0,13,5,
"Bacon County, Georgia",5,2012,313,Textile mills,1,0,0,13,5,
"Bacon County, Georgia",5,2012,323,Printing and related support activities,2,0,0,13,5,
"Bacon County, Georgia",5,2012,326,Plastics and rubber products manufacturing,1,0,0,13,5,
"Bacon County, Georgia",5,2012,327,Nonmetallic mineral product manufacturing,1,0,0,13,5,
"Bacon County, Georgia",5,2012,332,Fabricated metal product manufacturing,3,0,0,13,5,
"Bacon County, Georgia",5,2012,333,Machinery manufacturing,1,0,0,13,5,
"Bacon County, Georgia",5,2012,423,"Merchant wholesalers, durable goods",7,0,2101,13,5,
"Bacon County, Georgia",5,2012,424,"Merchant wholesalers, nondurable goods",8,168,4522,13,5,
"Bacon County, Georgia",5,2012,441,Motor vehicle and parts dealers,8,0,456,13,5,
"Bacon County, Georgia",5,2012,442,Furniture and home furnishings stores,1,0,0,13,5,
