"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Georgia","2001","11531 ","Forestry support activities","108","1193","22444","13",
"Georgia","2001","115310","Forestry support activities","108","1193","22444","13",
"Georgia","2001","21    ","Mining","259","6839","293729","13",
"Georgia","2001","211   ","Oil & gas extraction","5","23","2117","13",
"Georgia","2001","2111  ","Oil & gas extraction","5","23","2117","13",
"Georgia","2001","21111 ","Oil & gas extraction","5","23","2117","13",
"Georgia","2001","211111","Crude petroleum & natural gas extraction","4","0","0","13",
"Georgia","2001","211112","Natural gas liquid extraction","1","0","0","13",
"Georgia","2001","212   ","Mining (except oil & gas)","213","6163","268534","13",
"Georgia","2001","2121  ","Coal mining","1","0","0","13",
"Georgia","2001","21211 ","Coal mining","1","0","0","13",
"Georgia","2001","212321","Construction sand & gravel mining","39","0","0","13",
"Georgia","2001","212313","Crushed & broken granite mining & quarrying","53","1353","58474","13",
"Georgia","2001","212319","Other crushed & broken stone mining & quarrying","11","195","8085","13",
"Georgia","2001","21232 ","Sand, gravel, clay, refractory minerals mining","73","3574","163340","13",
"Georgia","2001","22    ","Utilities","601","25229","1598853","13",
"Georgia","2001","221111","Hydroelectric power generation","12","0","0","13",
"Georgia","2001","221   ","Utilities","601","25229","1598853","13",
"Georgia","2001","2211  ","Elec pwr generation, transmsn & distribution","466","22440","1448975","13",
"Georgia","2001","22111 ","Electric power generation","30","0","0","13",
"Georgia","2001","233110","Land subdivision & land development","594","4073","167419","13",
"Georgia","2001","2332  ","Residential building construction","4422","18584","735784","13",
"Georgia","2001","23321 ","Single-family housing construction","4160","15501","603468","13",
"Georgia","2001","233210","Single-family housing construction","4160","15501","603468","13",
"Georgia","2001","2351  ","Plumbing, heating & AC contractor","2735","26376","860235","13",
"Georgia","2001","23511 ","Plumbing, heating & AC contractor","2735","26376","860235","13",
"Georgia","2001","235110","Plumbing, heating & AC contractor","2735","26376","860235","13",
"Georgia","2001","2352  ","Painting & wall covering contractors","883","5066","153470","13",
"Georgia","2001","23521 ","Painting & wall covering contractors","883","5066","153470","13",
"Georgia","2001","23592 ","Glass & glazing contractors","177","1970","64859","13",
"Georgia","2001","235920","Glass & glazing contractors","177","1970","64859","13",
"Georgia","2001","23593 ","Excavation contractors","751","4982","162181","13",
"Georgia","2001","235930","Excavation contractors","751","4982","162181","13",
"Georgia","2001","23594 ","Wrecking & demolition contractors","54","309","9344","13",
"Georgia","2001","31142 ","Fruit & veg canning, pickling & drying","18","0","0","13",
"Georgia","2001","311421","Fruit & vegetable canning","14","0","0","13",
"Georgia","2001","311422","Specialty canning","3","0","0","13",
"Georgia","2001","311423","Dried & dehydrated food mfg","1","0","0","13",
"Georgia","2001","3115  ","Dairy product mfg","14","541","19096","13",
"Georgia","2001","311999","All other miscellaneous food mfg","17","538","15986","13",
"Georgia","2001","312   ","Beverage & tobacco product mfg","60","6333","361676","13",
"Georgia","2001","3121  ","Beverage mfg","57","0","0","13",
"Georgia","2001","31211 ","Soft drink & ice mfg","42","2250","86032","13",
"Georgia","2001","312111","Soft drink mfg","15","0","0","13",
"Georgia","2001","31499 ","All other textile product mills","105","7176","182388","13",
"Georgia","2001","314991","Rope, cordage & twine mills","11","0","0","13",
"Georgia","2001","314992","Tire cord & tire fabric mills","2","0","0","13",
"Georgia","2001","314999","All other miscellaneous textile product mills","92","5895","154711","13",
"Georgia","2001","321   ","Wood product mfg","565","25479","707565","13",
"Georgia","2001","321114","Wood preservation","17","495","15475","13",
"Georgia","2001","3211  ","Sawmills & wood preservation","139","6410","189676","13",
"Georgia","2001","32111 ","Sawmills & wood preservation","139","6410","189676","13",
"Georgia","2001","321113","Sawmills","122","5915","174201","13",
"Georgia","2001","323113","Commercial screen printing","103","1620","47693","13",
"Georgia","2001","323117","Book printing","17","410","15988","13",
"Georgia","2001","323114","Quick printing","201","1147","30244","13",
"Georgia","2001","323115","Digital printing","15","0","0","13",
"Georgia","2001","323116","Manifold business form printing","26","1355","48022","13",
"Georgia","2001","325613","Surface active agent mfg","10","336","15643","13",
"Georgia","2001","32562 ","Toilet preparation mfg","23","1246","39234","13",
"Georgia","2001","325620","Toilet preparation mfg","23","1246","39234","13",
"Georgia","2001","3259  ","Other chemical product & preparation mfg","89","3732","158447","13",
"Georgia","2001","3274  ","Lime & gypsum product mfg","16","799","28653","13",
"Georgia","2001","32742 ","Gypsum product mfg","16","799","28653","13",
"Georgia","2001","327420","Gypsum product mfg","16","799","28653","13",
"Georgia","2001","3279  ","Other nonmetallic mineral product mfg","172","5811","224639","13",
