"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Delaware","2002","33232 ","Ornamental & architectural metal prod mfg","19","1070","38849","10",
"Delaware","2002","332321","Metal window & door mfg","3","239","7317","10",
"Delaware","2002","332322","Sheet metal work mfg","11","749","28505","10",
"Delaware","2002","332323","Ornamental & architectural metal work mfg","5","82","3027","10",
"Delaware","2002","3324  ","Boiler, tank & shipping container mfg","4","0","0","10",
"Delaware","2002","334210","Telephone apparatus mfg","3","0","0","10",
"Delaware","2002","33422 ","Radio, TV broadcast & wireless comm equip mfg","2","0","0","10",
"Delaware","2002","334220","Radio, TV broadcast & wireless comm equip mfg","2","0","0","10",
"Delaware","2002","3343  ","Audio & video equipment mfg","1","0","0","10",
"Delaware","2002","3379  ","Other furniture related product mfg","3","0","0","10",
"Delaware","2002","33431 ","Audio & video equipment mfg","1","0","0","10",
"Delaware","2002","337212","Custom architectural woodwork & millwork mfg","5","0","0","10",
"Delaware","2002","337214","Office furniture (except wood) mfg","3","0","0","10",
"Delaware","2002","33791 ","Mattress mfg","2","0","0","10",
"Delaware","2002","421710","Hardware whsle","19","0","0","10",
"Delaware","2002","337910","Mattress mfg","2","0","0","10",
"Delaware","2002","4217  ","Hardware, plumb & heating equip & sup whsle","60","565","21476","10",
"Delaware","2002","42171 ","Hardware whsle","19","0","0","10",
"Delaware","2002","4226  ","Chemical & allied products","58","3138","295692","10",
"Delaware","2002","42172 ","Plumbing & heating equipment & supplies whsle","17","0","0","10",
"Delaware","2002","421720","Plumbing & heating equipment & supplies whsle","17","0","0","10",
"Delaware","2002","422590","Other farm product raw material","1","0","0","10",
"Delaware","2002","42261 ","Plastics materials & basic forms, shapes whsle","17","0","0","10",
"Delaware","2002","422610","Plastics materials & basic forms, shapes whsle","17","0","0","10",
"Delaware","2002","44422 ","Nursery & garden centers","49","362","8977","10",
"Delaware","2002","42269 ","Other chemical & allied products whsle","41","0","0","10",
"Delaware","2002","44421 ","Outdoor power equipment stores","19","138","4263","10",
"Delaware","2002","444210","Outdoor power equipment stores","19","138","4263","10",
"Delaware","2002","4521  ","Department stores","38","6671","101428","10",
"Delaware","2002","444220","Nursery & garden centers","49","362","8977","10",
"Delaware","2002","445   ","Food & beverage stores","598","9242","169331","10",
"Delaware","2002","452   ","General merchandise stores","142","9760","163699","10",
"Delaware","2002","45211 ","Department stores","38","6671","101428","10",
"Delaware","2002","452110","Department stores","38","6671","101428","10",
"Delaware","2002","484230","Specialized freight (exc used) trucking, LDist","36","0","0","10",
"Delaware","2002","4529  ","Other general merchandise stores","104","3089","62271","10",
"Delaware","2002","484220","Specialized freight (exc used) trucking, local","101","0","0","10",
"Delaware","2002","48423 ","Specialized freight (exc used) trucking, LDist","36","0","0","10",
"Delaware","2002","493120","Refrigerated warehousing & storage","6","0","0","10",
"Delaware","2002","485   ","Transit & ground passenger transportation","170","2255","50219","10",
"Delaware","2002","4851  ","Urban transit systems","6","0","0","10",
