"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Florida","2009","00    ","Total for all sectors","491249","6861612","253360443","12",
"Florida","2009","11    ","Agriculture, forestry, fishing and hunting","987","13489","341483","12",
"Florida","2009","113   ","Forestry and logging","265","2278","87785","12",
"Florida","2009","1131  ","Timber tract operations","24","0","0","12",
"Florida","2009","11311 ","Timber tract operations","24","0","0","12",
"Florida","2009","113110","Timber tract operations","24","0","0","12",
"Florida","2009","1132  ","Forest nurseries and gathering of forest products","23","304","8355","12",
"Florida","2009","11321 ","Forest nurseries and gathering of forest products","23","304","8355","12",
"Florida","2009","113210","Forest nurseries and gathering of forest products","23","304","8355","12",
"Florida","2009","1133  ","Logging","218","1728","63458","12",
"Florida","2009","11331 ","Logging","218","1728","63458","12",
"Florida","2009","113310","Logging","218","1728","63458","12",
"Florida","2009","114   ","Fishing, hunting and trapping","135","216","4978","12",
"Florida","2009","1141  ","Fishing","120","167","4089","12",
"Florida","2009","11411 ","Fishing","120","167","4089","12",
"Florida","2009","114111","Finfish fishing","71","84","1723","12",
"Florida","2009","114112","Shellfish fishing","37","69","2044","12",
"Florida","2009","114119","Other marine fishing","12","0","322","12",
"Florida","2009","1142  ","Hunting and trapping","15","0","889","12",
"Florida","2009","11421 ","Hunting and trapping","15","0","889","12",
"Florida","2009","114210","Hunting and trapping","15","0","889","12",
"Florida","2009","115   ","Support activities for agriculture and forestry","587","10995","248720","12",
"Florida","2009","1151  ","Support activities for crop production","267","9598","208557","12",
"Florida","2009","11511 ","Support activities for crop production","267","9598","208557","12",
"Florida","2009","115111","Cotton ginning","2","0","0","12",
"Florida","2009","115112","Soil preparation, planting, and cultivating","74","610","22143","12",
"Florida","2009","115113","Crop harvesting, primarily by machine","24","386","8025","12",
"Florida","2009","115114","Postharvest crop activities (except cotton ginning)","71","7121","140215","12",
"Florida","2009","115115","Farm labor contractors and crew leaders","41","980","16891","12",
"Florida","2009","115116","Farm management services","55","497","21035","12",
"Florida","2009","1152  ","Support activities for animal production","275","1173","32794","12",
"Florida","2009","11521 ","Support activities for animal production","275","1173","32794","12",
"Florida","2009","115210","Support activities for animal production","275","1173","32794","12",
"Florida","2009","1153  ","Support activities for forestry","45","224","7369","12",
"Florida","2009","11531 ","Support activities for forestry","45","224","7369","12",
"Florida","2009","115310","Support activities for forestry","45","224","7369","12",
"Florida","2009","21    ","Mining, quarrying, and oil and gas extraction","265","5114","288924","12",
"Florida","2009","211   ","Oil and gas extraction","26","0","0","12",
"Florida","2009","2111  ","Oil and gas extraction","26","0","0","12",
"Florida","2009","21111 ","Oil and gas extraction","26","0","0","12",
"Florida","2009","211111","Crude petroleum and natural gas extraction","25","0","0","12",
"Florida","2009","211112","Natural gas liquid extraction","1","0","0","12",
"Florida","2009","212   ","Mining (except oil and gas)","166","4495","253223","12",
"Florida","2009","2121  ","Coal mining","2","0","0","12",
"Florida","2009","21211 ","Coal mining","2","0","0","12",
"Florida","2009","212111","Bituminous coal and lignite surface mining","1","0","0","12",
"Florida","2009","212113","Anthracite mining","1","0","0","12",
"Florida","2009","2122  ","Metal ore mining","6","152","10066","12",
"Florida","2009","21222 ","Gold ore and silver ore mining","3","3","327","12",
"Florida","2009","212221","Gold ore mining","2","0","0","12",
"Florida","2009","212222","Silver ore mining","1","0","0","12",
"Florida","2009","21229 ","Other metal ore mining","3","0","0","12",
"Florida","2009","212299","All other metal ore mining","3","0","0","12",
"Florida","2009","2123  ","Nonmetallic mineral mining and quarrying","158","4337","242412","12",
"Florida","2009","21231 ","Stone mining and quarrying","78","1341","59187","12",
"Florida","2009","212311","Dimension stone mining and quarrying","14","88","3261","12",
"Florida","2009","212312","Crushed and broken limestone mining and quarrying","50","1149","52251","12",
