"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Georgia","2011","00    ","Total for all sectors","214635","3328033","141481314","13",
"Georgia","2011","11    ","Agriculture, forestry, fishing and hunting","948","7361","256798","13",
"Georgia","2011","238340","Tile and terrazzo contractors","154","788","27070","13",
"Georgia","2011","113   ","Forestry and logging","575","4337","156876","13",
"Georgia","2011","1131  ","Timber tract operations","44","0","6282","13",
"Georgia","2011","11311 ","Timber tract operations","44","0","6282","13",
"Georgia","2011","114111","Finfish fishing","1","0","0","13",
"Georgia","2011","113110","Timber tract operations","44","0","6282","13",
"Georgia","2011","1132  ","Forest nurseries and gathering of forest products","17","62","2566","13",
"Georgia","2011","11321 ","Forest nurseries and gathering of forest products","17","62","2566","13",
"Georgia","2011","113210","Forest nurseries and gathering of forest products","17","62","2566","13",
"Georgia","2011","1133  ","Logging","514","4105","148028","13",
"Georgia","2011","11331 ","Logging","514","4105","148028","13",
"Georgia","2011","113310","Logging","514","4105","148028","13",
"Georgia","2011","114   ","Fishing, hunting and trapping","31","151","2703","13",
"Georgia","2011","1141  ","Fishing","7","0","188","13",
"Georgia","2011","11411 ","Fishing","7","0","188","13",
"Georgia","2011","114112","Shellfish fishing","5","0","173","13",
"Georgia","2011","115114","Postharvest crop activities (except cotton ginning)","48","791","25929","13",
"Georgia","2011","114119","Other marine fishing","1","0","0","13",
"Georgia","2011","1142  ","Hunting and trapping","24","140","2515","13",
"Georgia","2011","11421 ","Hunting and trapping","24","140","2515","13",
"Georgia","2011","114210","Hunting and trapping","24","140","2515","13",
"Georgia","2011","115   ","Support activities for agriculture and forestry","342","2873","97219","13",
"Georgia","2011","1151  ","Support activities for crop production","140","1918","65227","13",
"Georgia","2011","11511 ","Support activities for crop production","140","1918","65227","13",
"Georgia","2011","115111","Cotton ginning","35","643","26681","13",
"Georgia","2011","115112","Soil preparation, planting, and cultivating","45","195","6152","13",
"Georgia","2011","115113","Crop harvesting, primarily by machine","2","0","0","13",
"Georgia","2011","115115","Farm labor contractors and crew leaders","4","0","0","13",
"Georgia","2011","115116","Farm management services","6","0","0","13",
"Georgia","2011","1152  ","Support activities for animal production","89","239","6088","13",
"Georgia","2011","11521 ","Support activities for animal production","89","239","6088","13",
"Georgia","2011","115210","Support activities for animal production","89","239","6088","13",
"Georgia","2011","1153  ","Support activities for forestry","113","716","25904","13",
"Georgia","2011","212312","Crushed and broken limestone mining and quarrying","10","174","7577","13",
"Georgia","2011","11531 ","Support activities for forestry","113","716","25904","13",
"Georgia","2011","115310","Support activities for forestry","113","716","25904","13",
"Georgia","2011","21    ","Mining, quarrying, and oil and gas extraction","199","5001","287009","13",
"Georgia","2011","211   ","Oil and gas extraction","3","0","0","13",
"Georgia","2011","2111  ","Oil and gas extraction","3","0","0","13",
"Georgia","2011","21111 ","Oil and gas extraction","3","0","0","13",
"Georgia","2011","212325","Clay and ceramic and refractory minerals mining","5","304","12973","13",
"Georgia","2011","211111","Crude petroleum and natural gas extraction","3","0","0","13",
"Georgia","2011","21239 ","Other nonmetallic mineral mining and quarrying","5","139","6776","13",
"Georgia","2011","212   ","Mining (except oil and gas)","160","4617","253382","13",
"Georgia","2011","212393","Other chemical and fertilizer mineral mining","1","0","0","13",
"Georgia","2011","2123  ","Nonmetallic mineral mining and quarrying","160","4617","253382","13",
"Georgia","2011","21231 ","Stone mining and quarrying","112","2049","98993","13",
"Georgia","2011","212311","Dimension stone mining and quarrying","27","348","15824","13",
"Georgia","2011","212313","Crushed and broken granite mining and quarrying","70","1328","65494","13",
"Georgia","2011","212319","Other crushed and broken stone mining and quarrying","5","0","0","13",
"Georgia","2011","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","43","0","0","13",
"Georgia","2011","212321","Construction sand and gravel mining","17","140","4775","13",
"Georgia","2011","212322","Industrial sand mining","5","0","2940","13",
"Georgia","2011","212324","Kaolin and ball clay mining","16","0","0","13",
"Georgia","2011","212399","All other nonmetallic mineral mining","4","105","5001","13",
"Georgia","2011","221119","Other electric power generation","6","0","2672","13",
"Georgia","2011","213   ","Support activities for mining","36","0","0","13",
"Georgia","2011","2131  ","Support activities for mining","36","0","0","13",
"Georgia","2011","21311 ","Support activities for mining","36","0","0","13",
"Georgia","2011","213111","Drilling oil and gas wells","12","0","1691","13",
"Georgia","2011","213112","Support activities for oil and gas operations","8","0","0","13",
"Georgia","2011","213113","Support activities for coal mining","1","0","0","13",
"Georgia","2011","213114","Support activities for metal mining","4","0","0","13",
"Georgia","2011","213115","Support activities for nonmetallic minerals (except fuels) mining","11","207","9086","13",
"Georgia","2011","22    ","Utilities","586","24557","2033914","13",
