"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Guam","2009","00    ","Total for all sectors","3235","50270","1185524","66",
"Guam","2009","11    ","Agriculture, forestry, fishing and hunting","3","0","0","66",
"Guam","2009","114   ","Fishing, hunting and trapping","2","0","0","66",
"Guam","2009","1141  ","Fishing","2","0","0","66",
"Guam","2009","11411 ","Fishing","2","0","0","66",
"Guam","2009","114111","Finfish fishing","2","0","0","66",
"Guam","2009","115   ","Support activities for agriculture and forestry","1","0","0","66",
"Guam","2009","1153  ","Support activities for forestry","1","0","0","66",
"Guam","2009","11531 ","Support activities for forestry","1","0","0","66",
"Guam","2009","115310","Support activities for forestry","1","0","0","66",
"Guam","2009","22    ","Utilities","7","57","2846","66",
"Guam","2009","221   ","Utilities","7","57","2846","66",
"Guam","2009","2211  ","Electric power generation, transmission and distribution","3","11","587","66",
"Guam","2009","22111 ","Electric power generation","3","11","587","66",
"Guam","2009","221111","Hydroelectric power generation","1","0","0","66",
"Guam","2009","221112","Fossil fuel electric power generation","1","0","0","66",
"Guam","2009","221119","Other electric power generation","1","0","0","66",
"Guam","2009","2212  ","Natural gas distribution","2","0","0","66",
"Guam","2009","22121 ","Natural gas distribution","2","0","0","66",
"Guam","2009","221210","Natural gas distribution","2","0","0","66",
"Guam","2009","2213  ","Water, sewage and other systems","2","0","0","66",
"Guam","2009","22131 ","Water supply and irrigation systems","1","0","0","66",
"Guam","2009","221310","Water supply and irrigation systems","1","0","0","66",
"Guam","2009","22133 ","Steam and air-conditioning supply","1","0","0","66",
"Guam","2009","221330","Steam and air-conditioning supply","1","0","0","66",
"Guam","2009","23    ","Construction","328","5552","120225","66",
"Guam","2009","236   ","Construction of buildings","179","3748","74066","66",
"Guam","2009","2361  ","Residential building construction","136","1538","20275","66",
"Guam","2009","23611 ","Residential building construction","136","1538","20275","66",
"Guam","2009","236115","New single-family housing construction (except operative builders)","48","430","7208","66",
"Guam","2009","236116","New multifamily housing construction (except operative builders)","4","0","0","66",
"Guam","2009","236117","New housing operative builders","12","0","2739","66",
"Guam","2009","236118","Residential remodelers","72","697","9728","66",
"Guam","2009","2362  ","Nonresidential building construction","43","2210","53791","66",
"Guam","2009","23621 ","Industrial building construction","4","0","0","66",
"Guam","2009","236210","Industrial building construction","4","0","0","66",
"Guam","2009","23622 ","Commercial and institutional building construction","39","2058","50750","66",
"Guam","2009","236220","Commercial and institutional building construction","39","2058","50750","66",
"Guam","2009","237   ","Heavy and civil engineering construction","30","600","16727","66",
"Guam","2009","2371  ","Utility system construction","10","224","3880","66",
"Guam","2009","23711 ","Water and sewer line and related structures construction","8","206","3380","66",
"Guam","2009","237110","Water and sewer line and related structures construction","8","206","3380","66",
"Guam","2009","23713 ","Power and communication line and related structures construction","2","0","0","66",
"Guam","2009","237130","Power and communication line and related structures construction","2","0","0","66",
"Guam","2009","2372  ","Land subdivision","5","0","0","66",
"Guam","2009","23721 ","Land subdivision","5","0","0","66",
"Guam","2009","237210","Land subdivision","5","0","0","66",
"Guam","2009","2373  ","Highway, street, and bridge construction","12","314","10244","66",
"Guam","2009","23731 ","Highway, street, and bridge construction","12","314","10244","66",
"Guam","2009","237310","Highway, street, and bridge construction","12","314","10244","66",
"Guam","2009","2379  ","Other heavy and civil engineering construction","3","0","0","66",
"Guam","2009","23799 ","Other heavy and civil engineering construction","3","0","0","66",
"Guam","2009","237990","Other heavy and civil engineering construction","3","0","0","66",
"Guam","2009","238   ","Specialty trade contractors","119","1204","29432","66",
"Guam","2009","2381  ","Foundation, structure, and building exterior contractors","24","375","10695","66",
"Guam","2009","23811 ","Poured concrete foundation and structure contractors","6","0","0","66",
"Guam","2009","238110","Poured concrete foundation and structure contractors","6","0","0","66",
"Guam","2009","23812 ","Structural steel and precast concrete contractors","1","0","0","66",
"Guam","2009","238120","Structural steel and precast concrete contractors","1","0","0","66",
"Guam","2009","23813 ","Framing contractors","2","0","0","66",
"Guam","2009","238130","Framing contractors","2","0","0","66",
"Guam","2009","23814 ","Masonry contractors","6","0","554","66",
"Guam","2009","238140","Masonry contractors","6","0","554","66",
"Guam","2009","23816 ","Roofing contractors","6","0","0","66",
"Guam","2009","238160","Roofing contractors","6","0","0","66",
"Guam","2009","23819 ","Other foundation, structure, and building exterior contractors","3","0","0","66",
"Guam","2009","238190","Other foundation, structure, and building exterior contractors","3","0","0","66",
"Guam","2009","2382  ","Building equipment contractors","56","499","11410","66",
"Guam","2009","23821 ","Electrical contractors and other wiring installation contractors","22","159","3461","66",
"Guam","2009","238210","Electrical contractors and other wiring installation contractors","22","159","3461","66",
"Guam","2009","23822 ","Plumbing, heating, and air-conditioning contractors","27","205","4639","66",
"Guam","2009","238220","Plumbing, heating, and air-conditioning contractors","27","205","4639","66",
"Guam","2009","23829 ","Other building equipment contractors","7","0","0","66",
"Guam","2009","238290","Other building equipment contractors","7","0","0","66",
"Guam","2009","2383  ","Building finishing contractors","20","204","4294","66",
"Guam","2009","23831 ","Drywall and insulation contractors","6","65","2228","66",
"Guam","2009","238310","Drywall and insulation contractors","6","65","2228","66",
"Guam","2009","23832 ","Painting and wall covering contractors","3","0","448","66",
"Guam","2009","238320","Painting and wall covering contractors","3","0","448","66",
"Guam","2009","23833 ","Flooring contractors","1","0","0","66",
"Guam","2009","238330","Flooring contractors","1","0","0","66",
"Guam","2009","23834 ","Tile and terrazzo contractors","4","0","0","66",
"Guam","2009","238340","Tile and terrazzo contractors","4","0","0","66",
"Guam","2009","23835 ","Finish carpentry contractors","3","19","302","66",
"Guam","2009","238350","Finish carpentry contractors","3","19","302","66",
"Guam","2009","23839 ","Other building finishing contractors","3","0","0","66",
"Guam","2009","238390","Other building finishing contractors","3","0","0","66",
"Guam","2009","2389  ","Other specialty trade contractors","19","0","3033","66",
"Guam","2009","23891 ","Site preparation contractors","10","0","1525","66",
"Guam","2009","238910","Site preparation contractors","10","0","1525","66",
"Guam","2009","23899 ","All other specialty trade contractors","9","44","1508","66",
"Guam","2009","238990","All other specialty trade contractors","9","44","1508","66",
"Guam","2009","31-33 ","Manufacturing","56","1377","41925","66",
"Guam","2009","311   ","Food manufacturing","15","332","7108","66",
"Guam","2009","3111  ","Animal food manufacturing","1","0","0","66",
"Guam","2009","31111 ","Animal food manufacturing","1","0","0","66",
"Guam","2009","311119","Other animal food manufacturing","1","0","0","66",
"Guam","2009","3115  ","Dairy product manufacturing","2","0","0","66",
"Guam","2009","31151 ","Dairy product (except frozen) manufacturing","1","0","0","66",
"Guam","2009","311511","Fluid milk manufacturing","1","0","0","66",
"Guam","2009","31152 ","Ice cream and frozen dessert manufacturing","1","0","0","66",
"Guam","2009","311520","Ice cream and frozen dessert manufacturing","1","0","0","66",
"Guam","2009","3116  ","Animal slaughtering and processing","1","0","0","66",
"Guam","2009","31161 ","Animal slaughtering and processing","1","0","0","66",
"Guam","2009","311612","Meat processed from carcasses","1","0","0","66",
"Guam","2009","3117  ","Seafood product preparation and packaging","1","0","0","66",
"Guam","2009","31171 ","Seafood product preparation and packaging","1","0","0","66",
"Guam","2009","311712","Fresh and frozen seafood processing","1","0","0","66",
"Guam","2009","3118  ","Bakeries and tortilla manufacturing","9","0","0","66",
"Guam","2009","31181 ","Bread and bakery product manufacturing","7","0","0","66",
"Guam","2009","311811","Retail bakeries","5","0","0","66",
"Guam","2009","311812","Commercial bakeries","2","0","0","66",
"Guam","2009","31182 ","Cookie, cracker, and pasta manufacturing","2","0","0","66",
"Guam","2009","311821","Cookie and cracker manufacturing","2","0","0","66",
"Guam","2009","3119  ","Other food manufacturing","1","0","0","66",
"Guam","2009","31199 ","All other food manufacturing","1","0","0","66",
"Guam","2009","311991","Perishable prepared food manufacturing","1","0","0","66",
"Guam","2009","312   ","Beverage and tobacco product manufacturing","5","42","650","66",
"Guam","2009","3121  ","Beverage manufacturing","5","42","650","66",
"Guam","2009","31211 ","Soft drink and ice manufacturing","5","42","650","66",
"Guam","2009","312112","Bottled water manufacturing","4","38","603","66",
"Guam","2009","312113","Ice manufacturing","1","0","0","66",
"Guam","2009","313   ","Textile mills","1","0","0","66",
"Guam","2009","3133  ","Textile and fabric finishing and fabric coating mills","1","0","0","66",
"Guam","2009","31331 ","Textile and fabric finishing mills","1","0","0","66",
"Guam","2009","313312","Textile and fabric finishing (except broadwoven fabric) mills","1","0","0","66",
"Guam","2009","314   ","Textile product mills","1","0","0","66",
"Guam","2009","3149  ","Other textile product mills","1","0","0","66",
"Guam","2009","31499 ","All other textile product mills","1","0","0","66",
"Guam","2009","314999","All other miscellaneous textile product mills","1","0","0","66",
"Guam","2009","321   ","Wood product manufacturing","1","0","0","66",
"Guam","2009","3219  ","Other wood product manufacturing","1","0","0","66",
"Guam","2009","32191 ","Millwork","1","0","0","66",
"Guam","2009","321912","Cut stock, resawing lumber, and planing","1","0","0","66",
"Guam","2009","323   ","Printing and related support activities","17","137","2460","66",
"Guam","2009","3231  ","Printing and related support activities","17","137","2460","66",
"Guam","2009","32311 ","Printing","15","133","2375","66",
"Guam","2009","323110","Commercial lithographic printing","4","0","0","66",
"Guam","2009","323111","Commercial gravure printing","1","0","0","66",
"Guam","2009","323113","Commercial screen printing","5","0","376","66",
