"NAME","YEAR","NAICS2017","NAICS2017_LABEL","ESTAB","EMP","PAYANN","state",
"Guam","2017","237","Heavy and civil engineering construction","26","664","28988","66",
"Guam","2017","2371","Utility system construction","9","152","7064","66",
"Guam","2017","23711","Water and sewer line and related structures construction","5","53","2660","66",
"Guam","2017","237110","Water and sewer line and related structures construction","5","53","2660","66",
"Guam","2017","23713","Power and communication line and related structures construction","3","87","2751","66",
"Guam","2017","237130","Power and communication line and related structures construction","3","87","2751","66",
"Guam","2017","2372","Land subdivision","3","0","0","66",
"Guam","2017","23721","Land subdivision","3","0","0","66",
"Guam","2017","237210","Land subdivision","3","0","0","66",
"Guam","2017","2373","Highway, street, and bridge construction","12","400","15991","66",
"Guam","2017","42441","General line grocery merchant wholesalers","16","539","13455","66",
"Guam","2017","424410","General line grocery merchant wholesalers","16","539","13455","66",
"Guam","2017","42445","Confectionery merchant wholesalers","6","18","497","66",
"Guam","2017","424450","Confectionery merchant wholesalers","6","18","497","66",
"Guam","2017","42446","Fish and seafood merchant wholesalers","6","119","1711","66",
"Guam","2017","424460","Fish and seafood merchant wholesalers","6","119","1711","66",
"Guam","2017","42449","Other grocery and related products merchant wholesalers","13","252","7251","66",
"Guam","2017","23731","Highway, street, and bridge construction","12","400","15991","66",
"Guam","2017","237310","Highway, street, and bridge construction","12","400","15991","66",
"Guam","2017","238","Specialty trade contractors","161","1493","35589","66",
"Guam","2017","424490","Other grocery and related products merchant wholesalers","13","252","7251","66",
"Guam","2017","4245","Farm product raw material merchant wholesalers","4","56","842","66",
"Guam","2017","4246","Chemical and allied products merchant wholesalers","7","51","1653","66",
"Guam","2017","42469","Other chemical and allied products merchant wholesalers","7","51","1653","66",
"Guam","2017","424690","Other chemical and allied products merchant wholesalers","7","51","1653","66",
"Guam","2017","4247","Petroleum and petroleum products merchant wholesalers","7","200","11901","66",
"Guam","2017","42472","Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals) ","6","185","11090","66",
"Guam","2017","424720","Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals) ","6","185","11090","66",
"Guam","2017","4248","Beer, wine, and distilled alcoholic beverage merchant wholesalers","8","311","9928","66",
"Guam","2017","4452","Specialty food stores","26","163","2221","66",
"Guam","2017","44521","Meat markets","3","40","422","66",
"Guam","2017","445210","Meat markets","3","40","422","66",
"Guam","2017","44522","Fish and seafood markets","5","17","471","66",
"Guam","2017","445220","Fish and seafood markets","5","17","471","66",
"Guam","2017","44523","Fruit and vegetable markets","3","13","215","66",
"Guam","2017","445230","Fruit and vegetable markets","3","13","215","66",
"Guam","2017","44529","Other specialty food stores","15","93","1113","66",
"Guam","2017","2381","Foundation, structure, and building exterior contractors","30","179","3840","66",
"Guam","2017","23811","Poured concrete foundation and structure contractors","3","8","209","66",
"Guam","2017","238110","Poured concrete foundation and structure contractors","3","8","209","66",
"Guam","2017","23813","Framing contractors","4","29","1028","66",
"Guam","2017","238130","Framing contractors","4","29","1028","66",
"Guam","2017","23814","Masonry contractors","14","65","912","66",
"Guam","2017","238140","Masonry contractors","14","65","912","66",
"Guam","2017","23816","Roofing contractors","7","62","1251","66",
"Guam","2017","238160","Roofing contractors","7","62","1251","66",
"Guam","2017","42482","Wine and distilled alcoholic beverage merchant wholesalers","6","48","1230","66",
"Guam","2017","424820","Wine and distilled alcoholic beverage merchant wholesalers","6","48","1230","66",
"Guam","2017","4249","Miscellaneous nondurable goods merchant wholesalers","18","333","8640","66",
"Guam","2017","42493","Flower, nursery stock, and florists' supplies merchant wholesalers","4","0","0","66",
"Guam","2017","424930","Flower, nursery stock, and florists' supplies merchant wholesalers","4","0","0","66",
"Guam","2017","42499","Other miscellaneous nondurable goods merchant wholesalers","8","83","1545","66",
"Guam","2017","424990","Other miscellaneous nondurable goods merchant wholesalers","8","83","1545","66",
"Guam","2017","4251","Wholesale electronic markets and agents and brokers","6","13","480","66",
"Guam","2017","425","Wholesale electronic markets and agents and brokers","6","13","480","66",
"Guam","2017","42512","Wholesale trade agents and brokers","6","13","480","66",
"Guam","2017","445291","Baked goods stores","10","76","880","66",
"Guam","2017","445299","All other specialty food stores","4","16","222","66",
"Guam","2017","4453","Beer, wine, and liquor stores","9","214","4216","66",
"Guam","2017","44531","Beer, wine, and liquor stores","9","214","4216","66",
"Guam","2017","445310","Beer, wine, and liquor stores","9","214","4216","66",
"Guam","2017","446","Health and personal care stores","45","386","10383","66",
"Guam","2017","2382","Building equipment contractors","93","961","23664","66",
"Guam","2017","23821","Electrical contractors and other wiring installation contractors","35","554","13398","66",
"Guam","2017","425120","Wholesale trade agents and brokers","6","13","480","66",
"Guam","2017","44-45","Retail trade","697","10149","233510","66",
"Guam","2017","441","Motor vehicle and parts dealers","49","1105","38956","66",
"Guam","2017","4461","Health and personal care stores","45","386","10383","66",
"Guam","2017","44611","Pharmacies and drug stores","17","166","6587","66",
"Guam","2017","446110","Pharmacies and drug stores","17","166","6587","66",
"Guam","2017","238210","Electrical contractors and other wiring installation contractors","35","554","13398","66",
"Guam","2017","23822","Plumbing, heating, and air-conditioning contractors","56","387","9699","66",
"Guam","2017","4411","Automobile dealers","13","792","29840","66",
"Guam","2017","44111","New car dealers","9","606","23848","66",
"Guam","2017","441110","New car dealers","9","606","23848","66",
"Guam","2017","44112","Used car dealers","4","186","5992","66",
"Guam","2017","441120","Used car dealers","4","186","5992","66",
"Guam","2017","4412","Other motor vehicle dealers","4","37","634","66",
"Guam","2017","44122","Motorcycle, boat, and other motor vehicle dealers","4","37","634","66",
"Guam","2017","441228","Motorcycle, ATV, and all other motor vehicle dealers","3","28","237","66",
"Guam","2017","4413","Automotive parts, accessories, and tire stores","32","276","8482","66",
"Guam","2017","44612","Cosmetics, beauty supplies, and perfume stores","8","43","872","66",
"Guam","2017","446120","Cosmetics, beauty supplies, and perfume stores","8","43","872","66",
"Guam","2017","44613","Optical goods stores","6","52","611","66",
"Guam","2017","446130","Optical goods stores","6","52","611","66",
"Guam","2017","44619","Other health and personal care stores","14","125","2313","66",
"Guam","2017","446191","Food (health) supplement stores","12","96","1733","66",
"Guam","2017","447","Gasoline stations","42","542","10380","66",
"Guam","2017","238220","Plumbing, heating, and air-conditioning contractors","56","387","9699","66",
"Guam","2017","2383","Building finishing contractors","20","159","4164","66",
"Guam","2017","23832","Painting and wall covering contractors","12","67","2485","66",
"Guam","2017","238320","Painting and wall covering contractors","12","67","2485","66",
"Guam","2017","44131","Automotive parts and accessories stores","23","221","6660","66",
"Guam","2017","441310","Automotive parts and accessories stores","23","221","6660","66",
