"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Hawaii","2000","7115  ","Independent artists, writers & performers","35","93","3308","15",
"Hawaii","2000","71151 ","Independent artists, writers & performers","35","93","3308","15",
"Hawaii","2000","711510","Independent artists, writers & performers","35","93","3308","15",
"Hawaii","2000","712   ","Museums, historical sites & like institutions","51","2114","36441","15",
"Hawaii","2000","7211  ","Traveler accommodation","273","0","0","15",
"Hawaii","2000","72111 ","Hotels (exc casino hotels) & motels","257","35004","982819","15",
"Hawaii","2000","721110","Hotels (exc casino hotels) & motels","257","35004","982819","15",
"Hawaii","2000","811121","Automotive body, paint & interior R&M","136","892","25746","15",
"Hawaii","2000","72119 ","Other traveler accommodation","16","0","0","15",
"Hawaii","2000","811118","Other automotive mechanical & electrical R&M","33","128","4096","15",
"Hawaii","2000","81112 ","Automotive body, paint, interior & glass repair","152","966","28125","15",
"Hawaii","2000","811122","Automotive glass replacement shops","16","74","2379","15",
"Hawaii","2000","81119 ","Other automotive R&M","60","528","13053","15",
"Hawaii","2000","11521 ","Animal production support activities","7","0","0","15",
"Hawaii","2000","115210","Animal production support activities","7","0","0","15",
"Hawaii","2000","1153  ","Forestry support activities","2","0","0","15",
"Hawaii","2000","11531 ","Forestry support activities","2","0","0","15",
"Hawaii","2000","2213  ","Water, sewage & other systems","20","0","0","15",
"Hawaii","2000","115310","Forestry support activities","2","0","0","15",
"Hawaii","2000","22121 ","Natural gas distribution","6","0","0","15",
"Hawaii","2000","221210","Natural gas distribution","6","0","0","15",
"Hawaii","2000","22131 ","Water supply & irrigation systems","8","0","0","15",
"Hawaii","2000","234990","All other heavy construction","48","792","39826","15",
"Hawaii","2000","221310","Water supply & irrigation systems","8","0","0","15",
"Hawaii","2000","234930","Industrial nonbuilding structure construction","2","0","0","15",
"Hawaii","2000","23499 ","All other heavy construction","48","792","39826","15",
"Hawaii","2000","235   ","Special trade contractors","1472","12520","500823","15",
"Hawaii","2000","235910","Structural steel erection contractors","17","243","12967","15",
"Hawaii","2000","235810","Water well drilling contractors","3","30","1379","15",
"Hawaii","2000","2359  ","Other special trade contractors","248","2130","85108","15",
"Hawaii","2000","23591 ","Structural steel erection contractors","17","243","12967","15",
"Hawaii","2000","23592 ","Glass & glazing contractors","39","183","7107","15",
"Hawaii","2000","2351  ","Plumbing, heating & AC contractor","276","2313","94524","15",
"Hawaii","2000","23511 ","Plumbing, heating & AC contractor","276","2313","94524","15",
"Hawaii","2000","235110","Plumbing, heating & AC contractor","276","2313","94524","15",
"Hawaii","2000","2352  ","Painting & wall covering contractors","164","1233","46453","15",
"Hawaii","2000","235930","Excavation contractors","56","338","8993","15",
"Hawaii","2000","23521 ","Painting & wall covering contractors","164","1233","46453","15",
"Hawaii","2000","235920","Glass & glazing contractors","39","183","7107","15",
"Hawaii","2000","23593 ","Excavation contractors","56","338","8993","15",
"Hawaii","2000","23594 ","Wrecking & demolition contractors","6","172","4680","15",
"Hawaii","2000","235940","Wrecking & demolition contractors","6","172","4680","15",
"Hawaii","2000","311412","Frozen specialty food mfg","3","0","0","15",
"Hawaii","2000","3114  ","Fruit & veg preserving & specialty food mfg","23","0","0","15",
"Hawaii","2000","31141 ","Frozen food mfg","5","0","0","15",
"Hawaii","2000","311411","Frozen fruit, juice & vegetable mfg","2","0","0","15",
"Hawaii","2000","31142 ","Fruit & veg canning, pickling & drying","18","0","0","15",
"Hawaii","2000","31191 ","Snack food mfg","11","575","17278","15",
"Hawaii","2000","31183 ","Tortilla mfg","2","0","0","15",
"Hawaii","2000","311830","Tortilla mfg","2","0","0","15",
"Hawaii","2000","3119  ","Other food mfg","63","1649","36804","15",
"Hawaii","2000","311911","Roasted nuts & peanut butter mfg","4","0","0","15",
"Hawaii","2000","313320","Fabric coating mills","1","0","0","15",
"Hawaii","2000","31331 ","Textile & fabric finishing mills","4","0","0","15",
"Hawaii","2000","313311","Broadwoven fabric finishing mills","4","0","0","15",
"Hawaii","2000","31332 ","Fabric coating mills","1","0","0","15",
"Hawaii","2000","31599 ","Apparel accessories & other apparel mfg","11","0","0","15",
"Hawaii","2000","314   ","Textile product mills","19","0","0","15",
"Hawaii","2000","315299","All other cut & sew apparel mfg","2","0","0","15",
"Hawaii","2000","3159  ","Apparel accessories & other apparel mfg","11","0","0","15",
"Hawaii","2000","315991","Hat, cap & millinery mfg","3","0","0","15",
"Hawaii","2000","315993","Men's & boys' neckwear mfg","1","0","0","15",
"Hawaii","2000","322222","Coated & laminated paper mfg","1","0","0","15",
"Hawaii","2000","322215","Nonfolding sanitary food container mfg","1","0","0","15",
"Hawaii","2000","32222 ","Paper bag & coated & treated paper mfg","2","0","0","15",
"Hawaii","2000","322221","Coated & lamnd pkg paper & plastics film mfg","1","0","0","15",
"Hawaii","2000","323   ","Printing & related support activities","111","1312","39710","15",
"Hawaii","2000","3254  ","Pharmaceutical & medicine mfg","1","0","0","15",
"Hawaii","2000","32531 ","Fertilizer mfg","3","0","0","15",
"Hawaii","2000","325311","Nitrogenous fertilizer mfg","2","0","0","15",
"Hawaii","2000","325314","Fertilizer (mixing only) mfg","1","0","0","15",
"Hawaii","2000","32541 ","Pharmaceutical & medicine mfg","1","0","0","15",
"Hawaii","2000","326212","Tire retreading","3","0","0","15",
"Hawaii","2000","326199","All other plastics product mfg","7","0","0","15",
"Hawaii","2000","3262  ","Rubber product mfg","4","0","0","15",
"Hawaii","2000","32621 ","Tire mfg","3","0","0","15",
"Hawaii","2000","32629 ","Other rubber product mfg","1","0","0","15",
"Hawaii","2000","314129","Other household textile product mills","2","0","0","15",
"Hawaii","2000","3141  ","Textile furnishings mills","10","0","0","15",
"Hawaii","2000","31412 ","Curtain & linen mills","10","0","0","15",
"Hawaii","2000","314121","Curtain & drapery mills","8","0","0","15",
"Hawaii","2000","3149  ","Other textile product mills","9","0","0","15",
"Hawaii","2000","31621 ","Footwear mfg","4","0","0","15",
"Hawaii","2000","315999","Other apparel accessories & other apparel mfg","7","0","0","15",
"Hawaii","2000","316   ","Leather & allied product mfg","4","0","0","15",
"Hawaii","2000","3162  ","Footwear mfg","4","0","0","15",
"Hawaii","2000","316211","Rubber & plastics footwear mfg","1","0","0","15",
"Hawaii","2000","323111","Commercial gravure printing","3","0","0","15",
"Hawaii","2000","3231  ","Printing & related support activities","111","1312","39710","15",
"Hawaii","2000","32311 ","Printing","102","0","0","15",
"Hawaii","2000","323110","Commercial lithographic printing","49","681","23788","15",
"Hawaii","2000","323113","Commercial screen printing","18","183","4135","15",
"Hawaii","2000","325611","Soap & other detergent mfg","3","0","0","15",
"Hawaii","2000","325413","In-vitro diagnostic substance mfg","1","0","0","15",
"Hawaii","2000","3256  ","Soap, cleaners & toilet preparation mfg","11","0","0","15",
"Hawaii","2000","32561 ","Soap & cleaning compound mfg","3","0","0","15",
"Hawaii","2000","32562 ","Toilet preparation mfg","8","0","0","15",
"Hawaii","2000","32711 ","Pottery, ceramics & plumbing fixture mfg","6","26","320","15",
"Hawaii","2000","326299","All other rubber product mfg","1","0","0","15",
"Hawaii","2000","327   ","Nonmetallic mineral product mfg","47","793","37225","15",
"Hawaii","2000","3271  ","Clay product & refractory mfg","6","26","320","15",
"Hawaii","2000","327112","Vitreous china & other pottery product mfg","6","26","320","15",
"Hawaii","2000","3323  ","Architectural & structural metals mfg","16","272","9402","15",
"Hawaii","2000","3322  ","Cutlery & handtool mfg","2","0","0","15",
"Hawaii","2000","33221 ","Cutlery & handtool mfg","2","0","0","15",
"Hawaii","2000","332212","Hand & edge tool mfg","2","0","0","15",
"Hawaii","2000","33231 ","Plate work & fabricated structural prod mfg","2","0","0","15",
"Hawaii","2000","333294","Food product machinery mfg","3","0","0","15",
"Hawaii","2000","333   ","Machinery mfg","13","0","0","15",
"Hawaii","2000","3332  ","Industrial machinery mfg","3","0","0","15",
"Hawaii","2000","33329 ","Other industrial machinery mfg","3","0","0","15",
"Hawaii","2000","3333  ","Commercial & service industry machinery mfg","5","0","0","15",
"Hawaii","2000","33451 ","Nav, measuring, medical, control instruments mfg","3","0","0","15",
"Hawaii","2000","33441 ","Semiconductor & oth electronic component mfg","1","0","0","15",
"Hawaii","2000","334413","Semiconductor & related device mfg","1","0","0","15",
"Hawaii","2000","3345  ","Nav, measuring, medical, control instruments mfg","3","0","0","15",
"Hawaii","2000","334511","Search, detection & navigation instrument mfg","1","0","0","15",
"Hawaii","2000","33661 ","Ship & boat building","17","0","0","15",
"Hawaii","2000","3371  ","HH & institutional furniture & kitchen cabinet mfg","32","0","0","15",
"Hawaii","2000","336611","Ship building & repairing","9","0","0","15",
"Hawaii","2000","336612","Boat building","8","0","0","15",
"Hawaii","2000","337   ","Furniture & related product mfg","43","377","11505","15",
"Hawaii","2000","339913","Jewelers' material & lapidary work mfg","3","0","0","15",
"Hawaii","2000","33994 ","Office supplies (exc paper) mfg","2","0","0","15",
"Hawaii","2000","339914","Costume jewelry & novelty mfg","4","0","0","15",
"Hawaii","2000","33992 ","Sporting & athletic goods mfg","16","0","0","15",
"Hawaii","2000","339920","Sporting & athletic goods mfg","16","0","0","15",
"Hawaii","2000","42133 ","Roofing, siding & insulation material whsle","7","0","0","15",
"Hawaii","2000","421310","Lumber, plywood, millwork & wood panel whsle","41","290","11679","15",
"Hawaii","2000","42132 ","Brick & related construction material whsle","15","0","0","15",
"Hawaii","2000","421320","Brick & related construction material whsle","15","0","0","15",
"Hawaii","2000","42162 ","Electric appliance, TV, radio set whsle","29","308","12517","15",
"Hawaii","2000","421620","Electric appliance, TV, radio set whsle","29","308","12517","15",
"Hawaii","2000","42169 ","Other electronic parts & equipment whsle","50","360","15077","15",
"Hawaii","2000","421690","Other electronic parts & equipment whsle","50","360","15077","15",
"Hawaii","2000","3273  ","Cement & concrete product mfg","31","679","34239","15",
"Hawaii","2000","3272  ","Glass & glass product mfg","4","17","773","15",
"Hawaii","2000","32721 ","Glass & glass product mfg","4","17","773","15",
"Hawaii","2000","327215","Glass product mfg made of purchased glass","4","17","773","15",
"Hawaii","2000","32731 ","Cement mfg","1","0","0","15",
"Hawaii","2000","332321","Metal window & door mfg","8","0","0","15",
"Hawaii","2000","332312","Fabricated structural metal mfg","1","0","0","15",
"Hawaii","2000","332313","Plate work mfg","1","0","0","15",
"Hawaii","2000","33232 ","Ornamental & architectural metal prod mfg","14","0","0","15",
"Hawaii","2000","332322","Sheet metal work mfg","5","159","5495","15",
"Hawaii","2000","333319","Oth commercial, service industry machinery mfg","2","0","0","15",
"Hawaii","2000","33331 ","Commercial & service industry machinery mfg","5","0","0","15",
"Hawaii","2000","333314","Optical instrument & lens mfg","1","0","0","15",
"Hawaii","2000","333315","Photographic & photocopying equipment mfg","2","0","0","15",
"Hawaii","2000","3334  ","HVAC & commercial refrigeration equipment mfg","2","0","0","15",
"Hawaii","2000","33461 ","Mfg & reproducing magnetic & optical media","2","0","0","15",
"Hawaii","2000","334515","Electricity measuring, testing instrument mfg","1","0","0","15",
"Hawaii","2000","334518","Watch, clock & part mfg","1","0","0","15",
"Hawaii","2000","3346  ","Mfg & reproducing magnetic & optical media","2","0","0","15",
"Hawaii","2000","337122","Nonupholstered wood household furniture mfg","8","0","0","15",
"Hawaii","2000","33711 ","Wood kitchen cabinet & countertop mfg","23","165","5202","15",
"Hawaii","2000","337110","Wood kitchen cabinet & countertop mfg","23","165","5202","15",
"Hawaii","2000","33712 ","Household & institutional furniture mfg","9","0","0","15",
