"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Idaho","2000","42299 ","Other miscellaneous nondurable goods whsle","57","237","5960","16",
"Idaho","2000","422990","Other miscellaneous nondurable goods whsle","57","237","5960","16",
"Idaho","2000","44-45 ","Retail trade","5871","69944","1347489","16",
"Idaho","2000","441   ","Motor vehicle & parts dealers","840","10513","312003","16",
"Idaho","2000","4411  ","Automobile dealers","294","6032","198032","16",
"Idaho","2000","44613 ","Optical goods stores","58","230","3918","16",
"Idaho","2000","446199","All other health & personal care stores","49","301","7490","16",
"Idaho","2000","446130","Optical goods stores","58","230","3918","16",
"Idaho","2000","44619 ","Other health & personal care stores","90","539","9565","16",
"Idaho","2000","446191","Food (health) supplement stores","41","238","2075","16",
"Idaho","2000","45411 ","Electronic shopping & mail-order houses","46","938","29423","16",
"Idaho","2000","454210","Vending machine operators","33","0","0","16",
"Idaho","2000","454110","Electronic shopping & mail-order houses","46","938","29423","16",
"Idaho","2000","4542  ","Vending machine operators","33","0","0","16",
"Idaho","2000","45421 ","Vending machine operators","33","0","0","16",
"Idaho","2000","487210","Scenic & sightseeing transportation, water","4","0","0","16",
"Idaho","2000","488   ","Transportation support activities","139","909","22537","16",
"Idaho","2000","4879  ","Scenic & sightseeing transportation, other","1","0","0","16",
"Idaho","2000","48799 ","Scenic & sightseeing transportation, other","1","0","0","16",
"Idaho","2000","487990","Scenic & sightseeing transportation, other","1","0","0","16",
"Idaho","2000","5131  ","Radio & television broadcasting","53","0","0","16",
"Idaho","2000","51312 ","Television broadcasting","15","0","0","16",
"Idaho","2000","51311 ","Radio broadcasting","38","0","0","16",
"Idaho","2000","513111","Radio networks","2","0","0","16",
"Idaho","2000","513112","Radio stations","36","0","0","16",
"Idaho","2000","524113","Direct life Insurance carriers","33","460","14617","16",
"Idaho","2000","541   ","Professional, scientific & technical services","2968","25582","1002322","16",
"Idaho","2000","524114","Direct health & medical insurance carriers","22","1175","40585","16",
"Idaho","2000","52412 ","Other direct insurance carriers","135","0","0","16",
"Idaho","2000","524126","Direct property & casualty insurance carriers","119","1323","48313","16",
"Idaho","2000","54119 ","Other legal services","62","716","20427","16",
"Idaho","2000","5411  ","Legal services","731","3611","130197","16",
"Idaho","2000","54111 ","Offices of lawyers","669","2895","109770","16",
"Idaho","2000","541110","Offices of lawyers","669","2895","109770","16",
"Idaho","2000","54191 ","Marketing research & public opinion polling","15","0","0","16",
"Idaho","2000","541922","Commercial photography","18","62","1393","16",
"Idaho","2000","541910","Marketing research & public opinion polling","15","0","0","16",
"Idaho","2000","54192 ","Photographic services","102","323","5279","16",
"Idaho","2000","541921","Photography studios, portrait","84","261","3886","16",
"Idaho","2000","56192 ","Convention & trade show organizers","11","129","2255","16",
"Idaho","2000","562   ","Waste management & remediation","112","1229","35849","16",
"Idaho","2000","561920","Convention & trade show organizers","11","129","2255","16",
"Idaho","2000","56199 ","All other support services","78","1419","14230","16",
"Idaho","2000","561990","All other support services","78","1419","14230","16",
"Idaho","2000","621391","Offices of podiatrists","22","0","0","16",
"Idaho","2000","621399","Offices of all other misc health practitioners","36","168","3614","16",
"Idaho","2000","711120","Dance companies","3","0","0","16",
"Idaho","2000","6214  ","Outpatient care centers","105","1472","41916","16",
"Idaho","2000","62141 ","Family planning centers","5","0","0","16",
"Idaho","2000","621410","Family planning centers","5","0","0","16",
"Idaho","2000","711190","Other performing arts companies","4","0","0","16",
"Idaho","2000","71113 ","Musical groups & artists","12","124","1612","16",
"Idaho","2000","711130","Musical groups & artists","12","124","1612","16",
"Idaho","2000","71119 ","Other performing arts companies","4","0","0","16",
"Idaho","2000","72231 ","Food service contractors","50","1084","11681","16",
"Idaho","2000","722310","Food service contractors","50","1084","11681","16",
"Idaho","2000","722330","Mobile food services","18","0","0","16",
"Idaho","2000","72232 ","Caterers","39","0","0","16",
"Idaho","2000","722320","Caterers","39","0","0","16",
"Idaho","2000","72233 ","Mobile food services","18","0","0","16",
"Idaho","2000","813211","Grantmaking foundations","17","0","0","16",
"Idaho","2000","81321 ","Grantmaking & giving services","43","190","4395","16",
"Idaho","2000","813212","Voluntary health organizations","12","0","0","16",
"Idaho","2000","813219","Other grantmaking & giving services","14","0","0","16",
"Idaho","2000","8133  ","Social advocacy organizations","57","353","8531","16",
"Idaho","2000","2359  ","Other special trade contractors","638","2743","75846","16",
"Idaho","2000","22    ","Utilities","190","3375","184111","16",
"Idaho","2000","221   ","Utilities","190","3375","184111","16",
"Idaho","2000","2211  ","Elec pwr generation, transmsn & distribution","89","2572","151811","16",
"Idaho","2000","22111 ","Electric power generation","24","152","8364","16",
"Idaho","2000","221111","Hydroelectric power generation","16","113","6285","16",
"Idaho","2000","235920","Glass & glazing contractors","23","133","3657","16",
"Idaho","2000","23591 ","Structural steel erection contractors","39","446","16560","16",
"Idaho","2000","235910","Structural steel erection contractors","39","446","16560","16",
"Idaho","2000","23592 ","Glass & glazing contractors","23","133","3657","16",
"Idaho","2000","312113","Ice mfg","1","0","0","16",
"Idaho","2000","312130","Wineries","4","0","0","16",
"Idaho","2000","31212 ","Breweries","3","0","0","16",
