"GEO_TTL","YEAR","NAICS2002","NAICS2002_TTL","ESTAB","EMP","PAYANN","state",
"Idaho","2007","4451  ","Grocery Stores","337","10129","225843","16",
"Idaho","2007","44511 ","Supermarkets and Other Grocery (except Convenience) Stores","270","9696","220494","16",
"Idaho","2007","445110","Supermarkets and Other Grocery (except Convenience) Stores","270","9696","220494","16",
"Idaho","2007","44512 ","Convenience Stores","67","433","5349","16",
"Idaho","2007","44619 ","Other Health and Personal Care Stores","110","628","17797","16",
"Idaho","2007","446191","Food (Health) Supplement Stores","58","238","3629","16",
"Idaho","2007","446199","All Other Health and Personal Care Stores","52","390","14168","16",
"Idaho","2007","447   ","Gasoline Stations","647","6083","92023","16",
"Idaho","2007","4471  ","Gasoline Stations","647","6083","92023","16",
"Idaho","2007","115210","Support Activities for Animal Production","49","185","5142","16",
"Idaho","2007","00    ","Total","47411","544541","17542930","16",
"Idaho","2007","11    ","Forestry, Fishing, Hunting, and Agriculture Support","522","3621","119442","16",
"Idaho","2007","11521 ","Support Activities for Animal Production","49","185","5142","16",
"Idaho","2007","1153  ","Support Activities for Forestry","50","325","10661","16",
"Idaho","2007","212325","Clay and Ceramic and Refractory Minerals Mining","1","0","0","16",
"Idaho","2007","11531 ","Support Activities for Forestry","50","325","10661","16",
"Idaho","2007","115310","Support Activities for Forestry","50","325","10661","16",
"Idaho","2007","212322","Industrial Sand Mining","2","0","0","16",
"Idaho","2007","21239 ","Other Nonmetallic Mineral Mining and Quarrying","8","0","0","16",
"Idaho","2007","212392","Phosphate Rock Mining","2","0","0","16",
"Idaho","2007","211   ","Oil and Gas Extraction","3","0","0","16",
"Idaho","2007","113   ","Forestry and Logging","317","1749","75849","16",
"Idaho","2007","1131  ","Timber Tract Operations","1","0","0","16",
"Idaho","2007","11311 ","Timber Tract Operations","1","0","0","16",
"Idaho","2007","113110","Timber Tract Operations","1","0","0","16",
"Idaho","2007","21    ","Mining","144","2951","139628","16",
"Idaho","2007","2111  ","Oil and Gas Extraction","3","0","0","16",
"Idaho","2007","2131  ","Support Activities for Mining","34","551","25849","16",
"Idaho","2007","21111 ","Oil and Gas Extraction","3","0","0","16",
"Idaho","2007","212399","All Other Nonmetallic Mineral Mining","6","178","6593","16",
"Idaho","2007","213   ","Support Activities for Mining","34","551","25849","16",
"Idaho","2007","23    ","Construction","8785","50325","1721649","16",
"Idaho","2007","21311 ","Support Activities for Mining","34","551","25849","16",
"Idaho","2007","213111","Drilling Oil and Gas Wells","9","0","0","16",
"Idaho","2007","221320","Sewage Treatment Facilities","7","0","1221","16",
"Idaho","2007","236   ","Construction of Buildings","2709","13067","454669","16",
"Idaho","2007","237310","Highway, Street, and Bridge Construction","126","1799","94017","16",
"Idaho","2007","2361  ","Residential Building Construction","2330","8521","261417","16",
"Idaho","2007","2373  ","Highway, Street, and Bridge Construction","126","1799","94017","16",
"Idaho","2007","23731 ","Highway, Street, and Bridge Construction","126","1799","94017","16",
"Idaho","2007","238220","Plumbing, Heating, and Air-Conditioning Contractors","831","6673","237652","16",
"Idaho","2007","2379  ","Other Heavy and Civil Engineering Construction","47","378","16788","16",
"Idaho","2007","238210","Electrical Contractors","690","4454","174646","16",
"Idaho","2007","23822 ","Plumbing, Heating, and Air-Conditioning Contractors","831","6673","237652","16",
"Idaho","2007","3112  ","Grain and Oilseed Milling","9","270","11707","16",
"Idaho","2007","23829 ","Other Building Equipment Contractors","33","347","14236","16",
"Idaho","2007","311111","Dog and Cat Food Manufacturing","1","0","0","16",
"Idaho","2007","311119","Other Animal Food Manufacturing","22","0","0","16",
"Idaho","2007","31152 ","Ice Cream and Frozen Dessert Manufacturing","2","0","0","16",
"Idaho","2007","31121 ","Flour Milling and Malt Manufacturing","7","235","10370","16",
"Idaho","2007","311513","Cheese Manufacturing","10","1455","56875","16",
"Idaho","2007","311514","Dry, Condensed, and Evaporated Dairy Product Manufacturing","4","0","0","16",
"Idaho","2007","311991","Perishable Prepared Food Manufacturing","6","0","0","16",
"Idaho","2007","311520","Ice Cream and Frozen Dessert Manufacturing","2","0","0","16",
"Idaho","2007","311942","Spice and Extract Manufacturing","1","0","0","16",
"Idaho","2007","31199 ","All Other Food Manufacturing","10","0","0","16",
"Idaho","2007","3149  ","Other Textile Product Mills","31","245","5744","16",
"Idaho","2007","311999","All Other Miscellaneous Food Manufacturing","4","0","150","16",
"Idaho","2007","314121","Curtain and Drapery Mills","5","0","194","16",
"Idaho","2007","314129","Other Household Textile Product Mills","1","0","0","16",
"Idaho","2007","31491 ","Textile Bag and Canvas Mills","13","0","2148","16",
"Idaho","2007","314911","Textile Bag Mills","3","0","799","16",
"Idaho","2007","236115","New Single-Family Housing Construction (except Operative Builders)","1147","4150","125903","16",
"Idaho","2007","213112","Support Activities for Oil and Gas Operations","10","72","4495","16",
"Idaho","2007","213113","Support Activities for Coal Mining","1","0","0","16",
"Idaho","2007","213114","Support Activities for Metal Mining","10","136","8703","16",
"Idaho","2007","213115","Support Activities for Nonmetallic Minerals (except Fuels)","4","0","0","16",
