"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Iowa","2000","115113","Crop harvesting, primarily by machine","8","0","0","19",
"Iowa","2000","115114","Postharvest crop activities (exc ginning)","39","736","29243","19",
"Iowa","2000","115115","Farm labor contractors & crew leaders","9","0","0","19",
"Iowa","2000","115116","Farm management services","43","180","6046","19",
"Iowa","2000","23491 ","Water, sewer & pipeline construction","93","1133","59515","19",
"Iowa","2000","234910","Water, sewer & pipeline construction","93","1133","59515","19",
"Iowa","2000","23492 ","Pwr, communication transmsn line construction","36","0","0","19",
"Iowa","2000","234920","Pwr, communication transmsn line construction","36","0","0","19",
"Iowa","2000","311511","Fluid milk mfg","12","1260","41850","19",
"Iowa","2000","23493 ","Industrial nonbuilding structure construction","8","0","0","19",
"Iowa","2000","3115  ","Dairy product mfg","35","3881","134127","19",
"Iowa","2000","31151 ","Dairy product (exc frozen) mfg","30","0","0","19",
"Iowa","2000","311513","Cheese mfg","11","0","0","19",
"Iowa","2000","311514","Dry, condensed, evaporated dairy product mfg","7","573","23682","19",
"Iowa","2000","315225","Men's, boys' cut & sew work clothing mfg","1","0","0","19",
"Iowa","2000","315212","Women's, girls', infants,","17","0","0","19",
"Iowa","2000","31522 ","Men's, boys' cut & sew apparel mfg","5","0","0","19",
"Iowa","2000","315223","Men's, boys' cut & sew shirt (exc work) mfg","1","0","0","19",
"Iowa","2000","315228","Men's, boys' cut & sew oth outerwear mfg","3","0","0","19",
"Iowa","2000","323116","Manifold business form printing","13","1269","40897","19",
"Iowa","2000","323113","Commercial screen printing","37","711","18143","19",
"Iowa","2000","323114","Quick printing","67","1035","25591","19",
"Iowa","2000","323115","Digital printing","4","0","0","19",
"Iowa","2000","323117","Book printing","10","922","27178","19",
"Iowa","2000","326191","Plastics plumbing fixture mfg","4","219","5535","19",
"Iowa","2000","32616 ","Plastics bottle mfg","8","467","17199","19",
"Iowa","2000","326160","Plastics bottle mfg","8","467","17199","19",
"Iowa","2000","32619 ","Other plastics product mfg","94","7179","186668","19",
"Iowa","2000","326199","All other plastics product mfg","90","6960","181133","19",
"Iowa","2000","3321  ","Forging & stamping","23","1903","55916","19",
"Iowa","2000","3262  ","Rubber product mfg","33","4575","155567","19",
"Iowa","2000","331528","Oth nonferrous foundries (except die-casting)","1","0","0","19",
"Iowa","2000","332   ","Fabricated metal product mfg","608","24944","805678","19",
"Iowa","2000","33211 ","Forging & stamping","23","1903","55916","19",
"Iowa","2000","332111","Iron & steel forging","6","441","14188","19",
"Iowa","2000","333311","Automatic vending machine mfg","3","0","0","19",
"Iowa","2000","333298","All other industrial machinery mfg","16","0","0","19",
"Iowa","2000","3333  ","Commercial & service industry machinery mfg","31","1811","64939","19",
"Iowa","2000","33331 ","Commercial & service industry machinery mfg","31","1811","64939","19",
"Iowa","2000","333314","Optical instrument & lens mfg","3","0","0","19",
"Iowa","2000","334613","Magnetic and optical recording media mfg","3","0","0","19",
"Iowa","2000","334519","Other measuring & controlling device mfg","4","0","0","19",
"Iowa","2000","3346  ","Mfg & reproducing magnetic & optical media","3","0","0","19",
"Iowa","2000","33461 ","Mfg & reproducing magnetic & optical media","3","0","0","19",
"Iowa","2000","337122","Nonupholstered wood household furniture mfg","32","244","3598","19",
"Iowa","2000","337110","Wood kitchen cabinet & countertop mfg","75","2676","71812","19",
"Iowa","2000","33712 ","Household & institutional furniture mfg","59","0","0","19",
"Iowa","2000","337121","Upholstered household furniture mfg","6","0","0","19",
"Iowa","2000","337124","Metal household furniture manufacturing","2","0","0","19",
"Iowa","2000","421430","Computer & peripheral equip & software whsle","116","1461","66843","19",
"Iowa","2000","42142 ","Office equipment whsle","88","1335","52381","19",
"Iowa","2000","421420","Office equipment whsle","88","1335","52381","19",
"Iowa","2000","42143 ","Computer & peripheral equip & software whsle","116","1461","66843","19",
"Iowa","2000","42144 ","Other commercial equipment whsle","38","379","14221","19",
"Iowa","2000","422340","Footwear whsle","7","0","0","19",
"Iowa","2000","42242 ","Packaged frozen food whsle","33","1323","41369","19",
"Iowa","2000","4224  ","Grocery & related product whsle","264","7967","255053","19",
"Iowa","2000","42241 ","General line grocery whsle","23","2215","74576","19",
"Iowa","2000","422410","General line grocery whsle","23","2215","74576","19",
"Iowa","2000","422420","Packaged frozen food whsle","33","1323","41369","19",
