"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Iowa","2008","00    ","Total for all sectors","82353","1317121","45228724","19",
"Iowa","2008","11    ","Agriculture, forestry, fishing and hunting","274","1692","82000","19",
"Iowa","2008","113   ","Forestry and logging","26","76","2206","19",
"Iowa","2008","1132  ","Forest nurseries and gathering of forest products","2","0","0","19",
"Iowa","2008","11321 ","Forest nurseries and gathering of forest products","2","0","0","19",
"Iowa","2008","113310","Logging","24","72","2101","19",
"Iowa","2008","114   ","Fishing, hunting and trapping","4","0","376","19",
"Iowa","2008","114210","Hunting and trapping","4","0","376","19",
"Iowa","2008","115   ","Support activities for agriculture and forestry","244","1595","79418","19",
"Iowa","2008","1151  ","Support activities for crop production","170","1159","66857","19",
"Iowa","2008","115114","Postharvest crop activities (except cotton ginning)","45","0","0","19",
"Iowa","2008","1152  ","Support activities for animal production","67","422","12276","19",
"Iowa","2008","11521 ","Support activities for animal production","67","422","12276","19",
"Iowa","2008","115210","Support activities for animal production","67","422","12276","19",
"Iowa","2008","211   ","Oil and gas extraction","2","0","0","19",
"Iowa","2008","211111","Crude petroleum and natural gas extraction","2","0","0","19",
"Iowa","2008","113210","Forest nurseries and gathering of forest products","2","0","0","19",
"Iowa","2008","1133  ","Logging","24","72","2101","19",
"Iowa","2008","11331 ","Logging","24","72","2101","19",
"Iowa","2008","1142  ","Hunting and trapping","4","0","376","19",
"Iowa","2008","11421 ","Hunting and trapping","4","0","376","19",
"Iowa","2008","11511 ","Support activities for crop production","170","1159","66857","19",
"Iowa","2008","115111","Cotton ginning","2","0","0","19",
"Iowa","2008","115112","Soil preparation, planting, and cultivating","68","243","11527","19",
"Iowa","2008","115113","Crop harvesting, primarily by machine","5","0","60","19",
"Iowa","2008","115115","Farm labor contractors and crew leaders","3","0","0","19",
"Iowa","2008","115116","Farm management services","47","178","12089","19",
"Iowa","2008","1153  ","Support activities for forestry","7","0","285","19",
"Iowa","2008","11531 ","Support activities for forestry","7","0","285","19",
"Iowa","2008","115310","Support activities for forestry","7","0","285","19",
"Iowa","2008","21    ","Mining, quarrying, and oil and gas extraction","174","1684","84382","19",
"Iowa","2008","2111  ","Oil and gas extraction","2","0","0","19",
"Iowa","2008","21111 ","Oil and gas extraction","2","0","0","19",
"Iowa","2008","212   ","Mining (except oil and gas)","164","1664","83440","19",
"Iowa","2008","2123  ","Nonmetallic mineral mining and quarrying","164","1664","83440","19",
"Iowa","2008","212312","Crushed and broken limestone mining and quarrying","99","1277","63374","19",
"Iowa","2008","212319","Other crushed and broken stone mining and quarrying","3","0","0","19",
"Iowa","2008","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","55","295","15952","19",
"Iowa","2008","212399","All other nonmetallic mineral mining","1","0","0","19",
"Iowa","2008","213   ","Support activities for mining","8","0","0","19",
"Iowa","2008","213111","Drilling oil and gas wells","3","0","0","19",
"Iowa","2008","213112","Support activities for oil and gas operations","1","0","0","19",
"Iowa","2008","213114","Support activities for metal mining","1","0","0","19",
"Iowa","2008","221   ","Utilities","266","0","0","19",
"Iowa","2008","21231 ","Stone mining and quarrying","108","1367","67239","19",
"Iowa","2008","212311","Dimension stone mining and quarrying","6","74","3251","19",
"Iowa","2008","212321","Construction sand and gravel mining","44","210","10557","19",
"Iowa","2008","212322","Industrial sand mining","11","0","0","19",
"Iowa","2008","21239 ","Other nonmetallic mineral mining and quarrying","1","0","0","19",
"Iowa","2008","2131  ","Support activities for mining","8","0","0","19",
"Iowa","2008","21311 ","Support activities for mining","8","0","0","19",
"Iowa","2008","213115","Support activities for nonmetallic minerals (except fuels) mining","3","0","0","19",
"Iowa","2008","22    ","Utilities","266","0","0","19",
"Iowa","2008","2211  ","Electric power generation, transmission and distribution","214","0","0","19",
"Iowa","2008","22111 ","Electric power generation","26","0","0","19",
"Iowa","2008","221119","Other electric power generation","10","0","2343","19",
"Iowa","2008","22112 ","Electric power transmission, control, and distribution","188","0","0","19",
"Iowa","2008","221121","Electric bulk power transmission and control","2","0","0","19",
"Iowa","2008","2213  ","Water, sewage and other systems","39","446","18424","19",
"Iowa","2008","22131 ","Water supply and irrigation systems","35","417","17107","19",
"Iowa","2008","221320","Sewage treatment facilities","4","0","0","19",
"Iowa","2008","23    ","Construction","8778","62669","2988102","19",
"Iowa","2008","236   ","Construction of buildings","2588","15494","679032","19",
"Iowa","2008","236117","New housing operative builders","215","841","31660","19",
