"GEO_TTL","YEAR","NAICS2002","NAICS2002_TTL","ESTAB","EMP","PAYANN","state",
"Kentucky","2005","00    ","Total","92176","1514199","47983162","21",
"Kentucky","2005","11    ","Forestry, Fishing, Hunting, and Agriculture Support","299","1680","44803","21",
"Kentucky","2005","113   ","Forestry and Logging","135","0","0","21",
"Kentucky","2005","1131  ","Timber Tract Operations","1","0","0","21",
"Kentucky","2005","11311 ","Timber Tract Operations","1","0","0","21",
"Kentucky","2005","114210","Hunting and Trapping","2","0","0","21",
"Kentucky","2005","115   ","Support Activities for Agriculture and Forestry","162","0","0","21",
"Kentucky","2005","1151  ","Support Activities for Crop Production","19","0","0","21",
"Kentucky","2005","11511 ","Support Activities for Crop Production","19","0","0","21",
"Kentucky","2005","2121  ","Coal Mining","279","14636","828261","21",
"Kentucky","2005","115112","Soil Preparation, Planting, and Cultivating","13","0","0","21",
"Kentucky","2005","211112","Natural Gas Liquid Extraction","3","0","0","21",
"Kentucky","2005","212   ","Mining (except Oil and Gas)","377","16544","914450","21",
"Kentucky","2005","21211 ","Coal Mining","279","14636","828261","21",
"Kentucky","2005","212111","Bituminous Coal and Lignite Surface Mining","110","0","0","21",
"Kentucky","2005","213115","Support Activities for Nonmetallic Minerals (except Fuels)","9","0","0","21",
"Kentucky","2005","213112","Support Activities for Oil and Gas Operations","64","802","29734","21",
"Kentucky","2005","213113","Support Activities for Coal Mining","73","1517","70653","21",
"Kentucky","2005","213114","Support Activities for Metal Mining","2","0","0","21",
"Kentucky","2005","23621 ","Industrial Building Construction","29","1117","43045","21",
"Kentucky","2005","22    ","Utilities","330","8179","530266","21",
"Kentucky","2005","236118","Residential Remodelers","540","2101","58411","21",
"Kentucky","2005","2362  ","Nonresidential Building Construction","589","10055","386382","21",
"Kentucky","2005","236210","Industrial Building Construction","29","1117","43045","21",
"Kentucky","2005","23622 ","Commercial and Institutional Building Construction","560","8938","343337","21",
"Kentucky","2005","238150","Glass and Glazing Contractors","58","510","16031","21",
"Kentucky","2005","23814 ","Masonry Contractors","396","3140","78174","21",
"Kentucky","2005","238140","Masonry Contractors","396","3140","78174","21",
"Kentucky","2005","23815 ","Glass and Glazing Contractors","58","510","16031","21",
"Kentucky","2005","23816 ","Roofing Contractors","203","2189","64922","21",
"Kentucky","2005","3112  ","Grain and Oilseed Milling","9","0","0","21",
"Kentucky","2005","31111 ","Animal Food Manufacturing","37","929","33293","21",
"Kentucky","2005","311111","Dog and Cat Food Manufacturing","5","225","10283","21",
"Kentucky","2005","311119","Other Animal Food Manufacturing","32","704","23010","21",
"Kentucky","2005","31121 ","Flour Milling and Malt Manufacturing","5","0","0","21",
"Kentucky","2005","311822","Flour Mixes and Dough Manufacturing from Purchased Flour","3","0","0","21",
"Kentucky","2005","311813","Frozen Cakes, Pies, and Other Pastries Manufacturing","2","0","0","21",
"Kentucky","2005","31182 ","Cookie, Cracker, and Pasta Manufacturing","9","2741","86155","21",
"Kentucky","2005","311821","Cookie and Cracker Manufacturing","6","0","0","21",
"Kentucky","2005","31183 ","Tortilla Manufacturing","1","0","0","21",
"Kentucky","2005","31332 ","Fabric Coating Mills","2","0","0","21",
"Kentucky","2005","31331 ","Textile and Fabric Finishing Mills","9","0","0","21",
"Kentucky","2005","313311","Broadwoven Fabric Finishing Mills","8","0","0","21",
"Kentucky","2005","313312","Textile and Fabric Finishing (except Broadwoven Fabric) Mills","1","0","0","21",
"Kentucky","2005","316991","Luggage Manufacturing","1","0","0","21",
"Kentucky","2005","316214","Women's Footwear (except Athletic) Manufacturing","1","0","0","21",
"Kentucky","2005","3169  ","Other Leather and Allied Product Manufacturing","7","0","0","21",
"Kentucky","2005","31699 ","Other Leather and Allied Product Manufacturing","7","0","0","21",
"Kentucky","2005","323111","Commercial Gravure Printing","9","0","0","21",
"Kentucky","2005","3231  ","Printing and Related Support Activities","384","13036","483146","21",
"Kentucky","2005","32311 ","Printing","359","12703","470229","21",
"Kentucky","2005","323110","Commercial Lithographic Printing","173","8817","337174","21",
"Kentucky","2005","323112","Commercial Flexographic Printing","13","563","18588","21",
"Kentucky","2005","325613","Surface Active Agent Manufacturing","1","0","0","21",
"Kentucky","2005","32561 ","Soap and Cleaning Compound Manufacturing","11","0","0","21",
"Kentucky","2005","325611","Soap and Other Detergent Manufacturing","5","0","0","21",
"Kentucky","2005","325612","Polish and Other Sanitation Good Manufacturing","5","0","0","21",
"Kentucky","2005","32562 ","Toilet Preparation Manufacturing","5","0","0","21",
"Kentucky","2005","327320","Ready-Mix Concrete Manufacturing","118","1677","65357","21",
"Kentucky","2005","32731 ","Cement Manufacturing","1","0","0","21",
"Kentucky","2005","327310","Cement Manufacturing","1","0","0","21",
"Kentucky","2005","32732 ","Ready-Mix Concrete Manufacturing","118","1677","65357","21",
"Kentucky","2005","32733 ","Concrete Pipe, Brick, and Block Manufacturing","29","0","0","21",
"Kentucky","2005","332213","Saw Blade and Handsaw Manufacturing","4","0","0","21",
"Kentucky","2005","33221 ","Cutlery and Handtool Manufacturing","24","0","0","21",
"Kentucky","2005","332211","Cutlery and Flatware (except Precious) Manufacturing","3","0","0","21",
"Kentucky","2005","332212","Hand and Edge Tool Manufacturing","16","0","0","21",
"Kentucky","2005","332214","Kitchen Utensil, Pot, and Pan Manufacturing","1","0","0","21",
"Kentucky","2005","333298","All Other Industrial Machinery Manufacturing","15","0","0","21",
"Kentucky","2005","333292","Textile Machinery Manufacturing","5","0","0","21",
"Kentucky","2005","333293","Printing Machinery and Equipment Manufacturing","3","0","0","21",
"Kentucky","2005","333294","Food Product Machinery Manufacturing","3","0","0","21",
"Kentucky","2005","3333  ","Commercial and Service Industry Machinery Manufacturing","17","1174","39551","21",
"Kentucky","2005","333411","Air Purification Equipment Manufacturing","7","0","0","21",
"Kentucky","2005","333319","Other Commercial and Service Industry Machinery Manufacturing","13","908","30600","21",
"Kentucky","2005","3334  ","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","26","4260","138801","21",
"Kentucky","2005","33341 ","Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing","26","4260","138801","21",
"Kentucky","2005","3335  ","Metalworking Machinery Manufacturing","103","2825","138562","21",
"Kentucky","2005","333412","Industrial and Commercial Fan and Blower Manufacturing","3","0","0","21",
"Kentucky","2005","333414","Heating Equipment (except Warm Air Furnaces) Manufacturing","4","0","0","21",
"Kentucky","2005","333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","12","0","0","21",
"Kentucky","2005","3336  ","Engine, Turbine, and Power Transmission Equipment Manufacturing","10","1872","79330","21",
"Kentucky","2005","333996","Fluid Power Pump and Motor Manufacturing","5","0","0","21",
"Kentucky","2005","33361 ","Engine, Turbine, and Power Transmission Equipment Manufacturing","10","1872","79330","21",
"Kentucky","2005","333612","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing","1","0","0","21",
"Kentucky","2005","333613","Mechanical Power Transmission Equipment Manufacturing","5","0","0","21",
"Kentucky","2005","333994","Industrial Process Furnace and Oven Manufacturing","3","0","0","21",
"Kentucky","2005","333995","Fluid Power Cylinder and Actuator Manufacturing","3","0","0","21",
"Kentucky","2005","333997","Scale and Balance (except Laboratory) Manufacturing","1","0","0","21",
"Kentucky","2005","334416","Electronic Coil, Transformer, and Other Inductor Manufacturing","1","0","0","21",
"Kentucky","2005","334411","Electron Tube Manufacturing","1","0","0","21",
"Kentucky","2005","334412","Bare Printed Circuit Board Manufacturing","5","0","0","21",
"Kentucky","2005","334415","Electronic Resistor Manufacturing","2","0","0","21",
"Kentucky","2005","334418","Printed Circuit Assembly (Electronic Assembly) Manufacturing","5","589","18173","21",
"Kentucky","2005","335221","Household Cooking Appliance Manufacturing","1","0","0","21",
"Kentucky","2005","335122","Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","3","0","0","21",
"Kentucky","2005","3352  ","Household Appliance Manufacturing","6","0","0","21",
"Kentucky","2005","33522 ","Major Appliance Manufacturing","6","0","0","21",
"Kentucky","2005","336120","Heavy Duty Truck Manufacturing","2","0","0","21",
"Kentucky","2005","336212","Truck Trailer Manufacturing","4","0","0","21",
"Kentucky","2005","3362  ","Motor Vehicle Body and Trailer Manufacturing","23","1865","63182","21",
"Kentucky","2005","33621 ","Motor Vehicle Body and Trailer Manufacturing","23","1865","63182","21",
"Kentucky","2005","336211","Motor Vehicle Body Manufacturing","12","941","33089","21",
"Kentucky","2005","336510","Railroad Rolling Stock Manufacturing","2","0","0","21",
"Kentucky","2005","336612","Boat Building","22","0","0","21",
"Kentucky","2005","3366  ","Ship and Boat Building","28","0","0","21",
"Kentucky","2005","33661 ","Ship and Boat Building","28","0","0","21",
"Kentucky","2005","336611","Ship Building and Repairing","6","0","0","21",
"Kentucky","2005","339912","Silverware and Hollowware Manufacturing","1","0","0","21",
"Kentucky","2005","339932","Game, Toy, and Children's Vehicle Manufacturing","3","0","0","21",
"Kentucky","2005","33992 ","Sporting and Athletic Goods Manufacturing","23","514","23983","21",
"Kentucky","2005","339920","Sporting and Athletic Goods Manufacturing","23","514","23983","21",
"Kentucky","2005","33993 ","Doll, Toy, and Game Manufacturing","3","0","0","21",
"Kentucky","2005","423410","Photographic Equipment and Supplies Merchant Wholesalers","5","42","1595","21",
"Kentucky","2005","42385 ","Service Establishment Equipment and Supplies Merchant Wholesalers","69","0","0","21",
"Kentucky","2005","42342 ","Office Equipment Merchant Wholesalers","95","1335","57824","21",
"Kentucky","2005","423420","Office Equipment Merchant Wholesalers","95","1335","57824","21",
"Kentucky","2005","42343 ","Computer and Computer Peripheral Equipment and Software Merchant Wholesalers","86","2074","97918","21",
"Kentucky","2005","424480","Fresh Fruit and Vegetable Merchant Wholesalers","40","1137","40496","21",
"Kentucky","2005","423850","Service Establishment Equipment and Supplies Merchant Wholesalers","69","0","0","21",
"Kentucky","2005","42386 ","Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers","8","0","0","21",
"Kentucky","2005","423860","Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers","8","0","0","21",
"Kentucky","2005","441222","Boat Dealers","70","364","10789","21",
"Kentucky","2005","42449 ","Other Grocery and Related Products Merchant Wholesalers","86","3182","129521","21",
"Kentucky","2005","424490","Other Grocery and Related Products Merchant Wholesalers","86","3182","129521","21",
"Kentucky","2005","4245  ","Farm Product Raw Material Merchant Wholesalers","113","1508","33954","21",
"Kentucky","2005","441229","All Other Motor Vehicle Dealers","35","177","5787","21",
"Kentucky","2005","446130","Optical Goods Stores","106","701","14405","21",
"Kentucky","2005","4413  ","Automotive Parts, Accessories, and Tire Stores","1064","8599","202962","21",
"Kentucky","2005","44131 ","Automotive Parts and Accessories Stores","752","6031","132244","21",
"Kentucky","2005","441310","Automotive Parts and Accessories Stores","752","6031","132244","21",
"Kentucky","2005","447   ","Gasoline Stations","2206","18906","270934","21",
"Kentucky","2005","44619 ","Other Health and Personal Care Stores","265","2249","55329","21",
"Kentucky","2005","446191","Food (Health) Supplement Stores","87","445","6081","21",
"Kentucky","2005","446199","All Other Health and Personal Care Stores","178","1804","49248","21",
"Kentucky","2005","45392 ","Art Dealers","45","128","1995","21",
"Kentucky","2005","45399 ","All Other Miscellaneous Store Retailers","565","2661","47300","21",
"Kentucky","2005","453920","Art Dealers","45","128","1995","21",
"Kentucky","2005","45393 ","Manufactured (Mobile) Home Dealers","136","861","26642","21",
"Kentucky","2005","453930","Manufactured (Mobile) Home Dealers","136","861","26642","21",
"Kentucky","2005","485991","Special Needs Transportation","32","0","0","21",
"Kentucky","2005","48611 ","Pipeline Transportation of Crude Oil","6","0","0","21",
"Kentucky","2005","485999","All Other Transit and Ground Passenger Transportation","8","0","0","21",
"Kentucky","2005","486   ","Pipeline Transportation","41","970","71307","21",
"Kentucky","2005","4861  ","Pipeline Transportation of Crude Oil","6","0","0","21",
"Kentucky","2005","4869  ","Other Pipeline Transportation","3","0","0","21",
"Kentucky","2005","48691 ","Pipeline Transportation of Refined Petroleum Products","3","0","0","21",
"Kentucky","2005","48711 ","Scenic and Sightseeing Transportation, Land","7","0","0","21",
