"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Kentucky","2009","00    ","Total for all sectors","90661","1486545","51716876","21",
"Kentucky","2009","11    ","Agriculture, forestry, fishing and hunting","270","1674","54687","21",
"Kentucky","2009","113   ","Forestry and logging","89","248","4396","21",
"Kentucky","2009","1131  ","Timber tract operations","1","0","0","21",
"Kentucky","2009","11311 ","Timber tract operations","1","0","0","21",
"Kentucky","2009","113110","Timber tract operations","1","0","0","21",
"Kentucky","2009","1132  ","Forest nurseries and gathering of forest products","1","0","0","21",
"Kentucky","2009","11321 ","Forest nurseries and gathering of forest products","1","0","0","21",
"Kentucky","2009","113210","Forest nurseries and gathering of forest products","1","0","0","21",
"Kentucky","2009","1133  ","Logging","87","248","4381","21",
"Kentucky","2009","11331 ","Logging","87","248","4381","21",
"Kentucky","2009","113310","Logging","87","248","4381","21",
"Kentucky","2009","114   ","Fishing, hunting and trapping","4","0","0","21",
"Kentucky","2009","1141  ","Fishing","2","0","0","21",
"Kentucky","2009","11411 ","Fishing","2","0","0","21",
"Kentucky","2009","114112","Shellfish fishing","1","0","0","21",
"Kentucky","2009","114119","Other marine fishing","1","0","0","21",
"Kentucky","2009","1142  ","Hunting and trapping","2","0","0","21",
"Kentucky","2009","11421 ","Hunting and trapping","2","0","0","21",
"Kentucky","2009","114210","Hunting and trapping","2","0","0","21",
"Kentucky","2009","115   ","Support activities for agriculture and forestry","177","1422","50213","21",
"Kentucky","2009","1151  ","Support activities for crop production","18","85","3237","21",
"Kentucky","2009","11511 ","Support activities for crop production","18","85","3237","21",
"Kentucky","2009","115112","Soil preparation, planting, and cultivating","9","0","1424","21",
"Kentucky","2009","115114","Postharvest crop activities (except cotton ginning)","4","0","0","21",
"Kentucky","2009","115115","Farm labor contractors and crew leaders","2","0","0","21",
"Kentucky","2009","115116","Farm management services","3","0","0","21",
"Kentucky","2009","1152  ","Support activities for animal production","149","1315","46502","21",
"Kentucky","2009","11521 ","Support activities for animal production","149","1315","46502","21",
"Kentucky","2009","115210","Support activities for animal production","149","1315","46502","21",
"Kentucky","2009","1153  ","Support activities for forestry","10","22","474","21",
"Kentucky","2009","11531 ","Support activities for forestry","10","22","474","21",
"Kentucky","2009","115310","Support activities for forestry","10","22","474","21",
"Kentucky","2009","21    ","Mining, quarrying, and oil and gas extraction","663","22690","1333889","21",
"Kentucky","2009","211   ","Oil and gas extraction","98","921","55894","21",
"Kentucky","2009","2111  ","Oil and gas extraction","98","921","55894","21",
"Kentucky","2009","21111 ","Oil and gas extraction","98","921","55894","21",
"Kentucky","2009","211111","Crude petroleum and natural gas extraction","92","843","50688","21",
"Kentucky","2009","211112","Natural gas liquid extraction","6","0","0","21",
"Kentucky","2009","212   ","Mining (except oil and gas)","367","18507","1102774","21",
"Kentucky","2009","2121  ","Coal mining","279","16643","1010010","21",
"Kentucky","2009","21211 ","Coal mining","279","16643","1010010","21",
"Kentucky","2009","212111","Bituminous coal and lignite surface mining","129","7686","451733","21",
"Kentucky","2009","212112","Bituminous coal underground mining","144","8676","538989","21",
"Kentucky","2009","212113","Anthracite mining","6","281","19288","21",
"Kentucky","2009","2123  ","Nonmetallic mineral mining and quarrying","88","1864","92764","21",
"Kentucky","2009","21231 ","Stone mining and quarrying","74","1603","80622","21",
"Kentucky","2009","212311","Dimension stone mining and quarrying","6","0","0","21",
"Kentucky","2009","212312","Crushed and broken limestone mining and quarrying","64","1484","76441","21",
"Kentucky","2009","212319","Other crushed and broken stone mining and quarrying","4","0","0","21",
"Kentucky","2009","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","14","261","12142","21",
"Kentucky","2009","212321","Construction sand and gravel mining","11","210","10342","21",
"Kentucky","2009","212322","Industrial sand mining","1","0","0","21",
"Kentucky","2009","212324","Kaolin and ball clay mining","1","0","0","21",
"Kentucky","2009","212325","Clay and ceramic and refractory minerals mining","1","0","0","21",
"Kentucky","2009","213   ","Support activities for mining","198","3262","175221","21",
"Kentucky","2009","2131  ","Support activities for mining","198","3262","175221","21",
"Kentucky","2009","21311 ","Support activities for mining","198","3262","175221","21",
"Kentucky","2009","213111","Drilling oil and gas wells","56","441","16204","21",
"Kentucky","2009","213112","Support activities for oil and gas operations","65","805","40291","21",
"Kentucky","2009","213113","Support activities for coal mining","68","1957","116491","21",
"Kentucky","2009","213114","Support activities for metal mining","4","0","1796","21",
"Kentucky","2009","213115","Support activities for nonmetallic minerals (except fuels) mining","5","15","439","21",
"Kentucky","2009","22    ","Utilities","340","8167","622358","21",
"Kentucky","2009","221   ","Utilities","340","8167","622358","21",
"Kentucky","2009","2211  ","Electric power generation, transmission and distribution","227","6825","551154","21",
"Kentucky","2009","22111 ","Electric power generation","41","2002","161835","21",
"Kentucky","2009","221111","Hydroelectric power generation","2","0","0","21",
"Kentucky","2009","221112","Fossil fuel electric power generation","37","1994","161036","21",
"Kentucky","2009","221119","Other electric power generation","2","0","0","21",
"Kentucky","2009","22112 ","Electric power transmission, control, and distribution","186","4823","389319","21",
"Kentucky","2009","221121","Electric bulk power transmission and control","4","0","0","21",
"Kentucky","2009","221122","Electric power distribution","182","4790","386038","21",
"Kentucky","2009","2212  ","Natural gas distribution","59","788","47894","21",
"Kentucky","2009","22121 ","Natural gas distribution","59","788","47894","21",
"Kentucky","2009","221210","Natural gas distribution","59","788","47894","21",
"Kentucky","2009","2213  ","Water, sewage and other systems","54","554","23310","21",
"Kentucky","2009","22131 ","Water supply and irrigation systems","45","355","16700","21",
"Kentucky","2009","221310","Water supply and irrigation systems","45","355","16700","21",
"Kentucky","2009","22132 ","Sewage treatment facilities","9","0","0","21",
"Kentucky","2009","221320","Sewage treatment facilities","9","0","0","21",
"Kentucky","2009","23    ","Construction","8166","70840","2818890","21",
"Kentucky","2009","236   ","Construction of buildings","2147","14508","590288","21",
"Kentucky","2009","2361  ","Residential building construction","1559","6354","207693","21",
"Kentucky","2009","23611 ","Residential building construction","1559","6354","207693","21",
"Kentucky","2009","236115","New single-family housing construction (except operative builders)","601","2222","67340","21",
"Kentucky","2009","236116","New multifamily housing construction (except operative builders)","29","280","12446","21",
"Kentucky","2009","236117","New housing operative builders","256","1496","58034","21",
"Kentucky","2009","236118","Residential remodelers","673","2356","69873","21",
"Kentucky","2009","2362  ","Nonresidential building construction","588","8154","382595","21",
"Kentucky","2009","23621 ","Industrial building construction","45","1284","70943","21",
"Kentucky","2009","236210","Industrial building construction","45","1284","70943","21",
"Kentucky","2009","23622 ","Commercial and institutional building construction","543","6870","311652","21",
"Kentucky","2009","236220","Commercial and institutional building construction","543","6870","311652","21",
"Kentucky","2009","237   ","Heavy and civil engineering construction","611","9822","487977","21",
"Kentucky","2009","2371  ","Utility system construction","305","5562","256095","21",
"Kentucky","2009","23711 ","Water and sewer line and related structures construction","197","2135","98244","21",
"Kentucky","2009","237110","Water and sewer line and related structures construction","197","2135","98244","21",
"Kentucky","2009","23712 ","Oil and gas pipeline and related structures construction","25","843","38516","21",
"Kentucky","2009","237120","Oil and gas pipeline and related structures construction","25","843","38516","21",
"Kentucky","2009","23713 ","Power and communication line and related structures construction","83","2584","119335","21",
"Kentucky","2009","237130","Power and communication line and related structures construction","83","2584","119335","21",
"Kentucky","2009","2372  ","Land subdivision","93","287","9742","21",
"Kentucky","2009","23721 ","Land subdivision","93","287","9742","21",
"Kentucky","2009","237210","Land subdivision","93","287","9742","21",
"Kentucky","2009","2373  ","Highway, street, and bridge construction","153","3349","197584","21",
"Kentucky","2009","23731 ","Highway, street, and bridge construction","153","3349","197584","21",
"Kentucky","2009","237310","Highway, street, and bridge construction","153","3349","197584","21",
"Kentucky","2009","2379  ","Other heavy and civil engineering construction","60","624","24556","21",
"Kentucky","2009","23799 ","Other heavy and civil engineering construction","60","624","24556","21",
"Kentucky","2009","237990","Other heavy and civil engineering construction","60","624","24556","21",
"Kentucky","2009","238   ","Specialty trade contractors","5408","46510","1740625","21",
"Kentucky","2009","2381  ","Foundation, structure, and building exterior contractors","1257","9006","293243","21",
"Kentucky","2009","23811 ","Poured concrete foundation and structure contractors","344","2021","64838","21",
"Kentucky","2009","238110","Poured concrete foundation and structure contractors","344","2021","64838","21",
"Kentucky","2009","23812 ","Structural steel and precast concrete contractors","52","778","30923","21",
"Kentucky","2009","238120","Structural steel and precast concrete contractors","52","778","30923","21",
"Kentucky","2009","23813 ","Framing contractors","172","594","12934","21",
"Kentucky","2009","238130","Framing contractors","172","594","12934","21",
"Kentucky","2009","23814 ","Masonry contractors","302","2375","72283","21",
"Kentucky","2009","238140","Masonry contractors","302","2375","72283","21",
"Kentucky","2009","23815 ","Glass and glazing contractors","59","528","19254","21",
"Kentucky","2009","238150","Glass and glazing contractors","59","528","19254","21",
"Kentucky","2009","23816 ","Roofing contractors","184","2046","71778","21",
"Kentucky","2009","238160","Roofing contractors","184","2046","71778","21",
"Kentucky","2009","23817 ","Siding contractors","104","377","10743","21",
"Kentucky","2009","238170","Siding contractors","104","377","10743","21",
"Kentucky","2009","23819 ","Other foundation, structure, and building exterior contractors","40","287","10490","21",
"Kentucky","2009","238190","Other foundation, structure, and building exterior contractors","40","287","10490","21",
"Kentucky","2009","2382  ","Building equipment contractors","2160","24170","989479","21",
"Kentucky","2009","23821 ","Electrical contractors and other wiring installation contractors","862","9098","354871","21",
"Kentucky","2009","238210","Electrical contractors and other wiring installation contractors","862","9098","354871","21",
"Kentucky","2009","23822 ","Plumbing, heating, and air-conditioning contractors","1195","12053","515013","21",
"Kentucky","2009","238220","Plumbing, heating, and air-conditioning contractors","1195","12053","515013","21",
"Kentucky","2009","23829 ","Other building equipment contractors","103","3019","119595","21",
"Kentucky","2009","238290","Other building equipment contractors","103","3019","119595","21",
"Kentucky","2009","2383  ","Building finishing contractors","1094","7025","220898","21",
"Kentucky","2009","23831 ","Drywall and insulation contractors","194","2104","69666","21",
"Kentucky","2009","238310","Drywall and insulation contractors","194","2104","69666","21",
"Kentucky","2009","23832 ","Painting and wall covering contractors","320","1873","54416","21",
