"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Louisiana","2000","212   ","Mining (except oil & gas)","72","1543","68218","22",
"Louisiana","2000","2121  ","Coal mining","5","0","0","22",
"Louisiana","2000","21211 ","Coal mining","5","0","0","22",
"Louisiana","2000","212111","Bituminous coal & lignite surface mining","3","0","0","22",
"Louisiana","2000","212112","Bituminous coal underground mining","2","0","0","22",
"Louisiana","2000","2123  ","Nonmetallic mineral mining & quarrying","67","0","0","22",
"Louisiana","2000","235210","Painting & wall covering contractors","391","4013","85920","22",
"Louisiana","2000","235110","Plumbing, heating & AC contractor","1321","12060","352130","22",
"Louisiana","2000","2352  ","Painting & wall covering contractors","391","4013","85920","22",
"Louisiana","2000","23521 ","Painting & wall covering contractors","391","4013","85920","22",
"Louisiana","2000","311613","Rendering & meat by-product processing","2","0","0","22",
"Louisiana","2000","31161 ","Animal slaughtering & processing","66","5267","105880","22",
"Louisiana","2000","311611","Animal (except poultry) slaughtering","26","0","0","22",
"Louisiana","2000","311612","Meat processed from carcasses","31","876","20669","22",
"Louisiana","2000","311615","Poultry processing","7","4113","80579","22",
"Louisiana","2000","31182 ","Cookie, cracker & pasta mfg","4","0","0","22",
"Louisiana","2000","31181 ","Bread & bakery product mfg","90","0","0","22",
"Louisiana","2000","311811","Retail bakeries","59","0","0","22",
"Louisiana","2000","311812","Commercial bakeries","31","2031","67611","22",
"Louisiana","2000","311822","Flour mixes & dough mfg from purchased flour","1","0","0","22",
"Louisiana","2000","3119  ","Other food mfg","57","2924","88443","22",
"Louisiana","2000","311823","Dry pasta mfg","3","0","0","22",
"Louisiana","2000","31183 ","Tortilla mfg","1","0","0","22",
"Louisiana","2000","311830","Tortilla mfg","1","0","0","22",
"Louisiana","2000","31191 ","Snack food mfg","6","0","0","22",
"Louisiana","2000","311999","All other miscellaneous food mfg","15","703","18898","22",
"Louisiana","2000","312111","Soft drink mfg","7","1913","56253","22",
"Louisiana","2000","312   ","Beverage & tobacco product mfg","31","2138","61184","22",
"Louisiana","2000","3121  ","Beverage mfg","30","0","0","22",
"Louisiana","2000","31211 ","Soft drink & ice mfg","24","0","0","22",
"Louisiana","2000","3132  ","Fabric mills","4","0","0","22",
"Louisiana","2000","313221","Narrow fabric mills","2","0","0","22",
"Louisiana","2000","31321 ","Broadwoven fabric mills","2","0","0","22",
"Louisiana","2000","313210","Broadwoven fabric mills","2","0","0","22",
"Louisiana","2000","31322 ","Narrow fabric mills & schiffli mach embroidery","2","0","0","22",
"Louisiana","2000","3151  ","Apparel knitting mills","3","0","0","22",
"Louisiana","2000","315191","Outerwear knitting mills","2","0","0","22",
"Louisiana","2000","31511 ","Hosiery & sock mills","1","0","0","22",
"Louisiana","2000","315119","Other hosiery & sock mills","1","0","0","22",
"Louisiana","2000","31519 ","Other apparel knitting mills","2","0","0","22",
"Louisiana","2000","31611 ","Leather & hide tanning & finishing","3","26","207","22",
"Louisiana","2000","316211","Rubber & plastics footwear mfg","1","0","0","22",
