"GEO_TTL","YEAR","NAICS2002","NAICS2002_TTL","ESTAB","EMP","PAYANN","state",
"Louisiana","2003","33152 ","Nonferrous Metal Foundries","4","0","0","22",
"Louisiana","2003","331522","Nonferrous (except Aluminum) Die-Casting Foundries","1","0","0","22",
"Louisiana","2003","331524","Aluminum Foundries (except Die-Casting)","2","0","0","22",
"Louisiana","2003","331525","Copper Foundries (except Die-Casting)","1","0","0","22",
"Louisiana","2003","332312","Fabricated Structural Metal Manufacturing","71","5272","220403","22",
"Louisiana","2003","332313","Plate Work Manufacturing","10","181","3730","22",
"Louisiana","2003","33232 ","Ornamental and Architectural Metal Products Manufacturing","69","1268","37184","22",
"Louisiana","2003","332710","Machine Shops","264","3622","134541","22",
"Louisiana","2003","332321","Metal Window and Door Manufacturing","16","366","10936","22",
"Louisiana","2003","332322","Sheet Metal Work Manufacturing","33","462","16430","22",
"Louisiana","2003","33271 ","Machine Shops","264","3622","134541","22",
"Louisiana","2003","33272 ","Turned Product and Screw, Nut, and Bolt Manufacturing","21","461","18754","22",
"Louisiana","2003","333   ","Machinery Manufacturing","234","8842","337015","22",
"Louisiana","2003","332721","Precision Turned Product Manufacturing","17","390","16422","22",
"Louisiana","2003","332722","Bolt, Nut, Screw, Rivet, and Washer Manufacturing","4","71","2332","22",
"Louisiana","2003","332999","All Other Miscellaneous Fabricated Metal Product Manufacturing","39","0","0","22",
"Louisiana","2003","3331  ","Agriculture, Construction, and Mining Machinery Manufacturing","85","4042","166151","22",
"Louisiana","2003","333312","Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing","2","0","0","22",
"Louisiana","2003","33311 ","Agricultural Implement Manufacturing","16","0","0","22",
"Louisiana","2003","333111","Farm Machinery and Equipment Manufacturing","15","0","0","22",
"Louisiana","2003","33331 ","Commercial and Service Industry Machinery Manufacturing","24","1283","48993","22",
"Louisiana","2003","333613","Mechanical Power Transmission Equipment Manufacturing","2","0","0","22",
"Louisiana","2003","333314","Optical Instrument and Lens Manufacturing","2","0","0","22",
"Louisiana","2003","333319","Other Commercial and Service Industry Machinery Manufacturing","20","0","0","22",
"Louisiana","2003","333612","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing","1","0","0","22",
"Louisiana","2003","333618","Other Engine Equipment Manufacturing","3","0","0","22",
"Louisiana","2003","11511 ","Support Activities for Crop Production","124","862","20682","22",
"Louisiana","2003","3339  ","Other General Purpose Machinery Manufacturing","66","1376","48197","22",
"Louisiana","2003","1132  ","Forest Nurseries and Gathering of Forest Products","5","21","1092","22",
"Louisiana","2003","11321 ","Forest Nurseries and Gathering of Forest Products","5","21","1092","22",
"Louisiana","2003","113210","Forest Nurseries and Gathering of Forest Products","5","21","1092","22",
"Louisiana","2003","1133  ","Logging","425","3785","87139","22",
"Louisiana","2003","11331 ","Logging","425","3785","87139","22",
