"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Maryland","2008","00    ","Total for all sectors","138607","2232490","99649640","24",
"Maryland","2008","11    ","Agriculture, forestry, fishing and hunting","194","1018","29921","24",
"Maryland","2008","113   ","Forestry and logging","59","196","5052","24",
"Maryland","2008","1131  ","Timber tract operations","4","0","0","24",
"Maryland","2008","11311 ","Timber tract operations","4","0","0","24",
"Maryland","2008","113110","Timber tract operations","4","0","0","24",
"Maryland","2008","1132  ","Forest nurseries and gathering of forest products","4","0","0","24",
"Maryland","2008","11321 ","Forest nurseries and gathering of forest products","4","0","0","24",
"Maryland","2008","113210","Forest nurseries and gathering of forest products","4","0","0","24",
"Maryland","2008","1133  ","Logging","51","181","4502","24",
"Maryland","2008","11331 ","Logging","51","181","4502","24",
"Maryland","2008","113310","Logging","51","181","4502","24",
"Maryland","2008","114   ","Fishing, hunting and trapping","34","100","3617","24",
"Maryland","2008","1141  ","Fishing","27","22","543","24",
"Maryland","2008","11411 ","Fishing","27","22","543","24",
"Maryland","2008","114111","Finfish fishing","9","8","208","24",
"Maryland","2008","114112","Shellfish fishing","18","0","0","24",
"Maryland","2008","1142  ","Hunting and trapping","7","78","3074","24",
"Maryland","2008","11421 ","Hunting and trapping","7","78","3074","24",
"Maryland","2008","114210","Hunting and trapping","7","78","3074","24",
"Maryland","2008","115   ","Support activities for agriculture and forestry","101","722","21252","24",
"Maryland","2008","1151  ","Support activities for crop production","11","0","7139","24",
"Maryland","2008","11511 ","Support activities for crop production","11","0","7139","24",
"Maryland","2008","115112","Soil preparation, planting, and cultivating","1","0","0","24",
"Maryland","2008","115114","Postharvest crop activities (except cotton ginning)","5","196","6952","24",
"Maryland","2008","115116","Farm management services","5","0","172","24",
"Maryland","2008","1152  ","Support activities for animal production","81","445","13222","24",
"Maryland","2008","11521 ","Support activities for animal production","81","445","13222","24",
"Maryland","2008","115210","Support activities for animal production","81","445","13222","24",
"Maryland","2008","1153  ","Support activities for forestry","9","73","891","24",
"Maryland","2008","11531 ","Support activities for forestry","9","73","891","24",
"Maryland","2008","115310","Support activities for forestry","9","73","891","24",
"Maryland","2008","21    ","Mining, quarrying, and oil and gas extraction","84","1603","82656","24",
"Maryland","2008","211   ","Oil and gas extraction","4","0","0","24",
"Maryland","2008","2111  ","Oil and gas extraction","4","0","0","24",
"Maryland","2008","21111 ","Oil and gas extraction","4","0","0","24",
"Maryland","2008","211111","Crude petroleum and natural gas extraction","4","0","0","24",
"Maryland","2008","212   ","Mining (except oil and gas)","62","1308","63074","24",
"Maryland","2008","2121  ","Coal mining","12","304","16775","24",
"Maryland","2008","21211 ","Coal mining","12","304","16775","24",
"Maryland","2008","212111","Bituminous coal and lignite surface mining","9","253","13004","24",
"Maryland","2008","212112","Bituminous coal underground mining","1","0","0","24",
"Maryland","2008","212113","Anthracite mining","2","0","0","24",
"Maryland","2008","2123  ","Nonmetallic mineral mining and quarrying","50","1004","46299","24",
"Maryland","2008","21231 ","Stone mining and quarrying","28","727","34225","24",
"Maryland","2008","212311","Dimension stone mining and quarrying","4","0","0","24",
"Maryland","2008","212312","Crushed and broken limestone mining and quarrying","15","410","17672","24",
"Maryland","2008","212313","Crushed and broken granite mining and quarrying","4","0","0","24",
"Maryland","2008","212319","Other crushed and broken stone mining and quarrying","5","103","5667","24",
"Maryland","2008","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","20","0","0","24",
"Maryland","2008","212321","Construction sand and gravel mining","20","0","0","24",
"Maryland","2008","21239 ","Other nonmetallic mineral mining and quarrying","2","0","0","24",
"Maryland","2008","212399","All other nonmetallic mineral mining","2","0","0","24",
"Maryland","2008","213   ","Support activities for mining","18","219","14260","24",
"Maryland","2008","2131  ","Support activities for mining","18","219","14260","24",
"Maryland","2008","21311 ","Support activities for mining","18","219","14260","24",
"Maryland","2008","213111","Drilling oil and gas wells","1","0","0","24",
"Maryland","2008","213112","Support activities for oil and gas operations","6","0","0","24",
"Maryland","2008","213113","Support activities for coal mining","6","103","5694","24",
"Maryland","2008","213114","Support activities for metal mining","2","0","0","24",
"Maryland","2008","213115","Support activities for nonmetallic minerals (except fuels) mining","3","0","0","24",
"Maryland","2008","22    ","Utilities","121","10446","1225835","24",
"Maryland","2008","221   ","Utilities","121","10446","1225835","24",
"Maryland","2008","2211  ","Electric power generation, transmission and distribution","79","8945","1069594","24",
"Maryland","2008","22111 ","Electric power generation","17","2079","203757","24",
"Maryland","2008","221111","Hydroelectric power generation","2","0","0","24",
"Maryland","2008","221112","Fossil fuel electric power generation","13","1203","112664","24",
"Maryland","2008","221113","Nuclear electric power generation","1","0","0","24",
"Maryland","2008","221119","Other electric power generation","1","0","0","24",
"Maryland","2008","22112 ","Electric power transmission, control, and distribution","62","6866","865837","24",
"Maryland","2008","221121","Electric bulk power transmission and control","1","0","0","24",
"Maryland","2008","221122","Electric power distribution","61","6861","864087","24",
"Maryland","2008","2212  ","Natural gas distribution","13","1304","140639","24",
"Maryland","2008","22121 ","Natural gas distribution","13","1304","140639","24",
"Maryland","2008","221210","Natural gas distribution","13","1304","140639","24",
"Maryland","2008","2213  ","Water, sewage and other systems","29","197","15602","24",
"Maryland","2008","22131 ","Water supply and irrigation systems","18","75","5067","24",
"Maryland","2008","221310","Water supply and irrigation systems","18","75","5067","24",
"Maryland","2008","22132 ","Sewage treatment facilities","8","34","1792","24",
"Maryland","2008","221320","Sewage treatment facilities","8","34","1792","24",
"Maryland","2008","22133 ","Steam and air-conditioning supply","3","0","0","24",
"Maryland","2008","221330","Steam and air-conditioning supply","3","0","0","24",
"Maryland","2008","23    ","Construction","16233","182309","8944257","24",
"Maryland","2008","236   ","Construction of buildings","5426","39238","2138543","24",
"Maryland","2008","2361  ","Residential building construction","4499","22642","1023466","24",
"Maryland","2008","23611 ","Residential building construction","4499","22642","1023466","24",
"Maryland","2008","236115","New single-family housing construction (except operative builders)","849","5378","248311","24",
"Maryland","2008","236116","New multifamily housing construction (except operative builders)","60","992","66813","24",
"Maryland","2008","236117","New housing operative builders","387","3737","236994","24",
"Maryland","2008","236118","Residential remodelers","3203","12535","471348","24",
"Maryland","2008","2362  ","Nonresidential building construction","927","16596","1115077","24",
"Maryland","2008","23621 ","Industrial building construction","40","299","14694","24",
"Maryland","2008","236210","Industrial building construction","40","299","14694","24",
"Maryland","2008","23622 ","Commercial and institutional building construction","887","16297","1100383","24",
"Maryland","2008","236220","Commercial and institutional building construction","887","16297","1100383","24",
"Maryland","2008","237   ","Heavy and civil engineering construction","849","16746","877341","24",
"Maryland","2008","2371  ","Utility system construction","359","7570","381998","24",
"Maryland","2008","23711 ","Water and sewer line and related structures construction","202","4103","205082","24",
"Maryland","2008","237110","Water and sewer line and related structures construction","202","4103","205082","24",
"Maryland","2008","23712 ","Oil and gas pipeline and related structures construction","15","0","0","24",
"Maryland","2008","237120","Oil and gas pipeline and related structures construction","15","0","0","24",
"Maryland","2008","23713 ","Power and communication line and related structures construction","142","3042","154879","24",
"Maryland","2008","237130","Power and communication line and related structures construction","142","3042","154879","24",
"Maryland","2008","2372  ","Land subdivision","183","1481","71153","24",
"Maryland","2008","23721 ","Land subdivision","183","1481","71153","24",
"Maryland","2008","237210","Land subdivision","183","1481","71153","24",
"Maryland","2008","2373  ","Highway, street, and bridge construction","183","6106","344954","24",
"Maryland","2008","23731 ","Highway, street, and bridge construction","183","6106","344954","24",
"Maryland","2008","237310","Highway, street, and bridge construction","183","6106","344954","24",
"Maryland","2008","2379  ","Other heavy and civil engineering construction","124","1589","79236","24",
"Maryland","2008","23799 ","Other heavy and civil engineering construction","124","1589","79236","24",
"Maryland","2008","237990","Other heavy and civil engineering construction","124","1589","79236","24",
"Maryland","2008","238   ","Specialty trade contractors","9958","126325","5928373","24",
"Maryland","2008","2381  ","Foundation, structure, and building exterior contractors","2042","28564","1174380","24",
"Maryland","2008","23811 ","Poured concrete foundation and structure contractors","396","10390","429079","24",
"Maryland","2008","238110","Poured concrete foundation and structure contractors","396","10390","429079","24",
"Maryland","2008","23812 ","Structural steel and precast concrete contractors","64","1615","76674","24",
"Maryland","2008","238120","Structural steel and precast concrete contractors","64","1615","76674","24",
"Maryland","2008","23813 ","Framing contractors","270","1344","50193","24",
"Maryland","2008","238130","Framing contractors","270","1344","50193","24",
"Maryland","2008","23814 ","Masonry contractors","556","6848","242918","24",
"Maryland","2008","238140","Masonry contractors","556","6848","242918","24",
"Maryland","2008","23815 ","Glass and glazing contractors","126","2161","114816","24",
"Maryland","2008","238150","Glass and glazing contractors","126","2161","114816","24",
"Maryland","2008","23816 ","Roofing contractors","299","3869","164574","24",
"Maryland","2008","238160","Roofing contractors","299","3869","164574","24",
"Maryland","2008","23817 ","Siding contractors","185","809","34284","24",
"Maryland","2008","238170","Siding contractors","185","809","34284","24",
"Maryland","2008","23819 ","Other foundation, structure, and building exterior contractors","146","1528","61842","24",
"Maryland","2008","238190","Other foundation, structure, and building exterior contractors","146","1528","61842","24",
"Maryland","2008","2382  ","Building equipment contractors","4003","57261","3072914","24",
"Maryland","2008","23821 ","Electrical contractors and other wiring installation contractors","1763","22808","1192378","24",
"Maryland","2008","238210","Electrical contractors and other wiring installation contractors","1763","22808","1192378","24",
"Maryland","2008","23822 ","Plumbing, heating, and air-conditioning contractors","2091","30044","1574520","24",
"Maryland","2008","238220","Plumbing, heating, and air-conditioning contractors","2091","30044","1574520","24",
"Maryland","2008","23829 ","Other building equipment contractors","149","4409","306016","24",
"Maryland","2008","238290","Other building equipment contractors","149","4409","306016","24",
"Maryland","2008","2383  ","Building finishing contractors","2739","24567","988941","24",
"Maryland","2008","23831 ","Drywall and insulation contractors","396","8173","329525","24",
"Maryland","2008","238310","Drywall and insulation contractors","396","8173","329525","24",
"Maryland","2008","23832 ","Painting and wall covering contractors","907","5300","196430","24",
"Maryland","2008","238320","Painting and wall covering contractors","907","5300","196430","24",
"Maryland","2008","23833 ","Flooring contractors","355","1857","76980","24",
"Maryland","2008","238330","Flooring contractors","355","1857","76980","24",
"Maryland","2008","23834 ","Tile and terrazzo contractors","187","1185","51739","24",
"Maryland","2008","238340","Tile and terrazzo contractors","187","1185","51739","24",
"Maryland","2008","23835 ","Finish carpentry contractors","692","4794","196340","24",
"Maryland","2008","238350","Finish carpentry contractors","692","4794","196340","24",
"Maryland","2008","23839 ","Other building finishing contractors","202","3258","137927","24",
"Maryland","2008","238390","Other building finishing contractors","202","3258","137927","24",
"Maryland","2008","2389  ","Other specialty trade contractors","1174","15933","692138","24",
"Maryland","2008","23891 ","Site preparation contractors","630","8334","362380","24",
"Maryland","2008","238910","Site preparation contractors","630","8334","362380","24",
"Maryland","2008","23899 ","All other specialty trade contractors","544","7599","329758","24",
"Maryland","2008","238990","All other specialty trade contractors","544","7599","329758","24",
"Maryland","2008","31-33 ","Manufacturing","3527","122213","6503343","24",
"Maryland","2008","311   ","Food manufacturing","310","14442","553973","24",
"Maryland","2008","3111  ","Animal food manufacturing","15","0","15139","24",
"Maryland","2008","31111 ","Animal food manufacturing","15","0","15139","24",
"Maryland","2008","311111","Dog and cat food manufacturing","3","0","0","24",
"Maryland","2008","311119","Other animal food manufacturing","12","0","11298","24",
"Maryland","2008","3112  ","Grain and oilseed milling","10","419","21681","24",
"Maryland","2008","31121 ","Flour milling and malt manufacturing","4","103","4402","24",
"Maryland","2008","311211","Flour milling","2","0","0","24",
"Maryland","2008","311213","Malt manufacturing","2","0","0","24",
"Maryland","2008","31122 ","Starch and vegetable fats and oils manufacturing","5","312","17227","24",
"Maryland","2008","311222","Soybean processing","3","0","0","24",
"Maryland","2008","311225","Fats and oils refining and blending","2","0","0","24",
"Maryland","2008","31123 ","Breakfast cereal manufacturing","1","0","0","24",
"Maryland","2008","311230","Breakfast cereal manufacturing","1","0","0","24",
"Maryland","2008","3113  ","Sugar and confectionery product manufacturing","24","0","0","24",
"Maryland","2008","31131 ","Sugar manufacturing","1","0","0","24",
"Maryland","2008","311312","Cane sugar refining","1","0","0","24",
"Maryland","2008","31132 ","Chocolate and confectionery manufacturing from cacao beans","5","0","0","24",
"Maryland","2008","311320","Chocolate and confectionery manufacturing from cacao beans","5","0","0","24",
"Maryland","2008","31133 ","Confectionery manufacturing from purchased chocolate","9","116","2076","24",
"Maryland","2008","311330","Confectionery manufacturing from purchased chocolate","9","116","2076","24",
"Maryland","2008","31134 ","Nonchocolate confectionery manufacturing","9","199","7251","24",
"Maryland","2008","311340","Nonchocolate confectionery manufacturing","9","199","7251","24",
"Maryland","2008","3114  ","Fruit and vegetable preserving and specialty food manufacturing","10","457","18286","24",
"Maryland","2008","31141 ","Frozen food manufacturing","5","156","4878","24",
"Maryland","2008","311411","Frozen fruit, juice, and vegetable manufacturing","2","0","0","24",
"Maryland","2008","311412","Frozen specialty food manufacturing","3","0","0","24",
"Maryland","2008","31142 ","Fruit and vegetable canning, pickling, and drying","5","0","0","24",
"Maryland","2008","311421","Fruit and vegetable canning","4","0","0","24",
"Maryland","2008","311422","Specialty canning","1","0","0","24",
