"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Michigan","2000","235430","Tile, marble, terrazzo & mosaic contractors","201","1068","34737","26",
"Michigan","2000","2355  ","Carpentry & floor contractors","2426","14180","431050","26",
"Michigan","2000","23551 ","Carpentry contractors","1947","11486","351726","26",
"Michigan","2000","235510","Carpentry contractors","1947","11486","351726","26",
"Michigan","2000","23552 ","Floor laying & other floor contractors","479","2694","79324","26",
"Michigan","2000","31-33 ","Manufacturing","15550","819227","37795762","26",
"Michigan","2000","311   ","Food mfg","813","30162","1014885","26",
"Michigan","2000","3111  ","Animal food mfg","31","0","0","26",
"Michigan","2000","31111 ","Animal food mfg","31","0","0","26",
"Michigan","2000","311111","Dog & cat food mfg","4","0","0","26",
"Michigan","2000","1133  ","Logging","414","1821","42020","26",
"Michigan","2000","11331 ","Logging","414","1821","42020","26",
"Michigan","2000","113310","Logging","414","1821","42020","26",
"Michigan","2000","11521 ","Animal production support activities","79","514","11276","26",
"Michigan","2000","114   ","Fishing, hunting & trapping","41","0","0","26",
"Michigan","2000","1141  ","Fishing","27","0","0","26",
"Michigan","2000","1152  ","Animal production support activities","79","514","11276","26",
"Michigan","2000","115210","Animal production support activities","79","514","11276","26",
"Michigan","2000","21231 ","Stone mining & quarrying","31","0","0","26",
"Michigan","2000","1153  ","Forestry support activities","49","115","3994","26",
"Michigan","2000","11531 ","Forestry support activities","49","115","3994","26",
"Michigan","2000","2123  ","Nonmetallic mineral mining & quarrying","176","0","0","26",
"Michigan","2000","212311","Dimension stone mining & quarrying","2","0","0","26",
"Michigan","2000","213115","Nonmetallic minerals support activity (exc fuels)","5","0","0","26",
"Michigan","2000","212312","Crushed & broken limestone mining & quarrying","19","606","29541","26",
"Michigan","2000","212313","Crushed & broken granite mining & quarrying","1","0","0","26",
"Michigan","2000","213114","Support activities for metal mining","3","0","0","26",
"Michigan","2000","22    ","Utilities","440","25216","1681323","26",
"Michigan","2000","23    ","Construction","27149","203994","8518840","26",
"Michigan","2000","221   ","Utilities","440","25216","1681323","26",
"Michigan","2000","2211  ","Elec pwr generation, transmsn & distribution","293","21218","1439329","26",
"Michigan","2000","221320","Sewage treatment facilities","13","36","1083","26",
"Michigan","2000","233   ","Building, developing & general contracting","8784","51427","1981137","26",
"Michigan","2000","23492 ","Pwr, communication transmsn line construction","117","2605","115696","26",
"Michigan","2000","2331  ","Land subdivision & land development","409","1866","76457","26",
"Michigan","2000","23311 ","Land subdivision & land development","409","1866","76457","26",
"Michigan","2000","234910","Water, sewer & pipeline construction","237","4413","226164","26",
"Michigan","2000","234920","Pwr, communication transmsn line construction","117","2605","115696","26",
"Michigan","2000","23561 ","Roofing, siding, & sheet metal contractors","1066","8592","297428","26",
"Michigan","2000","23493 ","Industrial nonbuilding structure construction","15","522","29269","26",
"Michigan","2000","235520","Floor laying & other floor contractors","479","2694","79324","26",
"Michigan","2000","2356  ","Roofing, siding, & sheet metal contractors","1066","8592","297428","26",
"Michigan","2000","235610","Roofing, siding, & sheet metal contractors","1066","8592","297428","26",
"Michigan","2000","11411 ","Fishing","27","0","0","26",
"Michigan","2000","114111","Finfish fishing","15","0","0","26",
"Michigan","2000","114112","Shellfish fishing","12","20","441","26",
