"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Minnesota","2001","1132  ","Forest nurseries & gathering forest products","6","0","0","27",
"Minnesota","2001","11321 ","Forest nurseries & gathering forest products","6","0","0","27",
"Minnesota","2001","113210","Forest nurseries & gathering forest products","6","0","0","27",
"Minnesota","2001","1133  ","Logging","217","1019","22651","27",
"Minnesota","2001","11331 ","Logging","217","1019","22651","27",
"Minnesota","2001","21239 ","Other nonmetallic mineral mining & quarrying","5","0","0","27",
"Minnesota","2001","212393","Other chemical & fertilizer mineral mining","1","0","0","27",
"Minnesota","2001","2349  ","Other heavy construction","657","6766","429705","27",
"Minnesota","2001","212399","All other nonmetallic mineral mining","4","0","0","27",
"Minnesota","2001","213   ","Mining support activities","19","0","0","27",
"Minnesota","2001","2131  ","Mining support activities","19","0","0","27",
"Minnesota","2001","23491 ","Water, sewer & pipeline construction","220","2556","192493","27",
"Minnesota","2001","311111","Dog & cat food mfg","7","0","0","27",
"Minnesota","2001","234910","Water, sewer & pipeline construction","220","2556","192493","27",
"Minnesota","2001","23492 ","Pwr, communication transmsn line construction","96","1049","58868","27",
"Minnesota","2001","31111 ","Animal food mfg","76","0","0","27",
"Minnesota","2001","311919","Other snack food mfg","7","0","0","27",
"Minnesota","2001","311119","Other animal food mfg","69","1164","64268","27",
"Minnesota","2001","3112  ","Grain & oilseed milling","43","3260","136182","27",
"Minnesota","2001","31121 ","Flour milling & malt mfg","24","1038","40033","27",
"Minnesota","2001","31192 ","Coffee & tea mfg","12","0","0","27",
"Minnesota","2001","315212","Women's, girls', infants,","64","398","7630","27",
"Minnesota","2001","311920","Coffee & tea mfg","12","0","0","27",
"Minnesota","2001","31193 ","Flavoring syrup & concentrate mfg","2","0","0","27",
"Minnesota","2001","311930","Flavoring syrup & concentrate mfg","2","0","0","27",
"Minnesota","2001","31522 ","Men's, boys' cut & sew apparel mfg","11","0","0","27",
"Minnesota","2001","322225","Laminated aluminum foil mfg for flexible pkg","1","0","0","27",
"Minnesota","2001","315222","Men's, boys' cut & sew suit, coat, overcoat mfg","2","0","0","27",
"Minnesota","2001","315223","Men's, boys' cut & sew shirt (exc work) mfg","1","0","0","27",
"Minnesota","2001","322224","Uncoated paper & multiwall bag mfg","2","0","0","27",
"Minnesota","2001","32592 ","Explosives mfg","3","0","0","27",
"Minnesota","2001","32223 ","Stationery product mfg","23","0","0","27",
"Minnesota","2001","322231","Die-cut paper & paperboard office supply mfg","9","0","0","27",
"Minnesota","2001","325910","Printing ink mfg","10","0","0","27",
"Minnesota","2001","325920","Explosives mfg","3","0","0","27",
"Minnesota","2001","326112","Unsupported plastics packaging film & sheet mfg","4","423","14382","27",
"Minnesota","2001","32599 ","All other chemical product & preparation mfg","42","1878","92655","27",
"Minnesota","2001","325991","Custom compounding of purchased resin","13","700","27046","27",
"Minnesota","2001","326111","Unsupported plastics bag mfg","14","462","18652","27",
"Minnesota","2001","326122","Plastics pipe & pipe fitting mfg","7","365","10578","27",
"Minnesota","2001","326113","Unsupported plastics film & sheet (except packaging","25","1916","62035","27",
"Minnesota","2001","32612 ","Plastics pipe, pipe fitting, & unsupported profile","21","675","21876","27",
"Minnesota","2001","326121","Unsupported plastics profile shape mfg","14","310","11298","27",
"Minnesota","2001","32613 ","Laminated plastics plate, sheet & shape mfg","13","267","7564","27",
"Minnesota","2001","326211","Tire mfg (exc retreading)","1","0","0","27",
"Minnesota","2001","326130","Laminated plastics plate, sheet & shape mfg","13","267","7564","27",
"Minnesota","2001","32614 ","Polystyrene foam product mfg","14","470","15608","27",
"Minnesota","2001","32621 ","Tire mfg","6","0","0","27",
"Minnesota","2001","326212","Tire retreading","5","0","0","27",
"Minnesota","2001","327212","Other pressed & blown glass & glassware mfg","6","0","0","27",
"Minnesota","2001","32622 ","Rubber & plastics hoses & belting mfg","3","0","0","27",
"Minnesota","2001","326220","Rubber & plastics hoses & belting mfg","3","0","0","27",
"Minnesota","2001","327211","Flat glass mfg","2","0","0","27",
