"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Mississippi","2011","00    ","Total for all sectors","58592","887772","29585310","28",
"Mississippi","2011","11    ","Agriculture, forestry, fishing and hunting","682","4658","152773","28",
"Mississippi","2011","11411 ","Fishing","9","56","899","28",
"Mississippi","2011","23891 ","Site preparation contractors","308","2454","92504","28",
"Mississippi","2011","113   ","Forestry and logging","463","3110","101631","28",
"Mississippi","2011","1131  ","Timber tract operations","24","90","3368","28",
"Mississippi","2011","11311 ","Timber tract operations","24","90","3368","28",
"Mississippi","2011","113110","Timber tract operations","24","90","3368","28",
"Mississippi","2011","1132  ","Forest nurseries and gathering of forest products","2","0","0","28",
"Mississippi","2011","1151  ","Support activities for crop production","99","562","22592","28",
"Mississippi","2011","11321 ","Forest nurseries and gathering of forest products","2","0","0","28",
"Mississippi","2011","113210","Forest nurseries and gathering of forest products","2","0","0","28",
"Mississippi","2011","1133  ","Logging","437","3000","97260","28",
"Mississippi","2011","11331 ","Logging","437","3000","97260","28",
"Mississippi","2011","115111","Cotton ginning","13","25","1731","28",
"Mississippi","2011","113310","Logging","437","3000","97260","28",
"Mississippi","2011","114   ","Fishing, hunting and trapping","12","63","1151","28",
"Mississippi","2011","1141  ","Fishing","9","56","899","28",
"Mississippi","2011","114111","Finfish fishing","7","49","666","28",
"Mississippi","2011","114112","Shellfish fishing","2","0","0","28",
"Mississippi","2011","1142  ","Hunting and trapping","3","0","0","28",
"Mississippi","2011","11421 ","Hunting and trapping","3","0","0","28",
"Mississippi","2011","114210","Hunting and trapping","3","0","0","28",
"Mississippi","2011","115   ","Support activities for agriculture and forestry","207","1485","49991","28",
"Mississippi","2011","11511 ","Support activities for crop production","99","562","22592","28",
"Mississippi","2011","115112","Soil preparation, planting, and cultivating","67","261","14325","28",
"Mississippi","2011","115113","Crop harvesting, primarily by machine","1","0","0","28",
"Mississippi","2011","115114","Postharvest crop activities (except cotton ginning)","10","151","3901","28",
"Mississippi","2011","115115","Farm labor contractors and crew leaders","4","0","0","28",
"Mississippi","2011","115116","Farm management services","4","0","147","28",
"Mississippi","2011","21111 ","Oil and gas extraction","81","919","101990","28",
"Mississippi","2011","1152  ","Support activities for animal production","21","247","6763","28",
"Mississippi","2011","11521 ","Support activities for animal production","21","247","6763","28",
"Mississippi","2011","115210","Support activities for animal production","21","247","6763","28",
"Mississippi","2011","1153  ","Support activities for forestry","87","676","20636","28",
"Mississippi","2011","11531 ","Support activities for forestry","87","676","20636","28",
"Mississippi","2011","115310","Support activities for forestry","87","676","20636","28",
"Mississippi","2011","21    ","Mining, quarrying, and oil and gas extraction","366","5367","376141","28",
"Mississippi","2011","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","35","399","13996","28",
"Mississippi","2011","211   ","Oil and gas extraction","81","919","101990","28",
"Mississippi","2011","2111  ","Oil and gas extraction","81","919","101990","28",
"Mississippi","2011","211111","Crude petroleum and natural gas extraction","78","844","94362","28",
"Mississippi","2011","211112","Natural gas liquid extraction","3","0","0","28",
"Mississippi","2011","212   ","Mining (except oil and gas)","44","715","32287","28",
"Mississippi","2011","2121  ","Coal mining","2","0","0","28",
"Mississippi","2011","21211 ","Coal mining","2","0","0","28",
"Mississippi","2011","212111","Bituminous coal and lignite surface mining","2","0","0","28",
"Mississippi","2011","2123  ","Nonmetallic mineral mining and quarrying","42","450","16721","28",
"Mississippi","2011","21231 ","Stone mining and quarrying","6","0","0","28",
"Mississippi","2011","212311","Dimension stone mining and quarrying","1","0","0","28",
"Mississippi","2011","212312","Crushed and broken limestone mining and quarrying","5","0","0","28",
"Mississippi","2011","212321","Construction sand and gravel mining","32","291","9516","28",
"Mississippi","2011","212325","Clay and ceramic and refractory minerals mining","3","0","0","28",
"Mississippi","2011","21239 ","Other nonmetallic mineral mining and quarrying","1","0","0","28",
"Mississippi","2011","212399","All other nonmetallic mineral mining","1","0","0","28",
"Mississippi","2011","213   ","Support activities for mining","241","3733","241864","28",
"Mississippi","2011","2131  ","Support activities for mining","241","3733","241864","28",
"Mississippi","2011","21311 ","Support activities for mining","241","3733","241864","28",
"Mississippi","2011","213111","Drilling oil and gas wells","37","0","0","28",
"Mississippi","2011","213112","Support activities for oil and gas operations","199","2464","152400","28",
"Mississippi","2011","213113","Support activities for coal mining","2","0","0","28",
"Mississippi","2011","213115","Support activities for nonmetallic minerals (except fuels) mining","3","0","698","28",
"Mississippi","2011","22    ","Utilities","595","9292","620968","28",
"Mississippi","2011","221   ","Utilities","595","9292","620968","28",
"Mississippi","2011","2211  ","Electric power generation, transmission and distribution","224","6928","536310","28",
"Mississippi","2011","22111 ","Electric power generation","31","1826","159416","28",
"Mississippi","2011","221112","Fossil fuel electric power generation","22","1073","81888","28",
"Mississippi","2011","221113","Nuclear electric power generation","9","0","0","28",
"Mississippi","2011","221330","Steam and air-conditioning supply","1","0","0","28",
"Mississippi","2011","22112 ","Electric power transmission, control, and distribution","193","5102","376894","28",
"Mississippi","2011","221121","Electric bulk power transmission and control","1","0","0","28",
"Mississippi","2011","221122","Electric power distribution","192","5087","375645","28",
"Mississippi","2011","2212  ","Natural gas distribution","42","0","36887","28",
"Mississippi","2011","22121 ","Natural gas distribution","42","0","36887","28",
"Mississippi","2011","221210","Natural gas distribution","42","0","36887","28",
"Mississippi","2011","2213  ","Water, sewage and other systems","329","1657","47771","28",
"Mississippi","2011","22131 ","Water supply and irrigation systems","309","1101","27398","28",
"Mississippi","2011","221310","Water supply and irrigation systems","309","1101","27398","28",
"Mississippi","2011","22132 ","Sewage treatment facilities","19","549","20107","28",
"Mississippi","2011","236118","Residential remodelers","237","690","17307","28",
"Mississippi","2011","221320","Sewage treatment facilities","19","549","20107","28",
"Mississippi","2011","22133 ","Steam and air-conditioning supply","1","0","0","28",
"Mississippi","2011","23    ","Construction","4075","42083","1707794","28",
"Mississippi","2011","236   ","Construction of buildings","1070","9144","391485","28",
"Mississippi","2011","2361  ","Residential building construction","683","2442","68915","28",
"Mississippi","2011","23611 ","Residential building construction","683","2442","68915","28",
