"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Missouri","2002","321214","Truss mfg","30","645","19545","29",
"Missouri","2002","321219","Reconstituted wood product mfg","2","0","0","29",
"Missouri","2002","3219  ","Other wood product mfg","272","5863","144370","29",
"Missouri","2002","32191 ","Millwork","111","2466","65797","29",
"Missouri","2002","321911","Wood window & door mfg","17","454","13688","29",
"Missouri","2002","321912","Cut stock, resawing lumber & planing","54","932","18439","29",
"Missouri","2002","3252  ","Resin, syn rubber, artf & syn fibers, fil mfg","9","0","0","29",
"Missouri","2002","327125","Nonclay refractory mfg","1","0","0","29",
"Missouri","2002","32521 ","Resin & synthetic rubber mfg","9","0","0","29",
"Missouri","2002","325211","Plastics material & resin mfg","9","0","0","29",
"Missouri","2002","3253  ","Pesticide, fertilizer & oth ag chemical mfg","32","3140","183005","29",
"Missouri","2002","3272  ","Glass & glass product mfg","31","1395","56537","29",
"Missouri","2002","332213","Saw blade & handsaw mfg","3","0","0","29",
"Missouri","2002","32721 ","Glass & glass product mfg","31","1395","56537","29",
"Missouri","2002","327212","Other pressed & blown glass & glassware mfg","5","0","0","29",
"Missouri","2002","327213","Glass container mfg","3","0","0","29",
"Missouri","2002","332214","Kitchen utensil, pot & pan mfg","2","0","0","29",
"Missouri","2002","333311","Automatic vending machine mfg","4","0","0","29",
"Missouri","2002","3323  ","Architectural & structural metals mfg","277","8077","276362","29",
"Missouri","2002","33231 ","Plate work & fabricated structural prod mfg","117","3070","112979","29",
"Missouri","2002","332311","Prefab metal building & component mfg","20","619","22376","29",
"Missouri","2002","333312","Commercial laundry, dryclean & press mach mfg","2","0","0","29",
"Missouri","2002","334511","Search, detection & navigation instrument mfg","3","0","0","29",
"Missouri","2002","333313","Office machinery mfg","1","0","0","29",
"Missouri","2002","333314","Optical instrument & lens mfg","4","0","0","29",
"Missouri","2002","333315","Photographic & photocopying equipment mfg","5","0","0","29",
"Missouri","2002","334512","Automatic environmental control mfg","8","0","0","29",
"Missouri","2002","336391","Motor vehicle air-conditioning mfg","1","0","0","29",
"Missouri","2002","334513","Industrial process control mfg","13","307","11950","29",
"Missouri","2002","334514","Total fluid meter & counting device mfg","3","0","0","29",
"Missouri","2002","334515","Electricity measuring, testing instrument mfg","5","417","29998","29",
"Missouri","2002","336399","All other motor vehicle parts mfg","38","0","0","29",
"Missouri","2002","42112 ","Motor vehicle supplies & new parts whsle","264","3735","115533","29",
"Missouri","2002","3364  ","Aerospace product & parts mfg","23","5611","103916","29",
"Missouri","2002","33641 ","Aerospace product & parts mfg","23","5611","103916","29",
"Missouri","2002","336411","Aircraft mfg","4","0","0","29",
"Missouri","2002","42114 ","Motor vehicle parts (used) whsle","142","950","25554","29",
"Missouri","2002","421120","Motor vehicle supplies & new parts whsle","264","3735","115533","29",
"Missouri","2002","42113 ","Tire & tube whsle","53","696","25109","29",
"Missouri","2002","421130","Tire & tube whsle","53","696","25109","29",
"Missouri","2002","421920","Toy & hobby goods & supplies whsle","61","611","19762","29",
"Missouri","2002","42193 ","Recyclable material whsle","163","1996","71814","29",
"Missouri","2002","422940","Tobacco & tobacco product whsle","31","882","30687","29",
"Missouri","2002","421930","Recyclable material whsle","163","1996","71814","29",
"Missouri","2002","42194 ","Jewelry, watch, precious stone & metal whsle","72","321","10883","29",
"Missouri","2002","421940","Jewelry, watch, precious stone & metal whsle","72","321","10883","29",
"Missouri","2002","42295 ","Paint, varnish & supplies whsle","52","323","10494","29",
"Missouri","2002","44611 ","Pharmacies & drug stores","742","12752","345279","29",
"Missouri","2002","422950","Paint, varnish & supplies whsle","52","323","10494","29",
"Missouri","2002","42299 ","Other miscellaneous nondurable goods whsle","259","2655","91950","29",
"Missouri","2002","4461  ","Health & personal care stores","1544","17776","445416","29",
"Missouri","2002","453920","Art dealers","67","199","3995","29",
"Missouri","2002","446110","Pharmacies & drug stores","742","12752","345279","29",
"Missouri","2002","44612 ","Cosmetics, beauty supplies & perfume stores","193","1599","19763","29",
"Missouri","2002","45392 ","Art dealers","67","199","3995","29",
"Missouri","2002","48599 ","Oth transit & ground passenger transportation","60","1099","16851","29",
"Missouri","2002","45393 ","Manufactured (mobile) home dealers","152","874","22482","29",
