"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Montana","2009","00    ","Total for all sectors","36326","341357","10654179","30",
"Montana","2009","11    ","Agriculture, forestry, fishing and hunting","369","1127","42799","30",
"Montana","2009","113   ","Forestry and logging","200","643","25160","30",
"Montana","2009","1131  ","Timber tract operations","3","1","82","30",
"Montana","2009","11311 ","Timber tract operations","3","1","82","30",
"Montana","2009","113110","Timber tract operations","3","1","82","30",
"Montana","2009","1133  ","Logging","197","642","25078","30",
"Montana","2009","114   ","Fishing, hunting and trapping","9","0","0","30",
"Montana","2009","1141  ","Fishing","4","0","75","30",
"Montana","2009","114112","Shellfish fishing","2","0","0","30",
"Montana","2009","114210","Hunting and trapping","5","0","0","30",
"Montana","2009","115   ","Support activities for agriculture and forestry","160","334","10547","30",
"Montana","2009","115112","Soil preparation, planting, and cultivating","32","42","2657","30",
"Montana","2009","115116","Farm management services","8","0","0","30",
"Montana","2009","115310","Support activities for forestry","64","80","2602","30",
"Montana","2009","11331 ","Logging","197","642","25078","30",
"Montana","2009","113310","Logging","197","642","25078","30",
"Montana","2009","11411 ","Fishing","4","0","75","30",
"Montana","2009","114111","Finfish fishing","2","0","0","30",
"Montana","2009","1142  ","Hunting and trapping","5","0","0","30",
"Montana","2009","11421 ","Hunting and trapping","5","0","0","30",
"Montana","2009","1151  ","Support activities for crop production","55","149","5487","30",
"Montana","2009","11511 ","Support activities for crop production","55","149","5487","30",
"Montana","2009","115113","Crop harvesting, primarily by machine","3","0","0","30",
"Montana","2009","115114","Postharvest crop activities (except cotton ginning)","12","62","1599","30",
"Montana","2009","1152  ","Support activities for animal production","41","105","2458","30",
"Montana","2009","11521 ","Support activities for animal production","41","105","2458","30",
"Montana","2009","115210","Support activities for animal production","41","105","2458","30",
"Montana","2009","1153  ","Support activities for forestry","64","80","2602","30",
"Montana","2009","11531 ","Support activities for forestry","64","80","2602","30",
"Montana","2009","21    ","Mining, quarrying, and oil and gas extraction","314","6044","382443","30",
"Montana","2009","212   ","Mining (except oil and gas)","64","0","0","30",
"Montana","2009","211   ","Oil and gas extraction","87","630","52327","30",
"Montana","2009","2111  ","Oil and gas extraction","87","630","52327","30",
"Montana","2009","21111 ","Oil and gas extraction","87","630","52327","30",
"Montana","2009","211111","Crude petroleum and natural gas extraction","82","588","49692","30",
"Montana","2009","211112","Natural gas liquid extraction","5","42","2635","30",
"Montana","2009","2121  ","Coal mining","6","0","0","30",
"Montana","2009","212221","Gold ore mining","8","0","0","30",
"Montana","2009","21211 ","Coal mining","6","0","0","30",
"Montana","2009","212111","Bituminous coal and lignite surface mining","5","0","0","30",
"Montana","2009","212112","Bituminous coal underground mining","1","0","0","30",
"Montana","2009","2122  ","Metal ore mining","13","0","0","30",
"Montana","2009","21222 ","Gold ore and silver ore mining","8","0","0","30",
"Montana","2009","21223 ","Copper, nickel, lead, and zinc mining","2","0","0","30",
"Montana","2009","2123  ","Nonmetallic mineral mining and quarrying","45","476","22197","30",
"Montana","2009","212234","Copper ore and nickel ore mining","2","0","0","30",
"Montana","2009","21229 ","Other metal ore mining","3","0","0","30",
"Montana","2009","212299","All other metal ore mining","3","0","0","30",
"Montana","2009","21231 ","Stone mining and quarrying","17","129","4318","30",
"Montana","2009","212311","Dimension stone mining and quarrying","11","0","2286","30",
"Montana","2009","212312","Crushed and broken limestone mining and quarrying","1","0","0","30",
"Montana","2009","21239 ","Other nonmetallic mineral mining and quarrying","7","0","0","30",
"Montana","2009","212399","All other nonmetallic mineral mining","7","0","0","30",
"Montana","2009","213   ","Support activities for mining","163","1805","101701","30",
"Montana","2009","21311 ","Support activities for mining","163","1805","101701","30",
"Montana","2009","213111","Drilling oil and gas wells","31","477","27401","30",
"Montana","2009","213113","Support activities for coal mining","3","0","0","30",
"Montana","2009","213114","Support activities for metal mining","12","87","8588","30",
"Montana","2009","221   ","Utilities","191","2907","214479","30",
"Montana","2009","2211  ","Electric power generation, transmission and distribution","133","2489","190026","30",
"Montana","2009","221111","Hydroelectric power generation","11","0","0","30",
"Montana","2009","221112","Fossil fuel electric power generation","6","0","0","30",
"Montana","2009","221122","Electric power distribution","115","2249","169344","30",
"Montana","2009","221210","Natural gas distribution","25","0","0","30",
"Montana","2009","2213  ","Water, sewage and other systems","33","135","5453","30",
"Montana","2009","22132 ","Sewage treatment facilities","3","27","1091","30",
"Montana","2009","236116","New multifamily housing construction (except operative builders)","26","0","981","30",
