"GEO_TTL","YEAR","NAICS2002","NAICS2002_TTL","ESTAB","EMP","PAYANN","state",
"Nebraska","2004","562998","All Other Miscellaneous Waste Management Services","6","0","0","31",
"Nebraska","2004","61    ","Educational Services","488","16081","365614","31",
"Nebraska","2004","611   ","Educational Services","488","16081","365614","31",
"Nebraska","2004","6111  ","Elementary and Secondary Schools","180","4587","88207","31",
"Nebraska","2004","61111 ","Elementary and Secondary Schools","180","4587","88207","31",
"Nebraska","2004","2362  ","Nonresidential Building Construction","289","5056","194019","31",
"Nebraska","2004","236116","New Multifamily Housing Construction (except Operative Builders)","34","0","0","31",
"Nebraska","2004","236117","New Housing Operative Builders","110","0","0","31",
"Nebraska","2004","236118","Residential Remodelers","490","0","0","31",
"Nebraska","2004","311211","Flour Milling","9","778","49032","31",
"Nebraska","2004","23621 ","Industrial Building Construction","18","0","0","31",
"Nebraska","2004","3112  ","Grain and Oilseed Milling","21","2338","143091","31",
"Nebraska","2004","31121 ","Flour Milling and Malt Manufacturing","9","778","49032","31",
"Nebraska","2004","31122 ","Starch and Vegetable Fats and Oils Manufacturing","9","0","0","31",
"Nebraska","2004","3133  ","Textile and Fabric Finishing and Fabric Coating Mills","5","0","0","31",
"Nebraska","2004","311221","Wet Corn Milling","4","0","0","31",
"Nebraska","2004","31322 ","Narrow Fabric Mills and Schiffli Machine Embroidery","1","0","0","31",
"Nebraska","2004","313222","Schiffli Machine Embroidery","1","0","0","31",
"Nebraska","2004","31331 ","Textile and Fabric Finishing Mills","4","0","0","31",
"Nebraska","2004","322233","Stationery, Tablet, and Related Product Manufacturing","1","0","0","31",
"Nebraska","2004","322224","Uncoated Paper and Multiwall Bag Manufacturing","1","0","0","31",
"Nebraska","2004","32223 ","Stationery Product Manufacturing","2","0","0","31",
"Nebraska","2004","322232","Envelope Manufacturing","1","0","0","31",
"Nebraska","2004","326130","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","1","0","0","31",
