"GEO_TTL","YEAR","NAICS2002","NAICS2002_TTL","ESTAB","EMP","PAYANN","state",
"Nevada","2003","515112","Radio Stations","50","1197","48759","32",
"Nevada","2003","51512 ","Television Broadcasting","23","1245","58589","32",
"Nevada","2003","515120","Television Broadcasting","23","1245","58589","32",
"Nevada","2003","5152  ","Cable and Other Subscription Programming","4","4","162","32",
"Nevada","2003","51521 ","Cable and Other Subscription Programming","4","4","162","32",
"Nevada","2003","5231  ","Securities and Commodity Contracts Intermediation and Brokerage","300","0","0","32",
"Nevada","2003","52311 ","Investment Banking and Securities Dealing","69","141","6810","32",
"Nevada","2003","532120","Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing","51","339","10342","32",
"Nevada","2003","523110","Investment Banking and Securities Dealing","69","141","6810","32",
"Nevada","2003","52312 ","Securities Brokerage","220","1487","110378","32",
"Nevada","2003","523120","Securities Brokerage","220","1487","110378","32",
"Nevada","2003","54161 ","Management Consulting Services","1284","5015","225721","32",
"Nevada","2003","5322  ","Consumer Goods Rental","289","2340","46718","32",
"Nevada","2003","53221 ","Consumer Electronics and Appliances Rental","33","173","5887","32",
"Nevada","2003","532210","Consumer Electronics and Appliances Rental","33","173","5887","32",
"Nevada","2003","541611","Administrative Management and General Management Consulting Services","757","3582","159103","32",
"Nevada","2003","561440","Collection Agencies","48","1501","43126","32",
"Nevada","2003","541612","Human Resources and Executive Search Consulting Services","104","347","14662","32",
"Nevada","2003","541613","Marketing Consulting Services","292","647","33906","32",
"Nevada","2003","56144 ","Collection Agencies","48","1501","43126","32",
"Nevada","2003","6115  ","Technical and Trade Schools","91","858","24920","32",
"Nevada","2003","56145 ","Credit Bureaus","18","573","8438","32",
"Nevada","2003","561450","Credit Bureaus","18","573","8438","32",
"Nevada","2003","56149 ","Other Business Support Services","84","545","15607","32",
"Nevada","2003","61151 ","Technical and Trade Schools","91","858","24920","32",
"Nevada","2003","62311 ","Nursing Care Facilities","68","4769","131747","32",
"Nevada","2003","611511","Cosmetology and Barber Schools","12","105","2848","32",
"Nevada","2003","611512","Flight Training","11","72","2158","32",
