"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"New Hampshire","2008","00    ","Total for all sectors","38906","595384","24970440","33",
"New Hampshire","2008","11    ","Agriculture, forestry, fishing and hunting","144","520","16824","33",
"New Hampshire","2008","11411 ","Fishing","9","0","274","33",
"New Hampshire","2008","113   ","Forestry and logging","96","383","13791","33",
"New Hampshire","2008","1131  ","Timber tract operations","1","0","0","33",
"New Hampshire","2008","11311 ","Timber tract operations","1","0","0","33",
"New Hampshire","2008","113110","Timber tract operations","1","0","0","33",
"New Hampshire","2008","1133  ","Logging","95","383","13790","33",
"New Hampshire","2008","11331 ","Logging","95","383","13790","33",
"New Hampshire","2008","113310","Logging","95","383","13790","33",
"New Hampshire","2008","114   ","Fishing, hunting and trapping","9","0","274","33",
"New Hampshire","2008","1141  ","Fishing","9","0","274","33",
"New Hampshire","2008","221111","Hydroelectric power generation","15","60","3531","33",
"New Hampshire","2008","221112","Fossil fuel electric power generation","6","0","0","33",
"New Hampshire","2008","22121 ","Natural gas distribution","10","0","0","33",
"New Hampshire","2008","221210","Natural gas distribution","10","0","0","33",
"New Hampshire","2008","22132 ","Sewage treatment facilities","10","0","0","33",
"New Hampshire","2008","114111","Finfish fishing","6","0","162","33",
"New Hampshire","2008","221310","Water supply and irrigation systems","11","0","0","33",
"New Hampshire","2008","114112","Shellfish fishing","3","0","0","33",
"New Hampshire","2008","115   ","Support activities for agriculture and forestry","39","124","2759","33",
"New Hampshire","2008","1151  ","Support activities for crop production","4","0","0","33",
"New Hampshire","2008","11511 ","Support activities for crop production","4","0","0","33",
"New Hampshire","2008","115112","Soil preparation, planting, and cultivating","1","0","0","33",
"New Hampshire","2008","115114","Postharvest crop activities (except cotton ginning)","2","0","0","33",
"New Hampshire","2008","115115","Farm labor contractors and crew leaders","1","0","0","33",
"New Hampshire","2008","1152  ","Support activities for animal production","24","66","967","33",
"New Hampshire","2008","11521 ","Support activities for animal production","24","66","967","33",
"New Hampshire","2008","115210","Support activities for animal production","24","66","967","33",
"New Hampshire","2008","1153  ","Support activities for forestry","11","39","1381","33",
"New Hampshire","2008","11531 ","Support activities for forestry","11","39","1381","33",
"New Hampshire","2008","115310","Support activities for forestry","11","39","1381","33",
"New Hampshire","2008","21    ","Mining, quarrying, and oil and gas extraction","45","312","19889","33",
"New Hampshire","2008","211   ","Oil and gas extraction","1","0","0","33",
"New Hampshire","2008","2111  ","Oil and gas extraction","1","0","0","33",
"New Hampshire","2008","21111 ","Oil and gas extraction","1","0","0","33",
"New Hampshire","2008","211111","Crude petroleum and natural gas extraction","1","0","0","33",
"New Hampshire","2008","212   ","Mining (except oil and gas)","39","226","14306","33",
"New Hampshire","2008","2122  ","Metal ore mining","1","0","0","33",
"New Hampshire","2008","21222 ","Gold ore and silver ore mining","1","0","0","33",
"New Hampshire","2008","212221","Gold ore mining","1","0","0","33",
"New Hampshire","2008","2123  ","Nonmetallic mineral mining and quarrying","38","226","14205","33",
"New Hampshire","2008","21231 ","Stone mining and quarrying","9","0","0","33",
"New Hampshire","2008","212311","Dimension stone mining and quarrying","2","0","0","33",
"New Hampshire","2008","212312","Crushed and broken limestone mining and quarrying","2","0","0","33",
"New Hampshire","2008","212319","Other crushed and broken stone mining and quarrying","5","28","2892","33",
"New Hampshire","2008","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","29","145","8288","33",
"New Hampshire","2008","212321","Construction sand and gravel mining","29","145","8288","33",
"New Hampshire","2008","213   ","Support activities for mining","5","0","4762","33",
"New Hampshire","2008","2131  ","Support activities for mining","5","0","4762","33",
"New Hampshire","2008","21311 ","Support activities for mining","5","0","4762","33",
"New Hampshire","2008","213111","Drilling oil and gas wells","1","0","0","33",
"New Hampshire","2008","213113","Support activities for coal mining","1","0","0","33",
"New Hampshire","2008","213114","Support activities for metal mining","2","0","0","33",
"New Hampshire","2008","213115","Support activities for nonmetallic minerals (except fuels) mining","1","0","0","33",
"New Hampshire","2008","22    ","Utilities","111","3234","302593","33",
"New Hampshire","2008","221   ","Utilities","111","3234","302593","33",
"New Hampshire","2008","2211  ","Electric power generation, transmission and distribution","79","2860","278697","33",
"New Hampshire","2008","22111 ","Electric power generation","30","1452","172379","33",
"New Hampshire","2008","221113","Nuclear electric power generation","1","0","0","33",
"New Hampshire","2008","221119","Other electric power generation","8","157","37475","33",
"New Hampshire","2008","22112 ","Electric power transmission, control, and distribution","49","0","0","33",
"New Hampshire","2008","221122","Electric power distribution","49","0","0","33",
"New Hampshire","2008","2212  ","Natural gas distribution","10","0","0","33",
"New Hampshire","2008","2213  ","Water, sewage and other systems","22","0","0","33",
"New Hampshire","2008","22131 ","Water supply and irrigation systems","11","0","0","33",
"New Hampshire","2008","22133 ","Steam and air-conditioning supply","1","0","0","33",
"New Hampshire","2008","236   ","Construction of buildings","1232","6234","329326","33",
"New Hampshire","2008","2361  ","Residential building construction","1047","3562","144196","33",
"New Hampshire","2008","23611 ","Residential building construction","1047","3562","144196","33",
"New Hampshire","2008","23622 ","Commercial and institutional building construction","169","2502","166934","33",
"New Hampshire","2008","2371  ","Utility system construction","106","1389","94542","33",
"New Hampshire","2008","23711 ","Water and sewer line and related structures construction","70","851","55219","33",
"New Hampshire","2008","237110","Water and sewer line and related structures construction","70","851","55219","33",
"New Hampshire","2008","23712 ","Oil and gas pipeline and related structures construction","2","0","0","33",
"New Hampshire","2008","237120","Oil and gas pipeline and related structures construction","2","0","0","33",
"New Hampshire","2008","237130","Power and communication line and related structures construction","34","529","38573","33",
"New Hampshire","2008","2372  ","Land subdivision","36","203","6013","33",
"New Hampshire","2008","23721 ","Land subdivision","36","203","6013","33",
"New Hampshire","2008","2379  ","Other heavy and civil engineering construction","21","69","4264","33",
"New Hampshire","2008","23799 ","Other heavy and civil engineering construction","21","69","4264","33",
"New Hampshire","2008","23812 ","Structural steel and precast concrete contractors","16","202","10939","33",
"New Hampshire","2008","238130","Framing contractors","111","609","16808","33",
"New Hampshire","2008","23814 ","Masonry contractors","121","638","28134","33",
"New Hampshire","2008","23817 ","Siding contractors","54","246","5139","33",
"New Hampshire","2008","2382  ","Building equipment contractors","1152","7423","361726","33",
"New Hampshire","2008","221320","Sewage treatment facilities","10","0","0","33",
"New Hampshire","2008","238190","Other foundation, structure, and building exterior contractors","26","264","16757","33",
"New Hampshire","2008","221330","Steam and air-conditioning supply","1","0","0","33",
"New Hampshire","2008","23    ","Construction","4479","26638","1368012","33",
"New Hampshire","2008","236115","New single-family housing construction (except operative builders)","415","1477","58684","33",
"New Hampshire","2008","236116","New multifamily housing construction (except operative builders)","16","170","10158","33",
"New Hampshire","2008","236117","New housing operative builders","129","524","21167","33",
"New Hampshire","2008","236118","Residential remodelers","487","1391","54187","33",
"New Hampshire","2008","2362  ","Nonresidential building construction","185","2672","185130","33",
"New Hampshire","2008","23621 ","Industrial building construction","16","170","18196","33",
"New Hampshire","2008","236210","Industrial building construction","16","170","18196","33",
"New Hampshire","2008","236220","Commercial and institutional building construction","169","2502","166934","33",
"New Hampshire","2008","237   ","Heavy and civil engineering construction","240","2607","188780","33",
"New Hampshire","2008","23713 ","Power and communication line and related structures construction","34","529","38573","33",
"New Hampshire","2008","237210","Land subdivision","36","203","6013","33",
"New Hampshire","2008","2373  ","Highway, street, and bridge construction","77","946","83961","33",
"New Hampshire","2008","23731 ","Highway, street, and bridge construction","77","946","83961","33",
"New Hampshire","2008","237310","Highway, street, and bridge construction","77","946","83961","33",
"New Hampshire","2008","237990","Other heavy and civil engineering construction","21","69","4264","33",
"New Hampshire","2008","238   ","Specialty trade contractors","3007","17797","849906","33",
"New Hampshire","2008","2381  ","Foundation, structure, and building exterior contractors","551","3183","144589","33",
"New Hampshire","2008","23811 ","Poured concrete foundation and structure contractors","149","675","40949","33",
"New Hampshire","2008","238110","Poured concrete foundation and structure contractors","149","675","40949","33",
"New Hampshire","2008","238120","Structural steel and precast concrete contractors","16","202","10939","33",
"New Hampshire","2008","23813 ","Framing contractors","111","609","16808","33",
"New Hampshire","2008","238140","Masonry contractors","121","638","28134","33",
"New Hampshire","2008","23815 ","Glass and glazing contractors","21","0","4829","33",
"New Hampshire","2008","238150","Glass and glazing contractors","21","0","4829","33",
"New Hampshire","2008","23816 ","Roofing contractors","53","448","21034","33",
"New Hampshire","2008","238160","Roofing contractors","53","448","21034","33",
"New Hampshire","2008","238170","Siding contractors","54","246","5139","33",
"New Hampshire","2008","23819 ","Other foundation, structure, and building exterior contractors","26","264","16757","33",
"New Hampshire","2008","23821 ","Electrical contractors and other wiring installation contractors","524","2899","133648","33",
"New Hampshire","2008","238210","Electrical contractors and other wiring installation contractors","524","2899","133648","33",
"New Hampshire","2008","23829 ","Other building equipment contractors","25","430","31135","33",
"New Hampshire","2008","238290","Other building equipment contractors","25","430","31135","33",
"New Hampshire","2008","23834 ","Tile and terrazzo contractors","24","83","3128","33",
"New Hampshire","2008","23822 ","Plumbing, heating, and air-conditioning contractors","603","4094","196943","33",
"New Hampshire","2008","238220","Plumbing, heating, and air-conditioning contractors","603","4094","196943","33",
"New Hampshire","2008","2383  ","Building finishing contractors","711","4555","212749","33",
"New Hampshire","2008","23831 ","Drywall and insulation contractors","164","2175","115199","33",
"New Hampshire","2008","238310","Drywall and insulation contractors","164","2175","115199","33",
"New Hampshire","2008","23832 ","Painting and wall covering contractors","227","790","32431","33",
"New Hampshire","2008","238320","Painting and wall covering contractors","227","790","32431","33",
"New Hampshire","2008","23833 ","Flooring contractors","102","395","16669","33",
"New Hampshire","2008","238330","Flooring contractors","102","395","16669","33",
"New Hampshire","2008","238340","Tile and terrazzo contractors","24","83","3128","33",
"New Hampshire","2008","23835 ","Finish carpentry contractors","162","577","21150","33",
"New Hampshire","2008","238910","Site preparation contractors","425","2182","102189","33",
"New Hampshire","2008","23899 ","All other specialty trade contractors","168","454","28653","33",
"New Hampshire","2008","31-33 ","Manufacturing","2053","83459","4860390","33",
"New Hampshire","2008","311   ","Food manufacturing","110","2635","84693","33",
"New Hampshire","2008","3111  ","Animal food manufacturing","3","0","0","33",
"New Hampshire","2008","311111","Dog and cat food manufacturing","1","0","0","33",
"New Hampshire","2008","31132 ","Chocolate and confectionery manufacturing from cacao beans","2","0","0","33",
"New Hampshire","2008","311320","Chocolate and confectionery manufacturing from cacao beans","2","0","0","33",
"New Hampshire","2008","31141 ","Frozen food manufacturing","1","0","0","33",
"New Hampshire","2008","311421","Fruit and vegetable canning","3","0","0","33",
"New Hampshire","2008","3115  ","Dairy product manufacturing","10","0","0","33",
"New Hampshire","2008","3116  ","Animal slaughtering and processing","4","0","0","33",
"New Hampshire","2008","311712","Fresh and frozen seafood processing","5","0","0","33",
"New Hampshire","2008","311811","Retail bakeries","27","220","3444","33",
"New Hampshire","2008","311812","Commercial bakeries","9","116","2797","33",
"New Hampshire","2008","31192 ","Coffee and tea manufacturing","5","0","0","33",
"New Hampshire","2008","238350","Finish carpentry contractors","162","577","21150","33",
"New Hampshire","2008","23839 ","Other building finishing contractors","32","535","24172","33",
"New Hampshire","2008","238390","Other building finishing contractors","32","535","24172","33",
"New Hampshire","2008","2389  ","Other specialty trade contractors","593","2636","130842","33",
"New Hampshire","2008","23891 ","Site preparation contractors","425","2182","102189","33",
"New Hampshire","2008","238990","All other specialty trade contractors","168","454","28653","33",
"New Hampshire","2008","31111 ","Animal food manufacturing","3","0","0","33",
"New Hampshire","2008","311119","Other animal food manufacturing","2","0","0","33",
"New Hampshire","2008","3113  ","Sugar and confectionery product manufacturing","17","0","0","33",
"New Hampshire","2008","31133 ","Confectionery manufacturing from purchased chocolate","13","177","2577","33",
"New Hampshire","2008","311330","Confectionery manufacturing from purchased chocolate","13","177","2577","33",
"New Hampshire","2008","31134 ","Nonchocolate confectionery manufacturing","2","0","0","33",
"New Hampshire","2008","311340","Nonchocolate confectionery manufacturing","2","0","0","33",
"New Hampshire","2008","3114  ","Fruit and vegetable preserving and specialty food manufacturing","4","0","0","33",
"New Hampshire","2008","311412","Frozen specialty food manufacturing","1","0","0","33",
"New Hampshire","2008","31142 ","Fruit and vegetable canning, pickling, and drying","3","0","0","33",
"New Hampshire","2008","31151 ","Dairy product (except frozen) manufacturing","5","0","0","33",
"New Hampshire","2008","311511","Fluid milk manufacturing","4","0","0","33",
"New Hampshire","2008","311513","Cheese manufacturing","1","0","0","33",
"New Hampshire","2008","31152 ","Ice cream and frozen dessert manufacturing","5","0","179","33",
"New Hampshire","2008","311520","Ice cream and frozen dessert manufacturing","5","0","179","33",
"New Hampshire","2008","31161 ","Animal slaughtering and processing","4","0","0","33",
"New Hampshire","2008","311612","Meat processed from carcasses","3","0","0","33",
"New Hampshire","2008","311615","Poultry processing","1","0","0","33",
"New Hampshire","2008","3117  ","Seafood product preparation and packaging","7","0","0","33",
"New Hampshire","2008","31171 ","Seafood product preparation and packaging","7","0","0","33",
"New Hampshire","2008","311711","Seafood canning","2","0","0","33",
"New Hampshire","2008","3118  ","Bakeries and tortilla manufacturing","46","615","15866","33",
"New Hampshire","2008","31181 ","Bread and bakery product manufacturing","39","493","11504","33",
"New Hampshire","2008","311813","Frozen cakes, pies, and other pastries manufacturing","3","0","0","33",
"New Hampshire","2008","31182 ","Cookie, cracker, and pasta manufacturing","7","122","4362","33",
"New Hampshire","2008","311821","Cookie and cracker manufacturing","2","0","0","33",
"New Hampshire","2008","311822","Flour mixes and dough manufacturing from purchased flour","4","81","3713","33",
"New Hampshire","2008","311823","Dry pasta manufacturing","1","0","0","33",
"New Hampshire","2008","3119  ","Other food manufacturing","19","0","9913","33",
