"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"New Jersey","2001","113310","Logging","13","0","0","34",
"New Jersey","2001","114   ","Fishing, hunting & trapping","83","0","0","34",
"New Jersey","2001","1141  ","Fishing","75","168","5325","34",
"New Jersey","2001","11411 ","Fishing","75","168","5325","34",
"New Jersey","2001","114111","Finfish fishing","37","0","0","34",
"New Jersey","2001","114112","Shellfish fishing","38","0","0","34",
"New Jersey","2001","221320","Sewage treatment facilities","15","0","0","34",
"New Jersey","2001","22133 ","Steam &","3","0","0","34",
"New Jersey","2001","221330","Steam &","3","0","0","34",
"New Jersey","2001","23    ","Construction","22880","167978","7718868","34",
"New Jersey","2001","233   ","Building, developing & general contracting","6342","40376","1792874","34",
"New Jersey","2001","31-33 ","Manufacturing","10872","379647","17282718","34",
"New Jersey","2001","235950","Bldg equip & oth mach installation contractor","191","2577","165725","34",
"New Jersey","2001","23599 ","All other special trade contractors","1032","5531","220887","34",
"New Jersey","2001","235990","All other special trade contractors","1032","5531","220887","34",
"New Jersey","2001","31213 ","Wineries","7","0","0","34",
"New Jersey","2001","311   ","Food mfg","969","28056","1023584","34",
"New Jersey","2001","31212 ","Breweries","8","0","0","34",
"New Jersey","2001","312120","Breweries","8","0","0","34",
"New Jersey","2001","312130","Wineries","7","0","0","34",
"New Jersey","2001","31214 ","Distilleries","2","0","0","34",
"New Jersey","2001","316   ","Leather & allied product mfg","40","1429","55035","34",
"New Jersey","2001","312140","Distilleries","2","0","0","34",
"New Jersey","2001","315993","Men's & boys' neckwear mfg","5","0","0","34",
"New Jersey","2001","315999","Other apparel accessories & other apparel mfg","67","0","0","34",
"New Jersey","2001","3161  ","Leather & hide tanning & finishing","7","426","20636","34",
"New Jersey","2001","323121","Tradebinding & related work","64","2061","59147","34",
"New Jersey","2001","323118","Blankbook, loose-leaf binder & device mfg","13","317","6791","34",
"New Jersey","2001","323119","Other commercial printing","142","3327","133793","34",
"New Jersey","2001","32312 ","Printing support activities","199","4108","153920","34",
"New Jersey","2001","32613 ","Laminated plastics plate, sheet & shape mfg","22","538","25010","34",
"New Jersey","2001","323122","Prepress services","135","2047","94773","34",
"New Jersey","2001","326121","Unsupported plastics profile shape mfg","37","1698","70121","34",
"New Jersey","2001","326122","Plastics pipe & pipe fitting mfg","8","348","10434","34",
"New Jersey","2001","326130","Laminated plastics plate, sheet & shape mfg","22","538","25010","34",
"New Jersey","2001","332211","Cutlery & flatware (exc precious) mfg","7","386","10165","34",
"New Jersey","2001","332117","Powder metallurgy parts mfg","2","0","0","34",
"New Jersey","2001","3322  ","Cutlery & handtool mfg","53","2123","65482","34",
"New Jersey","2001","33221 ","Cutlery & handtool mfg","53","2123","65482","34",
"New Jersey","2001","332212","Hand & edge tool mfg","39","1279","41868","34",
"New Jersey","2001","33231 ","Plate work & fabricated structural prod mfg","99","1979","82048","34",
"New Jersey","2001","332213","Saw blade & handsaw mfg","4","0","0","34",
"New Jersey","2001","332214","Kitchen utensil, pot & pan mfg","3","0","0","34",
"New Jersey","2001","3323  ","Architectural & structural metals mfg","348","9267","346885","34",
"New Jersey","2001","332311","Prefab metal building & component mfg","8","196","7005","34",
"New Jersey","2001","332431","Metal can mfg","6","467","22393","34",
"New Jersey","2001","33242 ","Metal tank (heavy gauge) mfg","12","396","18710","34",
"New Jersey","2001","332420","Metal tank (heavy gauge) mfg","12","396","18710","34",
"New Jersey","2001","33243 ","Light gauge metal container mfg","20","888","36789","34",
"New Jersey","2001","332439","Other metal container mfg","14","421","14396","34",
"New Jersey","2001","332813","Electropl, plating, polish, anodize, coloring","91","1326","45460","34",
"New Jersey","2001","33281 ","Coating, engrave, heat treating & oth activity","162","2929","96052","34",
"New Jersey","2001","332811","Metal heat treating","17","456","14737","34",
"New Jersey","2001","332812","Metal coating, engraving & allied services","54","1147","35855","34",
"New Jersey","2001","33313 ","Mining & oil & gas field machinery mfg","4","0","0","34",
"New Jersey","2001","333112","Lawn & garden equipment mfg","3","0","0","34",
"New Jersey","2001","33312 ","Construction machinery mfg","10","104","4466","34",
"New Jersey","2001","333120","Construction machinery mfg","10","104","4466","34",
"New Jersey","2001","333131","Mining machinery & equipment mfg","3","0","0","34",
"New Jersey","2001","3335  ","Metalworking machinery mfg","247","3120","135691","34",
"New Jersey","2001","333412","Industrial & commercial fan & blower mfg","4","0","0","34",
"New Jersey","2001","333414","Heating equipment (exc warm air furnaces) mfg","22","546","19819","34",
"New Jersey","2001","333415","AC, warm air htg & commercial refrig equip mfg","19","4024","88875","34",
"New Jersey","2001","33351 ","Metalworking machinery mfg","247","3120","135691","34",
"New Jersey","2001","333997","Scale & balance (except laboratory) mfg","3","0","0","34",
"New Jersey","2001","333994","Industrial process furnace & oven mfg","23","851","45442","34",
"New Jersey","2001","333995","Fluid power cylinder & actuator mfg","5","0","0","34",
"New Jersey","2001","333996","Fluid power pump & motor mfg","3","0","0","34",
"New Jersey","2001","333999","All other general purpose machinery mfg","63","1425","73925","34",
"New Jersey","2001","334515","Electricity measuring, testing instrument mfg","35","962","45347","34",
"New Jersey","2001","334512","Automatic environmental control mfg","11","131","6736","34",
"New Jersey","2001","334513","Industrial process control mfg","34","485","25513","34",
"New Jersey","2001","334514","Total fluid meter & counting device mfg","4","0","0","34",
"New Jersey","2001","334516","Analytical laboratory instrument mfg","31","1524","79787","34",
"New Jersey","2001","335991","Carbon & graphite product mfg","6","273","9192","34",
"New Jersey","2001","335931","Current-carrying wiring device mfg","27","1521","53762","34",
"New Jersey","2001","335932","Noncurrent-carrying wiring device mfg","9","348","12620","34",
"New Jersey","2001","33599 ","All oth electrical equipment & component mfg","48","1360","53854","34",
"New Jersey","2001","336611","Ship building & repairing","19","1390","44018","34",
"New Jersey","2001","336991","Motorcycle, bicycle & parts mfg","6","0","0","34",
"New Jersey","2001","336612","Boat building","26","795","26962","34",
"New Jersey","2001","3369  ","Other transportation equipment mfg","13","0","0","34",
"New Jersey","2001","33699 ","Other transportation equipment mfg","13","0","0","34",
"New Jersey","2001","339950","Sign mfg","194","3633","130928","34",
"New Jersey","2001","339943","Marking device mfg","22","509","15293","34",
"New Jersey","2001","339944","Carbon paper & inked ribbon mfg","5","112","2870","34",
"New Jersey","2001","33995 ","Sign mfg","194","3633","130928","34",
"New Jersey","2001","33999 ","All other misc mfg","142","3358","117230","34",
"New Jersey","2001","42162 ","Electric appliance, TV, radio set whsle","163","7355","520229","34",
"New Jersey","2001","4216  ","Electrical goods whsle","1500","26424","1780406","34",
"New Jersey","2001","42161 ","Elec equip, wiring supp, const material whsle","472","5604","307948","34",
"New Jersey","2001","421610","Elec equip, wiring supp, const material whsle","472","5604","307948","34",
"New Jersey","2001","42241 ","General line grocery whsle","176","6093","269698","34",
"New Jersey","2001","42234 ","Footwear whsle","95","1441","76500","34",
"New Jersey","2001","422340","Footwear whsle","95","1441","76500","34",
"New Jersey","2001","4224  ","Grocery & related product whsle","1840","35648","1656199","34",
"New Jersey","2001","441229","All other motor vehicle dealers","27","318","14284","34",
"New Jersey","2001","44122 ","Motorcycle & boat & other MV dealers","269","2330","79265","34",
"New Jersey","2001","441221","Motorcycle dealers","84","725","26074","34",
"New Jersey","2001","441222","Boat dealers","158","1287","38907","34",
"New Jersey","2001","4413  ","Automotive parts, accessories & tire stores","1262","12206","331522","34",
"New Jersey","2001","446191","Food (health) supplement stores","331","1744","26868","34",
"New Jersey","2001","44711 ","Gasoline stations with convenience stores","640","4751","74391","34",
"New Jersey","2001","446199","All other health & personal care stores","255","1291","42529","34",
"New Jersey","2001","447   ","Gasoline stations","2859","15379","270809","34",
"New Jersey","2001","4471  ","Gasoline stations","2859","15379","270809","34",
"New Jersey","2001","4542  ","Vending machine operators","158","1276","36222","34",
"New Jersey","2001","4541  ","Electronic shopping & mail-order houses","386","10836","543043","34",
"New Jersey","2001","45411 ","Electronic shopping & mail-order houses","386","10836","543043","34",
"New Jersey","2001","454110","Electronic shopping & mail-order houses","386","10836","543043","34",
"New Jersey","2001","454312","Liquified petroleum gas (bottled gas) dealers","51","0","0","34",
"New Jersey","2001","48-49 ","Transportation & warehousing","6795","161741","5812954","34",
"New Jersey","2001","454319","Other fuel dealers","3","0","0","34",
"New Jersey","2001","45439 ","Other direct selling establishments","451","4079","108762","34",
"New Jersey","2001","454390","Other direct selling establishments","451","4079","108762","34",
"New Jersey","2001","481111","Scheduled passenger air transportation","46","0","0","34",
"New Jersey","2001","481   ","Air transportation","107","18555","869644","34",
"New Jersey","2001","4811  ","Scheduled air transportation","59","17774","816783","34",
"New Jersey","2001","48111 ","Scheduled air transportation","59","17774","816783","34",
"New Jersey","2001","4832  ","Inland water transportation","23","442","16347","34",
"New Jersey","2001","483112","Deep sea passenger transportation","4","0","0","34",
"New Jersey","2001","483113","Coastal & Great Lakes freight transportation","21","532","36912","34",
"New Jersey","2001","483114","Coastal & Great Lakes passenger trans","3","0","0","34",
"New Jersey","2001","484220","Specialized freight (exc used) trucking, local","805","5706","203872","34",
"New Jersey","2001","4859  ","Oth transit & ground passenger transportation","130","2476","46882","34",
"New Jersey","2001","48423 ","Specialized freight (exc used) trucking, LDist","294","4760","195627","34",
"New Jersey","2001","484230","Specialized freight (exc used) trucking, LDist","294","4760","195627","34",
"New Jersey","2001","485   ","Transit & ground passenger transportation","1100","36324","936853","34",
"New Jersey","2001","485510","Charter bus industry","71","0","0","34",
"New Jersey","2001","48599 ","Oth transit & ground passenger transportation","130","2476","46882","34",
"New Jersey","2001","485991","Special needs transportation","84","1542","28256","34",
"New Jersey","2001","485999","All other transit & ground passenger trans","46","934","18626","34",
"New Jersey","2001","488190","Other air transportation support activities","36","937","22622","34",
"New Jersey","2001","493   ","Warehousing & storage","399","12523","389967","34",
"New Jersey","2001","4882  ","Rail transportation support activities","17","362","13402","34",
"New Jersey","2001","48821 ","Rail transportation support activities","17","362","13402","34",
"New Jersey","2001","488210","Rail transportation support activities","17","362","13402","34",
"New Jersey","2001","4931  ","Warehousing & storage","399","12523","389967","34",
"New Jersey","2001","5122  ","Sound recording industries","77","0","0","34",
"New Jersey","2001","49311 ","General warehousing & storage","290","9410","277373","34",
"New Jersey","2001","493110","General warehousing & storage","290","9410","277373","34",
"New Jersey","2001","49312 ","Refrigerated warehousing & storage","40","1654","61476","34",
"New Jersey","2001","51221 ","Record production","10","0","0","34",
"New Jersey","2001","5142  ","Data processing services","402","8133","382508","34",
"New Jersey","2001","512210","Record production","10","0","0","34",
"New Jersey","2001","51222 ","Integrated record production, distribution","8","0","0","34",
"New Jersey","2001","512220","Integrated record production, distribution","8","0","0","34",
"New Jersey","2001","51421 ","Data processing services","402","8133","382508","34",
"New Jersey","2001","523210","Securities & commodity exchanges","3","0","252","34",
"New Jersey","2001","514210","Data processing services","402","8133","382508","34",
"New Jersey","2001","52    ","Finance & insurance","12877","221268","15204421","34",
"New Jersey","2001","521   ","Monetary authorities - central bank","2","0","0","34",
"New Jersey","2001","531210","Offices of real estate agents & brokers","1803","7896","355497","34",
"New Jersey","2001","5239  ","Other financial investment activities","1111","9097","1074503","34",
"New Jersey","2001","52391 ","Miscellaneous intermediation","142","1488","61815","34",
"New Jersey","2001","523910","Miscellaneous intermediation","142","1488","61815","34",
"New Jersey","2001","5313  ","Activities related to real estate","1581","11337","421068","34",
"New Jersey","2001","541219","Other accounting services","853","7261","268741","34",
"New Jersey","2001","53131 ","Real estate property managers","1007","8525","310402","34",
"New Jersey","2001","531311","Residential property managers","651","5679","190866","34",
"New Jersey","2001","531312","Nonresidential property managers","356","2846","119536","34",
"New Jersey","2001","5413  ","Architectural, engineering & related services","3378","38751","2211476","34",
"New Jersey","2001","541860","Direct mail advertising","156","5566","172756","34",
"New Jersey","2001","54131 ","Architectural services","678","4282","237069","34",
"New Jersey","2001","541310","Architectural services","678","4282","237069","34",
"New Jersey","2001","54132 ","Landscape architectural services","220","928","37162","34",
"New Jersey","2001","54187 ","Advertising material distribution services","29","214","8774","34",
"New Jersey","2001","561611","Investigation services","149","2474","51179","34",
"New Jersey","2001","541870","Advertising material distribution services","29","214","8774","34",
"New Jersey","2001","54189 ","Other services related to advertising","319","3341","96067","34",
"New Jersey","2001","541890","Other services related to advertising","319","3341","96067","34",
"New Jersey","2001","561612","Security guards & patrol services","174","16196","300739","34",
