"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"New Jersey","2008","00    ","Total for all sectors","238440","3640654","185393520","34",
"New Jersey","2008","11    ","Agriculture, forestry, fishing and hunting","230","1584","39071","34",
"New Jersey","2008","113   ","Forestry and logging","9","0","0","34",
"New Jersey","2008","1131  ","Timber tract operations","1","0","0","34",
"New Jersey","2008","11311 ","Timber tract operations","1","0","0","34",
"New Jersey","2008","113110","Timber tract operations","1","0","0","34",
"New Jersey","2008","1132  ","Forest nurseries and gathering of forest products","2","0","0","34",
"New Jersey","2008","11321 ","Forest nurseries and gathering of forest products","2","0","0","34",
"New Jersey","2008","113210","Forest nurseries and gathering of forest products","2","0","0","34",
"New Jersey","2008","1133  ","Logging","6","16","424","34",
"New Jersey","2008","11331 ","Logging","6","16","424","34",
"New Jersey","2008","113310","Logging","6","16","424","34",
"New Jersey","2008","114   ","Fishing, hunting and trapping","61","0","7719","34",
"New Jersey","2008","1141  ","Fishing","55","0","7011","34",
"New Jersey","2008","11411 ","Fishing","55","0","7011","34",
"New Jersey","2008","114111","Finfish fishing","24","0","3845","34",
"New Jersey","2008","114112","Shellfish fishing","30","56","3164","34",
"New Jersey","2008","114119","Other marine fishing","1","0","0","34",
"New Jersey","2008","1142  ","Hunting and trapping","6","0","708","34",
"New Jersey","2008","11421 ","Hunting and trapping","6","0","708","34",
"New Jersey","2008","114210","Hunting and trapping","6","0","708","34",
"New Jersey","2008","115   ","Support activities for agriculture and forestry","160","1393","30701","34",
"New Jersey","2008","1151  ","Support activities for crop production","23","876","18131","34",
"New Jersey","2008","11511 ","Support activities for crop production","23","876","18131","34",
"New Jersey","2008","115112","Soil preparation, planting, and cultivating","8","32","1282","34",
"New Jersey","2008","115114","Postharvest crop activities (except cotton ginning)","6","120","9582","34",
"New Jersey","2008","115115","Farm labor contractors and crew leaders","6","714","7065","34",
"New Jersey","2008","115116","Farm management services","3","0","202","34",
"New Jersey","2008","1152  ","Support activities for animal production","133","509","12159","34",
"New Jersey","2008","11521 ","Support activities for animal production","133","509","12159","34",
"New Jersey","2008","115210","Support activities for animal production","133","509","12159","34",
"New Jersey","2008","1153  ","Support activities for forestry","4","0","0","34",
"New Jersey","2008","11531 ","Support activities for forestry","4","0","0","34",
"New Jersey","2008","115310","Support activities for forestry","4","0","0","34",
"New Jersey","2008","21    ","Mining, quarrying, and oil and gas extraction","100","1591","102085","34",
"New Jersey","2008","211   ","Oil and gas extraction","1","0","0","34",
"New Jersey","2008","2111  ","Oil and gas extraction","1","0","0","34",
"New Jersey","2008","21111 ","Oil and gas extraction","1","0","0","34",
"New Jersey","2008","211111","Crude petroleum and natural gas extraction","1","0","0","34",
"New Jersey","2008","212   ","Mining (except oil and gas)","79","1330","81741","34",
"New Jersey","2008","2122  ","Metal ore mining","2","0","0","34",
"New Jersey","2008","21222 ","Gold ore and silver ore mining","2","0","0","34",
"New Jersey","2008","212221","Gold ore mining","2","0","0","34",
"New Jersey","2008","2123  ","Nonmetallic mineral mining and quarrying","77","1325","81358","34",
