"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"New York","2001","339913","Jewelers' material & lapidary work mfg","110","1259","34528","36",
"New York","2001","339914","Costume jewelry & novelty mfg","111","0","0","36",
"New York","2001","33992 ","Sporting & athletic goods mfg","95","1514","40434","36",
"New York","2001","339920","Sporting & athletic goods mfg","95","1514","40434","36",
"New York","2001","33993 ","Doll, toy & game mfg","76","1181","36967","36",
"New York","2001","421710","Hardware whsle","559","6323","304740","36",
"New York","2001","42172 ","Plumbing & heating equipment & supplies whsle","335","3498","156770","36",
"New York","2001","421720","Plumbing & heating equipment & supplies whsle","335","3498","156770","36",
"New York","2001","42173 ","Warm air heating & AC equip & supplies whsle","274","2653","152218","36",
"New York","2001","421730","Warm air heating & AC equip & supplies whsle","274","2653","152218","36",
"New York","2001","4226  ","Chemical & allied products","928","8509","478042","36",
"New York","2001","422520","Livestock","53","390","6107","36",
"New York","2001","42259 ","Other farm product raw material","107","531","23306","36",
"New York","2001","422590","Other farm product raw material","107","531","23306","36",
"New York","2001","42261 ","Plastics materials & basic forms, shapes whsle","240","1871","98125","36",
"New York","2001","44421 ","Outdoor power equipment stores","259","1580","41308","36",
"New York","2001","44419 ","Other building material dealers","2447","26583","1043602","36",
"New York","2001","444190","Other building material dealers","2447","26583","1043602","36",
"New York","2001","4442  ","Lawn & garden equip & supplies stores","918","6659","181374","36",
"New York","2001","444130","Hardware stores","1098","6905","135433","36",
"New York","2001","45122 ","Prerecorded tape, CD & record stores","592","6167","105973","36",
"New York","2001","45121 ","Book stores & news dealers","1294","10562","181193","36",
"New York","2001","451211","Book stores","678","8651","151618","36",
"New York","2001","451212","News dealers & newsstands","616","1911","29575","36",
"New York","2001","451220","Prerecorded tape, CD & record stores","592","6167","105973","36",
"New York","2001","48421 ","Used household & office goods moving","610","9485","226258","36",
"New York","2001","484121","General freight trucking, long-distance, TL","750","10788","386945","36",
"New York","2001","484122","General freight trucking, long-distance, LTL","214","7388","294953","36",
"New York","2001","4842  ","Specialized freight trucking","2180","20941","615244","36",
"New York","2001","488410","Motor vehicle towing","265","1356","28944","36",
"New York","2001","48851 ","Freight transportation arrangement","1457","14664","640139","36",
"New York","2001","48849 ","Other road transportation support activities","51","0","0","36",
"New York","2001","488490","Other road transportation support activities","51","0","0","36",
"New York","2001","4885  ","Freight transportation arrangement","1457","14664","640139","36",
"New York","2001","51322 ","Cable & other program distribution","262","14029","661908","36",
"New York","2001","513310","Wired telecommunications carriers","1577","71143","4658514","36",
"New York","2001","513220","Cable & other program distribution","262","14029","661908","36",
"New York","2001","5133  ","Telecommunications","2559","83803","5335580","36",
"New York","2001","51331 ","Wired telecommunications carriers","1577","71143","4658514","36",
"New York","2001","523991","Trust, fiduciary & custody activities","183","13579","794006","36",
