"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"North Carolina","2000","11421 ","Hunting & trapping","6","4","159","37",
"North Carolina","2000","114210","Hunting & trapping","6","4","159","37",
"North Carolina","2000","115   ","Agriculture & forestry support activities","252","2529","39043","37",
"North Carolina","2000","1151  ","Crop production support activities","94","1783","25162","37",
"North Carolina","2000","11511 ","Crop production support activities","94","1783","25162","37",
"North Carolina","2000","23321 ","Single-family housing construction","6263","29040","847968","37",
"North Carolina","2000","233210","Single-family housing construction","6263","29040","847968","37",
"North Carolina","2000","23322 ","Multifamily housing construction","222","1580","51561","37",
"North Carolina","2000","233220","Multifamily housing construction","222","1580","51561","37",
"North Carolina","2000","31121 ","Flour milling & malt mfg","26","896","28141","37",
"North Carolina","2000","311111","Dog & cat food mfg","7","361","10108","37",
"North Carolina","2000","311119","Other animal food mfg","53","1269","38912","37",
"North Carolina","2000","3112  ","Grain & oilseed milling","35","1535","52366","37",
"North Carolina","2000","311211","Flour milling","26","896","28141","37",
"North Carolina","2000","31222 ","Tobacco product mfg","9","0","0","37",
"North Carolina","2000","3122  ","Tobacco mfg","18","10413","575754","37",
"North Carolina","2000","31221 ","Tobacco stemming & redrying","9","0","0","37",
"North Carolina","2000","312210","Tobacco stemming & redrying","9","0","0","37",
"North Carolina","2000","312221","Cigarette mfg","6","0","0","37",
"North Carolina","2000","315999","Other apparel accessories & other apparel mfg","38","1276","27194","37",
"North Carolina","2000","315991","Hat, cap & millinery mfg","7","172","2702","37",
"North Carolina","2000","315992","Glove & mitten mfg","13","735","17673","37",
"North Carolina","2000","315993","Men's & boys' neckwear mfg","5","225","8114","37",
"North Carolina","2000","323113","Commercial screen printing","142","3272","80269","37",
"North Carolina","2000","323110","Commercial lithographic printing","442","7979","274156","37",
"North Carolina","2000","323111","Commercial gravure printing","12","290","11210","37",
"North Carolina","2000","323112","Commercial flexographic printing","35","883","30653","37",
"North Carolina","2000","323114","Quick printing","177","1275","35387","37",
"North Carolina","2000","3261  ","Plastics product mfg","401","31306","944097","37",
"North Carolina","2000","325992","Photo film, paper, plate & chemical mfg","13","0","0","37",
"North Carolina","2000","325998","All oth misc chemical product & prep mfg","36","1558","84530","37",
"North Carolina","2000","326   ","Plastics & rubber products mfg","505","47810","1579546","37",
"North Carolina","2000","32611 ","Unsupported plastics film, sheet, & bag mfg","44","4443","155391","37",
"North Carolina","2000","326130","Laminated plastics plate, sheet & shape mfg","9","1200","43420","37",
"North Carolina","2000","326121","Unsupported plastics profile shape mfg","21","996","46546","37",
"North Carolina","2000","326122","Plastics pipe & pipe fitting mfg","12","1470","48417","37",
"North Carolina","2000","32613 ","Laminated plastics plate, sheet & shape mfg","9","1200","43420","37",
"North Carolina","2000","32614 ","Polystyrene foam product mfg","22","1638","47344","37",
"North Carolina","2000","32616 ","Plastics bottle mfg","13","845","25139","37",
"North Carolina","2000","326140","Polystyrene foam product mfg","22","1638","47344","37",
"North Carolina","2000","32615 ","Foam product (exc polystyrene) mfg","57","4488","126150","37",
"North Carolina","2000","326150","Foam product (exc polystyrene) mfg","57","4488","126150","37",
"North Carolina","2000","327   ","Nonmetallic mineral product mfg","592","23647","826568","37",
"North Carolina","2000","32629 ","Other rubber product mfg","53","6147","199253","37",
"North Carolina","2000","326291","Rubber product mfg for mechanical use","22","2962","106459","37",
"North Carolina","2000","326299","All other rubber product mfg","31","3185","92794","37",
"North Carolina","2000","3271  ","Clay product & refractory mfg","77","3862","120608","37",
"North Carolina","2000","327213","Glass container mfg","3","0","0","37",
"North Carolina","2000","327310","Cement mfg","2","0","0","37",
"North Carolina","2000","327215","Glass product mfg made of purchased glass","67","5556","205620","37",
"North Carolina","2000","3273  ","Cement & concrete product mfg","351","6522","217185","37",
"North Carolina","2000","32731 ","Cement mfg","2","0","0","37",
