"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"North Dakota","2000","53231 ","General rental centers","7","0","0","38",
"North Dakota","2000","532310","General rental centers","7","0","0","38",
"North Dakota","2000","5324  ","Commercial, industrial equip rental & leasing","36","394","13585","38",
"North Dakota","2000","53241 ","Const, trans, mining equip rental & leasing","17","121","4629","38",
"North Dakota","2000","532411","Commercial trans equip (exc MV) rental, lease","5","0","0","38",
"North Dakota","2000","541310","Architectural services","39","288","11642","38",
"North Dakota","2000","54132 ","Landscape architectural services","11","0","0","38",
"North Dakota","2000","541320","Landscape architectural services","11","0","0","38",
"North Dakota","2000","54133 ","Engineering services","74","1094","50807","38",
"North Dakota","2000","541330","Engineering services","74","1094","50807","38",
"North Dakota","2000","213112","Oil & gas operations support activities","105","0","0","38",
"North Dakota","2000","115114","Postharvest crop activities (exc ginning)","28","206","4453","38",
"North Dakota","2000","115115","Farm labor contractors & crew leaders","2","0","0","38",
"North Dakota","2000","115116","Farm management services","8","0","0","38",
"North Dakota","2000","1152  ","Animal production support activities","9","0","0","38",
"North Dakota","2000","213111","Drilling oil & gas wells","16","0","0","38",
"North Dakota","2000","22    ","Utilities","120","3175","167816","38",
"North Dakota","2000","221   ","Utilities","120","3175","167816","38",
"North Dakota","2000","2341  ","Highway, street, bridge & tunnel construction","63","1069","78362","38",
"North Dakota","2000","2211  ","Elec pwr generation, transmsn & distribution","48","0","0","38",
"North Dakota","2000","233320","Commercial & institutional bldg construction","136","1407","43538","38",
"North Dakota","2000","234   ","Heavy construction","161","2110","123640","38",
"North Dakota","2000","23411 ","Highway & street construction","58","728","57301","38",
"North Dakota","2000","23551 ","Carpentry contractors","136","433","8917","38",
"North Dakota","2000","234110","Highway & street construction","58","728","57301","38",
"North Dakota","2000","235430","Tile, marble, terrazzo & mosaic contractors","4","0","0","38",
"North Dakota","2000","2355  ","Carpentry & floor contractors","177","0","0","38",
"North Dakota","2000","235510","Carpentry contractors","136","433","8917","38",
"North Dakota","2000","311213","Malt mfg","2","0","0","38",
"North Dakota","2000","23552 ","Floor laying & other floor contractors","41","0","0","38",
"North Dakota","2000","31121 ","Flour milling & malt mfg","6","0","0","38",
"North Dakota","2000","311211","Flour milling","4","0","0","38",
"North Dakota","2000","31122 ","Starch & vegetable fats & oils mfg","6","0","0","38",
"North Dakota","2000","311221","Wet corn milling","1","0","0","38",
"North Dakota","2000","11531 ","Forestry support activities","3","0","0","38",
"North Dakota","2000","11521 ","Animal production support activities","9","0","0","38",
"North Dakota","2000","115210","Animal production support activities","9","0","0","38",
"North Dakota","2000","1153  ","Forestry support activities","3","0","0","38",
"North Dakota","2000","221112","Fossil fuel electric power generation","7","0","0","38",
"North Dakota","2000","115310","Forestry support activities","3","0","0","38",
"North Dakota","2000","22111 ","Electric power generation","9","0","0","38",
"North Dakota","2000","221111","Hydroelectric power generation","1","0","0","38",
"North Dakota","2000","221119","Other electric power generation","1","0","0","38",
"North Dakota","2000","2349  ","Other heavy construction","98","1041","45278","38",
"North Dakota","2000","22112 ","Electric pwr transmsn, control & distribution","39","1356","64858","38",
"North Dakota","2000","23412 ","Bridge & tunnel construction","5","341","21061","38",
"North Dakota","2000","234120","Bridge & tunnel construction","5","341","21061","38",
"North Dakota","2000","23491 ","Water, sewer & pipeline construction","32","0","0","38",
"North Dakota","2000","235610","Roofing, siding, & sheet metal contractors","100","1165","27454","38",
"North Dakota","2000","235520","Floor laying & other floor contractors","41","0","0","38",
"North Dakota","2000","2356  ","Roofing, siding, & sheet metal contractors","100","1165","27454","38",
"North Dakota","2000","23561 ","Roofing, siding, & sheet metal contractors","100","1165","27454","38",
"North Dakota","2000","3113  ","Sugar & confectionery product mfg","6","0","0","38",
"North Dakota","2000","311223","Other oilseed processing","5","0","0","38",
"North Dakota","2000","31123 ","Breakfast cereal manufacturing","1","0","0","38",
"North Dakota","2000","311230","Breakfast cereal manufacturing","1","0","0","38",
"North Dakota","2000","31181 ","Bread & bakery product mfg","21","564","13612","38",
"North Dakota","2000","31131 ","Sugar mfg","3","0","0","38",
"North Dakota","2000","311712","Fresh & frozen seafood processing","1","0","0","38",
"North Dakota","2000","3118  ","Bakeries & tortilla mfg","26","1133","27209","38",
"North Dakota","2000","311811","Retail bakeries","15","0","0","38",
"North Dakota","2000","31412 ","Curtain & linen mills","3","0","0","38",
"North Dakota","2000","311812","Commercial bakeries","4","0","0","38",
"North Dakota","2000","314   ","Textile product mills","12","230","5088","38",
"North Dakota","2000","3141  ","Textile furnishings mills","3","0","0","38",
"North Dakota","2000","314121","Curtain & drapery mills","3","0","0","38",
"North Dakota","2000","3149  ","Other textile product mills","9","0","0","38",
"North Dakota","2000","3169  ","Other leather & allied product mfg","2","0","0","38",
"North Dakota","2000","315991","Hat, cap & millinery mfg","1","0","0","38",
