"GEO_TTL","YEAR","NAICS2002","NAICS2002_TTL","ESTAB","EMP","PAYANN","state",
"North Dakota","2005","115113","Crop Harvesting, Primarily by Machine","5","0","0","38",
"North Dakota","2005","115114","Postharvest Crop Activities (except Cotton Ginning)","37","266","6672","38",
"North Dakota","2005","115115","Farm Labor Contractors and Crew Leaders","8","0","0","38",
"North Dakota","2005","115116","Farm Management Services","8","0","0","38",
"North Dakota","2005","1152  ","Support Activities for Animal Production","7","0","0","38",
"North Dakota","2005","23711 ","Water and Sewer Line and Related Structures Construction","59","0","0","38",
"North Dakota","2005","237110","Water and Sewer Line and Related Structures Construction","59","0","0","38",
"North Dakota","2005","23712 ","Oil and Gas Pipeline and Related Structures Construction","7","0","0","38",
"North Dakota","2005","311225","Fats and Oils Refining and Blending","1","0","0","38",
"North Dakota","2005","237120","Oil and Gas Pipeline and Related Structures Construction","7","0","0","38",
"North Dakota","2005","311221","Wet Corn Milling","1","0","0","38",
"North Dakota","2005","311223","Other Oilseed Processing","2","0","0","38",
"North Dakota","2005","31123 ","Breakfast Cereal Manufacturing","1","0","0","38",
"North Dakota","2005","311230","Breakfast Cereal Manufacturing","1","0","0","38",
"North Dakota","2005","3159  ","Apparel Accessories and Other Apparel Manufacturing","1","0","0","38",
"North Dakota","2005","315212","Women's, Girls', and Infants' Cut and Sew Apparel Contractors","7","0","0","38",
"North Dakota","2005","31523 ","Women's and Girls' Cut and Sew Apparel Manufacturing","1","0","0","38",
"North Dakota","2005","315231","Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing","1","0","0","38",
"North Dakota","2005","316999","All Other Leather Good Manufacturing","1","0","0","38",
"North Dakota","2005","316213","Men's Footwear (except Athletic) Manufacturing","1","0","0","38",
"North Dakota","2005","3169  ","Other Leather and Allied Product Manufacturing","1","0","0","38",
"North Dakota","2005","31699 ","Other Leather and Allied Product Manufacturing","1","0","0","38",
"North Dakota","2005","321113","Sawmills","2","0","0","38",
"North Dakota","2005","321   ","Wood Product Manufacturing","29","1958","61347","38",
"North Dakota","2005","3211  ","Sawmills and Wood Preservation","2","0","0","38",
"North Dakota","2005","32111 ","Sawmills and Wood Preservation","2","0","0","38",
"North Dakota","2005","3212  ","Veneer, Plywood, and Engineered Wood Product Manufacturing","11","759","26312","38",
"North Dakota","2005","322   ","Paper Manufacturing","3","0","0","38",
"North Dakota","2005","32199 ","All Other Wood Product Manufacturing","2","0","0","38",
"North Dakota","2005","321991","Manufactured Home (Mobile Home) Manufacturing","1","0","0","38",
"North Dakota","2005","321992","Prefabricated Wood Building Manufacturing","1","0","0","38",
"North Dakota","2005","3222  ","Converted Paper Product Manufacturing","3","0","0","38",
"North Dakota","2005","3241  ","Petroleum and Coal Products Manufacturing","2","0","0","38",
"North Dakota","2005","32312 ","Support Activities for Printing","1","0","0","38",
"North Dakota","2005","323122","Prepress Services","1","0","0","38",
"North Dakota","2005","324   ","Petroleum and Coal Products Manufacturing","2","0","0","38",
"North Dakota","2005","32411 ","Petroleum Refineries","1","0","0","38",
"North Dakota","2005","325611","Soap and Other Detergent Manufacturing","1","0","0","38",
"North Dakota","2005","325520","Adhesive Manufacturing","2","0","0","38",
"North Dakota","2005","3256  ","Soap, Cleaning Compound, and Toilet Preparation Manufacturing","4","0","0","38",
"North Dakota","2005","32561 ","Soap and Cleaning Compound Manufacturing","3","0","0","38",
"North Dakota","2005","325612","Polish and Other Sanitation Good Manufacturing","2","0","0","38",
"North Dakota","2005","11531 ","Support Activities for Forestry","1","0","0","38",
"North Dakota","2005","11521 ","Support Activities for Animal Production","7","0","0","38",
"North Dakota","2005","115210","Support Activities for Animal Production","7","0","0","38",
"North Dakota","2005","1153  ","Support Activities for Forestry","1","0","0","38",
"North Dakota","2005","23721 ","Land Subdivision","16","73","2188","38",
"North Dakota","2005","23713 ","Power and Communication Line and Related Structures Construction","22","0","0","38",
"North Dakota","2005","237130","Power and Communication Line and Related Structures Construction","22","0","0","38",
"North Dakota","2005","2372  ","Land Subdivision","16","73","2188","38",
"North Dakota","2005","31133 ","Confectionery Manufacturing from Purchased Chocolate","2","0","0","38",
"North Dakota","2005","3113  ","Sugar and Confectionery Product Manufacturing","7","0","0","38",
"North Dakota","2005","31131 ","Sugar Manufacturing","3","0","0","38",
"North Dakota","2005","311313","Beet Sugar Manufacturing","3","0","0","38",
"North Dakota","2005","316   ","Leather and Allied Product Manufacturing","2","0","0","38",
"North Dakota","2005","311330","Confectionery Manufacturing from Purchased Chocolate","2","0","0","38",
"North Dakota","2005","31599 ","Apparel Accessories and Other Apparel Manufacturing","1","0","0","38",
"North Dakota","2005","315991","Hat, Cap, and Millinery Manufacturing","1","0","0","38",
"North Dakota","2005","3162  ","Footwear Manufacturing","1","0","0","38",
"North Dakota","2005","31621 ","Footwear Manufacturing","1","0","0","38",
"North Dakota","2005","3219  ","Other Wood Product Manufacturing","16","0","0","38",
"North Dakota","2005","32121 ","Veneer, Plywood, and Engineered Wood Product Manufacturing","11","759","26312","38",
"North Dakota","2005","321214","Truss Manufacturing","8","0","0","38",
"North Dakota","2005","321219","Reconstituted Wood Product Manufacturing","3","0","0","38",
"North Dakota","2005","32229 ","Other Converted Paper Product Manufacturing","1","0","0","38",
"North Dakota","2005","32191 ","Millwork","7","0","0","38",
"North Dakota","2005","32221 ","Paperboard Container Manufacturing","2","0","0","38",
