"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Commonwealth of the Northern Mariana Islands","2009","00    ","Total for all sectors","1232","10188","131407","69",
"Commonwealth of the Northern Mariana Islands","2009","11    ","Agriculture, forestry, fishing and hunting","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","114   ","Fishing, hunting and trapping","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","1141  ","Fishing","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","11411 ","Fishing","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","114111","Finfish fishing","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","21    ","Mining, quarrying, and oil and gas extraction","2","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","212   ","Mining (except oil and gas)","2","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","2123  ","Nonmetallic mineral mining and quarrying","2","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","2","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","212321","Construction sand and gravel mining","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","212325","Clay and ceramic and refractory minerals mining","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","22    ","Utilities","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","221   ","Utilities","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","2211  ","Electric power generation, transmission and distribution","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","22111 ","Electric power generation","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","221119","Other electric power generation","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","23    ","Construction","55","385","3136","69",
"Commonwealth of the Northern Mariana Islands","2009","236   ","Construction of buildings","30","89","1031","69",
"Commonwealth of the Northern Mariana Islands","2009","2361  ","Residential building construction","22","61","543","69",
"Commonwealth of the Northern Mariana Islands","2009","23611 ","Residential building construction","22","61","543","69",
"Commonwealth of the Northern Mariana Islands","2009","236115","New single-family housing construction (except operative builders)","7","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","236116","New multifamily housing construction (except operative builders)","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","236117","New housing operative builders","4","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","236118","Residential remodelers","10","0","239","69",
"Commonwealth of the Northern Mariana Islands","2009","2362  ","Nonresidential building construction","8","0","488","69",
"Commonwealth of the Northern Mariana Islands","2009","23621 ","Industrial building construction","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","236210","Industrial building construction","1","0","0","69",
"Commonwealth of the Northern Mariana Islands","2009","23622 ","Commercial and institutional building construction","7","0","390","69",
"Commonwealth of the Northern Mariana Islands","2009","236220","Commercial and institutional building construction","7","0","390","69",
"Commonwealth of the Northern Mariana Islands","2009","237   ","Heavy and civil engineering construction","10","0","0","69",
