"NAME","YEAR","NAICS2017","NAICS2017_LABEL","ESTAB","EMP","PAYANN","state",
"Commonwealth of the Northern Mariana Islands","2017","00","Total for all sectors","1782","21296","425090","69",
"Commonwealth of the Northern Mariana Islands","2017","44-45","Retail trade","350","2775","46280","69",
"Commonwealth of the Northern Mariana Islands","2017","441","Motor vehicle and parts dealers","25","230","6906","69",
"Commonwealth of the Northern Mariana Islands","2017","453220","Gift, novelty, and souvenir stores","27","384","9755","69",
"Commonwealth of the Northern Mariana Islands","2017","4539","Other miscellaneous store retailers","6","32","119","69",
"Commonwealth of the Northern Mariana Islands","2017","45399","All other miscellaneous store retailers","3","29","79","69",
"Commonwealth of the Northern Mariana Islands","2017","454","Nonstore retailers","11","40","472","69",
"Commonwealth of the Northern Mariana Islands","2017","4541","Electronic shopping and mail-order houses","3","5","82","69",
"Commonwealth of the Northern Mariana Islands","2017","45411","Electronic shopping and mail-order houses","3","5","82","69",
"Commonwealth of the Northern Mariana Islands","2017","454110","Electronic shopping and mail-order houses","3","5","82","69",
"Commonwealth of the Northern Mariana Islands","2017","53228","Other consumer goods rental","10","79","995","69",
"Commonwealth of the Northern Mariana Islands","2017","532282","Video tape and disc rental","4","25","211","69",
"Commonwealth of the Northern Mariana Islands","2017","532284","Recreational goods rental","4","25","408","69",
"Commonwealth of the Northern Mariana Islands","2017","5324","Commercial and industrial machinery and equipment rental and leasing","5","44","668","69",
"Commonwealth of the Northern Mariana Islands","2017","53241","Construction, transportation, mining, and forestry machinery and equipment rental and leasing","4","34","427","69",
"Commonwealth of the Northern Mariana Islands","2017","54","Professional, scientific, and technical services","104","471","13844","69",
"Commonwealth of the Northern Mariana Islands","2017","62","Health care and social assistance","44","1066","39249","69",
"Commonwealth of the Northern Mariana Islands","2017","621","Ambulatory health care services","27","935","37234","69",
"Commonwealth of the Northern Mariana Islands","2017","81111","Automotive mechanical and electrical repair and maintenance","23","99","1449","69",
"Commonwealth of the Northern Mariana Islands","2017","811111","General automotive repair","21","94","1378","69",
"Commonwealth of the Northern Mariana Islands","2017","81112","Automotive body, paint, interior, and glass repair","5","43","195","69",
"Commonwealth of the Northern Mariana Islands","2017","811122","Automotive glass replacement shops","3","5","101","69",
"Commonwealth of the Northern Mariana Islands","2017","81119","Other automotive repair and maintenance","7","23","174","69",
"Commonwealth of the Northern Mariana Islands","2017","4411","Automobile dealers","7","159","5624","69",
"Commonwealth of the Northern Mariana Islands","2017","44111","New car dealers","3","145","5507","69",
"Commonwealth of the Northern Mariana Islands","2017","441110","New car dealers","3","145","5507","69",
"Commonwealth of the Northern Mariana Islands","2017","44112","Used car dealers","4","14","117","69",
"Commonwealth of the Northern Mariana Islands","2017","441120","Used car dealers","4","14","117","69",
"Commonwealth of the Northern Mariana Islands","2017","4413","Automotive parts, accessories, and tire stores","17","69","1269","69",
"Commonwealth of the Northern Mariana Islands","2017","44131","Automotive parts and accessories stores","6","27","494","69",
"Commonwealth of the Northern Mariana Islands","2017","441310","Automotive parts and accessories stores","6","27","494","69",
"Commonwealth of the Northern Mariana Islands","2017","4543","Direct selling establishments","8","35","390","69",
"Commonwealth of the Northern Mariana Islands","2017","45439","Other direct selling establishments","6","20","129","69",
"Commonwealth of the Northern Mariana Islands","2017","454390","Other direct selling establishments","6","20","129","69",
"Commonwealth of the Northern Mariana Islands","2017","48-49","Transportation and warehousing","59","1191","23613","69",
"Commonwealth of the Northern Mariana Islands","2017","541","Professional, scientific, and technical services","104","471","13844","69",
"Commonwealth of the Northern Mariana Islands","2017","5411","Legal services","31","97","2834","69",
"Commonwealth of the Northern Mariana Islands","2017","6211","Offices of physicians","10","755","33173","69",
"Commonwealth of the Northern Mariana Islands","2017","62111","Offices of physicians","10","755","33173","69",
"Commonwealth of the Northern Mariana Islands","2017","621111","Offices of physicians (except mental health specialists)","10","755","33173","69",
"Commonwealth of the Northern Mariana Islands","2017","6212","Offices of dentists","5","39","1250","69",
"Commonwealth of the Northern Mariana Islands","2017","811192","Car washes","4","11","77","69",
"Commonwealth of the Northern Mariana Islands","2017","811198","All other automotive repair and maintenance","3","12","97","69",
"Commonwealth of the Northern Mariana Islands","2017","8112","Electronic and precision equipment repair and maintenance","8","16","177","69",
"Commonwealth of the Northern Mariana Islands","2017","81121","Electronic and precision equipment repair and maintenance","8","16","177","69",
"Commonwealth of the Northern Mariana Islands","2017","811212","Computer and office machine repair and maintenance","5","12","146","69",
"Commonwealth of the Northern Mariana Islands","2017","8113","Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","6","56","1136","69",
"Commonwealth of the Northern Mariana Islands","2017","81131","Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance","6","56","1136","69",
"Commonwealth of the Northern Mariana Islands","2017","11","Agriculture, forestry, fishing and hunting","3","13","231","69",
"Commonwealth of the Northern Mariana Islands","2017","22","Utilities","4","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","221","Utilities","4","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","2211","Electric power generation, transmission and distribution","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","22112","Electric power transmission, control, and distribution","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","221122","Electric power distribution","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","23","Construction","111","2334","31378","69",
"Commonwealth of the Northern Mariana Islands","2017","44132","Tire dealers","11","42","775","69",
"Commonwealth of the Northern Mariana Islands","2017","441320","Tire dealers","11","42","775","69",
"Commonwealth of the Northern Mariana Islands","2017","442","Furniture and home furnishings stores","6","15","215","69",
"Commonwealth of the Northern Mariana Islands","2017","4421","Furniture stores","4","12","151","69",
"Commonwealth of the Northern Mariana Islands","2017","44211","Furniture stores","4","12","151","69",
"Commonwealth of the Northern Mariana Islands","2017","442110","Furniture stores","4","12","151","69",
"Commonwealth of the Northern Mariana Islands","2017","443","Electronics and appliance stores","15","160","2355","69",
"Commonwealth of the Northern Mariana Islands","2017","4431","Electronics and appliance stores","15","160","2355","69",
"Commonwealth of the Northern Mariana Islands","2017","481","Air transportation","8","176","3955","69",
"Commonwealth of the Northern Mariana Islands","2017","4811","Scheduled air transportation","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","48111","Scheduled air transportation","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","4812","Nonscheduled air transportation","5","36","887","69",
"Commonwealth of the Northern Mariana Islands","2017","48121","Nonscheduled air transportation","5","36","887","69",
"Commonwealth of the Northern Mariana Islands","2017","481211","Nonscheduled chartered passenger air transportation","5","36","887","69",
"Commonwealth of the Northern Mariana Islands","2017","484","Truck transportation","9","58","1198","69",
"Commonwealth of the Northern Mariana Islands","2017","4841","General freight trucking","7","50","961","69",
"Commonwealth of the Northern Mariana Islands","2017","48411","General freight trucking, local","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","484110","General freight trucking, local","3","0","0","69",
"Commonwealth of the Northern Mariana Islands","2017","54111","Offices of lawyers","30","95","2760","69",
"Commonwealth of the Northern Mariana Islands","2017","541110","Offices of lawyers","30","95","2760","69",
"Commonwealth of the Northern Mariana Islands","2017","5412","Accounting, tax preparation, bookkeeping, and payroll services","14","76","2774","69",
"Commonwealth of the Northern Mariana Islands","2017","62121","Offices of dentists","5","39","1250","69",
"Commonwealth of the Northern Mariana Islands","2017","621210","Offices of dentists","5","39","1250","69",
"Commonwealth of the Northern Mariana Islands","2017","6213","Offices of other health practitioners","7","32","669","69",
"Commonwealth of the Northern Mariana Islands","2017","62139","Offices of all other health practitioners","4","7","117","69",
"Commonwealth of the Northern Mariana Islands","2017","621399","Offices of all other miscellaneous health practitioners","3","3","34","69",
