"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Ohio","2000","326   ","Plastics & rubber products mfg","1173","96933","3159598","39",
"Ohio","2000","3261  ","Plastics product mfg","897","69884","2113599","39",
"Ohio","2000","32611 ","Unsupported plastics film, sheet, & bag mfg","80","4875","192148","39",
"Ohio","2000","326111","Unsupported plastics bag mfg","21","1429","47715","39",
"Ohio","2000","326112","Unsupported plastics packaging film & sheet mfg","10","782","28425","39",
"Ohio","2000","33131 ","Alumina & aluminum production & processing","39","5962","212127","39",
"Ohio","2000","331221","Rolled steel shape mfg","29","4515","225318","39",
"Ohio","2000","331222","Steel wire drawing","14","1465","62906","39",
"Ohio","2000","3313  ","Alumina & aluminum production & processing","39","5962","212127","39",
"Ohio","2000","331312","Primary aluminum production","3","0","0","39",
"Ohio","2000","33291 ","Metal valve mfg","116","10450","404046","39",
"Ohio","2000","332812","Metal coating, engraving & allied services","154","5775","190828","39",
"Ohio","2000","332813","Electropl, plating, polish, anodize, coloring","273","6811","202937","39",
"Ohio","2000","3329  ","Other fabricated metal product mfg","492","27876","1110105","39",
"Ohio","2000","333991","Power-driven handtool mfg","23","1734","79613","39",
"Ohio","2000","333923","Overhead crane, hoist & monorail system mfg","19","1013","43172","39",
"Ohio","2000","333924","Ind truck, tractor, trailer, stacker mach mfg","30","3510","161699","39",
"Ohio","2000","33399 ","All other general purpose machinery mfg","328","17908","781938","39",
"Ohio","2000","335314","Relay & industrial control mfg","80","6156","294208","39",
"Ohio","2000","335912","Primary battery mfg","2","0","0","39",
"Ohio","2000","3359  ","Other electrical equipment & component mfg","132","10037","339304","39",
"Ohio","2000","33591 ","Battery mfg","7","1026","34239","39",
"Ohio","2000","335911","Storage battery mfg","5","0","0","39",
"Ohio","2000","33592 ","Communication & energy wire & cable mfg","18","1256","49655","39",
"Ohio","2000","337212","Custom architectural woodwork & millwork mfg","31","0","0","39",
"Ohio","2000","33791 ","Mattress mfg","20","1067","33964","39",
"Ohio","2000","337214","Office furniture (except wood) mfg","5","0","0","39",
"Ohio","2000","337215","Showcase, partition, shelving & locker mfg","115","4603","154097","39",
"Ohio","2000","3379  ","Other furniture related product mfg","31","1228","36787","39",
"Ohio","2000","421460","Ophthalmic goods whsle","46","910","24778","39",
"Ohio","2000","42151 ","Metal service centers & offices whsle","761","12496","518880","39",
"Ohio","2000","42149 ","Oth professional equipment & supplies whsle","101","1381","63116","39",
"Ohio","2000","421490","Oth professional equipment & supplies whsle","101","1381","63116","39",
"Ohio","2000","4215  ","Metal & mineral (except petroleum) whsle","810","12833","542702","39",
"Ohio","2000","422440","Poultry & poultry product whsle","33","0","0","39",
"Ohio","2000","422460","Fish & seafood whsle","21","0","0","39",
"Ohio","2000","42245 ","Confectionery whsle","99","2299","66461","39",
"Ohio","2000","422450","Confectionery whsle","99","2299","66461","39",
"Ohio","2000","42246 ","Fish & seafood whsle","21","0","0","39",
"Ohio","2000","443112","Radio, television & other electronics stores","762","8197","165338","39",
"Ohio","2000","443130","Camera & photographic supplies stores","117","1163","18528","39",
"Ohio","2000","44312 ","Computer & software stores","496","5123","155300","39",
"Ohio","2000","443120","Computer & software stores","496","5123","155300","39",
"Ohio","2000","44313 ","Camera & photographic supplies stores","117","1163","18528","39",
"Ohio","2000","45111 ","Sporting goods stores","815","5938","84999","39",
"Ohio","2000","451110","Sporting goods stores","815","5938","84999","39",
"Ohio","2000","451130","Sewing, needlework & piece","235","1666","19236","39",
"Ohio","2000","45112 ","Hobby, toy & game stores","486","5536","79968","39",
"Ohio","2000","451120","Hobby, toy & game stores","486","5536","79968","39",
"Ohio","2000","45113 ","Sewing, needlework & piece","235","1666","19236","39",
"Ohio","2000","484   ","Truck transportation","4606","68384","2357739","39",
"Ohio","2000","48412 ","General freight trucking, long-distance","1504","38987","1446184","39",
"Ohio","2000","4841  ","General freight trucking","2421","47598","1698082","39",
"Ohio","2000","48411 ","General freight trucking, local","917","8611","251898","39",
"Ohio","2000","484110","General freight trucking, local","917","8611","251898","39",
"Ohio","2000","4884  ","Road transportation support activities","271","2188","49384","39",
"Ohio","2000","488490","Other road transportation support activities","38","611","17277","39",
"Ohio","2000","48841 ","Motor vehicle towing","233","1577","32107","39",
"Ohio","2000","488410","Motor vehicle towing","233","1577","32107","39",
"Ohio","2000","48849 ","Other road transportation support activities","38","611","17277","39",
"Ohio","2000","513220","Cable & other program distribution","135","5534","210673","39",
"Ohio","2000","51332 ","Wireless telecom carriers (exc satellite)","367","6267","280063","39",
"Ohio","2000","5133  ","Telecommunications","1432","36673","1847519","39",
"Ohio","2000","51331 ","Wired telecommunications carriers","967","29052","1506152","39",
"Ohio","2000","513310","Wired telecommunications carriers","967","29052","1506152","39",
"Ohio","2000","524114","Direct health & medical insurance carriers","137","10277","460706","39",
"Ohio","2000","524128","All other direct insurance carriers","8","79","3962","39",
"Ohio","2000","52412 ","Other direct insurance carriers","1118","39188","1758322","39",
"Ohio","2000","524126","Direct property & casualty insurance carriers","977","37458","1694069","39",
"Ohio","2000","524127","Direct title insurance carriers","133","1651","60291","39",
"Ohio","2000","54    ","Professional, scientific & technical services","23700","229546","10010783","39",
"Ohio","2000","541890","Other services related to advertising","388","3270","100937","39",
"Ohio","2000","541   ","Professional, scientific & technical services","23700","229546","10010783","39",
"Ohio","2000","5411  ","Legal services","5845","36865","1661172","39",
"Ohio","2000","54111 ","Offices of lawyers","5477","33512","1559707","39",
"Ohio","2000","54194 ","Veterinary services","965","8682","182248","39",
"Ohio","2000","5419  ","Oth professional, scientific, technical service","2316","20970","499848","39",
"Ohio","2000","54191 ","Marketing research & public opinion polling","173","6238","163953","39",
"Ohio","2000","541910","Marketing research & public opinion polling","173","6238","163953","39",
"Ohio","2000","541940","Veterinary services","965","8682","182248","39",
"Ohio","2000","551   ","Management of companies & enterprises","1936","144519","9254859","39",
"Ohio","2000","54199 ","All oth prof, scientific & technical services","373","1891","63721","39",
"Ohio","2000","541990","All oth prof, scientific & technical services","373","1891","63721","39",
"Ohio","2000","55    ","Management of companies & enterprises","1936","144519","9254859","39",
"Ohio","2000","5511  ","Management of companies & enterprises","1936","144519","9254859","39",
"Ohio","2000","5613  ","Employment services","1831","178847","3107523","39",
"Ohio","2000","55111 ","Management of companies & enterprises","1936","144519","9254859","39",
"Ohio","2000","551111","Offices of bank holding companies","35","875","57373","39",
"Ohio","2000","551112","Offices of other holding companies","279","8110","494995","39",
"Ohio","2000","56131 ","Employment placement agencies","332","7087","176200","39",
"Ohio","2000","56149 ","Other business support services","217","2270","52075","39",
"Ohio","2000","561310","Employment placement agencies","332","7087","176200","39",
"Ohio","2000","56132 ","Temporary help services","1272","128347","2111826","39",
"Ohio","2000","561320","Temporary help services","1272","128347","2111826","39",
"Ohio","2000","561491","Repossession services","38","298","6474","39",
"Ohio","2000","56173 ","Landscaping services","3202","18298","460350","39",
"Ohio","2000","561492","Court reporting & stenotype services","130","713","21747","39",
"Ohio","2000","561499","All other business support services","49","1259","23854","39",
"Ohio","2000","5615  ","Travel arrangement & reservation services","1025","7872","187529","39",
"Ohio","2000","561730","Landscaping services","3202","18298","460350","39",
"Ohio","2000","562991","Septic tank & related","145","1268","37189","39",
"Ohio","2000","56174 ","Carpet & upholstery cleaning services","363","2340","44187","39",
"Ohio","2000","561740","Carpet & upholstery cleaning services","363","2340","44187","39",
"Ohio","2000","56179 ","Other services","172","996","24755","39",
"Ohio","2000","562998","All other miscellaneous waste management","13","124","5361","39",
"Ohio","2000","611692","Automobile driving schools","117","720","8220","39",
"Ohio","2000","61    ","Educational services","2478","93525","1870982","39",
"Ohio","2000","611   ","Educational services","2478","93525","1870982","39",
"Ohio","2000","6111  ","Elementary & secondary schools","749","28751","550700","39",
"Ohio","2000","611699","All other miscellaneous schools & instruction","150","2023","53093","39",
"Ohio","2000","6117  ","Educational support services","144","1266","31494","39",
"Ohio","2000","6216  ","Home health care services","702","33587","638229","39",
"Ohio","2000","61171 ","Educational support services","144","1266","31494","39",
"Ohio","2000","611710","Educational support services","144","1266","31494","39",
"Ohio","2000","621512","Diagnostic Imaging centers","156","1441","78919","39",
"Ohio","2000","62161 ","Home health care services","702","33587","638229","39",
"Ohio","2000","62421 ","Community food services","121","1027","17276","39",
"Ohio","2000","621610","Home health care services","702","33587","638229","39",
"Ohio","2000","6219  ","Other ambulatory health care services","302","8010","182221","39",
"Ohio","2000","6242  ","Community, emergency & other relief services","407","4902","92144","39",
"Ohio","2000","71219 ","Nature parks & other similar institutions","19","140","2628","39",
"Ohio","2000","624210","Community food services","121","1027","17276","39",
"Ohio","2000","62422 ","Community housing services","190","2939","56213","39",
"Ohio","2000","624221","Temporary shelters","98","2029","35058","39",
"Ohio","2000","712190","Nature parks & other similar institutions","19","140","2628","39",
"Ohio","2000","713   ","Amusement, gambling & recreation industries","2749","42352","654334","39",
"Ohio","2000","7224  ","Drinking places (alcoholic beverages)","3280","16543","149363","39",
"Ohio","2000","7131  ","Amusement parks & arcades","95","2974","82788","39",
"Ohio","2000","71311 ","Amusement & theme parks","23","2123","73309","39",
"Ohio","2000","722330","Mobile food services","166","877","13316","39",
"Ohio","2000","72241 ","Drinking places (alcoholic beverages)","3280","16543","149363","39",
"Ohio","2000","8129  ","Other personal services","1338","8118","134156","39",
"Ohio","2000","722410","Drinking places (alcoholic beverages)","3280","16543","149363","39",
"Ohio","2000","81    ","Other services (except public administration)","30514","235469","4332536","39",
"Ohio","2000","812332","Industrial launderers","73","4635","109225","39",
"Ohio","2000","81291 ","Pet care (except veterinary) services","274","1002","11666","39",
"Ohio","2000","22    ","Utilities","663","27940","1630335","39",
"Ohio","2000","812910","Pet care (except veterinary) services","274","1002","11666","39",
"Ohio","2000","81292 ","Photofinishing","177","2250","52609","39",
"Ohio","2000","213113","Support activities for coal mining","20","471","18523","39",
"Ohio","2000","213114","Support activities for metal mining","2","0","0","39",
"Ohio","2000","213115","Nonmetallic minerals support activity (exc fuels)","5","0","0","39",
"Ohio","2000","221   ","Utilities","663","27940","1630335","39",
"Ohio","2000","23561 ","Roofing, siding, & sheet metal contractors","1401","10479","334269","39",
"Ohio","2000","235710","Concrete contractors","1456","13735","520476","39",
"Ohio","2000","235610","Roofing, siding, & sheet metal contractors","1401","10479","334269","39",
"Ohio","2000","2357  ","Concrete contractors","1456","13735","520476","39",
"Ohio","2000","23571 ","Concrete contractors","1456","13735","520476","39",
"Ohio","2000","31183 ","Tortilla mfg","4","85","1634","39",
"Ohio","2000","311911","Roasted nuts & peanut butter mfg","11","0","0","39",
"Ohio","2000","311830","Tortilla mfg","4","85","1634","39",
"Ohio","2000","3119  ","Other food mfg","110","5997","225552","39",
"Ohio","2000","31191 ","Snack food mfg","36","1750","70375","39",
"Ohio","2000","315233","Women's, girls' cut & sew dress mfg","8","135","3454","39",
"Ohio","2000","315292","Fur & leather apparel mfg","1","0","0","39",
"Ohio","2000","315234","Women's, girls' cut & sew suit, coat, skirt mfg","7","0","0","39",
"Ohio","2000","315239","Women's, girls' cut & sew other outerwear mfg","21","182","3252","39",
"Ohio","2000","31529 ","Other cut & sew apparel mfg","6","106","2188","39",
"Ohio","2000","323110","Commercial lithographic printing","718","20703","747595","39",
"Ohio","2000","323114","Quick printing","283","1854","47246","39",
"Ohio","2000","323111","Commercial gravure printing","13","221","8619","39",
"Ohio","2000","323112","Commercial flexographic printing","54","3129","123944","39",
"Ohio","2000","323113","Commercial screen printing","164","3118","84038","39",
"Ohio","2000","326113","Unsupported plastics film & sheet (except packaging","49","2664","116008","39",
"Ohio","2000","32613 ","Laminated plastics plate, sheet & shape mfg","45","2095","74892","39",
"Ohio","2000","32612 ","Plastics pipe, pipe fitting, & unsupported profile","77","3851","127548","39",
"Ohio","2000","326121","Unsupported plastics profile shape mfg","50","2293","70198","39",
"Ohio","2000","326122","Plastics pipe & pipe fitting mfg","27","1558","57350","39",
"Ohio","2000","331314","Secondary smelting & alloying of aluminum","10","0","0","39",
"Ohio","2000","332911","Industrial valve mfg","32","2712","105315","39",
"Ohio","2000","331315","Aluminum sheet, plate & foil mfg","4","1239","52822","39",
"Ohio","2000","331316","Aluminum extruded product mfg","20","2477","78640","39",
"Ohio","2000","331319","Other aluminum rolling & drawing","2","0","0","39",
"Ohio","2000","332912","Fluid power valve & hose fitting mfg","49","5724","229964","39",
"Ohio","2000","333992","Welding & soldering equipment mfg","22","5111","222835","39",
"Ohio","2000","332913","Plumbing fixture fitting & trim mfg","14","694","23255","39",
"Ohio","2000","332919","Other metal valve & pipe fitting mfg","21","1320","45512","39",
"Ohio","2000","33299 ","All other fabricated metal product mfg","376","17426","706059","39",
"Ohio","2000","333993","Packaging machinery mfg","40","2338","115745","39",
"Ohio","2000","335921","Fiber optic cable mfg","3","0","0","39",
"Ohio","2000","333994","Industrial process furnace & oven mfg","41","1364","64427","39",
"Ohio","2000","333995","Fluid power cylinder & actuator mfg","33","1545","52917","39",
"Ohio","2000","333996","Fluid power pump & motor mfg","14","2265","94518","39",
"Ohio","2000","335932","Noncurrent-carrying wiring device mfg","17","1233","36497","39",
"Ohio","2000","335929","Other communication & energy wire mfg","15","0","0","39",
"Ohio","2000","33593 ","Wiring device mfg","48","3673","115390","39",
"Ohio","2000","335931","Current-carrying wiring device mfg","31","2440","78893","39",
"Ohio","2000","337910","Mattress mfg","20","1067","33964","39",
"Ohio","2000","33792 ","Blind & shade mfg","11","161","2823","39",
"Ohio","2000","421510","Metal service centers & offices whsle","761","12496","518880","39",
"Ohio","2000","337920","Blind & shade mfg","11","161","2823","39",
"Ohio","2000","339   ","Miscellaneous mfg","1138","30818","995191","39",
"Ohio","2000","3391  ","Medical equipment & supplies mfg","423","11227","430217","39",
"Ohio","2000","42152 ","Coal & other mineral & ore whsle","49","337","23822","39",
"Ohio","2000","42247 ","Meat & meat product whsle","71","0","0","39",
"Ohio","2000","421520","Coal & other mineral & ore whsle","49","337","23822","39",
"Ohio","2000","4216  ","Electrical goods whsle","1419","18837","952285","39",
"Ohio","2000","42161 ","Elec equip, wiring supp, const material whsle","636","7385","353144","39",
"Ohio","2000","422470","Meat & meat product whsle","71","0","0","39",
"Ohio","2000","444   ","Bldg material & garden equip & supp dealers","3940","55194","1370231","39",
"Ohio","2000","42248 ","Fresh fruit & vegetable whsle","147","3018","99691","39",
"Ohio","2000","422480","Fresh fruit & vegetable whsle","147","3018","99691","39",
"Ohio","2000","42249 ","Other grocery & related products whsle","442","15011","523759","39",
"Ohio","2000","4441  ","Building material & supplies dealers","3087","47935","1218508","39",
"Ohio","2000","45114 ","Musical instrument & supplies stores","187","1306","25538","39",
"Ohio","2000","44411 ","Home centers","165","12826","259398","39",
"Ohio","2000","444110","Home centers","165","12826","259398","39",
"Ohio","2000","44412 ","Paint & wallpaper stores","423","2776","83336","39",
"Ohio","2000","451140","Musical instrument & supplies stores","187","1306","25538","39",
"Ohio","2000","484122","General freight trucking, long-distance, LTL","291","16075","677549","39",
"Ohio","2000","4512  ","Book, periodical & music stores","806","8394","88798","39",
"Ohio","2000","45121 ","Book stores & news dealers","498","5313","58062","39",
"Ohio","2000","484121","General freight trucking, long-distance, TL","1213","22912","768635","39",
"Ohio","2000","4885  ","Freight transportation arrangement","452","4691","176999","39",
"Ohio","2000","4842  ","Specialized freight trucking","2185","20786","659657","39",
"Ohio","2000","48421 ","Used household & office goods moving","292","3822","109539","39",
"Ohio","2000","484210","Used household & office goods moving","292","3822","109539","39",
"Ohio","2000","48851 ","Freight transportation arrangement","452","4691","176999","39",
"Ohio","2000","513322","Cellular & other wireless telecommunications","214","4313","211386","39",
"Ohio","2000","488510","Freight transportation arrangement","452","4691","176999","39",
"Ohio","2000","4889  ","Other transportation support activities","56","0","0","39",
"Ohio","2000","513321","Paging","153","1954","68677","39",
"Ohio","2000","51333 ","Telecommunications resellers","57","1039","47462","39",
"Ohio","2000","524130","Reinsurance carriers","19","356","13112","39",
"Ohio","2000","513330","Telecommunications resellers","57","1039","47462","39",
"Ohio","2000","51334 ","Satellite telecommunications","19","194","9306","39",
"Ohio","2000","52413 ","Reinsurance carriers","19","356","13112","39",
"Ohio","2000","54119 ","Other legal services","368","3353","101465","39",
"Ohio","2000","5242  ","Agencies & other insurance related activities","5819","33550","1210682","39",
"Ohio","2000","52421 ","Insurance agencies & brokerages","5352","24814","883355","39",
"Ohio","2000","541110","Offices of lawyers","5477","33512","1559707","39",
"Ohio","2000","541191","Title abstract & settlement offices","331","3049","91504","39",
"Ohio","2000","541921","Photography studios, portrait","645","3430","68249","39",
"Ohio","2000","541199","All other","37","304","9961","39",
"Ohio","2000","5412  ","Accounting, tax prep, bookkeep, payroll services","3448","37206","1148518","39",
"Ohio","2000","54192 ","Photographic services","781","4072","87163","39",
"Ohio","2000","541922","Commercial photography","136","642","18914","39",
"Ohio","2000","56    ","Admin, support, waste mgt, remediation services","13659","358907","7037552","39",
"Ohio","2000","54193 ","Translation & interpretation services","24","87","2763","39",
"Ohio","2000","541930","Translation & interpretation services","24","87","2763","39",
"Ohio","2000","551114","Corp, subsidiary & regional managing offices","1622","135534","8702491","39",
"Ohio","2000","561330","Employee leasing services","227","43413","819497","39",
"Ohio","2000","561   ","Administrative & support services","12971","344016","6517006","39",
"Ohio","2000","5611  ","Office administrative services","922","13507","541772","39",
"Ohio","2000","56133 ","Employee leasing services","227","43413","819497","39",
"Ohio","2000","5614  ","Business support services","1119","30502","687209","39",
"Ohio","2000","561510","Travel agencies","761","4356","101402","39",
"Ohio","2000","56141 ","Document preparation services","150","1452","34571","39",
"Ohio","2000","561410","Document preparation services","150","1452","34571","39",
"Ohio","2000","56151 ","Travel agencies","761","4356","101402","39",
"Ohio","2000","56152 ","Tour operators","63","353","6633","39",
"Ohio","2000","561520","Tour operators","63","353","6633","39",
"Ohio","2000","5619  ","Other support services","965","19467","392074","39",
"Ohio","2000","56159 ","Oth travel arrangement & reservation services","201","3163","79494","39",
"Ohio","2000","561591","Convention and visitors bureaus","51","612","12595","39",
"Ohio","2000","561790","Other services","172","996","24755","39",
"Ohio","2000","56191 ","Packaging & labeling","122","3696","80802","39",
"Ohio","2000","561910","Packaging & labeling","122","3696","80802","39",
"Ohio","2000","6112  ","Junior colleges","45","1878","45660","39",
"Ohio","2000","56192 ","Convention & trade show organizers","112","1373","46741","39",
"Ohio","2000","61111 ","Elementary & secondary schools","749","28751","550700","39",
"Ohio","2000","611110","Elementary & secondary schools","749","28751","550700","39",
"Ohio","2000","621   ","Ambulatory health care services","17895","195338","7651691","39",
"Ohio","2000","61121 ","Junior colleges","45","1878","45660","39",
"Ohio","2000","611210","Junior colleges","45","1878","45660","39",
"Ohio","2000","62    ","Health care and social assistance","25231","647596","19076603","39",
"Ohio","2000","6211  ","Offices of physicians","7632","79620","4591933","39",
"Ohio","2000","62111 ","Offices of physicians","7632","79620","4591933","39",
"Ohio","2000","62199 ","All other ambulatory health care services","122","2842","80308","39",
"Ohio","2000","621111","Offices of physicians (exc mental health)","7262","77992","4530682","39",
"Ohio","2000","62191 ","Ambulance services","180","5168","101913","39",
"Ohio","2000","621910","Ambulance services","180","5168","101913","39",
"Ohio","2000","621991","Blood & organ banks","54","2212","62346","39",
"Ohio","2000","624230","Emergency & other relief services","96","936","18655","39",
"Ohio","2000","621999","All oth misc ambulatory health care services","68","630","17962","39",
"Ohio","2000","624229","Other community housing services","92","910","21155","39",
"Ohio","2000","62423 ","Emergency & other relief services","96","936","18655","39",
"Ohio","2000","6243  ","Vocational rehabilitation services","337","17202","191122","39",
"Ohio","2000","713120","Amusement arcades","72","851","9479","39",
"Ohio","2000","62431 ","Vocational rehabilitation services","337","17202","191122","39",
"Ohio","2000","713110","Amusement & theme parks","23","2123","73309","39",
"Ohio","2000","71312 ","Amusement arcades","72","851","9479","39",
"Ohio","2000","7132  ","Gambling industries","25","329","9524","39",
"Ohio","2000","81111 ","Automotive mechanical & electrical R&M","3562","15716","399048","39",
"Ohio","2000","71321 ","Casinos (except hotel casinos)","1","0","0","39",
"Ohio","2000","811   ","Repair & maintenance","8774","60574","1582638","39",
"Ohio","2000","8111  ","Automotive repair & maintenance","6240","35544","813147","39",
"Ohio","2000","811111","General automotive repair","2707","11622","289182","39",
"Ohio","2000","81293 ","Parking lots & garages","528","3356","40039","39",
"Ohio","2000","811112","Automotive exhaust system repair","325","1287","36097","39",
"Ohio","2000","812921","Photofinishing laboratories (except one-hour)","112","1882","48068","39",
"Ohio","2000","812922","One-hour photofinishing","65","368","4541","39",
"Ohio","2000","812930","Parking lots & garages","528","3356","40039","39",
"Ohio","2000","2211  ","Elec pwr generation, transmsn & distribution","435","21358","1307265","39",
"Ohio","2000","22111 ","Electric power generation","135","8227","478965","39",
"Ohio","2000","23581 ","Water well drilling contractors","100","516","13821","39",
"Ohio","2000","81299 ","All other personal services","359","1510","29842","39",
"Ohio","2000","221111","Hydroelectric power generation","21","0","0","39",
"Ohio","2000","221112","Fossil fuel electric power generation","101","0","0","39",
"Ohio","2000","221113","Nuclear electric power generation","7","0","0","39",
"Ohio","2000","2358  ","Water well drilling contractors","100","516","13821","39",
"Ohio","2000","311919","Other snack food mfg","25","0","0","39",
"Ohio","2000","235810","Water well drilling contractors","100","516","13821","39",
"Ohio","2000","2359  ","Other special trade contractors","3122","24705","889437","39",
"Ohio","2000","23591 ","Structural steel erection contractors","194","3682","147209","39",
"Ohio","2000","31192 ","Coffee & tea mfg","5","0","0","39",
"Ohio","2000","311920","Coffee & tea mfg","5","0","0","39",
"Ohio","2000","3159  ","Apparel accessories & other apparel mfg","57","1062","35230","39",
"Ohio","2000","31193 ","Flavoring syrup & concentrate mfg","8","0","0","39",
"Ohio","2000","311930","Flavoring syrup & concentrate mfg","8","0","0","39",
"Ohio","2000","315299","All other cut & sew apparel mfg","5","0","0","39",
"Ohio","2000","31599 ","Apparel accessories & other apparel mfg","57","1062","35230","39",
"Ohio","2000","323116","Manifold business form printing","36","2510","81024","39",
"Ohio","2000","315991","Hat, cap & millinery mfg","3","0","0","39",
"Ohio","2000","315992","Glove & mitten mfg","2","0","0","39",
"Ohio","2000","323115","Digital printing","12","322","4995","39",
"Ohio","2000","323117","Book printing","19","2543","90556","39",
"Ohio","2000","32614 ","Polystyrene foam product mfg","34","1550","45194","39",
"Ohio","2000","323118","Blankbook, loose-leaf binder & device mfg","14","607","18846","39",
"Ohio","2000","323119","Other commercial printing","145","2046","63899","39",
"Ohio","2000","326130","Laminated plastics plate, sheet & shape mfg","45","2095","74892","39",
"Ohio","2000","33141 ","Nonferrous (exc aluminum) smelting & refining","9","229","8431","39",
"Ohio","2000","326140","Polystyrene foam product mfg","34","1550","45194","39",
"Ohio","2000","32615 ","Foam product (exc polystyrene) mfg","27","1934","58877","39",
"Ohio","2000","3314  ","Nonferrous (exc alum) production & processing","62","4113","190982","39",
"Ohio","2000","331411","Primary smelting & refining of copper","1","0","0","39",
"Ohio","2000","332992","Small arms ammunition mfg","5","39","1124","39",
"Ohio","2000","331419","Other nonferrous metal prim smelting, refining","8","0","0","39",
"Ohio","2000","33142 ","Copper rolling, drawing, extruding & alloying","17","1444","65843","39",
"Ohio","2000","332991","Ball & roller bearing mfg","10","5417","301573","39",
"Ohio","2000","332993","Ammunition (exc small arms) mfg","1","0","0","39",
"Ohio","2000","333999","All other general purpose machinery mfg","149","3074","131770","39",
"Ohio","2000","332994","Small arms mfg","8","55","1375","39",
"Ohio","2000","332995","Other ordnance & accessories mfg","5","0","0","39",
"Ohio","2000","333997","Scale & balance (except laboratory) mfg","6","477","20113","39",
"Ohio","2000","334   ","Computer & electronic product mfg","528","33721","1395227","39",
"Ohio","2000","335991","Carbon & graphite product mfg","16","886","39338","39",
"Ohio","2000","3341  ","Computer & peripheral equipment mfg","55","2471","93605","39",
"Ohio","2000","33411 ","Computer & peripheral equipment mfg","55","2471","93605","39",
"Ohio","2000","33599 ","All oth electrical equipment & component mfg","59","4082","140020","39",
"Ohio","2000","339111","Laboratory apparatus & furniture mfg","18","1065","46538","39",
"Ohio","2000","335999","All oth misc electrical equip & component mfg","43","3196","100682","39",
"Ohio","2000","336   ","Transportation equipment mfg","714","176223","9018622","39",
"Ohio","2000","33911 ","Medical equipment & supplies mfg","423","11227","430217","39",
"Ohio","2000","339112","Surgical & medical instrument mfg","46","2414","101008","39",
"Ohio","2000","42162 ","Electric appliance, TV, radio set whsle","112","1650","62322","39",
"Ohio","2000","339113","Surgical appliance & supplies mfg","71","5445","220373","39",
