"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Oklahoma","2000","115115","Farm labor contractors & crew leaders","2","0","0","40",
"Oklahoma","2000","115116","Farm management services","5","0","0","40",
"Oklahoma","2000","1152  ","Animal production support activities","44","257","5389","40",
"Oklahoma","2000","11521 ","Animal production support activities","44","257","5389","40",
"Oklahoma","2000","115210","Animal production support activities","44","257","5389","40",
"Oklahoma","2000","233110","Land subdivision & land development","142","623","17322","40",
"Oklahoma","2000","2332  ","Residential building construction","1271","5163","116263","40",
"Oklahoma","2000","31-33 ","Manufacturing","3942","168580","5664010","40",
"Oklahoma","2000","23321 ","Single-family housing construction","1132","4408","102771","40",
"Oklahoma","2000","233210","Single-family housing construction","1132","4408","102771","40",
"Oklahoma","2000","23311 ","Land subdivision & land development","142","623","17322","40",
"Oklahoma","2000","311   ","Food mfg","246","15281","416289","40",
"Oklahoma","2000","3111  ","Animal food mfg","41","1019","29845","40",
"Oklahoma","2000","313210","Broadwoven fabric mills","8","0","0","40",
"Oklahoma","2000","31111 ","Animal food mfg","41","1019","29845","40",
"Oklahoma","2000","311111","Dog & cat food mfg","1","0","0","40",
"Oklahoma","2000","31321 ","Broadwoven fabric mills","8","0","0","40",
"Oklahoma","2000","31322 ","Narrow fabric mills & schiffli mach embroidery","3","0","0","40",
"Oklahoma","2000","31332 ","Fabric coating mills","1","0","0","40",
"Oklahoma","2000","313221","Narrow fabric mills","1","0","0","40",
"Oklahoma","2000","313222","Schiffli machine embroidery","2","0","0","40",
"Oklahoma","2000","313312","Textile, fabric finishing (exc broadwoven) mills","1","0","0","40",
"Oklahoma","2000","313320","Fabric coating mills","1","0","0","40",
"Oklahoma","2000","314110","Carpet & rug mills","1","0","0","40",
"Oklahoma","2000","314   ","Textile product mills","61","1534","29595","40",
"Oklahoma","2000","3141  ","Textile furnishings mills","24","384","9354","40",
"Oklahoma","2000","31411 ","Carpet & rug mills","1","0","0","40",
"Oklahoma","2000","31412 ","Curtain & linen mills","23","0","0","40",
"Oklahoma","2000","31519 ","Other apparel knitting mills","1","0","0","40",
"Oklahoma","2000","314121","Curtain & drapery mills","18","0","0","40",
"Oklahoma","2000","314129","Other household textile product mills","5","0","0","40",
"Oklahoma","2000","315119","Other hosiery & sock mills","2","0","0","40",
"Oklahoma","2000","315191","Outerwear knitting mills","1","0","0","40",
"Oklahoma","2000","315292","Fur & leather apparel mfg","1","0","0","40",
"Oklahoma","2000","3152  ","Cut & sew apparel mfg","73","4203","77781","40",
"Oklahoma","2000","31521 ","Cut & sew apparel contractors","37","1678","30490","40",
"Oklahoma","2000","31529 ","Other cut & sew apparel mfg","7","0","0","40",
"Oklahoma","2000","315299","All other cut & sew apparel mfg","6","0","0","40",
"Oklahoma","2000","321114","Wood preservation","3","153","2317","40",
"Oklahoma","2000","3159  ","Apparel accessories & other apparel mfg","24","0","0","40",
"Oklahoma","2000","31599 ","Apparel accessories & other apparel mfg","24","0","0","40",
