"GEO_TTL","YEAR","NAICS2012","NAICS2012_TTL","ESTAB","EMP","PAYANN","state",
"Puerto Rico","2016","00","Total for all sectors","43325","672399","17256282","72",
"Puerto Rico","2016","11","Agriculture, forestry, fishing and hunting","14","99","884","72",
"Puerto Rico","2016","113","Forestry and logging","2","0","0","72",
"Puerto Rico","2016","1132","Forest nurseries and gathering of forest products","1","0","0","72",
"Puerto Rico","2016","11321","Forest nurseries and gathering of forest products","1","0","0","72",
"Puerto Rico","2016","113210","Forest nurseries and gathering of forest products","1","0","0","72",
"Puerto Rico","2016","11511","Support activities for crop production","4","0","0","72",
"Puerto Rico","2016","1133","Logging","1","0","0","72",
"Puerto Rico","2016","11331","Logging","1","0","0","72",
"Puerto Rico","2016","113310","Logging","1","0","0","72",
"Puerto Rico","2016","115","Support activities for agriculture and forestry","12","97","863","72",
"Puerto Rico","2016","1151","Support activities for crop production","4","0","0","72",
"Puerto Rico","2016","11521","Support activities for animal production","7","17","219","72",
"Puerto Rico","2016","115114","Postharvest crop activities (except cotton ginning)","2","0","0","72",
"Puerto Rico","2016","115115","Farm labor contractors and crew leaders","2","0","0","72",
"Puerto Rico","2016","1152","Support activities for animal production","7","17","219","72",
"Puerto Rico","2016","211","Oil and gas extraction","1","0","0","72",
"Puerto Rico","2016","115210","Support activities for animal production","7","17","219","72",
"Puerto Rico","2016","1153","Support activities for forestry","1","0","0","72",
"Puerto Rico","2016","11531","Support activities for forestry","1","0","0","72",
"Puerto Rico","2016","115310","Support activities for forestry","1","0","0","72",
"Puerto Rico","2016","21","Mining, quarrying, and oil and gas extraction","44","511","10102","72",
"Puerto Rico","2016","212","Mining (except oil and gas)","39","484","9423","72",
"Puerto Rico","2016","2111","Oil and gas extraction","1","0","0","72",
"Puerto Rico","2016","21111","Oil and gas extraction","1","0","0","72",
"Puerto Rico","2016","211112","Natural gas liquid extraction","1","0","0","72",
"Puerto Rico","2016","21232","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","27","398","7978","72",
"Puerto Rico","2016","2123","Nonmetallic mineral mining and quarrying","39","484","9423","72",
"Puerto Rico","2016","21231","Stone mining and quarrying","12","86","1445","72",
"Puerto Rico","2016","212311","Dimension stone mining and quarrying","4","22","424","72",
"Puerto Rico","2016","212313","Crushed and broken granite mining and quarrying","1","0","0","72",
"Puerto Rico","2016","212319","Other crushed and broken stone mining and quarrying","7","59","974","72",
"Puerto Rico","2016","213","Support activities for mining","4","23","630","72",
"Puerto Rico","2016","212321","Construction sand and gravel mining","22","336","6323","72",
"Puerto Rico","2016","212322","Industrial sand mining","4","0","0","72",
"Puerto Rico","2016","212325","Clay and ceramic and refractory minerals mining","1","0","0","72",
"Puerto Rico","2016","221","Utilities","27","314","19384","72",
"Puerto Rico","2016","2131","Support activities for mining","4","23","630","72",
"Puerto Rico","2016","21311","Support activities for mining","4","23","630","72",
"Puerto Rico","2016","213111","Drilling oil and gas wells","1","0","0","72",
"Puerto Rico","2016","213112","Support activities for oil and gas operations","3","21","617","72",
"Puerto Rico","2016","22","Utilities","27","314","19384","72",
"Puerto Rico","2016","2211","Electric power generation, transmission and distribution","10","218","16615","72",
"Puerto Rico","2016","22112","Electric power transmission, control, and distribution","4","0","0","72",
"Puerto Rico","2016","22111","Electric power generation","6","0","0","72",
"Puerto Rico","2016","221111","Hydroelectric power generation","1","0","0","72",
"Puerto Rico","2016","221112","Fossil fuel electric power generation","2","0","0","72",
"Puerto Rico","2016","221114","Solar electric power generation","1","0","0","72",
"Puerto Rico","2016","221118","Other electric power generation","2","0","0","72",
"Puerto Rico","2016","221210","Natural gas distribution","3","34","1053","72",
"Puerto Rico","2016","221122","Electric power distribution","4","0","0","72",
"Puerto Rico","2016","2212","Natural gas distribution","3","34","1053","72",
"Puerto Rico","2016","22121","Natural gas distribution","3","34","1053","72",
"Puerto Rico","2016","22133","Steam and air-conditioning supply","1","0","0","72",
"Puerto Rico","2016","2213","Water, sewage and other systems","14","62","1716","72",
"Puerto Rico","2016","22131","Water supply and irrigation systems","10","41","823","72",
"Puerto Rico","2016","221310","Water supply and irrigation systems","10","41","823","72",
"Puerto Rico","2016","22132","Sewage treatment facilities","3","17","853","72",
"Puerto Rico","2016","221320","Sewage treatment facilities","3","17","853","72",
"Puerto Rico","2016","221330","Steam and air-conditioning supply","1","0","0","72",
"Puerto Rico","2016","23","Construction","1707","21924","488074","72",
"Puerto Rico","2016","236","Construction of buildings","740","9547","199365","72",
"Puerto Rico","2016","2361","Residential building construction","460","3988","83977","72",
"Puerto Rico","2016","2362","Nonresidential building construction","280","5559","115388","72",
"Puerto Rico","2016","23611","Residential building construction","460","3988","83977","72",
"Puerto Rico","2016","236115","New single-family housing construction (except for-sale builders)","209","2033","44090","72",
"Puerto Rico","2016","236116","New multifamily housing construction (except for-sale builders)","22","132","4042","72",
"Puerto Rico","2016","236117","New housing for-sale builders","5","17","273","72",
