"NAME","YEAR","NAICS2017","NAICS2017_LABEL","ESTAB","EMP","PAYANN","state",
"Puerto Rico","2017","23611","Residential building construction","480","4398","86542","72",
"Puerto Rico","2017","23811","Poured concrete foundation and structure contractors","54","564","9236","72",
"Puerto Rico","2017","238110","Poured concrete foundation and structure contractors","54","564","9236","72",
"Puerto Rico","2017","3111","Animal food manufacturing","17","447","15644","72",
"Puerto Rico","2017","31111","Animal food manufacturing","17","447","15644","72",
"Puerto Rico","2017","311119","Other animal food manufacturing","17","447","15644","72",
"Puerto Rico","2017","3112","Grain and oilseed milling","7","134","3381","72",
"Puerto Rico","2017","315220","Men's and boys' cut and sew apparel manufacturing","20","2469","32368","72",
"Puerto Rico","2017","31524","Women's, girls', and infants' cut and sew apparel manufacturing","16","690","11270","72",
"Puerto Rico","2017","315240","Women's, girls', and infants' cut and sew apparel manufacturing","16","690","11270","72",
"Puerto Rico","2017","31528","Other cut and sew apparel manufacturing","3","0","0","72",
"Puerto Rico","2017","315280","Other cut and sew apparel manufacturing","3","0","0","72",
"Puerto Rico","2017","3159","Apparel accessories and other apparel manufacturing","3","0","0","72",
"Puerto Rico","2017","31599","Apparel accessories and other apparel manufacturing","3","0","0","72",
"Puerto Rico","2017","315990","Apparel accessories and other apparel manufacturing","3","0","0","72",
"Puerto Rico","2017","316","Leather and allied product manufacturing","8","1237","19213","72",
"Puerto Rico","2017","327215","Glass product manufacturing made of purchased glass","4","19","399","72",
"Puerto Rico","2017","3273","Cement and concrete product manufacturing","85","1366","34243","72",
"Puerto Rico","2017","32731","Cement manufacturing","8","270","11436","72",
"Puerto Rico","2017","327310","Cement manufacturing","8","270","11436","72",
"Puerto Rico","2017","32732","Ready-mix concrete manufacturing","42","501","11574","72",
"Puerto Rico","2017","236115","New single-family housing construction (except for-sale builders)","214","2216","44933","72",
"Puerto Rico","2017","23812","Structural steel and precast concrete contractors","18","87","1683","72",
"Puerto Rico","2017","238120","Structural steel and precast concrete contractors","18","87","1683","72",
"Puerto Rico","2017","23814","Masonry contractors","10","113","2172","72",
"Puerto Rico","2017","238140","Masonry contractors","10","113","2172","72",
"Puerto Rico","2017","31121","Flour milling and malt manufacturing","6","78","2123","72",
"Puerto Rico","2017","311211","Flour milling","5","27","264","72",
"Puerto Rico","2017","3113","Sugar and confectionery product manufacturing","23","323","6674","72",
"Puerto Rico","2017","31131","Sugar manufacturing","3","0","0","72",
"Puerto Rico","2017","31134","Nonchocolate confectionery manufacturing","16","240","4293","72",
"Puerto Rico","2017","311340","Nonchocolate confectionery manufacturing","16","240","4293","72",
"Puerto Rico","2017","3162","Footwear manufacturing","4","0","0","72",
"Puerto Rico","2017","31621","Footwear manufacturing","4","0","0","72",
"Puerto Rico","2017","316210","Footwear manufacturing","4","0","0","72",
"Puerto Rico","2017","3169","Other leather and allied product manufacturing","4","0","0","72",
"Puerto Rico","2017","31699","Other leather and allied product manufacturing","4","0","0","72",
"Puerto Rico","2017","316998","All other leather good and allied product manufacturing","3","0","0","72",
"Puerto Rico","2017","321","Wood product manufacturing","44","569","11471","72",
"Puerto Rico","2017","3211","Sawmills and wood preservation","6","71","1915","72",
"Puerto Rico","2017","32111","Sawmills and wood preservation","6","71","1915","72",
"Puerto Rico","2017","321114","Wood preservation","5","48","1415","72",
"Puerto Rico","2017","3219","Other wood product manufacturing","38","498","9556","72",
"Puerto Rico","2017","327320","Ready-mix concrete manufacturing","42","501","11574","72",
"Puerto Rico","2017","32733","Concrete pipe, brick, and block manufacturing","15","126","2112","72",
"Puerto Rico","2017","236116","New multifamily housing construction (except for-sale builders)","25","227","5979","72",
"Puerto Rico","2017","23815","Glass and glazing contractors","8","70","1351","72",
"Puerto Rico","2017","238150","Glass and glazing contractors","8","70","1351","72",
"Puerto Rico","2017","23816","Roofing contractors","79","598","15678","72",
"Puerto Rico","2017","238160","Roofing contractors","79","598","15678","72",
"Puerto Rico","2017","31135","Chocolate and chocolate confectionery manufacturing","4","28","350","72",
"Puerto Rico","2017","311352","Confectionery manufacturing from purchased chocolate","4","28","350","72",
"Puerto Rico","2017","3114","Fruit and vegetable preserving and specialty food manufacturing","18","614","12983","72",
"Puerto Rico","2017","31141","Frozen food manufacturing","9","516","10819","72",
"Puerto Rico","2017","311412","Frozen specialty food manufacturing","8","370","7066","72",
"Puerto Rico","2017","31142","Fruit and vegetable canning, pickling, and drying","9","98","2164","72",
"Puerto Rico","2017","311421","Fruit and vegetable canning","7","89","2002","72",
"Puerto Rico","2017","3115","Dairy product manufacturing","20","1535","50887","72",
"Puerto Rico","2017","32191","Millwork","18","182","2968","72",
"Puerto Rico","2017","321911","Wood window and door manufacturing","15","135","1975","72",
"Puerto Rico","2017","32192","Wood container and pallet manufacturing","7","118","2547","72",
"Puerto Rico","2017","321920","Wood container and pallet manufacturing","7","118","2547","72",
"Puerto Rico","2017","32199","All other wood product manufacturing","13","198","4041","72",
"Puerto Rico","2017","327331","Concrete block and brick manufacturing","13","112","1885","72",
"Puerto Rico","2017","32739","Other concrete product manufacturing","20","469","9121","72",
"Puerto Rico","2017","327390","Other concrete product manufacturing","20","469","9121","72",
"Puerto Rico","2017","3279","Other nonmetallic mineral product manufacturing","8","60","1043","72",
"Puerto Rico","2017","32799","All other nonmetallic mineral product manufacturing","8","60","1043","72",
"Puerto Rico","2017","236117","New housing for-sale builders","4","14","170","72",
"Puerto Rico","2017","236118","Residential remodelers","237","1941","35460","72",
"Puerto Rico","2017","2362","Nonresidential building construction","277","4706","98256","72",
"Puerto Rico","2017","23819","Other foundation, structure, and building exterior contractors","13","27","576","72",
"Puerto Rico","2017","238190","Other foundation, structure, and building exterior contractors","13","27","576","72",
"Puerto Rico","2017","2382","Building equipment contractors","465","5528","156203","72",
"Puerto Rico","2017","31151","Dairy product (except frozen) manufacturing","13","1495","50443","72",
"Puerto Rico","2017","311511","Fluid milk manufacturing","7","0","0","72",
"Puerto Rico","2017","311513","Cheese manufacturing","5","0","0","72",
