"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"South Carolina","2011","00    ","Total for all sectors","100481","1521123","54433127","45",
"South Carolina","2011","113   ","Forestry and logging","341","2722","94723","45",
"South Carolina","2011","11    ","Agriculture, forestry, fishing and hunting","506","4109","148647","45",
"South Carolina","2011","1131  ","Timber tract operations","26","0","0","45",
"South Carolina","2011","11311 ","Timber tract operations","26","0","0","45",
"South Carolina","2011","113110","Timber tract operations","26","0","0","45",
"South Carolina","2011","1132  ","Forest nurseries and gathering of forest products","3","118","1758","45",
"South Carolina","2011","11321 ","Forest nurseries and gathering of forest products","3","118","1758","45",
"South Carolina","2011","113210","Forest nurseries and gathering of forest products","3","118","1758","45",
"South Carolina","2011","1133  ","Logging","312","2506","89156","45",
"South Carolina","2011","11331 ","Logging","312","2506","89156","45",
"South Carolina","2011","1141  ","Fishing","7","0","0","45",
"South Carolina","2011","114111","Finfish fishing","2","0","0","45",
"South Carolina","2011","113310","Logging","312","2506","89156","45",
"South Carolina","2011","114   ","Fishing, hunting and trapping","12","0","0","45",
"South Carolina","2011","11411 ","Fishing","7","0","0","45",
"South Carolina","2011","1142  ","Hunting and trapping","5","0","0","45",
"South Carolina","2011","114112","Shellfish fishing","4","0","0","45",
"South Carolina","2011","114119","Other marine fishing","1","0","0","45",
"South Carolina","2011","11421 ","Hunting and trapping","5","0","0","45",
"South Carolina","2011","114210","Hunting and trapping","5","0","0","45",
"South Carolina","2011","115   ","Support activities for agriculture and forestry","153","1123","41736","45",
"South Carolina","2011","1151  ","Support activities for crop production","43","0","8938","45",
"South Carolina","2011","11511 ","Support activities for crop production","43","0","8938","45",
"South Carolina","2011","115111","Cotton ginning","9","66","2088","45",
"South Carolina","2011","115112","Soil preparation, planting, and cultivating","11","34","1457","45",
"South Carolina","2011","115113","Crop harvesting, primarily by machine","1","0","0","45",
"South Carolina","2011","115114","Postharvest crop activities (except cotton ginning)","13","0","3009","45",
"South Carolina","2011","115115","Farm labor contractors and crew leaders","5","0","2058","45",
"South Carolina","2011","115116","Farm management services","4","0","0","45",
"South Carolina","2011","1152  ","Support activities for animal production","55","206","4332","45",
"South Carolina","2011","11521 ","Support activities for animal production","55","206","4332","45",
"South Carolina","2011","115210","Support activities for animal production","55","206","4332","45",
"South Carolina","2011","11531 ","Support activities for forestry","55","478","28466","45",
"South Carolina","2011","21    ","Mining, quarrying, and oil and gas extraction","83","1029","54965","45",
"South Carolina","2011","211   ","Oil and gas extraction","3","0","0","45",
"South Carolina","2011","2111  ","Oil and gas extraction","3","0","0","45",
"South Carolina","2011","1153  ","Support activities for forestry","55","478","28466","45",
"South Carolina","2011","115310","Support activities for forestry","55","478","28466","45",
"South Carolina","2011","21111 ","Oil and gas extraction","3","0","0","45",
"South Carolina","2011","211111","Crude petroleum and natural gas extraction","3","0","0","45",
"South Carolina","2011","212   ","Mining (except oil and gas)","62","924","45734","45",
"South Carolina","2011","21211 ","Coal mining","1","0","0","45",
"South Carolina","2011","2121  ","Coal mining","1","0","0","45",
"South Carolina","2011","212111","Bituminous coal and lignite surface mining","1","0","0","45",
"South Carolina","2011","2122  ","Metal ore mining","1","0","0","45",
"South Carolina","2011","21222 ","Gold ore and silver ore mining","1","0","0","45",
"South Carolina","2011","212221","Gold ore mining","1","0","0","45",
"South Carolina","2011","21231 ","Stone mining and quarrying","27","467","24686","45",
"South Carolina","2011","2123  ","Nonmetallic mineral mining and quarrying","60","918","45425","45",
"South Carolina","2011","212312","Crushed and broken limestone mining and quarrying","5","0","0","45",
"South Carolina","2011","212313","Crushed and broken granite mining and quarrying","22","412","20896","45",
"South Carolina","2011","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","27","290","12538","45",
"South Carolina","2011","212321","Construction sand and gravel mining","20","176","6759","45",
"South Carolina","2011","212322","Industrial sand mining","4","0","0","45",
"South Carolina","2011","212324","Kaolin and ball clay mining","2","0","0","45",
"South Carolina","2011","212325","Clay and ceramic and refractory minerals mining","1","0","0","45",
"South Carolina","2011","21239 ","Other nonmetallic mineral mining and quarrying","6","161","8201","45",
"South Carolina","2011","212399","All other nonmetallic mineral mining","6","161","8201","45",
"South Carolina","2011","2131  ","Support activities for mining","18","0","8808","45",
"South Carolina","2011","213   ","Support activities for mining","18","0","8808","45",
"South Carolina","2011","21311 ","Support activities for mining","18","0","8808","45",
"South Carolina","2011","213111","Drilling oil and gas wells","6","15","597","45",
"South Carolina","2011","213112","Support activities for oil and gas operations","7","34","3493","45",
"South Carolina","2011","213114","Support activities for metal mining","3","0","4363","45",
"South Carolina","2011","22    ","Utilities","322","11466","903918","45",
"South Carolina","2011","213115","Support activities for nonmetallic minerals (except fuels) mining","2","0","0","45",
"South Carolina","2011","221   ","Utilities","322","11466","903918","45",
"South Carolina","2011","2211  ","Electric power generation, transmission and distribution","263","10730","867403","45",
"South Carolina","2011","22111 ","Electric power generation","40","4345","425579","45",
"South Carolina","2011","221111","Hydroelectric power generation","16","0","0","45",
"South Carolina","2011","221112","Fossil fuel electric power generation","16","709","54363","45",
"South Carolina","2011","221113","Nuclear electric power generation","4","3526","363081","45",
"South Carolina","2011","221119","Other electric power generation","4","0","0","45",
"South Carolina","2011","22112 ","Electric power transmission, control, and distribution","223","6385","441824","45",
"South Carolina","2011","221121","Electric bulk power transmission and control","3","0","0","45",
"South Carolina","2011","221122","Electric power distribution","220","6303","435897","45",
"South Carolina","2011","221210","Natural gas distribution","8","0","0","45",
"South Carolina","2011","2212  ","Natural gas distribution","8","0","0","45",
"South Carolina","2011","22121 ","Natural gas distribution","8","0","0","45",
"South Carolina","2011","22131 ","Water supply and irrigation systems","43","312","12468","45",
"South Carolina","2011","22132 ","Sewage treatment facilities","7","32","1117","45",
"South Carolina","2011","221330","Steam and air-conditioning supply","1","0","0","45",
"South Carolina","2011","2213  ","Water, sewage and other systems","51","351","13900","45",
"South Carolina","2011","221310","Water supply and irrigation systems","43","312","12468","45",
"South Carolina","2011","221320","Sewage treatment facilities","7","32","1117","45",
"South Carolina","2011","22133 ","Steam and air-conditioning supply","1","0","0","45",
"South Carolina","2011","23    ","Construction","8912","77710","3340008","45",
"South Carolina","2011","236   ","Construction of buildings","2426","20125","1169128","45",
"South Carolina","2011","2361  ","Residential building construction","1877","6484","242022","45",
"South Carolina","2011","23611 ","Residential building construction","1877","6484","242022","45",
"South Carolina","2011","236115","New single-family housing construction (except operative builders)","794","2615","90382","45",
"South Carolina","2011","236116","New multifamily housing construction (except operative builders)","46","183","11867","45",
"South Carolina","2011","236117","New housing operative builders","266","1330","67706","45",
"South Carolina","2011","236118","Residential remodelers","771","2356","72067","45",
"South Carolina","2011","23622 ","Commercial and institutional building construction","499","12062","845866","45",
"South Carolina","2011","2362  ","Nonresidential building construction","549","13641","927106","45",
"South Carolina","2011","23621 ","Industrial building construction","50","1579","81240","45",
"South Carolina","2011","236210","Industrial building construction","50","1579","81240","45",
"South Carolina","2011","236220","Commercial and institutional building construction","499","12062","845866","45",
"South Carolina","2011","237   ","Heavy and civil engineering construction","756","15884","704292","45",
"South Carolina","2011","2371  ","Utility system construction","353","10628","484102","45",
"South Carolina","2011","23711 ","Water and sewer line and related structures construction","224","1793","66597","45",
"South Carolina","2011","237110","Water and sewer line and related structures construction","224","1793","66597","45",
"South Carolina","2011","23712 ","Oil and gas pipeline and related structures construction","12","461","30369","45",
"South Carolina","2011","237120","Oil and gas pipeline and related structures construction","12","461","30369","45",
"South Carolina","2011","23713 ","Power and communication line and related structures construction","117","8374","387136","45",
"South Carolina","2011","237130","Power and communication line and related structures construction","117","8374","387136","45",
"South Carolina","2011","23721 ","Land subdivision","159","748","32948","45",
"South Carolina","2011","2372  ","Land subdivision","159","748","32948","45",
"South Carolina","2011","237210","Land subdivision","159","748","32948","45",
"South Carolina","2011","2373  ","Highway, street, and bridge construction","155","3779","155674","45",
"South Carolina","2011","23731 ","Highway, street, and bridge construction","155","3779","155674","45",
"South Carolina","2011","2379  ","Other heavy and civil engineering construction","89","729","31568","45",
"South Carolina","2011","237310","Highway, street, and bridge construction","155","3779","155674","45",
"South Carolina","2011","23799 ","Other heavy and civil engineering construction","89","729","31568","45",
"South Carolina","2011","237990","Other heavy and civil engineering construction","89","729","31568","45",
"South Carolina","2011","238   ","Specialty trade contractors","5730","41701","1466588","45",
"South Carolina","2011","2381  ","Foundation, structure, and building exterior contractors","1147","8015","231592","45",
"South Carolina","2011","23811 ","Poured concrete foundation and structure contractors","205","1597","42739","45",
"South Carolina","2011","238110","Poured concrete foundation and structure contractors","205","1597","42739","45",
"South Carolina","2011","23812 ","Structural steel and precast concrete contractors","49","658","22581","45",
"South Carolina","2011","238130","Framing contractors","143","504","11059","45",
"South Carolina","2011","238140","Masonry contractors","273","1833","36869","45",
"South Carolina","2011","238120","Structural steel and precast concrete contractors","49","658","22581","45",
"South Carolina","2011","23813 ","Framing contractors","143","504","11059","45",
"South Carolina","2011","23814 ","Masonry contractors","273","1833","36869","45",
"South Carolina","2011","23815 ","Glass and glazing contractors","67","530","19927","45",
"South Carolina","2011","238150","Glass and glazing contractors","67","530","19927","45",
"South Carolina","2011","23816 ","Roofing contractors","201","1875","60102","45",
"South Carolina","2011","238160","Roofing contractors","201","1875","60102","45",
"South Carolina","2011","23817 ","Siding contractors","135","533","15689","45",
"South Carolina","2011","23819 ","Other foundation, structure, and building exterior contractors","74","485","22626","45",
"South Carolina","2011","238170","Siding contractors","135","533","15689","45",
"South Carolina","2011","238190","Other foundation, structure, and building exterior contractors","74","485","22626","45",
"South Carolina","2011","2382  ","Building equipment contractors","2426","21072","826546","45",
"South Carolina","2011","23821 ","Electrical contractors and other wiring installation contractors","877","7685","272673","45",
"South Carolina","2011","238210","Electrical contractors and other wiring installation contractors","877","7685","272673","45",
"South Carolina","2011","23822 ","Plumbing, heating, and air-conditioning contractors","1435","12062","489092","45",
"South Carolina","2011","238220","Plumbing, heating, and air-conditioning contractors","1435","12062","489092","45",
"South Carolina","2011","23829 ","Other building equipment contractors","114","1325","64781","45",
"South Carolina","2011","2383  ","Building finishing contractors","1298","6253","186350","45",
"South Carolina","2011","238310","Drywall and insulation contractors","213","1800","60488","45",
"South Carolina","2011","238290","Other building equipment contractors","114","1325","64781","45",
"South Carolina","2011","23831 ","Drywall and insulation contractors","213","1800","60488","45",
"South Carolina","2011","23832 ","Painting and wall covering contractors","401","2000","57365","45",
"South Carolina","2011","238320","Painting and wall covering contractors","401","2000","57365","45",
"South Carolina","2011","23833 ","Flooring contractors","171","512","14946","45",
"South Carolina","2011","238340","Tile and terrazzo contractors","91","378","10123","45",
"South Carolina","2011","23834 ","Tile and terrazzo contractors","91","378","10123","45",
"South Carolina","2011","238330","Flooring contractors","171","512","14946","45",
"South Carolina","2011","23835 ","Finish carpentry contractors","349","1186","33793","45",
"South Carolina","2011","238350","Finish carpentry contractors","349","1186","33793","45",
"South Carolina","2011","23839 ","Other building finishing contractors","73","377","9635","45",
"South Carolina","2011","238390","Other building finishing contractors","73","377","9635","45",
"South Carolina","2011","2389  ","Other specialty trade contractors","859","6361","222100","45",
"South Carolina","2011","23891 ","Site preparation contractors","485","4202","152610","45",
"South Carolina","2011","238910","Site preparation contractors","485","4202","152610","45",
"South Carolina","2011","23899 ","All other specialty trade contractors","374","2159","69490","45",
"South Carolina","2011","238990","All other specialty trade contractors","374","2159","69490","45",
"South Carolina","2011","31-33 ","Manufacturing","3920","204309","9703502","45",
"South Carolina","2011","311   ","Food manufacturing","211","18235","544440","45",
"South Carolina","2011","31111 ","Animal food manufacturing","13","0","0","45",
"South Carolina","2011","311111","Dog and cat food manufacturing","4","0","0","45",
"South Carolina","2011","311119","Other animal food manufacturing","9","166","5217","45",
"South Carolina","2011","3112  ","Grain and oilseed milling","5","0","0","45",
"South Carolina","2011","31121 ","Flour milling and malt manufacturing","1","0","0","45",
"South Carolina","2011","311211","Flour milling","1","0","0","45",
"South Carolina","2011","31122 ","Starch and vegetable fats and oils manufacturing","4","0","7860","45",
"South Carolina","2011","311221","Wet corn milling","1","0","0","45",
"South Carolina","2011","311223","Other oilseed processing","1","0","0","45",
"South Carolina","2011","3111  ","Animal food manufacturing","13","0","0","45",
"South Carolina","2011","311222","Soybean processing","2","0","0","45",
"South Carolina","2011","31132 ","Chocolate and confectionery manufacturing from cacao beans","2","0","0","45",
"South Carolina","2011","311320","Chocolate and confectionery manufacturing from cacao beans","2","0","0","45",
"South Carolina","2011","31133 ","Confectionery manufacturing from purchased chocolate","10","91","1219","45",
"South Carolina","2011","311330","Confectionery manufacturing from purchased chocolate","10","91","1219","45",
"South Carolina","2011","3113  ","Sugar and confectionery product manufacturing","18","107","1839","45",
"South Carolina","2011","31134 ","Nonchocolate confectionery manufacturing","6","0","0","45",
"South Carolina","2011","311340","Nonchocolate confectionery manufacturing","6","0","0","45",
"South Carolina","2011","3114  ","Fruit and vegetable preserving and specialty food manufacturing","12","0","0","45",
"South Carolina","2011","31161 ","Animal slaughtering and processing","54","11530","296030","45",
"South Carolina","2011","31141 ","Frozen food manufacturing","3","0","0","45",
"South Carolina","2011","311412","Frozen specialty food manufacturing","3","0","0","45",
"South Carolina","2011","31142 ","Fruit and vegetable canning, pickling, and drying","9","0","0","45",
"South Carolina","2011","311421","Fruit and vegetable canning","7","0","0","45",
"South Carolina","2011","311423","Dried and dehydrated food manufacturing","2","0","0","45",
"South Carolina","2011","3115  ","Dairy product manufacturing","9","532","20940","45",
"South Carolina","2011","31151 ","Dairy product (except frozen) manufacturing","5","487","19431","45",
"South Carolina","2011","311511","Fluid milk manufacturing","4","487","19423","45",
"South Carolina","2011","311513","Cheese manufacturing","1","0","0","45",
"South Carolina","2011","31152 ","Ice cream and frozen dessert manufacturing","4","0","0","45",
"South Carolina","2011","311520","Ice cream and frozen dessert manufacturing","4","0","0","45",
"South Carolina","2011","3116  ","Animal slaughtering and processing","54","11530","296030","45",
"South Carolina","2011","311612","Meat processed from carcasses","16","639","26379","45",
"South Carolina","2011","311613","Rendering and meat byproduct processing","3","0","0","45",
"South Carolina","2011","311615","Poultry processing","14","9240","230553","45",
"South Carolina","2011","3117  ","Seafood product preparation and packaging","1","0","0","45",
"South Carolina","2011","311711","Seafood canning","1","0","0","45",
"South Carolina","2011","31181 ","Bread and bakery product manufacturing","65","1480","53792","45",
"South Carolina","2011","31182 ","Cookie, cracker, and pasta manufacturing","8","1061","38856","45",
"South Carolina","2011","311611","Animal (except poultry) slaughtering","21","1488","32815","45",
"South Carolina","2011","31171 ","Seafood product preparation and packaging","1","0","0","45",
"South Carolina","2011","3118  ","Bakeries and tortilla manufacturing","75","2602","93754","45",
"South Carolina","2011","311811","Retail bakeries","49","208","3067","45",
"South Carolina","2011","311812","Commercial bakeries","15","1196","48265","45",
"South Carolina","2011","311813","Frozen cakes, pies, and other pastries manufacturing","1","0","0","45",
"South Carolina","2011","311821","Cookie and cracker manufacturing","3","0","0","45",
"South Carolina","2011","311830","Tortilla manufacturing","2","0","0","45",
"South Carolina","2011","3119  ","Other food manufacturing","24","0","0","45",
"South Carolina","2011","311911","Roasted nuts and peanut butter manufacturing","1","0","0","45",
"South Carolina","2011","311919","Other snack food manufacturing","1","0","0","45",
"South Carolina","2011","311930","Flavoring syrup and concentrate manufacturing","1","0","0","45",
"South Carolina","2011","311941","Mayonnaise, dressing, and other prepared sauce manufacturing","8","0","0","45",
"South Carolina","2011","311999","All other miscellaneous food manufacturing","3","0","0","45",
"South Carolina","2011","311822","Flour mixes and dough manufacturing from purchased flour","4","801","25981","45",
"South Carolina","2011","311823","Dry pasta manufacturing","1","0","0","45",
"South Carolina","2011","31183 ","Tortilla manufacturing","2","0","0","45",
