"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"South Dakota","2001","1142  ","Hunting & trapping","9","0","0","46",
"South Dakota","2001","11421 ","Hunting & trapping","9","0","0","46",
"South Dakota","2001","114210","Hunting & trapping","9","0","0","46",
"South Dakota","2001","115   ","Agriculture & forestry support activities","73","0","0","46",
"South Dakota","2001","1151  ","Crop production support activities","47","0","0","46",
"South Dakota","2001","233220","Multifamily housing construction","18","122","2878","46",
"South Dakota","2001","234110","Highway & street construction","104","0","0","46",
"South Dakota","2001","2333  ","Nonresidential building construction","206","0","0","46",
"South Dakota","2001","23331 ","Mfg & industrial building construction","24","0","0","46",
"South Dakota","2001","233310","Mfg & industrial building construction","24","0","0","46",
"South Dakota","2001","23491 ","Water, sewer & pipeline construction","58","617","25642","46",
"South Dakota","2001","23412 ","Bridge & tunnel construction","4","0","0","46",
"South Dakota","2001","234120","Bridge & tunnel construction","4","0","0","46",
"South Dakota","2001","2349  ","Other heavy construction","154","1054","40707","46",
"South Dakota","2001","234910","Water, sewer & pipeline construction","58","617","25642","46",
"South Dakota","2001","23531 ","Electrical contractors","269","2046","61899","46",
"South Dakota","2001","23492 ","Pwr, communication transmsn line construction","28","214","7442","46",
"South Dakota","2001","234920","Pwr, communication transmsn line construction","28","214","7442","46",
"South Dakota","2001","23499 ","All other heavy construction","68","223","7623","46",
"South Dakota","2001","235310","Electrical contractors","269","2046","61899","46",
"South Dakota","2001","23571 ","Concrete contractors","189","783","23158","46",
"South Dakota","2001","2354  ","Masonry, drywall, insulation, tile contractors","161","956","25999","46",
"South Dakota","2001","23541 ","Masonry & stone contractors","66","341","9796","46",
"South Dakota","2001","235410","Masonry & stone contractors","66","341","9796","46",
"South Dakota","2001","235710","Concrete contractors","189","783","23158","46",
"South Dakota","2001","2358  ","Water well drilling contractors","18","56","1594","46",
"South Dakota","2001","31122 ","Starch & vegetable fats & oils mfg","1","0","0","46",
"South Dakota","2001","23581 ","Water well drilling contractors","18","56","1594","46",
"South Dakota","2001","235810","Water well drilling contractors","18","56","1594","46",
"South Dakota","2001","311211","Flour milling","2","0","0","46",
"South Dakota","2001","311222","Soybean processing","1","0","0","46",
"South Dakota","2001","3113  ","Sugar & confectionery product mfg","4","0","0","46",
"South Dakota","2001","31133 ","Confectionery mfg from purchased chocolate","2","0","0","46",
"South Dakota","2001","233320","Commercial & institutional bldg construction","182","2212","82164","46",
"South Dakota","2001","11511 ","Crop production support activities","47","0","0","46",
"South Dakota","2001","115111","Cotton ginning","1","0","0","46",
"South Dakota","2001","115112","Soil preparation, planting, & cultivating","26","0","0","46",
"South Dakota","2001","115113","Crop harvesting, primarily by machine","6","0","0","46",
"South Dakota","2001","23332 ","Commercial & institutional bldg construction","182","2212","82164","46",
"South Dakota","2001","234990","All other heavy construction","68","223","7623","46",
"South Dakota","2001","234   ","Heavy construction","262","2149","103925","46",
"South Dakota","2001","2341  ","Highway, street, bridge & tunnel construction","108","1095","63218","46",
"South Dakota","2001","23411 ","Highway & street construction","104","0","0","46",
"South Dakota","2001","235   ","Special trade contractors","1647","9086","268025","46",
"South Dakota","2001","23542 ","Drywall, acoustical & insulation contractors","82","487","12799","46",
"South Dakota","2001","2351  ","Plumbing, heating & AC contractor","308","2541","81374","46",
"South Dakota","2001","23511 ","Plumbing, heating & AC contractor","308","2541","81374","46",
"South Dakota","2001","235110","Plumbing, heating & AC contractor","308","2541","81374","46",
"South Dakota","2001","235420","Drywall, acoustical & insulation contractors","82","487","12799","46",
"South Dakota","2001","23591 ","Structural steel erection contractors","18","0","0","46",
"South Dakota","2001","23543 ","Tile, marble, terrazzo & mosaic contractors","13","128","3404","46",
"South Dakota","2001","235430","Tile, marble, terrazzo & mosaic contractors","13","128","3404","46",
"South Dakota","2001","2359  ","Other special trade contractors","236","986","32021","46",
"South Dakota","2001","311330","Confectionery mfg from purchased chocolate","2","0","0","46",
"South Dakota","2001","235910","Structural steel erection contractors","18","0","0","46",
"South Dakota","2001","23592 ","Glass & glazing contractors","21","146","3614","46",
"South Dakota","2001","235920","Glass & glazing contractors","21","146","3614","46",
"South Dakota","2001","31134 ","Nonchocolate confectionery mfg","2","0","0","46",
"South Dakota","2001","7139  ","Other amusement & recreation industries","293","0","0","46",
"South Dakota","2001","311340","Nonchocolate confectionery mfg","2","0","0","46",
"South Dakota","2001","3114  ","Fruit & veg preserving & specialty food mfg","1","0","0","46",
"South Dakota","2001","31141 ","Frozen food mfg","1","0","0","46",
"South Dakota","2001","71391 ","Golf courses & country clubs","71","564","11833","46",
"South Dakota","2001","721310","Rooming & boarding houses","19","0","0","46",
"South Dakota","2001","713910","Golf courses & country clubs","71","564","11833","46",
"South Dakota","2001","71392 ","Skiing facilities","2","0","0","46",
"South Dakota","2001","713920","Skiing facilities","2","0","0","46",
"South Dakota","2001","722   ","Food services & drinking places","1655","23511","211730","46",
"South Dakota","2001","7221  ","Full-service restaurants","670","10605","101303","46",
"South Dakota","2001","72211 ","Full-service restaurants","670","10605","101303","46",
"South Dakota","2001","722110","Full-service restaurants","670","10605","101303","46",
"South Dakota","2001","2352  ","Painting & wall covering contractors","133","434","9905","46",
"South Dakota","2001","115114","Postharvest crop activities (exc ginning)","9","0","0","46",
"South Dakota","2001","115115","Farm labor contractors & crew leaders","2","0","0","46",
"South Dakota","2001","115116","Farm management services","3","0","0","46",
"South Dakota","2001","1152  ","Animal production support activities","23","0","0","46",
"South Dakota","2001","11521 ","Animal production support activities","23","0","0","46",
"South Dakota","2001","23521 ","Painting & wall covering contractors","133","434","9905","46",
"South Dakota","2001","23551 ","Carpentry contractors","184","638","14821","46",
"South Dakota","2001","235210","Painting & wall covering contractors","133","434","9905","46",
"South Dakota","2001","2353  ","Electrical contractors","269","2046","61899","46",
"South Dakota","2001","2355  ","Carpentry & floor contractors","225","724","16816","46",
"South Dakota","2001","235510","Carpentry contractors","184","638","14821","46",
"South Dakota","2001","235930","Excavation contractors","106","406","12375","46",
"South Dakota","2001","23552 ","Floor laying & other floor contractors","41","86","1995","46",
"South Dakota","2001","235520","Floor laying & other floor contractors","41","86","1995","46",
"South Dakota","2001","23593 ","Excavation contractors","106","406","12375","46",
"South Dakota","2001","23595 ","Bldg equip & oth mach installation contractor","13","0","0","46",
"South Dakota","2001","313230","Nonwoven fabric mills","1","0","0","46",
"South Dakota","2001","235950","Bldg equip & oth mach installation contractor","13","0","0","46",
"South Dakota","2001","313210","Broadwoven fabric mills","1","0","0","46",
"South Dakota","2001","31323 ","Nonwoven fabric mills","1","0","0","46",
"South Dakota","2001","315232","Women's, girls' cut & sew blouse mfg","1","0","0","46",
"South Dakota","2001","3133  ","Textile, fabric finishing, fabric coating mills","2","0","0","46",
"South Dakota","2001","31331 ","Textile & fabric finishing mills","2","0","0","46",
"South Dakota","2001","31523 ","Women's, girls' cut & sew apparel mfg","5","0","0","46",
"South Dakota","2001","315233","Women's, girls' cut & sew dress mfg","2","0","0","46",
"South Dakota","2001","321992","Prefabricated wood building mfg","8","0","0","46",
"South Dakota","2001","315239","Women's, girls' cut & sew other outerwear mfg","2","0","0","46",
"South Dakota","2001","316   ","Leather & allied product mfg","5","38","276","46",
"South Dakota","2001","321991","Manufactured home (mobile home) mfg","2","0","0","46",
"South Dakota","2001","321999","All other miscellaneous wood product mfg","2","0","0","46",
"South Dakota","2001","325193","Ethyl alcohol mfg","6","0","0","46",
"South Dakota","2001","322   ","Paper mfg","10","816","27351","46",
"South Dakota","2001","3222  ","Converted paper product mfg","10","816","27351","46",
"South Dakota","2001","32519 ","Other basic organic chemical mfg","7","0","0","46",
"South Dakota","2001","325199","All other basic organic chemical mfg","1","0","0","46",
"South Dakota","2001","3261  ","Plastics product mfg","34","0","0","46",
"South Dakota","2001","3252  ","Resin, syn rubber, artf & syn fibers, fil mfg","3","0","0","46",
"South Dakota","2001","32521 ","Resin & synthetic rubber mfg","3","0","0","46",
"South Dakota","2001","326   ","Plastics & rubber products mfg","38","1712","50292","46",
"South Dakota","2001","32611 ","Unsupported plastics film, sheet, & bag mfg","5","493","17118","46",
"South Dakota","2001","3273  ","Cement & concrete product mfg","49","767","27378","46",
"South Dakota","2001","326111","Unsupported plastics bag mfg","1","0","0","46",
