"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Tennessee","2008","00    ","Total for all sectors","136585","2492746","90853613","47",
"Tennessee","2008","11    ","Agriculture, forestry, fishing and hunting","261","1385","40849","47",
"Tennessee","2008","113   ","Forestry and logging","164","764","19643","47",
"Tennessee","2008","1131  ","Timber tract operations","4","0","67","47",
"Tennessee","2008","11311 ","Timber tract operations","4","0","67","47",
"Tennessee","2008","213   ","Support activities for mining","45","331","14898","47",
"Tennessee","2008","2211  ","Electric power generation, transmission and distribution","90","2227","128813","47",
"Tennessee","2008","113110","Timber tract operations","4","0","67","47",
"Tennessee","2008","1133  ","Logging","160","761","19576","47",
"Tennessee","2008","11331 ","Logging","160","761","19576","47",
"Tennessee","2008","113310","Logging","160","761","19576","47",
"Tennessee","2008","213111","Drilling oil and gas wells","14","50","2305","47",
"Tennessee","2008","213112","Support activities for oil and gas operations","19","195","8580","47",
"Tennessee","2008","213113","Support activities for coal mining","5","0","0","47",
"Tennessee","2008","114   ","Fishing, hunting and trapping","3","3","62","47",
"Tennessee","2008","1141  ","Fishing","1","0","0","47",
"Tennessee","2008","11411 ","Fishing","1","0","0","47",
"Tennessee","2008","114111","Finfish fishing","1","0","0","47",
"Tennessee","2008","1142  ","Hunting and trapping","2","0","0","47",
"Tennessee","2008","11421 ","Hunting and trapping","2","0","0","47",
"Tennessee","2008","114210","Hunting and trapping","2","0","0","47",
"Tennessee","2008","115   ","Support activities for agriculture and forestry","94","618","21144","47",
"Tennessee","2008","1151  ","Support activities for crop production","31","437","16099","47",
"Tennessee","2008","11511 ","Support activities for crop production","31","437","16099","47",
"Tennessee","2008","115111","Cotton ginning","5","0","2395","47",
"Tennessee","2008","115112","Soil preparation, planting, and cultivating","12","0","8710","47",
"Tennessee","2008","115113","Crop harvesting, primarily by machine","1","0","0","47",
"Tennessee","2008","115114","Postharvest crop activities (except cotton ginning)","3","0","0","47",
"Tennessee","2008","115115","Farm labor contractors and crew leaders","4","75","3071","47",
"Tennessee","2008","115116","Farm management services","6","0","331","47",
"Tennessee","2008","1152  ","Support activities for animal production","48","133","3514","47",
"Tennessee","2008","11521 ","Support activities for animal production","48","133","3514","47",
"Tennessee","2008","115210","Support activities for animal production","48","133","3514","47",
"Tennessee","2008","1153  ","Support activities for forestry","15","0","1531","47",
"Tennessee","2008","11531 ","Support activities for forestry","15","0","1531","47",
"Tennessee","2008","115310","Support activities for forestry","15","0","1531","47",
"Tennessee","2008","21    ","Mining, quarrying, and oil and gas extraction","230","4052","199822","47",
"Tennessee","2008","211   ","Oil and gas extraction","10","111","6503","47",
"Tennessee","2008","2111  ","Oil and gas extraction","10","111","6503","47",
"Tennessee","2008","21111 ","Oil and gas extraction","10","111","6503","47",
"Tennessee","2008","211111","Crude petroleum and natural gas extraction","8","94","5745","47",
"Tennessee","2008","211112","Natural gas liquid extraction","2","0","0","47",
"Tennessee","2008","212   ","Mining (except oil and gas)","175","3610","178421","47",
"Tennessee","2008","2121  ","Coal mining","26","1323","80557","47",
"Tennessee","2008","21211 ","Coal mining","26","1323","80557","47",
"Tennessee","2008","212111","Bituminous coal and lignite surface mining","18","561","31776","47",
"Tennessee","2008","212112","Bituminous coal underground mining","8","762","48781","47",
"Tennessee","2008","2122  ","Metal ore mining","5","0","0","47",
"Tennessee","2008","21223 ","Copper, nickel, lead, and zinc mining","5","0","0","47",
"Tennessee","2008","212231","Lead ore and zinc ore mining","5","0","0","47",
"Tennessee","2008","2123  ","Nonmetallic mineral mining and quarrying","144","0","80616","47",
"Tennessee","2008","21231 ","Stone mining and quarrying","112","0","61946","47",
"Tennessee","2008","212311","Dimension stone mining and quarrying","9","76","2446","47",
"Tennessee","2008","212312","Crushed and broken limestone mining and quarrying","92","0","0","47",
"Tennessee","2008","212319","Other crushed and broken stone mining and quarrying","11","156","5504","47",
"Tennessee","2008","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","29","454","18332","47",
"Tennessee","2008","212321","Construction sand and gravel mining","22","199","6166","47",
"Tennessee","2008","212322","Industrial sand mining","3","92","4531","47",
"Tennessee","2008","212324","Kaolin and ball clay mining","3","0","0","47",
"Tennessee","2008","212325","Clay and ceramic and refractory minerals mining","1","0","0","47",
"Tennessee","2008","21239 ","Other nonmetallic mineral mining and quarrying","3","0","0","47",
"Tennessee","2008","212399","All other nonmetallic mineral mining","3","0","0","47",
"Tennessee","2008","2131  ","Support activities for mining","45","331","14898","47",
"Tennessee","2008","21311 ","Support activities for mining","45","331","14898","47",
"Tennessee","2008","213114","Support activities for metal mining","2","0","0","47",
"Tennessee","2008","213115","Support activities for nonmetallic minerals (except fuels) mining","5","35","1312","47",
"Tennessee","2008","22    ","Utilities","148","3473","202735","47",
"Tennessee","2008","221   ","Utilities","148","3473","202735","47",
"Tennessee","2008","22111 ","Electric power generation","3","0","0","47",
"Tennessee","2008","22112 ","Electric power transmission, control, and distribution","87","2205","127049","47",
"Tennessee","2008","221122","Electric power distribution","87","2205","127049","47",
"Tennessee","2008","22121 ","Natural gas distribution","26","0","0","47",
"Tennessee","2008","221210","Natural gas distribution","26","0","0","47",
"Tennessee","2008","2213  ","Water, sewage and other systems","32","669","36655","47",
"Tennessee","2008","22133 ","Steam and air-conditioning supply","1","0","0","47",
"Tennessee","2008","221330","Steam and air-conditioning supply","1","0","0","47",
"Tennessee","2008","2361  ","Residential building construction","2560","12288","468039","47",
"Tennessee","2008","23611 ","Residential building construction","2560","12288","468039","47",
"Tennessee","2008","2362  ","Nonresidential building construction","779","16956","913669","47",
"Tennessee","2008","23621 ","Industrial building construction","59","0","183418","47",
"Tennessee","2008","236220","Commercial and institutional building construction","720","12921","730251","47",
"Tennessee","2008","237   ","Heavy and civil engineering construction","869","16201","725726","47",
"Tennessee","2008","23711 ","Water and sewer line and related structures construction","252","3148","122116","47",
"Tennessee","2008","237120","Oil and gas pipeline and related structures construction","22","0","0","47",
"Tennessee","2008","2372  ","Land subdivision","202","1650","66504","47",
"Tennessee","2008","23721 ","Land subdivision","202","1650","66504","47",
"Tennessee","2008","237210","Land subdivision","202","1650","66504","47",
"Tennessee","2008","2373  ","Highway, street, and bridge construction","202","6169","293859","47",
"Tennessee","2008","2381  ","Foundation, structure, and building exterior contractors","1565","17483","622196","47",
"Tennessee","2008","23811 ","Poured concrete foundation and structure contractors","333","4325","165730","47",
"Tennessee","2008","23814 ","Masonry contractors","380","4690","131957","47",
"Tennessee","2008","221111","Hydroelectric power generation","1","0","0","47",
"Tennessee","2008","221119","Other electric power generation","2","0","0","47",
