"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Texas","2011","00    ","Total for all sectors","525420","8987663","414113062","48",
"Texas","2011","11    ","Agriculture, forestry, fishing and hunting","1021","6771","219285","48",
"Texas","2011","23817 ","Siding contractors","204","1343","48788","48",
"Texas","2011","113   ","Forestry and logging","218","1327","47372","48",
"Texas","2011","1131  ","Timber tract operations","20","83","3371","48",
"Texas","2011","11311 ","Timber tract operations","20","83","3371","48",
"Texas","2011","11421 ","Hunting and trapping","43","129","3666","48",
"Texas","2011","113110","Timber tract operations","20","83","3371","48",
"Texas","2011","1132  ","Forest nurseries and gathering of forest products","3","0","0","48",
"Texas","2011","11321 ","Forest nurseries and gathering of forest products","3","0","0","48",
"Texas","2011","113210","Forest nurseries and gathering of forest products","3","0","0","48",
"Texas","2011","1133  ","Logging","195","1236","43929","48",
"Texas","2011","11331 ","Logging","195","1236","43929","48",
"Texas","2011","113310","Logging","195","1236","43929","48",
"Texas","2011","114   ","Fishing, hunting and trapping","100","0","8630","48",
"Texas","2011","1141  ","Fishing","57","0","4964","48",
"Texas","2011","11411 ","Fishing","57","0","4964","48",
"Texas","2011","114111","Finfish fishing","10","2","450","48",
"Texas","2011","115113","Crop harvesting, primarily by machine","26","0","1744","48",
"Texas","2011","114112","Shellfish fishing","47","0","4514","48",
"Texas","2011","1142  ","Hunting and trapping","43","129","3666","48",
"Texas","2011","114210","Hunting and trapping","43","129","3666","48",
"Texas","2011","115   ","Support activities for agriculture and forestry","703","5044","163283","48",
"Texas","2011","1151  ","Support activities for crop production","409","3748","121270","48",
"Texas","2011","11511 ","Support activities for crop production","409","3748","121270","48",
"Texas","2011","115111","Cotton ginning","49","375","15674","48",
"Texas","2011","1153  ","Support activities for forestry","47","193","7195","48",
"Texas","2011","115112","Soil preparation, planting, and cultivating","201","1206","41676","48",
"Texas","2011","115114","Postharvest crop activities (except cotton ginning)","79","1788","55669","48",
"Texas","2011","21    ","Mining, quarrying, and oil and gas extraction","7913","186950","18576362","48",
