"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Utah","2008","00    ","Total for all sectors","71433","1114716","39438430","49",
"Utah","2008","11    ","Agriculture, forestry, fishing and hunting","73","452","17839","49",
"Utah","2008","113   ","Forestry and logging","7","15","613","49",
"Utah","2008","1133  ","Logging","7","15","613","49",
"Utah","2008","1141  ","Fishing","2","0","0","49",
"Utah","2008","11331 ","Logging","7","15","613","49",
"Utah","2008","113310","Logging","7","15","613","49",
"Utah","2008","114   ","Fishing, hunting and trapping","6","0","0","49",
"Utah","2008","11411 ","Fishing","2","0","0","49",
"Utah","2008","114112","Shellfish fishing","2","0","0","49",
"Utah","2008","114210","Hunting and trapping","4","10","226","49",
"Utah","2008","115   ","Support activities for agriculture and forestry","60","271","11335","49",
"Utah","2008","1151  ","Support activities for crop production","20","139","7334","49",
"Utah","2008","11511 ","Support activities for crop production","20","139","7334","49",
"Utah","2008","115115","Farm labor contractors and crew leaders","2","0","0","49",
"Utah","2008","11521 ","Support activities for animal production","34","121","3629","49",
"Utah","2008","115210","Support activities for animal production","34","121","3629","49",
"Utah","2008","1153  ","Support activities for forestry","6","0","372","49",
"Utah","2008","115310","Support activities for forestry","6","0","372","49",
"Utah","2008","21221 ","Iron ore mining","2","0","0","49",
"Utah","2008","212210","Iron ore mining","2","0","0","49",
"Utah","2008","212222","Silver ore mining","1","0","0","49",
"Utah","2008","21223 ","Copper, nickel, lead, and zinc mining","4","0","0","49",
"Utah","2008","212234","Copper ore and nickel ore mining","4","0","0","49",
"Utah","2008","21231 ","Stone mining and quarrying","18","160","4840","49",
"Utah","2008","212313","Crushed and broken granite mining and quarrying","1","0","0","49",
"Utah","2008","1142  ","Hunting and trapping","4","10","226","49",
"Utah","2008","11421 ","Hunting and trapping","4","10","226","49",
"Utah","2008","115112","Soil preparation, planting, and cultivating","5","0","0","49",
"Utah","2008","115113","Crop harvesting, primarily by machine","2","0","0","49",
"Utah","2008","115114","Postharvest crop activities (except cotton ginning)","6","0","0","49",
"Utah","2008","115116","Farm management services","5","0","0","49",
"Utah","2008","1152  ","Support activities for animal production","34","121","3629","49",
"Utah","2008","11531 ","Support activities for forestry","6","0","372","49",
"Utah","2008","21    ","Mining, quarrying, and oil and gas extraction","441","10514","731832","49",
"Utah","2008","211   ","Oil and gas extraction","58","1164","107102","49",
"Utah","2008","2111  ","Oil and gas extraction","58","1164","107102","49",
"Utah","2008","21111 ","Oil and gas extraction","58","1164","107102","49",
"Utah","2008","211111","Crude petroleum and natural gas extraction","54","1099","100659","49",
"Utah","2008","211112","Natural gas liquid extraction","4","65","6443","49",
"Utah","2008","212   ","Mining (except oil and gas)","83","4623","283644","49",
"Utah","2008","2121  ","Coal mining","13","0","0","49",
"Utah","2008","21211 ","Coal mining","13","0","0","49",
"Utah","2008","212111","Bituminous coal and lignite surface mining","1","0","0","49",
"Utah","2008","212112","Bituminous coal underground mining","11","0","0","49",
"Utah","2008","212113","Anthracite mining","1","0","0","49",
