"GEO_TTL","YEAR","NAICS1997","NAICS1997_TTL","ESTAB","EMP","PAYANN","state",
"Virginia","2001","114210","Hunting & trapping","4","0","0","51",
"Virginia","2001","115   ","Agriculture & forestry support activities","222","0","0","51",
"Virginia","2001","1151  ","Crop production support activities","44","314","8617","51",
"Virginia","2001","11511 ","Crop production support activities","44","314","8617","51",
"Virginia","2001","115111","Cotton ginning","5","0","0","51",
"Virginia","2001","2211  ","Elec pwr generation, transmsn & distribution","202","11855","705203","51",
"Virginia","2001","22111 ","Electric power generation","52","1764","105025","51",
"Virginia","2001","221111","Hydroelectric power generation","18","0","0","51",
"Virginia","2001","221112","Fossil fuel electric power generation","30","1308","77086","51",
"Virginia","2001","2354  ","Masonry, drywall, insulation, tile contractors","1602","17460","493745","51",
"Virginia","2001","221119","Other electric power generation","4","0","0","51",
"Virginia","2001","23531 ","Electrical contractors","1662","23423","834675","51",
"Virginia","2001","235310","Electrical contractors","1662","23423","834675","51",
"Virginia","2001","23541 ","Masonry & stone contractors","928","8422","223951","51",
"Virginia","2001","235410","Masonry & stone contractors","928","8422","223951","51",
"Virginia","2001","31152 ","Ice cream & frozen dessert mfg","3","0","0","51",
"Virginia","2001","311511","Fluid milk mfg","10","0","0","51",
"Virginia","2001","311513","Cheese mfg","1","0","0","51",
"Virginia","2001","311514","Dry, condensed, evaporated dairy product mfg","2","0","0","51",
"Virginia","2001","3133  ","Textile, fabric finishing, fabric coating mills","25","2101","44997","51",
"Virginia","2001","311520","Ice cream & frozen dessert mfg","3","0","0","51",
"Virginia","2001","313241","Weft knit fabric mills","3","0","0","51",
"Virginia","2001","313249","Other knit fabric & lace mills","5","0","0","51",
"Virginia","2001","31331 ","Textile & fabric finishing mills","24","0","0","51",
"Virginia","2001","32191 ","Millwork","122","5924","167540","51",
"Virginia","2001","321214","Truss mfg","29","1176","38813","51",
"Virginia","2001","321219","Reconstituted wood product mfg","13","1332","47540","51",
"Virginia","2001","3219  ","Other wood product mfg","247","9913","265913","51",
"Virginia","2001","321911","Wood window & door mfg","34","3155","87884","51",
"Virginia","2001","325211","Plastics material & resin mfg","5","0","0","51",
"Virginia","2001","321912","Cut stock, resawing lumber & planing","39","1231","33551","51",
"Virginia","2001","3252  ","Resin, syn rubber, artf & syn fibers, fil mfg","16","7486","360783","51",
"Virginia","2001","32521 ","Resin & synthetic rubber mfg","7","222","10952","51",
"Virginia","2001","325212","Synthetic rubber mfg","2","0","0","51",
"Virginia","2001","32522 ","Artificial & synthetic fibers, filaments mfg","9","7264","349831","51",
"Virginia","2001","325320","Pesticide & other agricultural chemical mfg","1","0","0","51",
"Virginia","2001","325312","Phosphatic fertilizer mfg","1","0","0","51",
"Virginia","2001","325314","Fertilizer (mixing only) mfg","20","269","6461","51",
"Virginia","2001","32532 ","Pesticide & other agricultural chemical mfg","1","0","0","51",
"Virginia","2001","325413","In-vitro diagnostic substance mfg","3","0","0","51",
"Virginia","2001","32541 ","Pharmaceutical & medicine mfg","14","3377","184420","51",
"Virginia","2001","325411","Medicinal & botanical mfg","2","0","0","51",
"Virginia","2001","325412","Pharmaceutical preparation mfg","8","0","0","51",
"Virginia","2001","3254  ","Pharmaceutical & medicine mfg","14","3377","184420","51",
"Virginia","2001","3259  ","Other chemical product & preparation mfg","55","2985","130709","51",
"Virginia","2001","325613","Surface active agent mfg","3","0","0","51",
"Virginia","2001","32562 ","Toilet preparation mfg","7","1266","33258","51",
"Virginia","2001","325620","Toilet preparation mfg","7","1266","33258","51",
"Virginia","2001","32591 ","Printing ink mfg","16","0","0","51",
"Virginia","2001","326130","Laminated plastics plate, sheet & shape mfg","4","0","0","51",
"Virginia","2001","326121","Unsupported plastics profile shape mfg","5","0","0","51",
"Virginia","2001","326122","Plastics pipe & pipe fitting mfg","4","0","0","51",
"Virginia","2001","32613 ","Laminated plastics plate, sheet & shape mfg","4","0","0","51",
"Virginia","2001","32614 ","Polystyrene foam product mfg","12","535","14177","51",
"Virginia","2001","327121","Brick & structural clay tile mfg","8","0","0","51",
"Virginia","2001","32711 ","Pottery, ceramics & plumbing fixture mfg","21","152","2697","51",
"Virginia","2001","327112","Vitreous china & other pottery product mfg","21","152","2697","51",
"Virginia","2001","32712 ","Clay building material & refractories mfg","11","815","29404","51",
"Virginia","2001","115112","Soil preparation, planting, & cultivating","21","0","0","51",
"Virginia","2001","115113","Crop harvesting, primarily by machine","1","0","0","51",
"Virginia","2001","115114","Postharvest crop activities (exc ginning)","7","0","0","51",
"Virginia","2001","115115","Farm labor contractors & crew leaders","6","0","0","51",
"Virginia","2001","2212  ","Natural gas distribution","56","4343","324607","51",
"Virginia","2001","22112 ","Electric pwr transmsn, control & distribution","150","10091","600178","51",
"Virginia","2001","221121","Electric bulk power transmission & control","5","0","0","51",
"Virginia","2001","221122","Electric power distribution","145","0","0","51",
"Virginia","2001","23543 ","Tile, marble, terrazzo & mosaic contractors","169","1528","50450","51",
"Virginia","2001","22121 ","Natural gas distribution","56","4343","324607","51",
"Virginia","2001","23542 ","Drywall, acoustical & insulation contractors","505","7510","219344","51",
"Virginia","2001","235420","Drywall, acoustical & insulation contractors","505","7510","219344","51",
"Virginia","2001","235430","Tile, marble, terrazzo & mosaic contractors","169","1528","50450","51",
"Virginia","2001","311611","Animal (except poultry) slaughtering","25","0","0","51",
"Virginia","2001","2355  ","Carpentry & floor contractors","1711","8785","250368","51",
"Virginia","2001","3116  ","Animal slaughtering & processing","69","18128","440231","51",
"Virginia","2001","31161 ","Animal slaughtering & processing","69","18128","440231","51",
"Virginia","2001","311612","Meat processed from carcasses","20","2198","63819","51",
"Virginia","2001","31332 ","Fabric coating mills","1","0","0","51",
"Virginia","2001","311613","Rendering & meat by-product processing","8","0","0","51",
"Virginia","2001","313311","Broadwoven fabric finishing mills","18","1367","27848","51",
"Virginia","2001","313312","Textile, fabric finishing (exc broadwoven) mills","6","0","0","51",
"Virginia","2001","313320","Fabric coating mills","1","0","0","51",
"Virginia","2001","314   ","Textile product mills","136","4600","106198","51",
"Virginia","2001","32199 ","All other wood product mfg","68","2893","73871","51",
"Virginia","2001","321918","Other millwork (including flooring)","49","1538","46105","51",
"Virginia","2001","32192 ","Wood container & pallet mfg","57","1096","24502","51",
"Virginia","2001","321920","Wood container & pallet mfg","57","1096","24502","51",
"Virginia","2001","32531 ","Fertilizer mfg","27","0","0","51",
"Virginia","2001","325221","Cellulose organic fiber mfg","1","0","0","51",
"Virginia","2001","325222","Noncellulosic organic fiber mfg","8","0","0","51",
"Virginia","2001","3253  ","Pesticide, fertilizer & oth ag chemical mfg","28","394","11239","51",
"Virginia","2001","325311","Nitrogenous fertilizer mfg","6","0","0","51",
"Virginia","2001","325510","Paint & coating mfg","15","0","0","51",
"Virginia","2001","325414","Biological product (exc diagnostic) mfg","1","0","0","51",
"Virginia","2001","3255  ","Paint, coating & adhesive mfg","24","884","39483","51",
"Virginia","2001","32551 ","Paint & coating mfg","15","0","0","51",
"Virginia","2001","32552 ","Adhesive mfg","9","0","0","51",
"Virginia","2001","32599 ","All other chemical product & preparation mfg","37","0","0","51",
"Virginia","2001","325910","Printing ink mfg","16","0","0","51",
"Virginia","2001","32592 ","Explosives mfg","2","0","0","51",
"Virginia","2001","325920","Explosives mfg","2","0","0","51",
"Virginia","2001","325991","Custom compounding of purchased resin","11","0","0","51",
"Virginia","2001","32616 ","Plastics bottle mfg","7","909","28990","51",
"Virginia","2001","326140","Polystyrene foam product mfg","12","535","14177","51",
"Virginia","2001","32615 ","Foam product (exc polystyrene) mfg","5","490","19932","51",
"Virginia","2001","326150","Foam product (exc polystyrene) mfg","5","490","19932","51",
"Virginia","2001","326160","Plastics bottle mfg","7","909","28990","51",
"Virginia","2001","32721 ","Glass & glass product mfg","37","2468","68392","51",
"Virginia","2001","327124","Clay refractory mfg","1","0","0","51",
"Virginia","2001","327125","Nonclay refractory mfg","2","0","0","51",
"Virginia","2001","3272  ","Glass & glass product mfg","37","2468","68392","51",
"Virginia","2001","327212","Other pressed & blown glass & glassware mfg","5","0","0","51",
"Virginia","2001","722110","Full-service restaurants","5031","104848","1249436","51",
"Virginia","2001","722212","Cafeterias","109","1880","24391","51",
"Virginia","2001","7222  ","Limited-service eating places","5316","90986","912696","51",
"Virginia","2001","72221 ","Limited-service eating places","5316","90986","912696","51",
"Virginia","2001","722211","Limited-service restaurants","4477","82147","810772","51",
"Virginia","2001","81121 ","Electronic & precision equipment R&M","432","4906","268188","51",
"Virginia","2001","811192","Car washes","274","2312","33581","51",
"Virginia","2001","811198","All other automotive R&M","34","137","3545","51",
"Virginia","2001","8112  ","Electronic & precision equipment R&M","432","4906","268188","51",
