"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Washington","2009","00    ","Total for all sectors","177276","2385282","110389623","53",
"Washington","2009","11    ","Agriculture, forestry, fishing and hunting","1407","12296","502654","53",
"Washington","2009","113   ","Forestry and logging","522","3855","167593","53",
"Washington","2009","1131  ","Timber tract operations","15","0","3320","53",
"Washington","2009","11311 ","Timber tract operations","15","0","3320","53",
"Washington","2009","113110","Timber tract operations","15","0","3320","53",
"Washington","2009","1132  ","Forest nurseries and gathering of forest products","13","0","0","53",
"Washington","2009","11321 ","Forest nurseries and gathering of forest products","13","0","0","53",
"Washington","2009","113210","Forest nurseries and gathering of forest products","13","0","0","53",
"Washington","2009","1133  ","Logging","494","3659","158294","53",
"Washington","2009","11331 ","Logging","494","3659","158294","53",
"Washington","2009","113310","Logging","494","3659","158294","53",
"Washington","2009","114   ","Fishing, hunting and trapping","445","2260","146742","53",
"Washington","2009","1141  ","Fishing","438","2219","145761","53",
"Washington","2009","11411 ","Fishing","438","2219","145761","53",
"Washington","2009","114111","Finfish fishing","274","1804","127206","53",
"Washington","2009","114112","Shellfish fishing","162","415","18468","53",
"Washington","2009","114119","Other marine fishing","2","0","0","53",
"Washington","2009","1142  ","Hunting and trapping","7","41","981","53",
"Washington","2009","11421 ","Hunting and trapping","7","41","981","53",
"Washington","2009","114210","Hunting and trapping","7","41","981","53",
"Washington","2009","115   ","Support activities for agriculture and forestry","440","6181","188319","53",
"Washington","2009","1151  ","Support activities for crop production","165","4684","147579","53",
"Washington","2009","11511 ","Support activities for crop production","165","4684","147579","53",
"Washington","2009","115112","Soil preparation, planting, and cultivating","71","290","10257","53",
"Washington","2009","115113","Crop harvesting, primarily by machine","11","57","3016","53",
"Washington","2009","115114","Postharvest crop activities (except cotton ginning)","64","4215","129239","53",
"Washington","2009","115115","Farm labor contractors and crew leaders","13","111","4754","53",
"Washington","2009","115116","Farm management services","6","0","313","53",
"Washington","2009","1152  ","Support activities for animal production","146","451","12968","53",
"Washington","2009","11521 ","Support activities for animal production","146","451","12968","53",
"Washington","2009","115210","Support activities for animal production","146","451","12968","53",
"Washington","2009","1153  ","Support activities for forestry","129","1046","27772","53",
"Washington","2009","11531 ","Support activities for forestry","129","1046","27772","53",
"Washington","2009","115310","Support activities for forestry","129","1046","27772","53",
"Washington","2009","21    ","Mining, quarrying, and oil and gas extraction","187","2845","196301","53",
"Washington","2009","211   ","Oil and gas extraction","5","0","0","53",
"Washington","2009","2111  ","Oil and gas extraction","5","0","0","53",
"Washington","2009","21111 ","Oil and gas extraction","5","0","0","53",
"Washington","2009","211111","Crude petroleum and natural gas extraction","5","0","0","53",
