"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"West Virginia","2011","00    ","Total for all sectors","38150","568344","20681836","54",
"West Virginia","2011","11    ","Agriculture, forestry, fishing and hunting","220","630","15742","54",
"West Virginia","2011","23799 ","Other heavy and civil engineering construction","29","616","44783","54",
"West Virginia","2011","2389  ","Other specialty trade contractors","525","4438","211473","54",
"West Virginia","2011","113   ","Forestry and logging","190","538","12749","54",
"West Virginia","2011","1131  ","Timber tract operations","3","0","0","54",
"West Virginia","2011","11311 ","Timber tract operations","3","0","0","54",
"West Virginia","2011","113110","Timber tract operations","3","0","0","54",
"West Virginia","2011","1133  ","Logging","187","533","12522","54",
"West Virginia","2011","11331 ","Logging","187","533","12522","54",
"West Virginia","2011","113310","Logging","187","533","12522","54",
"West Virginia","2011","114   ","Fishing, hunting and trapping","1","0","0","54",
"West Virginia","2011","21    ","Mining, quarrying, and oil and gas extraction","685","33413","2554108","54",
"West Virginia","2011","1142  ","Hunting and trapping","1","0","0","54",
"West Virginia","2011","11421 ","Hunting and trapping","1","0","0","54",
"West Virginia","2011","114210","Hunting and trapping","1","0","0","54",
"West Virginia","2011","115   ","Support activities for agriculture and forestry","29","91","2974","54",
"West Virginia","2011","1151  ","Support activities for crop production","2","0","0","54",
"West Virginia","2011","11511 ","Support activities for crop production","2","0","0","54",
"West Virginia","2011","115112","Soil preparation, planting, and cultivating","1","0","0","54",
"West Virginia","2011","115116","Farm management services","1","0","0","54",
"West Virginia","2011","1152  ","Support activities for animal production","13","0","991","54",
"West Virginia","2011","11521 ","Support activities for animal production","13","0","991","54",
"West Virginia","2011","115210","Support activities for animal production","13","0","991","54",
"West Virginia","2011","1153  ","Support activities for forestry","14","43","1977","54",
"West Virginia","2011","11531 ","Support activities for forestry","14","43","1977","54",
"West Virginia","2011","115310","Support activities for forestry","14","43","1977","54",
"West Virginia","2011","211   ","Oil and gas extraction","210","2715","214304","54",
"West Virginia","2011","2111  ","Oil and gas extraction","210","2715","214304","54",
"West Virginia","2011","21111 ","Oil and gas extraction","210","2715","214304","54",
"West Virginia","2011","211111","Crude petroleum and natural gas extraction","201","2352","175380","54",
"West Virginia","2011","211112","Natural gas liquid extraction","9","363","38924","54",
"West Virginia","2011","212   ","Mining (except oil and gas)","235","22669","1794631","54",
"West Virginia","2011","2121  ","Coal mining","202","21884","1748668","54",
"West Virginia","2011","21211 ","Coal mining","202","21884","1748668","54",
"West Virginia","2011","212111","Bituminous coal and lignite surface mining","92","7557","586377","54",
"West Virginia","2011","212112","Bituminous coal underground mining","108","14301","1160657","54",
"West Virginia","2011","212113","Anthracite mining","2","0","0","54",
"West Virginia","2011","2122  ","Metal ore mining","3","0","0","54",
"West Virginia","2011","21311 ","Support activities for mining","240","8029","545173","54",
"West Virginia","2011","21221 ","Iron ore mining","3","0","0","54",
"West Virginia","2011","212210","Iron ore mining","3","0","0","54",
"West Virginia","2011","2123  ","Nonmetallic mineral mining and quarrying","30","671","37835","54",
"West Virginia","2011","21231 ","Stone mining and quarrying","22","527","29757","54",
"West Virginia","2011","212311","Dimension stone mining and quarrying","1","0","0","54",
"West Virginia","2011","212312","Crushed and broken limestone mining and quarrying","14","465","27443","54",
"West Virginia","2011","212319","Other crushed and broken stone mining and quarrying","7","0","0","54",
"West Virginia","2011","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","5","137","7981","54",
"West Virginia","2011","212321","Construction sand and gravel mining","4","60","3718","54",
"West Virginia","2011","212322","Industrial sand mining","1","0","0","54",
"West Virginia","2011","21239 ","Other nonmetallic mineral mining and quarrying","3","0","0","54",
"West Virginia","2011","2211  ","Electric power generation, transmission and distribution","120","4873","435862","54",
"West Virginia","2011","212393","Other chemical and fertilizer mineral mining","1","0","0","54",
"West Virginia","2011","212399","All other nonmetallic mineral mining","2","0","0","54",
"West Virginia","2011","213   ","Support activities for mining","240","8029","545173","54",
"West Virginia","2011","2131  ","Support activities for mining","240","8029","545173","54",
"West Virginia","2011","221119","Other electric power generation","1","0","0","54",
"West Virginia","2011","22112 ","Electric power transmission, control, and distribution","88","2672","225270","54",
"West Virginia","2011","213111","Drilling oil and gas wells","48","1646","86338","54",
"West Virginia","2011","213112","Support activities for oil and gas operations","130","0","0","54",
"West Virginia","2011","213113","Support activities for coal mining","59","2900","196619","54",
"West Virginia","2011","2213  ","Water, sewage and other systems","57","541","30136","54",
"West Virginia","2011","213114","Support activities for metal mining","1","0","0","54",
"West Virginia","2011","213115","Support activities for nonmetallic minerals (except fuels) mining","2","0","0","54",
"West Virginia","2011","22    ","Utilities","229","6196","513314","54",
"West Virginia","2011","221   ","Utilities","229","6196","513314","54",
"West Virginia","2011","22111 ","Electric power generation","32","2201","210592","54",
