"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Wisconsin","2009","00    ","Total for all sectors","140861","2355879","89374061","55",
"Wisconsin","2009","11    ","Agriculture, forestry, fishing and hunting","492","2968","105958","55",
"Wisconsin","2009","113   ","Forestry and logging","249","769","20500","55",
"Wisconsin","2009","1131  ","Timber tract operations","2","0","0","55",
"Wisconsin","2009","11311 ","Timber tract operations","2","0","0","55",
"Wisconsin","2009","113110","Timber tract operations","2","0","0","55",
"Wisconsin","2009","1132  ","Forest nurseries and gathering of forest products","2","0","0","55",
"Wisconsin","2009","11321 ","Forest nurseries and gathering of forest products","2","0","0","55",
"Wisconsin","2009","113210","Forest nurseries and gathering of forest products","2","0","0","55",
"Wisconsin","2009","1133  ","Logging","245","739","20321","55",
"Wisconsin","2009","11331 ","Logging","245","739","20321","55",
"Wisconsin","2009","113310","Logging","245","739","20321","55",
"Wisconsin","2009","114   ","Fishing, hunting and trapping","19","31","959","55",
"Wisconsin","2009","1141  ","Fishing","9","10","387","55",
"Wisconsin","2009","11411 ","Fishing","9","10","387","55",
"Wisconsin","2009","114111","Finfish fishing","9","10","387","55",
"Wisconsin","2009","1142  ","Hunting and trapping","10","0","572","55",
"Wisconsin","2009","11421 ","Hunting and trapping","10","0","572","55",
"Wisconsin","2009","114210","Hunting and trapping","10","0","572","55",
"Wisconsin","2009","115   ","Support activities for agriculture and forestry","224","2168","84499","55",
"Wisconsin","2009","1151  ","Support activities for crop production","68","366","13728","55",
"Wisconsin","2009","11511 ","Support activities for crop production","68","366","13728","55",
"Wisconsin","2009","115112","Soil preparation, planting, and cultivating","32","82","5409","55",
"Wisconsin","2009","115113","Crop harvesting, primarily by machine","8","18","705","55",
"Wisconsin","2009","115114","Postharvest crop activities (except cotton ginning)","16","237","6806","55",
"Wisconsin","2009","115115","Farm labor contractors and crew leaders","6","0","0","55",
"Wisconsin","2009","115116","Farm management services","6","0","0","55",
"Wisconsin","2009","1152  ","Support activities for animal production","134","1734","69073","55",
"Wisconsin","2009","11521 ","Support activities for animal production","134","1734","69073","55",
"Wisconsin","2009","115210","Support activities for animal production","134","1734","69073","55",
"Wisconsin","2009","11531 ","Support activities for forestry","22","68","1698","55",
"Wisconsin","2009","115310","Support activities for forestry","22","68","1698","55",
"Wisconsin","2009","21    ","Mining, quarrying, and oil and gas extraction","150","2275","164386","55",
"Wisconsin","2009","1153  ","Support activities for forestry","22","68","1698","55",
"Wisconsin","2009","212   ","Mining (except oil and gas)","137","2166","157817","55",
"Wisconsin","2009","2123  ","Nonmetallic mineral mining and quarrying","137","2166","157817","55",
"Wisconsin","2009","21231 ","Stone mining and quarrying","81","1638","126032","55",
