"GEO_TTL","YEAR","NAICS2007","NAICS2007_TTL","ESTAB","EMP","PAYANN","state",
"Wyoming","2010","00    ","Total for all sectors","20231","205046","8398298","56",
"Wyoming","2010","11    ","Agriculture, forestry, fishing and hunting","80","209","5670","56",
"Wyoming","2010","113   ","Forestry and logging","22","61","1618","56",
"Wyoming","2010","1133  ","Logging","22","61","1618","56",
"Wyoming","2010","11331 ","Logging","22","61","1618","56",
"Wyoming","2010","113310","Logging","22","61","1618","56",
"Wyoming","2010","114   ","Fishing, hunting and trapping","15","0","513","56",
"Wyoming","2010","1141  ","Fishing","2","0","0","56",
"Wyoming","2010","11411 ","Fishing","2","0","0","56",
"Wyoming","2010","114111","Finfish fishing","1","0","0","56",
"Wyoming","2010","114112","Shellfish fishing","1","0","0","56",
"Wyoming","2010","1142  ","Hunting and trapping","13","0","280","56",
"Wyoming","2010","115   ","Support activities for agriculture and forestry","43","0","3539","56",
"Wyoming","2010","11421 ","Hunting and trapping","13","0","280","56",
"Wyoming","2010","114210","Hunting and trapping","13","0","280","56",
"Wyoming","2010","1151  ","Support activities for crop production","19","84","2244","56",
"Wyoming","2010","11511 ","Support activities for crop production","19","84","2244","56",
"Wyoming","2010","115114","Postharvest crop activities (except cotton ginning)","2","0","0","56",
"Wyoming","2010","115115","Farm labor contractors and crew leaders","3","0","0","56",
"Wyoming","2010","115116","Farm management services","4","6","257","56",
"Wyoming","2010","1152  ","Support activities for animal production","19","0","0","56",
"Wyoming","2010","1153  ","Support activities for forestry","5","7","122","56",
"Wyoming","2010","115111","Cotton ginning","1","0","0","56",
"Wyoming","2010","115112","Soil preparation, planting, and cultivating","9","0","0","56",
"Wyoming","2010","11521 ","Support activities for animal production","19","0","0","56",
"Wyoming","2010","115210","Support activities for animal production","19","0","0","56",
"Wyoming","2010","11531 ","Support activities for forestry","5","7","122","56",
"Wyoming","2010","115310","Support activities for forestry","5","7","122","56",
"Wyoming","2010","21    ","Mining, quarrying, and oil and gas extraction","855","23581","1841948","56",
"Wyoming","2010","211   ","Oil and gas extraction","180","3592","349378","56",
"Wyoming","2010","211111","Crude petroleum and natural gas extraction","158","2571","249970","56",
"Wyoming","2010","211112","Natural gas liquid extraction","22","1021","99408","56",
"Wyoming","2010","2121  ","Coal mining","19","6944","544822","56",
"Wyoming","2010","2111  ","Oil and gas extraction","180","3592","349378","56",
"Wyoming","2010","21111 ","Oil and gas extraction","180","3592","349378","56",
"Wyoming","2010","212   ","Mining (except oil and gas)","60","8701","686598","56",
"Wyoming","2010","212112","Bituminous coal underground mining","1","0","0","56",
"Wyoming","2010","21211 ","Coal mining","19","6944","544822","56",
"Wyoming","2010","212111","Bituminous coal and lignite surface mining","18","6938","544532","56",
"Wyoming","2010","2122  ","Metal ore mining","5","189","15609","56",
"Wyoming","2010","21222 ","Gold ore and silver ore mining","1","0","0","56",
"Wyoming","2010","21229 ","Other metal ore mining","4","0","0","56",
"Wyoming","2010","212291","Uranium-radium-vanadium ore mining","4","0","0","56",
"Wyoming","2010","2123  ","Nonmetallic mineral mining and quarrying","36","1568","126167","56",
"Wyoming","2010","21231 ","Stone mining and quarrying","5","0","0","56",
"Wyoming","2010","212319","Other crushed and broken stone mining and quarrying","1","0","0","56",
"Wyoming","2010","213111","Drilling oil and gas wells","128","3604","275570","56",
"Wyoming","2010","212221","Gold ore mining","1","0","0","56",
"Wyoming","2010","213   ","Support activities for mining","615","11288","805972","56",
"Wyoming","2010","2131  ","Support activities for mining","615","11288","805972","56",
"Wyoming","2010","212311","Dimension stone mining and quarrying","2","0","0","56",
"Wyoming","2010","212312","Crushed and broken limestone mining and quarrying","1","0","0","56",
"Wyoming","2010","212313","Crushed and broken granite mining and quarrying","1","0","0","56",
"Wyoming","2010","21232 ","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying","26","442","24427","56",
"Wyoming","2010","212321","Construction sand and gravel mining","10","69","3074","56",
"Wyoming","2010","212325","Clay and ceramic and refractory minerals mining","16","373","21353","56",
"Wyoming","2010","21239 ","Other nonmetallic mineral mining and quarrying","5","1067","98824","56",
"Wyoming","2010","212391","Potash, soda, and borate mineral mining","4","1057","97971","56",
"Wyoming","2010","212399","All other nonmetallic mineral mining","1","0","0","56",
"Wyoming","2010","21311 ","Support activities for mining","615","11288","805972","56",
"Wyoming","2010","213112","Support activities for oil and gas operations","468","7506","523901","56",
"Wyoming","2010","213113","Support activities for coal mining","10","72","3492","56",
"Wyoming","2010","213114","Support activities for metal mining","4","0","0","56",
"Wyoming","2010","221   ","Utilities","128","2492","195554","56",
"Wyoming","2010","2211  ","Electric power generation, transmission and distribution","87","2186","178795","56",
"Wyoming","2010","22111 ","Electric power generation","12","646","56287","56",
"Wyoming","2010","221119","Other electric power generation","3","0","1237","56",
"Wyoming","2010","22112 ","Electric power transmission, control, and distribution","75","1540","122508","56",
"Wyoming","2010","2212  ","Natural gas distribution","26","0","0","56",
"Wyoming","2010","22121 ","Natural gas distribution","26","0","0","56",
"Wyoming","2010","213115","Support activities for nonmetallic minerals (except fuels) mining","5","0","0","56",
"Wyoming","2010","22    ","Utilities","128","2492","195554","56",
"Wyoming","2010","221112","Fossil fuel electric power generation","9","626","55050","56",
"Wyoming","2010","221121","Electric bulk power transmission and control","2","0","0","56",
"Wyoming","2010","221122","Electric power distribution","73","1530","121599","56",
"Wyoming","2010","221210","Natural gas distribution","26","0","0","56",
"Wyoming","2010","2213  ","Water, sewage and other systems","15","0","0","56",
"Wyoming","2010","22131 ","Water supply and irrigation systems","12","0","0","56",
"Wyoming","2010","22132 ","Sewage treatment facilities","3","0","0","56",
"Wyoming","2010","221310","Water supply and irrigation systems","12","0","0","56",
"Wyoming","2010","221320","Sewage treatment facilities","3","0","0","56",
"Wyoming","2010","236   ","Construction of buildings","840","3700","133771","56",
"Wyoming","2010","23    ","Construction","2741","17797","821834","56",
"Wyoming","2010","2361  ","Residential building construction","710","2351","77792","56",
"Wyoming","2010","236115","New single-family housing construction (except operative builders)","334","1371","49693","56",
