------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=01&areatype=county&cancer=086&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'cancer': '086', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=01&areatype=county&cancer=086&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Alabama by County

"Non-Hodgkin Lymphoma, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alabama",01000,***,5.5 ,5.2, 5.7,308,falling,-2.9 ,-3.6, -2.1
"United States",00000,***,5.6 ,5.6, 5.7,20262,falling,-2.2 ,-2.4, -2.0
"Escambia County",01053,***,8.7 ,5.4, 13.6,4,*,*,*,*
"Morgan County",01103,***,8.1 ,6.1, 10.6,11,stable,-1.0 ,-2.7, 0.7
"Marshall County",01095,***,7.3 ,5.2, 10.1,8,stable,-0.6 ,-2.0, 0.9
"DeKalb County",01049,***,6.9 ,4.5, 10,6,*,*,*,*
"Tallapoosa County",01123,***,6.6 ,3.8, 10.9,3,*,*,*,*
"Talladega County",01121,***,6.6 ,4.4, 9.5,6,stable,0.0 ,-2.2, 2.4
"Chilton County",01021,***,6.3 ,3.6, 10.4,3,*,*,*,*
"St. Clair County",01115,***,6.3 ,4.2, 9.1,6,stable,-2.0 ,-4.5, 0.6
"Lauderdale County",01077,***,6.2 ,4.4, 8.5,8,falling,-2.0 ,-3.3, -0.6
"Coffee County",01031,***,6.1 ,3.7, 9.7,4,*,*,*,*
"Walker County",01127,***,5.9 ,3.8, 8.8,5,stable,-0.8 ,-3.0, 1.4
"Cullman County",01043,***,5.8 ,3.9, 8.4,6,stable,-1.5 ,-3.4, 0.4
"Autauga County",01001,***,5.7 ,3.3, 9.2,3,stable,-0.8 ,-3.1, 1.4
"Dale County",01045,***,5.6 ,3.3, 9.2,3,*,*,*,*
"Jefferson County",01073,***,5.5 ,4.8, 6.4,42,falling,-2.0 ,-2.7, -1.3
"Russell County",01113,***,5.5 ,3.1, 9,3,stable,-0.2 ,-2.3, 2.1
"Lee County",01081,***,5.5 ,3.7, 7.7,7,stable,-2.1 ,-4.5, 0.3
"Madison County",01089,***,5.4 ,4.4, 6.6,20,falling,-1.4 ,-2.6, -0.3
"Elmore County",01051,***,5.3 ,3.3, 8.1,5,falling,-2.7 ,-4.7, -0.8
"Etowah County",01055,***,5.2 ,3.6, 7.4,7,stable,-2.1 ,-4.3, 0.1
"Mobile County",01097,***,5.2 ,4.3, 6.2,25,falling,-2.0 ,-3.1, -0.8
"Houston County",01069,***,5.2 ,3.5, 7.4,6,falling,-2.1 ,-4.0, -0.2
"Montgomery County",01101,***,5.1 ,3.9, 6.6,12,stable,-1.4 ,-3.0, 0.1
"Blount County",01009,***,5.1 ,3, 8.2,4,*,*,*,*
"Baldwin County",01003,***,5 ,3.9, 6.5,14,falling,-4.8 ,-8.2, -1.4
"Shelby County",01117,***,4.9 ,3.6, 6.5,10,falling,-2.6 ,-4.9, -0.2
"Jackson County",01071,***,4.8 ,2.7, 7.9,3,stable,0.2 ,-3.0, 3.4
"Calhoun County",01015,***,4.6 ,3.1, 6.6,6,stable,-1.3 ,-3.0, 0.3
"Limestone County",01083,***,4.4 ,2.7, 6.8,4,falling,-2.1 ,-3.9, -0.3
"Tuscaloosa County",01125,***,4.3 ,3, 5.8,8,falling,-3.6 ,-5.4, -1.8
"Barbour County",01005,***,* ,*, *,3 or fewer,*,*,*,*
"Bibb County",01007,***,* ,*, *,3 or fewer,*,*,*,*
"Bullock County",01011,***,* ,*, *,3 or fewer,*,*,*,*
"Butler County",01013,***,* ,*, *,3 or fewer,*,*,*,*
"Chambers County",01017,***,* ,*, *,3 or fewer,*,*,*,*
"Cherokee County",01019,***,* ,*, *,3 or fewer,*,*,*,*
"Choctaw County",01023,***,* ,*, *,3 or fewer,*,*,*,*
"Clarke County",01025,***,* ,*, *,3 or fewer,*,*,*,*
"Clay County",01027,***,* ,*, *,3 or fewer,*,*,*,*
"Cleburne County",01029,***,* ,*, *,3 or fewer,*,*,*,*
