------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=01&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Alabama by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Alabama",01000,4.7,154405,"34 of 52"
"United States",00000,5.4,11759554,"N/A"
"Shelby County",01117,2.5,3520,"564 of 3141"
"Baldwin County",01003,2.6,3673,"608 of 3141"
"Madison County",01089,3.0,7075,"858 of 3141"
"Autauga County",01001,3.0,1089,"868 of 3141"
"Jefferson County",01073,3.0,13549,"920 of 3141"
"Tuscaloosa County",01125,3.1,3899,"961 of 3141"
"Lee County",01081,3.6,3306,"1219 of 3141"
"Mobile County",01097,3.6,10006,"1246 of 3141"
"Elmore County",01051,4.1,2282,"1501 of 3141"
"Houston County",01069,4.3,3070,"1577 of 3141"
"Montgomery County",01101,4.4,6557,"1613 of 3141"
"Lauderdale County",01077,4.4,2805,"1639 of 3141"
"Pike County",01109,4.4,873,"1641 of 3141"
"Bullock County",01011,4.5,331,"1659 of 3141"
"Dallas County",01047,4.6,1235,"1716 of 3141"
"Tallapoosa County",01123,4.7,1350,"1763 of 3141"
"Sumter County",01119,4.7,391,"1778 of 3141"
"Coffee County",01031,4.8,1666,"1795 of 3141"
"St. Clair County",01115,4.8,2898,"1799 of 3141"
"Macon County",01087,4.8,594,"1809 of 3141"
"Colbert County",01033,4.8,1859,"1810 of 3141"
"Dale County",01045,4.9,1636,"1842 of 3141"
"Calhoun County",01015,5.0,3945,"1862 of 3141"
"Hale County",01065,5.2,526,"1907 of 3141"
"Etowah County",01055,5.4,3840,"1978 of 3141"
"Washington County",01129,5.4,628,"1994 of 3141"
"Clarke County",01025,5.4,919,"2000 of 3141"
"Bibb County",01007,5.6,887,"2058 of 3141"
"Escambia County",01053,5.6,1460,"2078 of 3141"
"Russell County",01113,5.8,2243,"2137 of 3141"
"Chilton County",01021,5.9,1751,"2169 of 3141"
"Chambers County",01017,6.1,1436,"2218 of 3141"
"Limestone County",01083,6.1,3841,"2226 of 3141"
"Marengo County",01091,6.2,841,"2259 of 3141"
"Pickens County",01107,6.2,887,"2266 of 3141"
"Perry County",01105,6.3,367,"2281 of 3141"
"Wilcox County",01131,6.3,456,"2294 of 3141"
"Lowndes County",01085,6.4,449,"2312 of 3141"
"Cullman County",01043,6.4,3615,"2318 of 3141"
"Monroe County",01099,6.4,946,"2323 of 3141"
"Jackson County",01071,6.5,2397,"2343 of 3141"
"Butler County",01013,6.5,904,"2344 of 3141"
"Morgan County",01103,6.6,5403,"2368 of 3141"
"Choctaw County",01023,6.6,628,"2386 of 3141"
"Covington County",01039,6.7,1758,"2389 of 3141"
"Talladega County",01121,6.7,3743,"2396 of 3141"
"Henry County",01067,7.0,846,"2459 of 3141"
"Cherokee County",01019,7.1,1326,"2481 of 3141"
"Coosa County",01037,7.1,579,"2498 of 3141"
"Conecuh County",01035,7.2,629,"2509 of 3141"
"Fayette County",01057,7.2,846,"2525 of 3141"
"Blount County",01009,7.3,2893,"2545 of 3141"
"Geneva County",01061,7.3,1370,"2548 of 3141"
"Cleburne County",01029,7.4,771,"2564 of 3141"
"Walker County",01127,7.5,3402,"2577 of 3141"
"Lamar County",01075,7.5,749,"2580 of 3141"
"Lawrence County",01079,7.5,1763,"2584 of 3141"
"Marion County",01093,7.6,1619,"2588 of 3141"
"Greene County",01063,7.9,458,"2627 of 3141"
"Winston County",01133,8.0,1385,"2646 of 3141"
"Crenshaw County",01041,8.3,793,"2682 of 3141"
"Marshall County",01095,8.4,5328,"2698 of 3141"
"Barbour County",01005,8.5,1572,"2718 of 3141"
"Randolph County",01111,8.6,1347,"2736 of 3141"
"DeKalb County",01049,11.6,5551,"2965 of 3141"
"Franklin County",01059,11.8,2441,"2970 of 3141"
"Clay County",01027,12.7,1203,"3010 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
