------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=01&areatype=county&cancer=001&race=07&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'cancer': '001', 'race': '07', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=01&areatype=county&cancer=001&race=07&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alabama by County

"All Cancer Sites (All Stages^), 2012-2016"

"White Non-Hispanic, Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alabama(6,10)",01000,***,453.8 ,450.9, 456.7,19666,stable,-0.3 ,-2.0, 1.3
"US (SEER+NPCR) &sect; (1,10)",00000,***,464.2 ,463.8, 464.6,1254697,stable,-0.7 ,-1.6, 0.1
"Greene County(6,10)",01063,***,606 ,456.5, 798,16,stable,-9.3 ,-26.7, 12.1
"Lowndes County(6,10)",01085,***,555.8 ,454, 677.9,25,rising,20.1 ,12.4, 28.3
"Chambers County(6,10)",01017,***,552.8 ,513.5, 594.6,165,stable,-2.5 ,-12.4, 8.6
"Wilcox County(6,10)",01131,***,546.5 ,446.3, 665.9,27,stable,2.8 ,-2.2, 8.1
"Dallas County(6,10)",01047,***,523.7 ,474.2, 577.6,100,stable,2.8 ,-12.7, 21.0
"Russell County(6,10)",01113,***,520.1 ,486.6, 555.4,189,stable,-1.9 ,-9.0, 5.8
"Walker County(6,10)",01127,***,511.2 ,488.7, 534.6,416,stable,-0.3 ,-3.0, 2.5
"Macon County(6,10)",01087,***,510.8 ,424, 613.7,27,stable,3.2 ,-21.0, 34.8
"Bullock County(6,10)",01011,***,502.9 ,401.9, 628.1,19,stable,-9.0 ,-26.2, 12.3
"Lawrence County(6,10)",01079,***,490.8 ,457.8, 525.8,174,stable,0.7 ,-11.1, 14.0
"Autauga County(6,10)",01001,***,489.2 ,461.8, 517.9,245,stable,0.9 ,-8.0, 10.7
"Elmore County(6,10)",01051,***,488.3 ,465.4, 512,364,rising,4.5 ,1.7, 7.4
"Lamar County(6,10)",01075,***,484.8 ,439.2, 534.4,89,stable,4.5 ,-1.5, 11.0
"Etowah County(6,10)",01055,***,481.2 ,462.8, 500.1,553,stable,1.7 ,-2.9, 6.6
"Covington County(6,10)",01039,***,479.6 ,450.2, 510.7,219,stable,-0.2 ,-7.7, 7.9
"St. Clair County(6,10)",01115,***,476.8 ,456.7, 497.6,445,stable,-0.4 ,-2.8, 2.1
"Morgan County(6,10)",01103,***,475.9 ,458.7, 493.7,610,stable,-0.9 ,-5.0, 3.5
"Sumter County(6,10)",01119,***,474.8 ,376.2, 593.4,21,stable,2.9 ,-4.3, 10.7
"Crenshaw County(6,10)",01041,***,474.4 ,423.2, 530.8,67,rising,10.6 ,3.4, 18.2
"Bibb County(6,10)",01007,***,474.3 ,433.1, 518.6,103,stable,-1.1 ,-11.1, 9.9
"Marion County(6,10)",01093,***,472.8 ,442.1, 505.3,192,stable,-0.5 ,-6.6, 5.9
"Limestone County(6,10)",01083,***,470.3 ,449.7, 491.6,411,stable,0.0 ,-4.6, 4.8
"Pike County(6,10)",01109,***,466.5 ,426, 510,107,stable,1.7 ,-5.3, 9.2
"Clay County(6,10)",01027,***,464.5 ,416.4, 517.2,74,stable,1.0 ,-6.6, 9.3
"Dale County(6,10)",01045,***,464 ,436, 493.5,215,stable,2.4 ,-10.5, 17.1
"Talladega County(6,10)",01121,***,463.3 ,440.5, 487.1,336,stable,-0.8 ,-4.9, 3.3
"Barbour County(6,10)",01005,***,463.2 ,419.3, 511.1,91,stable,4.3 ,-7.9, 18.0
"Calhoun County(6,10)",01015,***,462.4 ,444.6, 480.9,538,stable,-0.1 ,-4.7, 4.7
"Clarke County(6,10)",01025,***,461.9 ,419.5, 508,96,stable,1.6 ,-2.6, 6.0
"Jackson County(6,10)",01071,***,461.7 ,438, 486.5,308,stable,-2.0 ,-11.4, 8.4
"Cleburne County(6,10)",01029,***,461.2 ,417.6, 508.5,87,stable,-1.6 ,-12.5, 10.8
"Mobile County(6,10)",01097,***,461 ,450.2, 472,1466,falling,-2.3 ,-3.9, -0.7
"Marshall County(6,10)",01095,***,460.7 ,441.9, 480.1,487,stable,-1.1 ,-5.2, 3.3
"Geneva County(6,10)",01061,***,459 ,425.8, 494.3,152,stable,2.3 ,-8.4, 14.3
"Jefferson County(6,10)",01073,***,453.4 ,444.4, 462.5,2075,stable,-1.0 ,-3.4, 1.5
"Baldwin County(6,10)",01003,***,452.3 ,439.9, 465,1090,stable,-1.8 ,-4.7, 1.2
"Madison County(6,10)",01089,***,451.8 ,440.8, 462.9,1355,stable,2.7 ,-0.3, 5.8
"Franklin County(6,10)",01059,***,451.7 ,418.9, 486.4,151,stable,1.9 ,-7.1, 11.8
"Houston County(6,10)",01069,***,449 ,429.8, 468.8,441,stable,0.5 ,-3.1, 4.3
"Henry County(6,10)",01067,***,448.9 ,403.9, 498.1,81,stable,-6.2 ,-12.5, 0.5
"Tallapoosa County(6,10)",01123,***,443.2 ,414.2, 473.8,197,stable,-2.2 ,-6.4, 2.1
"Escambia County(6,10)",01053,***,442.3 ,410, 476.9,147,stable,-1.1 ,-8.6, 7.1
"Cullman County(6,10)",01043,***,441.3 ,422.6, 460.7,445,stable,-0.9 ,-5.5, 4.0
"Blount County(6,10)",01009,***,440.4 ,417.7, 464,300,stable,0.0 ,-4.4, 4.6
"Conecuh County(6,10)",01035,***,439.4 ,379.7, 507.1,47,stable,4.6 ,-7.9, 18.8
"Montgomery County(6,10)",01101,***,437.8 ,420.7, 455.4,546,rising,3.0 ,0.5, 5.7
"Washington County(6,10)",01129,***,437 ,389.7, 488.9,67,falling,-10.8 ,-17.8, -3.1
"Marengo County(6,10)",01091,***,436.2 ,385.7, 492.2,62,stable,-3.2 ,-12.3, 6.9
"Colbert County(6,10)",01033,***,434.1 ,410.1, 459.3,265,stable,0.8 ,-3.7, 5.4
"Fayette County(6,10)",01057,***,433.6 ,392.8, 477.9,90,stable,1.0 ,-2.6, 4.8
"Tuscaloosa County(6,10)",01125,***,431.3 ,415.8, 447.3,617,stable,-2.4 ,-5.2, 0.5
"Winston County(6,10)",01133,***,430.5 ,398.1, 465.2,143,stable,-0.8 ,-7.3, 6.2
"Monroe County(6,10)",01099,***,425.1 ,381.4, 473.1,77,stable,-0.5 ,-15.4, 17.1
"Chilton County(6,10)",01021,***,425.1 ,398.1, 453.6,195,stable,-3.0 ,-10.4, 5.1
"Coffee County(6,10)",01031,***,425 ,399, 452.4,208,stable,-1.5 ,-10.3, 8.1
"Lauderdale County(6,10)",01077,***,424.3 ,406.7, 442.5,474,stable,1.6 ,-3.0, 6.4
"Randolph County(6,10)",01111,***,423.3 ,386.5, 463.1,108,stable,-2.3 ,-13.1, 9.9
"Pickens County(6,10)",01107,***,420.6 ,375.1, 470.7,70,stable,4.4 ,-9.5, 20.4
"Shelby County(6,10)",01117,***,419.9 ,406.8, 433.3,824,stable,-3.4 ,-8.8, 2.3
"Cherokee County(6,10)",01019,***,417.2 ,386.5, 450,151,stable,-7.3 ,-16.8, 3.3
"DeKalb County(6,10)",01049,***,399.4 ,379.3, 420.3,319,stable,0.2 ,-5.2, 6.0
"Lee County(6,10)",01081,***,396.9 ,379.3, 415.2,398,stable,-0.1 ,-8.0, 8.4
"Butler County(6,10)",01013,***,394.7 ,350.8, 443.3,67,stable,2.8 ,-12.5, 20.8
"Perry County(6,10)",01105,***,390.4 ,309.2, 491.5,20,stable,-0.4 ,-16.4, 18.6
"Choctaw County(6,10)",01023,***,385.1 ,333.8, 443,45,stable,0.7 ,-15.2, 19.5
"Coosa County(6,10)",01037,***,357.4 ,308.4, 413.4,44,stable,3.3 ,-22.8, 38.2
"Hale County(6,10)",01065,***,355.5 ,301.3, 417.9,34,stable,-9.4 ,-19.3, 1.7

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:15 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

