------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=01&areatype=county&cancer=086&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '01', 'areatype': 'county', 'cancer': '086', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_051.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=01&areatype=county&cancer=086&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Alabama by County

"Non-Hodgkin Lymphoma (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Alabama(6)",01000,***,9 ,8.6, 9.3,509,55.4
"US (SEER+NPCR)(1)",00000,***,12 ,12, 12.1,43387,62.8
"Chambers County(6)",01017,***,15.2 ,10.2, 21.8,6,71.1
"Russell County(6)",01113,***,13.4 ,9.5, 18.2,8,82.0
"Tallapoosa County(6)",01123,***,12.8 ,8.8, 18.2,7,57.4
"Lawrence County(6)",01079,***,12.8 ,8.2, 19,5,61.4
"Henry County(6)",01067,***,12.6 ,6.9, 21.6,3,80.0
"Walker County(6)",01127,***,12.3 ,9.1, 16.4,10,70.8
"Morgan County(6)",01103,***,11.4 ,9, 14.2,16,54.7
"Jackson County(6)",01071,***,11.1 ,7.8, 15.5,8,60.3
"Madison County(6)",01089,***,10.9 ,9.5, 12.6,42,54.7
"Blount County(6)",01009,***,10.9 ,7.7, 15.2,8,64.4
"Cherokee County(6)",01019,***,10.8 ,6.3, 17.6,4,67.9
"Limestone County(6)",01083,***,10.3 ,7.7, 13.7,10,52.5
"Dale County(6)",01045,***,10.3 ,6.8, 14.9,6,67.4
"Dallas County(6)",01047,***,10.2 ,6.5, 15.3,5,69.4
"Tuscaloosa County(6)",01125,***,10.1 ,8.1, 12.3,19,71.3
"Barbour County(6)",01005,***,9.9 ,5.5, 16.6,3,69.6
"Autauga County(6)",01001,***,9.9 ,6.5, 14.3,6,67.4
"Marion County(6)",01093,***,9.8 ,5.9, 15.4,4,61.8
"Cullman County(6)",01043,***,9.7 ,7.2, 12.9,10,61.2
"Geneva County(6)",01061,***,9.6 ,5.3, 16.2,3,72.7
"Houston County(6)",01069,***,9.2 ,7, 12,12,65.9
"Jefferson County(6)",01073,***,9.2 ,8.2, 10.2,68,56.3
"Montgomery County(6)",01101,***,9 ,7.4, 10.8,23,54.9
"Covington County(6)",01039,***,8.9 ,5.1, 14.3,4,55.9
"St. Clair County(6)",01115,***,8.6 ,6.2, 11.7,8,56.0
