------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '02', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'death', 'file_name': 'deathrates_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=02&areatype=county&cancer=001&race=00&sex=1&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for  by Borough or Census Area

"All Cancer Sites, 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Borough Or Census Area, FIPS,Met Healthy People Objective of 161.4?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Alaska",02900,No,188.1 ,180.1, 196.3,531,falling,-1.4 ,-1.7, -1.1
"United States",00000,No,193.1 ,192.8, 193.4,310576,falling,-1.8 ,-1.8, -1.8
"North Slope Borough",02185,No,395.6 ,253.8, 575.7,9,stable,0.1 ,-3.1, 3.3
"Yukon-Koyukuk Census Area",02290,No,337 ,245.2, 451.6,10,stable,2.0 ,-0.1, 4.1
"Nome Census Area",02180,No,321.3 ,223.4, 442.8,10,stable,0.9 ,-1.4, 3.2
"Wade Hampton Census Area",02270,No,288.1 ,164, 456.7,5,*,*,*,*
"Bethel Census Area",02050,No,258.6 ,185.6, 347,11,stable,0.7 ,-1.3, 2.8
"Kodiak Island Borough",02150,No,222.4 ,150.8, 311.8,9,stable,-1.9 ,-4.0, 0.3
"Wrangell-Petersburg Census Area",02280,No,214.6 ,153.3, 294.7,9,stable,-0.2 ,-1.5, 1.2
"Valdez-Cordova Census Area",02261,No,214.4 ,142.6, 306.5,9,stable,-1.3 ,-3.8, 1.2
"Southeast Fairbanks Census Area",02240,No,205.6 ,129.3, 306.3,6,stable,-0.7 ,-3.4, 2.2
"Matanuska-Susitna Borough",02170,No,204.7 ,182.2, 228.9,81,falling,-1.0 ,-1.9, -0.1
"Juneau City and Borough",02110,No,198.5 ,160.7, 241.9,25,stable,-1.0 ,-2.2, 0.2
"Sitka City and Borough",02220,No,186.5 ,130, 258.8,8,stable,-1.1 ,-3.3, 1.1
"Skagway-Hoonah-Angoon Census Area (3)",02232,No,181.4 ,109, 291.4,4,*,*,*,*
"Anchorage Municipality",02020,No,178.3 ,165.8, 191.5,186,falling,-1.9 ,-2.6, -1.3
"Kenai Peninsula Borough",02122,No,176.5 ,154.3, 201.1,56,falling,-2.2 ,-3.1, -1.3
"Fairbanks North Borough",02090,No,171.7 ,149.8, 195.7,58,falling,-7.2 ,-11.6, -2.7
"Prince of Wales-Outer Ketchikan Census Area",02201,No,163.5 ,103.6, 245.2,6,stable,-0.2 ,-4.1, 3.8
"Northwest Arctic Borough",02188,Yes,159.5 ,87.1, 262.4,4,falling,-3.0 ,-5.8, -0.2
"Dillingham Census Area (3)",02070,Yes,149.3 ,80.2, 252,3,stable,0.5 ,-3.8, 4.9
"Ketchikan Gateway Borough",02130,Yes,137.3 ,97.5, 187.4,9,falling,-22.6 ,-38.9, -2.0
"Aleutians East Borough (3)",02013,***,* ,*, *,3 or fewer,*,*,*,*
"Aleutians West Census Area (3)",02016,***,* ,*, *,3 or fewer,*,*,*,*
"Bristol Bay Borough",02060,***,* ,*, *,3 or fewer,*,*,*,*
