------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=05&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'cancer': '071', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=05&areatype=county&cancer=071&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Arkansas by County

"Bladder, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Arkansas",05000,***,4.7 ,4.4, 5,167,rising,0.6 ,0.1, 1.2
"United States",00000,***,4.4 ,4.3, 4.4,15935,stable,0.0 ,-0.1, 0.0
"Cleburne County",05023,***,8.6 ,4.9, 14.4,4,*,*,*,*
"Crawford County",05033,***,6.7 ,4.3, 10.1,5,*,*,*,*
"Saline County",05125,***,6.2 ,4.5, 8.5,9,*,*,*,*
"Baxter County",05005,***,5.6 ,3.6, 8.9,5,stable,0.6 ,-2.0, 3.3
"Pope County",05115,***,5.3 ,3.2, 8.5,4,*,*,*,*
"Faulkner County",05045,***,5.3 ,3.4, 7.7,5,stable,0.6 ,-1.7, 3.1
"Lonoke County",05085,***,5.2 ,3, 8.2,4,*,*,*,*
"Jefferson County",05069,***,5.1 ,3.1, 7.9,4,*,*,*,*
"Pulaski County",05119,***,4.9 ,4, 6,21,stable,0.1 ,-1.3, 1.5
"Washington County",05143,***,4.5 ,3.2, 6.1,8,stable,-1.1 ,-3.1, 1.0
"Benton County",05007,***,4.3 ,3.2, 5.6,10,stable,-0.4 ,-2.3, 1.6
"Craighead County",05031,***,4.2 ,2.6, 6.4,4,stable,-0.1 ,-2.7, 2.6
"White County",05145,***,4.2 ,2.5, 6.6,4,*,*,*,*
"Garland County",05051,***,4.1 ,2.9, 5.9,7,stable,-0.6 ,-2.6, 1.5
"Sebastian County",05131,***,3.9 ,2.6, 5.7,5,stable,0.5 ,-2.2, 3.2
"Arkansas County",05001,***,* ,*, *,3 or fewer,*,*,*,*
"Ashley County",05003,***,* ,*, *,3 or fewer,*,*,*,*
"Boone County",05009,***,* ,*, *,3 or fewer,*,*,*,*
"Bradley County",05011,***,* ,*, *,3 or fewer,*,*,*,*
"Calhoun County",05013,***,* ,*, *,3 or fewer,*,*,*,*
"Carroll County",05015,***,* ,*, *,3 or fewer,*,*,*,*
"Chicot County",05017,***,* ,*, *,3 or fewer,*,*,*,*
"Clark County",05019,***,* ,*, *,3 or fewer,*,*,*,*
"Clay County",05021,***,* ,*, *,3 or fewer,*,*,*,*
"Cleveland County",05025,***,* ,*, *,3 or fewer,*,*,*,*
"Columbia County",05027,***,* ,*, *,3 or fewer,*,*,*,*
"Conway County",05029,***,* ,*, *,3 or fewer,*,*,*,*
"Crittenden County",05035,***,* ,*, *,3 or fewer,*,*,*,*
"Cross County",05037,***,* ,*, *,3 or fewer,*,*,*,*
