------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Arkansas",05000,47.5,1414500,"28 of 52"
"Washington County",05143,38.4,85843,"3039 of 3141"
"Faulkner County",05045,40.4,48988,"2963 of 3141"
"Craighead County",05031,42.1,43896,"2884 of 3141"
"Benton County",05007,43.1,108541,"2832 of 3141"
"Sevier County",05133,43.7,7517,"2781 of 3141"
"Crittenden County",05035,43.8,21582,"2773 of 3141"
"Lonoke County",05085,44.0,31524,"2751 of 3141"
"Pope County",05115,44.5,28224,"2708 of 3141"
"Clark County",05019,44.8,10077,"2681 of 3141"
"Pulaski County",05119,45.6,179264,"2597 of 3141"
"White County",05145,45.7,36005,"2591 of 3141"
"Columbia County",05027,45.8,10994,"2579 of 3141"
"Mississippi County",05093,45.9,19993,"2567 of 3141"
"Phillips County",05107,46.9,9154,"2448 of 3141"
"Johnson County",05071,47.0,12285,"2438 of 3141"
"Sebastian County",05131,47.0,59912,"2432 of 3141"
"Drew County",05043,47.0,8760,"2430 of 3141"
"Greene County",05055,47.5,21006,"2354 of 3141"
"Lincoln County",05079,47.6,6604,"2349 of 3141"
"Howard County",05061,47.8,6446,"2299 of 3141"
"St. Francis County",05123,47.9,12774,"2296 of 3141"
"Miller County",05091,48.3,21150,"2215 of 3141"
"Crawford County",05033,48.4,30087,"2197 of 3141"
"Hempstead County",05057,48.8,10806,"2143 of 3141"
"Jefferson County",05069,48.8,34833,"2138 of 3141"
"Saline County",05125,48.8,56785,"2126 of 3141"
"Poinsett County",05111,49.6,11944,"2000 of 3141"
"Yell County",05149,49.6,10717,"1985 of 3141"
"Union County",05139,49.7,19884,"1974 of 3141"
"Independence County",05063,49.8,18466,"1953 of 3141"
"Grant County",05053,49.9,9024,"1921 of 3141"
"Desha County",05041,50.2,6068,"1874 of 3141"
"Jackson County",05067,50.9,8863,"1703 of 3141"
"Arkansas County",05001,50.9,9335,"1698 of 3141"
"Cross County",05037,50.9,8732,"1696 of 3141"
"Bradley County",05011,51.0,5610,"1662 of 3141"
"Conway County",05029,51.1,10708,"1645 of 3141"
"Ashley County",05003,51.5,10689,"1558 of 3141"
"Lee County",05077,51.9,4989,"1455 of 3141"
"Franklin County",05047,51.9,9242,"1450 of 3141"
"Lawrence County",05075,52.0,8719,"1437 of 3141"
"Hot Spring County",05059,52.1,17441,"1403 of 3141"
"Scott County",05127,52.2,5527,"1371 of 3141"
"Logan County",05083,52.4,11433,"1309 of 3141"
"Boone County",05009,52.6,19561,"1280 of 3141"
"Pike County",05109,52.6,5728,"1273 of 3141"
"Madison County",05087,52.8,8393,"1233 of 3141"
"Randolph County",05121,53.1,9304,"1145 of 3141"
"Nevada County",05099,53.2,4539,"1125 of 3141"
"Ouachita County",05103,53.4,13030,"1077 of 3141"
"Cleveland County",05025,53.6,4462,"1047 of 3141"
"Little River County",05081,53.8,6725,"991 of 3141"
"Clay County",05021,54.0,8203,"957 of 3141"
"Chicot County",05017,54.0,5949,"949 of 3141"
"Polk County",05113,54.3,10968,"908 of 3141"
"Perry County",05105,54.6,5637,"830 of 3141"
"Calhoun County",05013,54.7,2841,"817 of 3141"
"Garland County",05051,55.3,54185,"708 of 3141"
"Carroll County",05015,55.3,15377,"703 of 3141"
"Dallas County",05039,55.4,4205,"690 of 3141"
"Woodruff County",05147,56.0,3786,"614 of 3141"
"Lafayette County",05073,57.0,4021,"484 of 3141"
"Prairie County",05117,57.0,4740,"481 of 3141"
"Searcy County",05129,57.5,4553,"421 of 3141"
"Sharp County",05135,57.9,9860,"385 of 3141"
"Van Buren County",05141,58.1,9730,"362 of 3141"
"Newton County",05101,58.2,4597,"353 of 3141"
"Monroe County",05095,58.5,4344,"317 of 3141"
"Stone County",05137,58.8,7321,"294 of 3141"
"Izard County",05065,58.9,7958,"290 of 3141"
"Fulton County",05049,59.2,7159,"272 of 3141"
"Cleburne County",05023,59.4,15064,"254 of 3141"
"Montgomery County",05097,62.3,5645,"126 of 3141"
"Baxter County",05005,62.6,25727,"113 of 3141"
"Marion County",05089,63.8,10447,"77 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
