------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Arkansas",05000,77.3,2302141,"28 of 52"
"Phillips County",05107,36.2,7073,"3062 of 3141"
"Jefferson County",05069,40.6,28952,"3036 of 3141"
"St. Francis County",05123,41.3,11016,"3032 of 3141"
"Lee County",05077,41.9,4032,"3025 of 3141"
"Chicot County",05017,43.2,4753,"3012 of 3141"
"Crittenden County",05035,44.8,22100,"3002 of 3141"
"Desha County",05041,48.6,5875,"2962 of 3141"
"Dallas County",05039,55.0,4169,"2899 of 3141"
"Monroe County",05095,55.8,4142,"2886 of 3141"
"Pulaski County",05119,57.1,224285,"2866 of 3141"
"Ouachita County",05103,57.2,13949,"2865 of 3141"
"Hempstead County",05057,59.6,13204,"2825 of 3141"
"Lafayette County",05073,60.0,4234,"2815 of 3141"
"Columbia County",05027,60.7,14556,"2808 of 3141"
"Mississippi County",05093,60.9,26522,"2803 of 3141"
"Bradley County",05011,62.3,6850,"2769 of 3141"
"Nevada County",05099,63.8,5437,"2730 of 3141"
"Sevier County",05133,64.4,11079,"2717 of 3141"
"Union County",05139,64.5,25808,"2714 of 3141"
"Lincoln County",05079,66.7,9256,"2664 of 3141"
"Howard County",05061,66.7,8984,"2663 of 3141"
"Drew County",05043,68.8,12803,"2595 of 3141"
"Woodruff County",05147,69.7,4713,"2572 of 3141"
"Miller County",05091,70.6,30876,"2541 of 3141"
"Ashley County",05003,71.9,14939,"2509 of 3141"
"Clark County",05019,72.0,16186,"2507 of 3141"
"Arkansas County",05001,72.2,13255,"2502 of 3141"
"Little River County",05081,73.8,9223,"2455 of 3141"
"Cross County",05037,74.4,12763,"2438 of 3141"
"Calhoun County",05013,76.1,3951,"2381 of 3141"
"Sebastian County",05131,77.7,98970,"2327 of 3141"
"Washington County",05143,77.8,174108,"2319 of 3141"
"Jackson County",05067,79.5,13851,"2242 of 3141"
"Craighead County",05031,79.9,83290,"2219 of 3141"
"Yell County",05149,80.8,17458,"2178 of 3141"
"Faulkner County",05045,82.5,100115,"2099 of 3141"
"Hot Spring County",05059,84.9,28419,"1977 of 3141"
"Conway County",05029,85.2,17846,"1967 of 3141"
"Prairie County",05117,85.3,7088,"1957 of 3141"
"Garland County",05051,85.7,83955,"1940 of 3141"
"Cleveland County",05025,86.4,7197,"1887 of 3141"
"Benton County",05007,88.1,221937,"1743 of 3141"
"Poinsett County",05111,88.7,21378,"1667 of 3141"
"Lonoke County",05085,89.1,63760,"1638 of 3141"
"Pike County",05109,89.5,9749,"1599 of 3141"
"Saline County",05125,89.6,104143,"1593 of 3141"
"Crawford County",05033,89.6,55677,"1589 of 3141"
"Scott County",05127,89.7,9499,"1578 of 3141"
"White County",05145,91.1,71712,"1438 of 3141"
"Pope County",05115,91.2,57766,"1434 of 3141"
"Polk County",05113,91.7,18535,"1364 of 3141"
"Montgomery County",05097,91.7,8311,"1359 of 3141"
"Johnson County",05071,91.9,24040,"1336 of 3141"
"Logan County",05083,92.0,20058,"1317 of 3141"
"Independence County",05063,92.2,34197,"1294 of 3141"
"Carroll County",05015,92.7,25751,"1231 of 3141"
"Perry County",05105,93.4,9641,"1113 of 3141"
"Franklin County",05047,94.5,16820,"930 of 3141"
"Searcy County",05129,94.5,7489,"927 of 3141"
"Madison County",05087,94.6,15046,"905 of 3141"
"Izard County",05065,94.9,12830,"848 of 3141"
"Sharp County",05135,95.2,16218,"794 of 3141"
"Grant County",05053,95.2,17207,"787 of 3141"
"Newton County",05101,95.5,7545,"726 of 3141"
"Greene County",05055,95.7,42279,"696 of 3141"
"Van Buren County",05141,95.7,16032,"682 of 3141"
"Clay County",05021,96.3,14621,"537 of 3141"
"Randolph County",05121,96.3,16860,"533 of 3141"
"Marion County",05089,96.3,15767,"526 of 3141"
"Boone County",05009,96.3,35843,"519 of 3141"
"Baxter County",05005,96.4,39599,"507 of 3141"
"Fulton County",05049,96.5,11667,"486 of 3141"
"Stone County",05137,96.5,12006,"485 of 3141"
"Lawrence County",05075,96.9,16262,"346 of 3141"
"Cleburne County",05023,97.1,24614,"311 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
