------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Arkansas",05000,18.1,524211,"47 of 52"
"Saline County",05125,8.0,9210,"240 of 3141"
"Benton County",05007,10.5,26096,"621 of 3141"
"Lonoke County",05085,12.3,8709,"972 of 3141"
"Baxter County",05005,12.6,5117,"1028 of 3141"
"Dallas County",05039,13.2,906,"1155 of 3141"
"Grant County",05053,14.4,2579,"1426 of 3141"
"Cleburne County",05023,15.4,3829,"1605 of 3141"
"Carroll County",05015,15.7,4331,"1684 of 3141"
"Boone County",05009,15.8,5767,"1688 of 3141"
"Hot Spring County",05059,15.8,4941,"1695 of 3141"
"Greene County",05055,15.9,6879,"1710 of 3141"
"Faulkner County",05045,16.3,18989,"1787 of 3141"
"White County",05145,16.6,12354,"1837 of 3141"
"Crawford County",05033,16.6,10196,"1861 of 3141"
"Prairie County",05117,16.8,1364,"1894 of 3141"
"Pike County",05109,17.3,1852,"2009 of 3141"
"Pulaski County",05119,17.3,67056,"2011 of 3141"
"Searcy County",05129,17.4,1364,"2028 of 3141"
"Izard County",05065,17.7,2238,"2086 of 3141"
"Madison County",05087,17.8,2797,"2094 of 3141"
"Perry County",05105,17.8,1808,"2097 of 3141"
"Newton County",05101,17.8,1392,"2101 of 3141"
"Yell County",05149,17.8,3792,"2108 of 3141"
"Lincoln County",05079,17.9,1620,"2122 of 3141"
"Washington County",05143,18.0,38855,"2149 of 3141"
"Cross County",05037,18.0,3041,"2157 of 3141"
"Montgomery County",05097,18.1,1613,"2163 of 3141"
"Craighead County",05031,18.3,18298,"2195 of 3141"
"Lawrence County",05075,18.4,2976,"2218 of 3141"
"Independence County",05063,18.5,6628,"2220 of 3141"
"Conway County",05029,18.5,3845,"2231 of 3141"
"Little River County",05081,18.8,2291,"2276 of 3141"
"Garland County",05051,19.1,18300,"2308 of 3141"
"Cleveland County",05025,19.3,1589,"2344 of 3141"
"Marion County",05089,19.5,3165,"2369 of 3141"
"Calhoun County",05013,19.6,986,"2371 of 3141"
"Van Buren County",05141,19.6,3250,"2385 of 3141"
"Pope County",05115,19.8,11841,"2416 of 3141"
"Union County",05139,20.1,7936,"2443 of 3141"
"Logan County",05083,20.2,4326,"2454 of 3141"
"Scott County",05127,20.5,2142,"2476 of 3141"
"Arkansas County",05001,20.7,3735,"2503 of 3141"
"Randolph County",05121,20.9,3557,"2528 of 3141"
"Miller County",05091,21.0,8891,"2537 of 3141"
"Howard County",05061,21.0,2790,"2545 of 3141"
"Sevier County",05133,21.2,3597,"2557 of 3141"
"Ashley County",05003,21.3,4368,"2571 of 3141"
"Poinsett County",05111,21.4,5036,"2585 of 3141"
"Clark County",05019,21.5,4221,"2596 of 3141"
"Franklin County",05047,21.9,3829,"2644 of 3141"
"Clay County",05021,22.3,3339,"2673 of 3141"
"Sebastian County",05131,22.5,28211,"2694 of 3141"
"Johnson County",05071,22.5,5733,"2698 of 3141"
"Nevada County",05099,23.0,1920,"2734 of 3141"
"Fulton County",05049,23.0,2718,"2735 of 3141"
"Sharp County",05135,23.3,3904,"2771 of 3141"
"Crittenden County",05035,23.5,11422,"2778 of 3141"
"Lafayette County",05073,23.8,1632,"2795 of 3141"
"Stone County",05137,24.2,2983,"2816 of 3141"
"Drew County",05043,24.4,4246,"2825 of 3141"
"Jefferson County",05069,24.7,16140,"2846 of 3141"
"Columbia County",05027,25.1,5553,"2864 of 3141"
"Jackson County",05067,25.1,3592,"2865 of 3141"
"Hempstead County",05057,25.3,5539,"2884 of 3141"
"Mississippi County",05093,25.6,10921,"2899 of 3141"
"Woodruff County",05147,26.0,1721,"2910 of 3141"
"Ouachita County",05103,26.0,6231,"2911 of 3141"
"Bradley County",05011,26.4,2864,"2932 of 3141"
"Polk County",05113,26.6,5326,"2944 of 3141"
"Lee County",05077,27.3,2173,"2971 of 3141"
"St. Francis County",05123,27.5,6363,"2979 of 3141"
"Monroe County",05095,28.6,2098,"3006 of 3141"
"Chicot County",05017,29.4,3041,"3022 of 3141"
"Desha County",05041,32.6,3886,"3074 of 3141"
"Phillips County",05107,33.0,6363,"3078 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
