------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=05&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Arkansas by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Arkansas",05000,6.3,85128,"25 of 52"
"United States",00000,6.6,10560305,"N/A"
"Benton County",05007,3.1,3805,"336 of 3141"
"Randolph County",05121,3.5,238,"447 of 3141"
"Searcy County",05129,3.6,115,"490 of 3141"
"Newton County",05101,4.0,130,"624 of 3141"
"Saline County",05125,4.3,2522,"744 of 3141"
"Montgomery County",05097,4.4,148,"754 of 3141"
"Clark County",05019,4.5,484,"819 of 3141"
"Madison County",05087,4.5,309,"827 of 3141"
"Johnson County",05071,4.7,519,"931 of 3141"
"Lonoke County",05085,4.8,1647,"966 of 3141"
"Nevada County",05099,4.8,167,"972 of 3141"
"Washington County",05143,4.9,5554,"1020 of 3141"
"Faulkner County",05045,5.1,3050,"1063 of 3141"
"Carroll County",05015,5.1,616,"1103 of 3141"
"Pike County",05109,5.1,242,"1108 of 3141"
"Clay County",05021,5.3,348,"1179 of 3141"
"Poinsett County",05111,5.4,538,"1215 of 3141"
"Cleburne County",05023,5.5,594,"1304 of 3141"
"Sebastian County",05131,5.6,3281,"1328 of 3141"
"Howard County",05061,5.7,338,"1396 of 3141"
"Calhoun County",05013,5.7,135,"1407 of 3141"
"Baxter County",05005,5.8,974,"1416 of 3141"
"Pulaski County",05119,5.9,11363,"1469 of 3141"
"Independence County",05063,6.0,973,"1534 of 3141"
"Craighead County",05031,6.0,3100,"1564 of 3141"
"Boone County",05009,6.1,1018,"1577 of 3141"
"Hot Spring County",05059,6.2,877,"1614 of 3141"
"Crawford County",05033,6.2,1702,"1644 of 3141"
"White County",05145,6.2,2141,"1648 of 3141"
"Yell County",05149,6.3,597,"1710 of 3141"
"Hempstead County",05057,6.4,605,"1754 of 3141"
"Dallas County",05039,6.4,200,"1760 of 3141"
"Perry County",05105,6.5,275,"1825 of 3141"
"Sevier County",05133,6.6,508,"1858 of 3141"
"Franklin County",05047,6.6,465,"1870 of 3141"
"Cleveland County",05025,6.6,237,"1871 of 3141"
"Sharp County",05135,6.7,423,"1928 of 3141"
"Cross County",05037,6.8,532,"1978 of 3141"
"Fulton County",05049,6.9,305,"1999 of 3141"
"Jackson County",05067,7.0,427,"2040 of 3141"
"Greene County",05055,7.0,1439,"2055 of 3141"
"Conway County",05029,7.1,641,"2084 of 3141"
"Pope County",05115,7.3,2143,"2169 of 3141"
"Prairie County",05117,7.6,283,"2260 of 3141"
"Marion County",05089,7.7,449,"2335 of 3141"
"Miller County",05091,8.0,1591,"2408 of 3141"
"Logan County",05083,8.1,731,"2439 of 3141"
"Lincoln County",05079,8.1,297,"2459 of 3141"
"Lawrence County",05075,8.2,575,"2476 of 3141"
"Union County",05139,8.3,1398,"2494 of 3141"
"Van Buren County",05141,8.3,508,"2498 of 3141"
"Ouachita County",05103,8.3,836,"2499 of 3141"
"Stone County",05137,8.3,393,"2513 of 3141"
"Lafayette County",05073,8.3,234,"2521 of 3141"
"Crittenden County",05035,8.4,1863,"2544 of 3141"
"Arkansas County",05001,8.5,738,"2568 of 3141"
"Polk County",05113,8.5,673,"2569 of 3141"
"Grant County",05053,8.7,717,"2595 of 3141"
"Drew County",05043,9.0,753,"2665 of 3141"
"Garland County",05051,9.0,3947,"2673 of 3141"
"Monroe County",05095,9.1,294,"2682 of 3141"
"Bradley County",05011,9.4,427,"2752 of 3141"
"Columbia County",05027,9.5,1038,"2770 of 3141"
"Izard County",05065,9.6,488,"2784 of 3141"
"Ashley County",05003,9.9,870,"2834 of 3141"
"Jefferson County",05069,10.0,2983,"2847 of 3141"
"St. Francis County",05123,10.0,966,"2853 of 3141"
"Woodruff County",05147,10.1,291,"2863 of 3141"
"Chicot County",05017,10.1,412,"2874 of 3141"
"Little River County",05081,10.3,530,"2889 of 3141"
"Scott County",05127,10.6,481,"2921 of 3141"
"Mississippi County",05093,11.6,2257,"2986 of 3141"
"Desha County",05041,12.2,618,"3021 of 3141"
"Lee County",05077,15.3,514,"3094 of 3141"
"Phillips County",05107,15.7,1248,"3100 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
