------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=05&areatype=county&cancer=055&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'cancer': '055', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=05&areatype=county&cancer=055&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Arkansas by County

"Breast (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Arkansas(6,10)",05000,***,117.5 ,115.2, 119.8,2153,stable,1.1 ,-1.7, 4.1
"US (SEER+NPCR)(1,10)",00000,***,125.2 ,124.9, 125.4,239297,stable,0.0 ,-0.8, 0.9
"Lee County(6,10)",05077,***,173.6 ,125.9, 234.5,10,rising,24.7 ,8.3, 43.5
"Woodruff County(6,10)",05147,***,154.1 ,104.4, 220.5,7,stable,-0.6 ,-47.3, 87.7
"Perry County(6,10)",05105,***,152.4 ,110.3, 205.7,10,stable,2.7 ,-6.0, 12.2
"Clay County(6,10)",05021,***,142.4 ,110.1, 181.7,15,stable,6.6 ,-10.2, 26.5
"Marion County(6,10)",05089,***,134.9 ,104.3, 172.7,19,stable,-6.8 ,-18.6, 6.7
"Dallas County(6,10)",05039,***,132.6 ,90.9, 188.6,7,stable,-2.5 ,-23.9, 24.8
"Washington County(6,10)",05143,***,131.9 ,122.2, 142.3,140,stable,2.1 ,-2.1, 6.5
"Baxter County(6,10)",05005,***,131.6 ,114.4, 151.2,53,stable,1.3 ,-18.8, 26.5
"Ashley County(6,10)",05003,***,130.1 ,104.1, 161.1,18,stable,8.9 ,-14.7, 38.9
"Phillips County(6,10)",05107,***,129 ,101.1, 162.4,16,stable,5.1 ,-23.4, 44.4
"Little River County(6,10)",05081,***,127.3 ,94.1, 169.1,11,stable,-13.6 ,-32.8, 11.2
"Cleburne County(6,10)",05023,***,126.8 ,104.2, 153.5,26,stable,1.3 ,-23.9, 34.8
"Sharp County(6,10)",05135,***,124.6 ,96.3, 159.5,16,stable,1.0 ,-32.9, 52.0
"Benton County(6,10)",05007,***,124.3 ,115.8, 133.1,165,stable,4.9 ,-2.7, 13.0
"Craighead County(6,10)",05031,***,124.1 ,111.1, 138.3,69,stable,6.0 ,-11.9, 27.6
"Lincoln County(6,10)",05079,***,122.1 ,87.6, 166.7,9,stable,-3.1 ,-38.4, 52.6
"Mississippi County(6,10)",05093,***,121.4 ,102.6, 142.7,31,stable,3.9 ,-16.8, 29.9
"Faulkner County(6,10)",05045,***,121.1 ,108.7, 134.5,72,stable,-2.6 ,-6.2, 1.1
"Conway County(6,10)",05029,***,120.8 ,95.2, 151.4,17,stable,-3.5 ,-25.2, 24.6
"Pulaski County(6,10)",05119,***,120.7 ,114.3, 127.3,283,stable,-5.1 ,-13.8, 4.6
"Sebastian County(6,10)",05131,***,120.4 ,109.3, 132.3,92,stable,8.9 ,-2.3, 21.4
"Boone County(6,10)",05009,***,120.2 ,101.5, 141.5,33,stable,12.8 ,-8.0, 38.4
"Union County(6,10)",05139,***,119.3 ,100.8, 140.3,32,stable,-3.3 ,-24.9, 24.5
"Jackson County(6,10)",05067,***,118.9 ,91.5, 152.4,14,stable,-0.7 ,-21.8, 25.9
"Garland County(6,10)",05051,***,118.8 ,107.4, 131.1,92,stable,5.2 ,-8.8, 21.4
"Madison County(6,10)",05087,***,118.5 ,88.6, 155.6,11,stable,12.8 ,-24.4, 68.1
"Carroll County(6,10)",05015,***,118.3 ,98, 142,27,stable,-1.7 ,-21.5, 23.0
