------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=05&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_032.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=05&areatype=county&cancer=001&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Arkansas by County

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Arkansas(6,10)",05000,***,532.9 ,527.8, 538,8782,stable,0.3 ,-1.3, 1.9
"US (SEER+NPCR)(1,10)",00000,***,488.8 ,488.3, 489.3,824195,falling,-1.4 ,-2.1, -0.7
"Woodruff County(6,10)",05147,***,670.8 ,562.8, 795,30,stable,7.4 ,-2.1, 17.8
"Calhoun County(6,10)",05013,***,652.2 ,536.8, 787.7,24,stable,-0.4 ,-28.0, 37.8
"Grant County(6,10)",05053,***,632.7 ,565.6, 705.9,69,stable,3.5 ,-8.9, 17.6
"Monroe County(6,10)",05095,***,627.9 ,532.8, 737,33,stable,9.4 ,-9.4, 32.1
"Cleveland County(6,10)",05025,***,619.8 ,527.3, 725.1,34,stable,10.6 ,-0.9, 23.5
"Ouachita County(6,10)",05103,***,616.5 ,561.3, 676.2,98,stable,7.4 ,-10.6, 28.9
"Bradley County(6,10)",05011,***,614.1 ,531.9, 706.2,42,stable,-3.2 ,-18.4, 14.8
"Prairie County(6,10)",05117,***,612.2 ,522.3, 714.7,37,stable,0.7 ,-10.4, 13.2
"Clark County(6,10)",05019,***,606.8 ,544.3, 674.8,72,stable,2.9 ,-10.0, 17.6
"Dallas County(6,10)",05039,***,604.6 ,512.1, 710.7,32,stable,-1.3 ,-13.0, 11.8
"Jefferson County(6,10)",05069,***,604.5 ,569.8, 640.9,245,stable,0.8 ,-4.6, 6.5
"Van Buren County(6,10)",05141,***,604 ,544, 669.7,82,stable,-1.5 ,-16.5, 16.1
"Poinsett County(6,10)",05111,***,596.7 ,539.4, 658.8,84,stable,4.5 ,-6.1, 16.3
"White County(6,10)",05145,***,590.5 ,557.1, 625.5,242,stable,-0.5 ,-3.4, 2.4
"Lonoke County(6,10)",05085,***,587.4 ,549.4, 627.3,195,stable,-1.3 ,-8.8, 6.9
"Garland County(6,10)",05051,***,584.9 ,558.7, 612.1,405,stable,0.4 ,-1.9, 2.9
"Lawrence County(6,10)",05075,***,584.5 ,519.3, 656.2,62,stable,11.8 ,0.0, 25.0
"Pulaski County(6,10)",05119,***,578.1 ,562.4, 594.1,1117,stable,-0.1 ,-5.1, 5.1
"Faulkner County(6,10)",05045,***,572.5 ,542.2, 604,289,stable,-1.2 ,-5.6, 3.4
"Ashley County(6,10)",05003,***,565.3 ,508.2, 627.5,77,stable,4.8 ,-11.2, 23.7
"Arkansas County(6,10)",05001,***,564 ,502.9, 631,66,stable,3.0 ,-1.5, 7.8
"Clay County(6,10)",05021,***,564 ,499.4, 635.4,58,stable,-1.5 ,-19.1, 20.0
"Independence County(6,10)",05063,***,550.3 ,505.9, 597.6,119,stable,2.6 ,-4.1, 9.8
"Chicot County(6,10)",05017,***,548.8 ,472, 635.1,38,stable,-0.5 ,-6.4, 5.7
"Union County(6,10)",05139,***,548.7 ,505.9, 594.3,130,stable,-2.0 ,-8.3, 4.7
"Cross County(6,10)",05037,***,547.3 ,482.8, 618.5,55,stable,-2.3 ,-5.2, 0.7
"Marion County(6,10)",05089,***,543.3 ,487.2, 605.5,81,stable,-3.0 ,-10.5, 5.0
"Lee County(6,10)",05077,***,543 ,462.7, 634,34,stable,4.4 ,-9.9, 21.1
"Saline County(6,10)",05125,***,542.4 ,517, 568.7,361,stable,-4.3 ,-11.4, 3.4
"Jackson County(6,10)",05067,***,541.8 ,479.1, 610.7,57,stable,0.6 ,-10.0, 12.3
"Cleburne County(6,10)",05023,***,539.3 ,494.2, 588.2,114,stable,0.4 ,-11.8, 14.4
"Craighead County(6,10)",05031,***,536.8 ,506.9, 568.1,251,stable,2.5 ,-2.0, 7.2
"Phillips County(6,10)",05107,***,535.4 ,473.8, 603.1,59,stable,1.9 ,-11.7, 17.7
"Washington County(6,10)",05143,***,533.4 ,511.5, 555.8,482,stable,0.6 ,-3.5, 4.9
"Pike County(6,10)",05109,***,529.6 ,455, 613.7,38,stable,-3.9 ,-23.1, 20.1
