------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=05&areatype=county&cancer=018&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '05', 'areatype': 'county', 'cancer': '018', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_056.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=05&areatype=county&cancer=018&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Arkansas by County

"Stomach (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Arkansas(6)",05000,***,3.5 ,3.3, 3.8,127,56.9
"US (SEER+NPCR)(1)",00000,***,3.8 ,3.8, 3.8,13895,58.2
"Craighead County(6)",05031,***,5.7 ,3.9, 8.2,6,68.9
"Garland County(6)",05051,***,4.9 ,3.3, 7,7,58.3
"Jefferson County(6)",05069,***,4.5 ,2.7, 7.2,4,60.6
"Lonoke County(6)",05085,***,4.5 ,2.6, 7.3,3,65.4
"Sebastian County(6)",05131,***,3.9 ,2.6, 5.7,6,54.9
"Faulkner County(6)",05045,***,3.5 ,2.1, 5.5,4,50.0
"Pulaski County(6)",05119,***,3.5 ,2.7, 4.4,15,59.4
"Saline County(6)",05125,***,3.3 ,2.1, 5,5,58.5
"Benton County(6)",05007,***,2.4 ,1.6, 3.4,6,44.9
"Washington County(6)",05143,***,2.4 ,1.5, 3.6,4,44.9
"Arkansas County(6)",05001,***,* ,*, *,3 or fewer,*
"Ashley County(6)",05003,***,* ,*, *,3 or fewer,*
"Baxter County(6)",05005,***,* ,*, *,3 or fewer,*
"Boone County(6)",05009,***,* ,*, *,3 or fewer,*
"Bradley County(6)",05011,***,* ,*, *,3 or fewer,*
"Calhoun County(6)",05013,***,* ,*, *,3 or fewer,*
"Carroll County(6)",05015,***,* ,*, *,3 or fewer,*
"Chicot County(6)",05017,***,* ,*, *,3 or fewer,*
"Clark County(6)",05019,***,* ,*, *,3 or fewer,*
"Clay County(6)",05021,***,* ,*, *,3 or fewer,*
"Cleburne County(6)",05023,***,* ,*, *,3 or fewer,*
"Cleveland County(6)",05025,***,* ,*, *,3 or fewer,*
"Columbia County(6)",05027,***,* ,*, *,3 or fewer,*
"Conway County(6)",05029,***,* ,*, *,3 or fewer,*
"Crawford County(6)",05033,***,* ,*, *,3 or fewer,*
"Crittenden County(6)",05035,***,* ,*, *,3 or fewer,*
"Cross County(6)",05037,***,* ,*, *,3 or fewer,*
"Dallas County(6)",05039,***,* ,*, *,3 or fewer,*
"Desha County(6)",05041,***,* ,*, *,3 or fewer,*
"Drew County(6)",05043,***,* ,*, *,3 or fewer,*
"Franklin County(6)",05047,***,* ,*, *,3 or fewer,*
"Fulton County(6)",05049,***,* ,*, *,3 or fewer,*
"Grant County(6)",05053,***,* ,*, *,3 or fewer,*
"Greene County(6)",05055,***,* ,*, *,3 or fewer,*
"Hempstead County(6)",05057,***,* ,*, *,3 or fewer,*
"Hot Spring County(6)",05059,***,* ,*, *,3 or fewer,*
"Howard County(6)",05061,***,* ,*, *,3 or fewer,*
"Independence County(6)",05063,***,* ,*, *,3 or fewer,*
"Izard County(6)",05065,***,* ,*, *,3 or fewer,*
"Jackson County(6)",05067,***,* ,*, *,3 or fewer,*
"Johnson County(6)",05071,***,* ,*, *,3 or fewer,*
"Lafayette County(6)",05073,***,* ,*, *,3 or fewer,*
