------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"United States",00000,4.5,5305440,"N/A"
"California",06000,9.2,1189745,"51 of 51"
"Sierra County",06091,0.2,3,"686 of 3140"
"Amador County",06005,0.5,67,"1086 of 3140"
"Calaveras County",06009,0.5,95,"1176 of 3140"
"Trinity County",06105,0.7,36,"1360 of 3140"
"Mariposa County",06043,0.7,54,"1440 of 3140"
"Lassen County",06035,0.7,70,"1467 of 3140"
"Plumas County",06063,0.8,63,"1485 of 3140"
"Siskiyou County",06093,1.1,207,"1797 of 3140"
"Shasta County",06089,1.2,848,"1888 of 3140"
"Nevada County",06057,1.2,502,"1915 of 3140"
"Tuolumne County",06109,1.3,294,"1972 of 3140"
"Humboldt County",06023,1.6,840,"2128 of 3140"
"Alpine County",06003,1.6,5,"2180 of 3140"
"Del Norte County",06015,1.7,162,"2202 of 3140"
"El Dorado County",06017,1.7,1155,"2210 of 3140"
"Placer County",06061,2.1,2890,"2358 of 3140"
"Butte County",06007,2.3,2008,"2453 of 3140"
"Inyo County",06027,2.4,191,"2467 of 3140"
"Lake County",06033,2.6,685,"2541 of 3140"
"Modoc County",06049,2.8,101,"2585 of 3140"
"San Luis Obispo County",06079,3.2,3328,"2665 of 3140"
"Tehama County",06103,3.4,799,"2701 of 3140"
"Mono County",06051,3.4,166,"2703 of 3140"
"Yuba County",06115,4.2,1089,"2789 of 3140"
"Sonoma County",06097,4.2,8068,"2794 of 3140"
"Marin County",06041,4.3,4493,"2801 of 3140"
"Mendocino County",06045,4.6,1563,"2830 of 3140"
"Solano County",06095,4.6,6792,"2834 of 3140"
"Santa Cruz County",06087,5.7,5418,"2896 of 3140"
"Ventura County",06111,6.2,16854,"2929 of 3140"
"Napa County",06055,6.4,3124,"2940 of 3140"
"Contra Costa County",06013,6.7,26001,"2950 of 3140"
"Sacramento County",06067,6.8,36035,"2954 of 3140"
"San Diego County",06073,6.8,75694,"2956 of 3140"
"San Bernardino County",06071,6.9,42803,"2962 of 3140"
"Yolo County",06113,6.9,5045,"2963 of 3140"
"Riverside County",06065,7.3,51957,"2982 of 3140"
"Santa Barbara County",06083,7.7,11140,"2996 of 3140"
"San Benito County",06069,8.1,1417,"3011 of 3140"
"Sutter County",06101,8.1,2619,"3012 of 3140"
"San Joaquin County",06077,8.5,19118,"3023 of 3140"
"Kern County",06029,8.9,23550,"3030 of 3140"
"Stanislaus County",06099,8.9,15277,"3034 of 3140"
"Colusa County",06011,9.0,636,"3037 of 3140"
"San Mateo County",06081,9.0,23691,"3038 of 3140"
"Orange County",06059,9.1,92845,"3039 of 3140"
"Alameda County",06001,9.6,54695,"3050 of 3140"
"Fresno County",06019,10.0,30049,"3052 of 3140"
"Madera County",06039,10.5,4675,"3064 of 3140"
"Santa Clara County",06085,10.8,67815,"3070 of 3140"
"Glenn County",06021,10.9,1081,"3073 of 3140"
"Kings County",06031,11.3,4769,"3078 of 3140"
"San Francisco County",06075,11.8,42509,"3084 of 3140"
"Merced County",06047,13.0,10314,"3096 of 3140"
"Los Angeles County",06037,13.2,435557,"3100 of 3140"
"Monterey County",06053,13.2,16647,"3101 of 3140"
"Tulare County",06107,16.2,21951,"3116 of 3140"
"Imperial County",06025,21.9,9885,"3130 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
