------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"California",06000,7.7,1491146,"46 of 52"
"Mono County",06051,3.6,290,"474 of 3141"
"Marin County",06041,4.5,6211,"846 of 3141"
"San Mateo County",06081,4.7,20174,"933 of 3141"
"San Luis Obispo County",06079,4.8,6586,"981 of 3141"
"Inyo County",06027,5.2,450,"1117 of 3141"
"Sierra County",06091,5.3,64,"1173 of 3141"
"Napa County",06055,5.4,4068,"1245 of 3141"
"San Francisco County",06075,5.4,29102,"1259 of 3141"
"Placer County",06061,5.6,10216,"1348 of 3141"
"Santa Clara County",06085,5.7,58215,"1364 of 3141"
"Orange County",06059,5.8,96039,"1436 of 3141"
"Colusa County",06011,5.9,592,"1482 of 3141"
"Sonoma County",06097,5.9,15700,"1509 of 3141"
"Monterey County",06053,6.0,11717,"1561 of 3141"
"Alameda County",06001,6.0,53175,"1566 of 3141"
"Ventura County",06111,6.6,28752,"1843 of 3141"
"Santa Barbara County",06083,6.6,14894,"1861 of 3141"
"Santa Cruz County",06087,6.7,9672,"1940 of 3141"
"Shasta County",06089,6.8,5246,"1954 of 3141"
"Contra Costa County",06013,6.9,39750,"2009 of 3141"
"San Diego County",06073,7.1,116758,"2074 of 3141"
"Calaveras County",06009,7.1,1281,"2086 of 3141"
"Yolo County",06113,7.2,7489,"2124 of 3141"
"Nevada County",06057,7.3,3348,"2160 of 3141"
"Lassen County",06035,7.5,729,"2221 of 3141"
"Modoc County",06049,7.5,263,"2242 of 3141"
"Los Angeles County",06037,7.8,406426,"2356 of 3141"
"Tuolumne County",06109,7.9,1750,"2391 of 3141"
"El Dorado County",06017,8.1,7042,"2438 of 3141"
"Madera County",06039,8.3,5045,"2497 of 3141"
"Solano County",06095,8.5,18266,"2566 of 3141"
"Sacramento County",06067,8.8,64575,"2636 of 3141"
"San Benito County",06069,8.8,2686,"2638 of 3141"
"Humboldt County",06023,8.9,5850,"2660 of 3141"
"Butte County",06007,9.1,9329,"2686 of 3141"
"Siskiyou County",06093,9.1,1655,"2690 of 3141"
"Glenn County",06021,9.2,1096,"2714 of 3141"
"Amador County",06005,9.3,1371,"2719 of 3141"
"Plumas County",06063,9.4,752,"2747 of 3141"
"Del Norte County",06015,9.5,916,"2765 of 3141"
"Trinity County",06105,9.6,507,"2782 of 3141"
"Kings County",06031,9.7,5683,"2799 of 3141"
"San Bernardino County",06071,9.9,95079,"2822 of 3141"
"Riverside County",06065,9.9,107383,"2830 of 3141"
"Yuba County",06115,9.9,3057,"2832 of 3141"
"Mariposa County",06043,10.0,777,"2846 of 3141"
"Tulare County",06107,10.0,19405,"2861 of 3141"
"San Joaquin County",06077,10.1,33271,"2871 of 3141"
"Tehama County",06103,10.1,2692,"2875 of 3141"
"Fresno County",06019,10.4,45315,"2900 of 3141"
"Mendocino County",06045,10.4,4304,"2906 of 3141"
"Sutter County",06101,10.5,4491,"2918 of 3141"
"Kern County",06029,10.9,41082,"2950 of 3141"
"Lake County",06033,11.2,2872,"2963 of 3141"
"Stanislaus County",06099,11.8,29240,"3001 of 3141"
"Alpine County",06003,14.6,64,"3076 of 3141"
"Merced County",06047,14.6,16969,"3077 of 3141"
"Imperial County",06025,16.0,11415,"3107 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
