------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=06&areatype=county&cancer=058&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'cancer': '058', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=06&areatype=county&cancer=058&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for California by County

"Uterus (Corpus & Uterus, NOS) (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"California(7,8)",06000,***,25.5 ,25.2, 25.8,5708,rising,1.8 ,1.5, 2.1
"US (SEER+NPCR)(1,10)",00000,***,26.6 ,26.5, 26.7,53371,rising,1.4 ,1.0, 1.9
"Tuolumne County(7,8)",06109,***,33.9 ,25.8, 44.2,15,stable,-5.4 ,-30.3, 28.4
"Yuba County(7,8)",06115,***,29.6 ,22, 38.9,11,stable,3.1 ,-1.4, 7.8
"Sacramento County(7,8)",06067,***,29.5 ,27.8, 31.2,256,rising,2.6 ,1.6, 3.7
"Humboldt County(7,8)",06023,***,29 ,24, 34.8,27,stable,0.1 ,-2.8, 3.0
"Yolo County(7,8)",06113,***,28.9 ,24.5, 34,31,stable,1.8 ,-0.7, 4.3
"Solano County(7,8)",06095,***,28.1 ,25.3, 31.1,78,stable,2.0 ,0.0, 4.0
"Siskiyou County(7,8)",06093,***,27.7 ,20.1, 37.8,10,stable,-0.2 ,-4.2, 3.9
"San Bernardino County(7,8)",06071,***,27.6 ,26.2, 29.1,299,rising,2.1 ,1.3, 2.8
"Alameda County(7,8)",06001,***,27.5 ,26, 29.1,261,rising,0.9 ,0.5, 1.4
"Inyo County(7,8)",06027,***,27.5 ,16.2, 44.8,4,stable,3.5 ,-1.8, 9.1
"Butte County(7,8)",06007,***,27.2 ,23.5, 31.5,41,stable,0.3 ,-1.5, 2.1
"San Francisco County(7,8)",06075,***,27.1 ,25.1, 29.3,139,stable,0.5 ,0.0, 1.0
"Contra Costa County(7,8)",06013,***,27.1 ,25.4, 28.9,194,stable,-0.1 ,-0.8, 0.6
"Santa Cruz County(7,8)",06087,***,26.9 ,23.4, 30.8,46,rising,13.9 ,1.0, 28.4
