------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=08&areatype=county&cancer=001&race=07&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'cancer': '001', 'race': '07', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=08&areatype=county&cancer=001&race=07&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Colorado by County

"All Cancer Sites (All Stages^), 2012-2016"

"White Non-Hispanic, Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Colorado(6,10)",08000,***,406.5 ,403.8, 409.2,18525,falling,-1.2 ,-2.1, -0.3
"US (SEER+NPCR) &sect; (1,10)",00000,***,464.2 ,463.8, 464.6,1254697,stable,-0.7 ,-1.6, 0.1
"Kiowa County(6,10)",08061,***,505.7 ,356.8, 701,10,stable,-0.2 ,-45.9, 83.9
"Mineral County(6,10)",08079,***,483.2 ,296.1, 774.4,6,stable,-4.8 ,-45.7, 67.1
"El Paso County(6,10)",08041,***,439.3 ,431.1, 447.6,2335,stable,-0.5 ,-4.5, 3.7
"Fremont County(6,10)",08043,***,438.5 ,413.7, 464.6,263,stable,-2.0 ,-9.4, 6.1
"Garfield County(6,10)",08045,***,433.2 ,406.2, 461.7,211,stable,0.7 ,-4.9, 6.7
"Pueblo County(6,10)",08101,***,430.4 ,413.9, 447.6,570,stable,-0.3 ,-2.8, 2.3
"Denver County(6,10)",08031,***,426.3 ,416.9, 435.8,1703,stable,-1.7 ,-3.5, 0.1
"Adams County(6,10)",08001,***,424.6 ,413.5, 435.9,1187,stable,0.3 ,-2.4, 3.1
